id1819,kreiskey1800,county,rb,fac1819_brick,fac1819_lime,fac1819_glass,mill1819_water,mill1819_saw_one,mill1819_saw_more
115,201,"Herford","MIN",2,1,0,35,0,0
116,29,"Hirschberg","LIE",7,2,3,61,15,0
117,208,"Höxter","MIN",0,1,0,35,5,0
118,3,"(Preussisch) Holland","KON",6,0,0,23,2,0
119,224,"Homburg","KOL",1,2,0,15,0,0
120,143,"Jauer","LIE",1,5,0,56,5,0
121,153,"1. Jerichow","MAG",9,0,0,65,13,0
122,152,"2. Jerichow","MAG",31,0,0,17,4,0
123,21,"Inowrazlaw","BRO",14,0,0,3,0,0
124,8,"Insterburg","GUM",6,5,0,9,1,0
125,9,"Johannsburg","GUM",2,2,0,22,1,0
126,218,"Iserlohn","ARN",10,12,0,32,12,0
127,274,"Jülich","AAC",0,0,0,24,0,0
128,57,"Jüterbok","POT",12,0,1,21,13,1
129,77,"Kalau","FRA",24,0,0,114,36,1
130,154,"Kalbe","MAG",9,9,0,23,1,0
131,87,"Kammin","STE",0,0,1,25,7,1
132,16,"Karthaus","DAN",1,1,0,29,6,0
133,238,"Kempen","DUS",7,0,0,20,0,0
134,234,"Kleve","DUS",7,0,0,10,0,0
135,248,"Koblenz","KOB",3,0,0,84,2,0
136,252,"Kochem","KOB",1,0,0,99,0,0
137,229,"Köln","KOL",1,0,0,29,0,0
138,65,"Königsberg","FRA",15,0,0,26,8,0
139,6,"Königsberg, Stadtkreis","KON",2,1,0,7,0,0
140,6,"Königsberg, Landkreis","KON",8,0,0,16,0,0
141,195,"Koesfeld","MUN",6,1,0,37,0,0
142,14,"Konitz","MAR",4,3,0,35,3,13
143,128,"Kosel","OPP",1,0,0,61,4,0
144,41,"Kosten","POS",5,0,0,1,0,0
145,78,"Kottbus","FRA",16,0,0,21,6,0
146,239,"Krefeld","DUS",3,0,0,2,0,0
147,120,"Kreutzburg","OPP",8,0,1,41,2,0
148,250,"Kreutznach","KOB",11,11,0,88,2,0
149,47,"Kröben","POS",5,0,0,1,0,0
150,23,"(Deutsch)Krone","MAR",8,1,0,58,17,0
151,75,"Krossen","FRA",22,4,3,67,15,0
152,33,"Krotoschin","POS",11,1,0,7,1,0
153,65,"Küstrin","FRA",6,3,0,10,3,2
154,12,"Kulm","MAR",16,5,0,10,0,0
155,7,"Labiau","KON",12,0,0,7,1,0
156,69,"Landsberg","FRA",14,1,0,11,10,0
157,27,"Landshut","LIE",6,13,0,67,13,0
158,183,"Langensalza","ERF",4,5,0,46,1,0
159,145,"Lauban","LIE",18,5,0,103,25,0
160,35,"Lauenburg","KOS",6,4,2,70,7,0
161,70,"Lebus","FRA",4,0,0,35,9,0
162,231,"Lechenich","KOL",0,0,0,39,0,0
163,242,"Lennep","DUS",1,0,0,36,0,0
164,129,"Leobschütz","OPP",2,0,0,76,1,0
165,162,"Liebenwerda","MER",12,0,0,51,14,5
166,142,"Liegnitz","LIE",16,0,0,44,5,0
167,9,"Lik","GUM",2,8,0,9,0,0
168,256,"Linz","KOB",1,0,0,17,0,0
169,212,"Lippstadt","ARN",2,1,0,37,2,0
170,13,"Löbau","MAR",1,1,0,30,7,0
171,10,"Lötzen","GUM",1,38,0,11,0,0
172,144,"Löwenberg","LIE",6,8,0,71,12,0
173,124,"Lublinitz","OPP",17,13,2,62,11,0
174,76,"Luckau","FRA",27,1,1,75,39,1
175,34,"Lübben","FRA",15,4,0,38,16,1
176,139,"Lüben","LIE",11,0,0,53,4,0
177,191,"Lüdingshausen","MUN",13,4,0,28,0,0
178,155,"Magdeburg","MAG",5,6,0,23,0,0
179,253,"Maien","KOB",2,2,0,112,0,0
180,281,"Malmedy","AAC",2,0,0,16,1,0
181,171,"Mansfeld, Gebirgskreis","MER",7,4,0,59,0,0
