kreiskey1888,county,rb,edu1886_loc_pri,edu1886_loc_max,edu1886_loc_rea,edu1886_loc_dis,edu1886_loc_nvr,edu1886_loc_tot,edu1886_loc_awa,edu1886_dif_pri,edu1886_dif_max,edu1886_dif_rea,edu1886_dif_dis,edu1886_dif_nvr,edu1886_dif_tot,edu1886_dif_awa,edu1886_tot_you,edu1886_tot_old,edu1886_tot_pri,edu1886_tot_max,edu1886_tot_rea,edu1886_tot_dis,edu1886_tot_nvr,edu1886_tot_tot,edu1886_tot_awa,edu1886_stud_tot,edu1886_stud_m,edu1886_stud_f,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_stud_ger,edu1886_stud_pol,edu1886_stud_pag,edu1886_stud_lit,edu1886_stud_lag,edu1886_stud_wen,edu1886_stud_wag,edu1886_stud_sla,edu1886_stud_sag,edu1886_stud_dan,edu1886_stud_dag,edu1886_stud_oth,edu1886_stud_oag,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
507,"GUMMERSBACH","KOL",77,0,55,7,0,5580,55,0,0,5,0,0,221,0,717,5834,77,0,60,7,0,5801,55,5801,2941,2860,2941,2860,5801,5206,541,37,17,5801,0,0,0,0,0,0,0,0,0,0,0,0,5431,5204,173,37,17,370,2,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,"SIEGKREIS","KOL",171,0,429,49,9,12709,407,171,0,124,72,0,3752,185,2302,17387,342,0,553,121,9,16461,592,16461,8264,8197,6058,6026,12084,1692,14653,4,112,16461,0,0,0,0,0,0,0,0,0,0,0,0,1442,1385,44,4,9,14763,114,14589,0,60,0,0,0,0,0,43,0,0,0,43,213,193,20,0,0
509,"MULHEIM","KOL",343,0,271,29,5,14234,73,0,0,0,0,0,0,0,1951,14854,343,0,271,29,5,14234,73,14234,7232,7002,4657,4457,9114,1469,12685,30,50,14234,0,0,0,0,0,0,0,0,0,0,0,0,1447,1386,0,30,31,12787,83,12685,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,"KOLN","KOL",879,0,100,34,0,21117,0,0,0,0,0,0,0,0,3149,24337,879,0,100,34,0,21117,0,21117,10461,10656,1116,1046,2162,2378,18197,7,535,21117,0,0,0,0,0,0,0,0,0,0,0,0,2088,2043,17,0,28,18116,51,17956,7,102,0,0,0,0,0,392,0,0,0,392,521,284,224,0,13
511,"KOLN","KOL",915,0,336,77,3,26404,27,7,0,16,1,0,262,0,3746,27447,922,0,352,78,3,26666,27,26666,13015,13651,4598,4486,9084,2161,24332,6,167,26654,0,0,0,0,0,0,0,0,0,0,8,4,1919,1855,5,0,59,24747,306,24327,6,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,"BERGHEIM","KOL",50,0,364,19,0,6871,4,8,0,40,6,0,794,0,1084,7833,58,0,404,25,0,7665,4,7665,3795,3870,2599,2580,5179,65,7522,5,73,7665,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,7636,52,7522,5,57,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0
513,"EUSKIRCHEN","KOL",80,0,314,44,0,6977,0,9,0,14,0,0,466,0,1117,7637,89,0,328,44,0,7443,0,7443,3637,3806,2089,2154,4243,66,7238,0,139,7443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7421,66,7238,0,117,0,0,0,0,0,22,0,0,0,22,0,0,0,0,0
514,"RHEINBACH","KOL",105,0,80,27,6,5636,0,3,0,2,5,0,337,0,755,6174,108,0,82,32,6,5973,0,5973,2902,3071,1978,2171,4149,30,5831,0,112,5973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,30,5831,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,"BONN","KOL",1058,0,242,17,0,4250,0,0,0,0,0,0,0,0,643,5293,1058,0,242,17,0,4250,0,4250,2087,2163,83,80,163,555,3658,0,37,4250,0,0,0,0,0,0,0,0,0,0,0,0,577,555,1,0,21,3673,0,3657,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,"BONN","KOL",213,0,155,43,0,9029,0,8,0,48,2,0,640,0,1365,10199,221,0,203,45,0,9669,0,9669,4899,4770,2114,2045,4159,170,9349,0,150,9669,0,0,0,0,0,0,0,0,0,0,0,0,60,59,0,0,1,9609,111,9349,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
