kreiskey1888,county,rb,edu1886_loc_pri,edu1886_loc_max,edu1886_loc_rea,edu1886_loc_dis,edu1886_loc_nvr,edu1886_loc_tot,edu1886_loc_awa,edu1886_dif_pri,edu1886_dif_max,edu1886_dif_rea,edu1886_dif_dis,edu1886_dif_nvr,edu1886_dif_tot,edu1886_dif_awa,edu1886_tot_you,edu1886_tot_old,edu1886_tot_pri,edu1886_tot_max,edu1886_tot_rea,edu1886_tot_dis,edu1886_tot_nvr,edu1886_tot_tot,edu1886_tot_awa,edu1886_stud_tot,edu1886_stud_m,edu1886_stud_f,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_stud_ger,edu1886_stud_pol,edu1886_stud_pag,edu1886_stud_lit,edu1886_stud_lag,edu1886_stud_wen,edu1886_stud_wag,edu1886_stud_sla,edu1886_stud_sag,edu1886_stud_dan,edu1886_stud_dag,edu1886_stud_oth,edu1886_stud_oag,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
1,"MEMEL","KON",1070,0,2,3,2,1982,0,167,111,312,42,119,5804,1190,1271,10141,1237,111,314,45,121,7786,1190,7786,3906,3880,3068,3080,6148,7469,190,102,25,3690,0,0,2834,1055,0,0,0,0,0,0,154,53,7268,7091,68,84,25,113,0,113,0,0,0,0,0,0,0,0,0,0,0,0,405,378,9,18,0
2,"FISCHHAUSEN","KON",363,8,52,1,0,2040,3,287,0,142,15,1,6523,609,1246,9261,650,8,194,16,1,8563,612,8563,4346,4217,4295,4180,8475,8407,9,132,15,8563,0,0,0,0,0,0,0,0,0,0,0,0,8563,8407,9,132,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"KONIGSBERG","KON",3523,76,39,0,0,15061,6,0,0,0,0,0,0,0,2769,21042,3523,76,39,0,0,15061,6,15061,7282,7779,625,593,1218,14417,438,70,136,15045,1,15,0,0,0,0,0,0,0,0,0,0,14713,14417,90,70,136,348,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"KONIGSBERG","KON",86,56,12,2,0,2063,58,340,0,103,12,9,7345,228,1374,10128,426,56,115,14,9,9408,286,9408,4656,4752,4656,4752,9408,9314,23,55,16,9408,0,0,0,0,0,0,0,0,0,0,0,0,9408,9314,23,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"LABIAU","KON",294,0,46,0,0,1446,14,176,27,178,37,0,7607,375,1344,9624,470,27,224,37,0,9053,389,9053,4485,4568,4485,4568,9053,8984,6,39,24,7048,0,0,868,1137,0,0,0,0,0,0,0,0,9053,8984,6,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"WEHLAU","KON",33,0,1,0,0,1524,32,740,0,73,21,5,6587,418,1178,8738,773,0,74,21,5,8111,450,8111,4131,3980,3983,3851,7834,8051,12,38,10,8109,0,2,0,0,0,0,0,0,0,0,0,0,8111,8051,12,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"GERDAUEN","KON",50,0,12,1,0,1826,0,134,15,66,13,1,5002,323,969,6900,184,15,78,14,1,6828,323,6828,3474,3354,3379,3259,6638,6787,14,0,27,6828,0,0,0,0,0,0,0,0,0,0,0,0,6828,6787,14,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"RASTENBURG","KON",756,0,133,8,0,3005,86,84,10,92,14,0,4530,198,1086,8218,840,10,225,22,0,7535,284,7535,3689,3846,3427,3586,7013,7124,387,10,14,7306,72,157,0,0,0,0,0,0,0,0,0,0,7332,7124,184,10,14,203,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"FRIEDLAND","KON",452,0,9,1,1,2367,9,79,0,174,10,2,4837,589,1099,8296,531,0,183,11,3,7204,598,7204,3579,3625,3343,3366,6709,7128,17,59,0,7203,0,0,0,0,0,0,0,0,0,0,0,1,7204,7128,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"PREUSSISCH EYLAU","KON",341,0,28,6,1,2833,7,122,0,147,23,15,7244,193,1391,10177,463,0,175,29,16,10077,200,10077,5046,5031,4889,4891,9780,9734,173,128,42,10077,0,0,0,0,0,0,0,0,0,0,0,0,10077,9734,173,128,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"HEILIGENBEIL","KON",96,0,45,7,3,2101,8,92,21,128,24,5,5902,337,1110,8432,188,21,173,31,8,8003,345,8003,3997,4006,3697,3684,7381,7872,47,74,10,8002,1,0,0,0,0,0,0,0,0,0,0,0,8003,7872,47,74,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"BRAUNSBERG","KON",25,0,3,6,0,2045,17,357,0,27,12,1,6971,404,1303,9347,382,0,30,18,1,9016,421,9016,4455,4561,2890,2888,5778,848,8104,0,64,9016,0,0,0,0,0,0,0,0,0,0,0,0,654,641,0,0,13,7906,150,7720,0,36,0,0,0,0,0,0,0,0,0,0,456,57,384,0,15
13,"HEILSBERG","KON",29,0,27,12,0,5146,197,183,0,15,9,0,4672,148,1394,9765,212,0,42,21,0,9818,345,9818,4908,4910,4193,4233,8426,375,9388,0,55,9814,0,4,0,0,0,0,0,0,0,0,0,0,353,241,58,0,54,9309,122,9186,0,1,0,0,0,0,0,0,0,0,0,0,156,12,144,0,0
14,"ROSSEL","KON",92,0,49,5,0,4409,109,51,0,100,12,3,4566,318,1131,9036,143,0,149,17,3,8975,427,8975,4549,4426,3482,3415,6897,818,8084,2,71,7098,1214,663,0,0,0,0,0,0,0,0,0,0,835,625,159,0,51,8002,178,7802,2,20,0,0,0,0,0,0,0,0,0,0,138,15,123,0,0
15,"ALLENSTEIN","KON",342,0,111,16,0,5142,90,59,18,147,15,4,7295,534,1646,12724,401,18,258,31,4,12437,624,12437,6233,6204,4977,4975,9952,633,11756,7,41,3707,6718,2012,0,0,0,0,0,0,0,0,0,0,193,123,55,4,11,10729,248,10465,3,13,0,0,0,0,0,0,0,0,0,0,1515,262,1236,0,17
16,"ORTELSBURG","KON",214,0,79,13,0,6815,398,232,40,47,10,0,6498,499,1596,13105,446,40,126,23,0,13313,897,13313,6652,6661,6581,6603,13184,11763,1223,257,70,898,11474,941,0,0,0,0,0,0,0,0,0,0,12664,11686,651,257,70,534,0,534,0,0,0,0,0,0,0,0,0,0,0,0,115,77,38,0,0
17,"NEIDENBURG","KON",347,0,83,11,4,4917,193,113,0,129,11,7,5827,451,1576,10916,460,0,212,22,11,10744,644,10744,5298,5446,5246,5394,10640,9384,1233,36,91,674,9102,968,0,0,0,0,0,0,0,0,0,0,10144,9265,755,36,88,600,119,478,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"OSTERODE","KON",484,30,348,8,1,4792,70,116,0,680,25,0,7893,323,1813,12766,600,30,1028,33,1,12685,393,12685,6298,6387,6092,6205,12297,11680,877,54,74,3404,8047,1234,0,0,0,0,0,0,0,0,0,0,11703,10992,625,49,37,133,18,115,0,0,0,0,0,0,0,0,0,0,0,0,849,670,137,5,37
19,"MOHRUNGEN","KON",59,0,63,7,2,3822,125,76,0,85,17,4,6425,414,1491,10239,135,0,148,24,6,10247,539,10247,5150,5097,4923,4887,9810,9943,240,39,25,10226,0,21,0,0,0,0,0,0,0,0,0,0,10127,9943,120,39,25,120,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"PREUSSISCH HOLLAND","KON",70,0,12,6,0,3052,13,279,0,98,7,30,5050,65,1091,8201,349,0,110,13,30,8102,78,8102,4024,4078,3909,3955,7864,7794,252,9,47,8102,0,0,0,0,0,0,0,0,0,0,0,0,7447,7309,110,9,19,116,0,116,0,0,0,0,0,0,0,0,0,0,0,0,539,485,26,0,28
21,"HEYDEKRUG","GUM",63,0,10,1,0,777,32,196,27,204,41,8,6449,618,931,7440,259,27,214,42,8,7226,650,7226,3461,3765,3461,3765,7226,6898,264,31,33,2723,0,0,2717,1786,0,0,0,0,0,0,0,0,7129,6898,167,31,33,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"NIEDERUNG","GUM",0,0,0,1,0,179,0,278,70,315,69,47,8290,662,1321,9747,278,70,315,70,47,8469,662,8469,4184,4285,4019,4147,8166,8326,28,59,56,6619,0,20,794,1036,0,0,0,0,0,0,0,0,8469,8326,28,59,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"TILSIT","GUM",1209,0,31,9,10,2479,38,119,22,370,73,24,7300,608,1522,11783,1328,22,401,82,34,9779,646,9779,4869,4910,3948,4007,7955,9437,205,74,63,5183,0,0,3497,1090,0,0,0,0,0,0,0,9,9728,9437,154,74,63,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"RAGNIT","GUM",0,0,6,0,0,472,10,265,0,623,39,0,8805,616,1301,9866,265,0,629,39,0,9277,626,9277,4576,4701,4576,4701,9277,9071,28,64,114,6593,0,36,1229,1419,0,0,0,0,0,0,0,0,9277,9071,28,64,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"PILLKALLEN","GUM",10,0,32,5,0,1194,6,111,0,191,23,8,6845,557,1038,8280,121,0,223,28,8,8039,563,8039,3975,4064,3879,3969,7848,7990,9,4,36,6723,0,0,784,532,0,0,0,0,0,0,0,0,8039,7990,9,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"STALLUPONEN","GUM",382,0,52,12,0,1091,0,143,15,443,27,11,7105,103,1111,8704,525,15,495,39,11,8196,103,8196,4188,4008,4018,3849,7867,8065,49,66,16,8078,0,3,12,103,0,0,0,0,0,0,0,0,8196,8065,49,66,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"GUMBINNEN","GUM",300,0,44,4,0,1796,31,119,0,358,12,0,5704,145,1080,8240,419,0,402,16,0,7500,176,7500,3793,3707,3498,3410,6908,7463,2,26,9,7500,0,0,0,0,0,0,0,0,0,0,0,0,7500,7463,2,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"INSTERBURG","GUM",1264,0,9,4,26,2488,11,168,0,214,25,5,8513,737,1674,12681,1432,0,223,29,31,11001,748,11001,5449,5552,4561,4599,9160,10887,25,67,22,10931,0,2,0,68,0,0,0,0,0,0,0,0,11001,10887,25,67,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"DARKEHMEN","GUM",7,0,8,3,0,483,0,122,16,273,32,0,5779,347,852,6400,129,16,281,35,0,6262,347,6262,3204,3058,3096,2953,6049,6179,0,63,20,6261,0,1,0,0,0,0,0,0,0,0,0,0,6262,6179,0,63,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"ANGERBURG","GUM",41,0,181,18,0,3335,196,483,0,144,14,1,3215,175,918,7242,524,0,325,32,1,6550,371,6550,3205,3345,3205,3345,6550,6453,2,84,11,5164,20,1366,0,0,0,0,0,0,0,0,0,0,6550,6453,2,84,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"GOLDAP","GUM",426,0,26,3,0,1678,25,218,0,89,26,13,6077,276,1153,8504,644,0,115,29,13,7755,301,7755,3848,3907,3628,3700,7328,7706,16,19,14,7326,71,200,15,138,0,0,0,0,0,0,5,0,7755,7706,16,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"OLETZKO","GUM",227,0,244,20,0,4366,164,55,7,111,16,0,3115,307,1084,7574,282,7,355,36,0,7481,471,7481,3721,3760,3657,3702,7359,7363,60,28,30,2345,3185,1951,0,0,0,0,0,0,0,0,0,0,7481,7363,60,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"LYCK","GUM",471,0,35,7,0,3624,32,38,0,114,17,1,4816,117,1318,9231,509,0,149,24,1,8440,149,8440,4177,4263,4145,4233,8378,8301,69,38,32,1021,5791,1628,0,0,0,0,0,0,0,0,0,0,8440,8301,69,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"LOTZEN","GUM",25,0,16,16,16,3674,110,319,0,10,14,7,3736,217,1051,7704,344,0,26,30,23,7410,327,7410,3738,3672,3573,3519,7092,7286,74,28,22,1414,3861,2135,0,0,0,0,0,0,0,0,0,0,7329,7228,51,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,58,23,0,0
35,"SENSBURG","GUM",307,0,6,4,0,3164,74,233,0,47,11,4,5039,452,1191,8672,540,0,53,15,4,8203,526,8203,4078,4125,4078,4125,8203,7623,525,45,10,1223,5201,1691,0,0,0,0,88,0,0,0,0,0,7813,7312,446,45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,311,79,0,0
36,"JOHANNISBURG","GUM",304,8,46,8,3,1895,47,105,17,30,30,11,6390,370,1258,8626,409,25,76,38,14,8285,417,8285,4024,4261,3960,4187,8147,8199,38,18,30,812,6623,837,0,0,0,0,13,0,0,0,0,0,8285,8199,38,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"ELBING","DAN",419,0,45,40,1,5874,10,0,0,0,0,0,0,0,742,6428,419,0,45,40,1,5874,10,5874,3012,2862,310,194,504,4547,1187,110,30,5872,0,2,0,0,0,0,0,0,0,0,0,0,2778,2515,162,73,28,445,0,445,0,0,0,0,0,0,0,0,0,0,0,0,2651,2032,580,37,2
38,"ELBING","DAN",50,0,65,4,0,2237,15,74,0,117,7,14,4286,146,914,6712,124,0,182,11,14,6523,161,6523,3295,3228,2985,2928,5913,5031,1303,189,0,6521,0,2,0,0,0,0,0,0,0,0,0,0,5331,5006,136,189,0,1192,25,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"MARIENBURG","DAN",797,0,464,18,14,6373,98,170,0,247,6,14,2939,248,1385,10450,967,0,711,24,28,9312,346,9312,4805,4507,4533,4311,8844,4988,3712,558,54,8900,206,206,0,0,0,0,0,0,0,0,0,0,6250,4619,1041,548,42,2201,42,2158,0,1,0,0,0,0,0,0,0,0,0,0,861,327,513,10,11
40,"DANZIG","DAN",4749,0,2991,113,0,11562,981,0,0,0,0,0,0,0,2455,17469,4749,0,2991,113,0,11562,981,11562,5664,5898,537,444,981,7515,3962,17,68,11479,0,83,0,0,0,0,0,0,0,0,0,0,323,323,0,0,0,247,0,247,0,0,0,0,0,0,0,0,0,0,0,0,10992,7192,3715,17,68
41,"DANZIG NIEDERUNG","DAN",147,0,107,4,1,3204,4,222,43,162,4,7,3218,348,989,6649,369,43,269,8,8,6422,352,6422,3266,3156,3064,2967,6031,5621,750,43,8,6421,0,1,0,0,0,0,0,0,0,0,0,0,6012,5436,532,39,5,120,0,120,0,0,0,0,0,0,0,0,0,0,0,0,290,185,98,4,3
42,"DANZIG HOHE","DAN",162,0,148,8,0,3375,4,184,0,139,5,23,3740,194,1130,7603,346,0,287,13,23,7115,198,7115,3593,3522,3164,3050,6214,2955,4141,5,14,5581,965,569,0,0,0,0,0,0,0,0,0,0,3194,2224,960,2,8,2312,190,2116,3,3,0,0,0,0,0,0,0,0,0,0,1609,541,1065,0,3
43,"DIRSCHAU","DAN",440,0,535,10,15,4046,6,38,0,68,7,0,1981,118,887,6760,478,0,603,17,15,6027,124,6027,2996,3031,2187,2221,4408,1854,4119,17,37,2679,2334,1014,0,0,0,0,0,0,0,0,0,0,1739,822,910,4,3,1919,201,1715,3,0,0,0,0,0,0,0,0,0,0,0,2369,831,1494,10,34
44,"PREUSSISCH STARGARD","DAN",17,2,95,12,1,1997,3,282,40,305,86,38,6823,981,1147,9152,299,42,400,98,39,8820,984,8820,4427,4393,4228,4161,8389,1794,6959,0,67,1837,6273,710,0,0,0,0,0,0,0,0,0,0,1505,1016,480,0,9,5017,185,4822,0,10,0,0,0,0,0,0,0,0,0,0,2298,593,1657,0,48
45,"BERENT","DAN",39,0,92,24,4,2780,104,175,0,212,103,28,5664,541,1369,8984,214,0,304,127,32,8444,645,8444,4244,4200,4207,4172,8379,3500,4817,3,124,3626,4264,554,0,0,0,0,0,0,0,0,0,0,3653,2649,906,0,98,3101,284,2817,0,0,0,0,0,0,0,0,0,0,0,0,1690,567,1094,3,26
46,"KARTHAUS","DAN",38,0,59,13,0,1373,118,120,14,449,115,60,8874,1733,1784,11315,158,14,508,128,60,10247,1851,10247,5160,5087,5089,5002,10091,2893,7277,1,76,3508,6099,640,0,0,0,0,0,0,0,0,0,0,2672,1914,753,0,5,5711,419,5256,0,36,0,0,0,0,0,0,0,0,0,0,1864,560,1268,1,35
47,"NEUSTADT","DAN",133,0,161,11,0,2367,118,185,9,138,42,3,4438,429,1099,7551,318,9,299,53,3,6805,547,6805,3492,3313,2949,2696,5645,1534,5253,0,18,2447,3887,471,0,0,0,0,0,0,0,0,0,0,1380,671,709,0,0,3257,276,2973,0,8,0,0,0,0,0,0,0,0,0,0,2168,587,1571,0,10
48,"PUTZIG","DAN",22,0,198,7,0,2367,34,28,0,107,6,0,2132,207,689,4665,50,0,305,13,0,4499,241,4499,2316,2183,2243,2106,4349,917,3577,0,5,1120,3052,324,0,0,0,0,0,3,0,0,0,0,936,692,239,0,5,3414,193,3221,0,0,0,0,0,0,0,0,0,0,0,0,149,32,117,0,0
49,"STUHM","MAR",169,20,310,6,0,2734,109,70,9,518,6,1,3901,154,937,6860,239,29,828,12,1,6635,263,6635,3353,3282,3353,3282,6635,2073,4401,109,52,3563,2332,740,0,0,0,0,0,0,0,0,0,0,2248,1537,580,93,38,3414,285,3122,5,2,0,0,0,0,0,0,0,0,0,0,973,251,699,11,12
50,"MARIENWERDER","MAR",926,0,207,29,0,5084,258,203,0,308,17,0,5635,281,1617,11618,1129,0,515,46,0,10719,539,10719,5447,5272,5271,5272,10543,5785,4849,25,60,6355,3362,1002,0,0,0,0,0,0,0,0,0,0,5822,4703,1074,22,23,3240,328,2906,0,6,0,0,0,0,0,0,0,0,0,0,1657,754,869,3,31
51,"ROSENBERG","MAR",584,0,79,14,0,5260,108,72,2,40,11,0,3682,314,1240,9412,656,2,119,25,0,8942,422,8942,4543,4399,4370,4238,8608,8097,731,8,106,6795,1022,1125,0,0,0,0,0,0,0,0,0,0,8372,7846,412,8,106,236,0,236,0,0,0,0,0,0,0,0,0,0,0,0,334,251,83,0,0
52,"LOBAU","MAR",166,0,463,17,1,2879,31,247,0,990,50,9,6462,646,1503,10243,413,0,1453,67,10,9341,677,9341,4714,4627,4599,4508,9107,1567,7678,0,96,1050,7501,790,0,0,0,0,0,0,0,0,0,0,649,559,85,0,5,7622,618,6988,0,16,0,0,0,0,0,0,0,0,0,0,1070,390,605,0,75
53,"STRASBURG","MAR",70,0,61,6,13,1695,30,659,0,387,74,75,6765,1165,1466,9858,729,0,448,80,88,8460,1195,8460,4214,4246,3887,3930,7817,2257,6052,22,129,1996,5947,517,0,0,0,0,0,0,0,0,0,0,1410,901,464,21,24,4594,493,4083,0,18,0,0,0,0,0,0,0,0,0,0,2456,863,1505,1,87
54,"BRIESEN","MAR",10,0,118,12,3,1666,90,133,0,472,23,24,6012,557,1139,7728,143,0,590,35,27,7678,647,7678,3843,3835,3843,3835,7678,2834,4568,57,219,3008,4583,87,0,0,0,0,0,0,0,0,0,0,2903,2166,643,55,39,4274,453,3811,2,8,0,0,0,0,0,172,0,0,0,172,329,215,114,0,0
55,"THORN","MAR",1664,0,455,13,32,4169,65,319,0,697,42,60,7474,627,1993,13916,1983,0,1152,55,92,11643,692,11643,5884,5759,5105,4965,10070,5027,6423,52,141,5514,5442,687,0,0,0,0,0,0,0,0,0,0,3550,2997,482,42,29,4454,366,4061,10,17,0,0,0,0,0,61,0,0,0,61,3578,1664,1880,0,34
56,"KULM","MAR",432,0,243,11,43,2757,4,104,0,405,40,0,5125,708,1269,8772,536,0,648,51,43,7882,712,7882,3920,3962,3404,3379,6783,3532,4246,58,46,3694,3722,466,0,0,0,0,0,0,0,0,0,0,3166,2336,765,58,7,2634,400,2228,0,6,0,0,0,0,0,0,0,0,0,0,2082,796,1253,0,33
57,"GRAUDENZ","MAR",1423,0,144,5,1,3548,0,138,0,187,15,8,5886,478,1645,10649,1561,0,331,20,9,9434,478,9434,4629,4805,3892,4044,7936,5362,3913,30,129,5948,2571,915,0,0,0,0,0,0,0,0,0,0,4316,3298,974,17,27,1603,231,1369,0,3,0,0,0,0,0,0,0,0,0,0,3515,1833,1570,13,99
58,"SCHWETZ","MAR",373,0,239,47,0,5442,160,83,0,140,45,83,8528,860,2077,14664,456,0,379,92,83,13970,1020,13970,7218,6752,6760,6349,13109,5916,7839,66,149,6267,7002,701,0,0,0,0,0,0,0,0,0,0,6253,4213,1924,51,65,4820,502,4289,0,29,68,53,0,15,0,0,0,0,0,0,2829,1148,1626,0,55
59,"TUCHEL","MAR",91,0,277,8,0,2054,57,59,0,598,31,5,3090,268,811,5647,150,0,875,39,5,5144,325,5144,2629,2515,2575,2458,5033,1104,3874,0,166,1670,3200,274,0,0,0,0,0,0,0,0,0,0,536,278,256,0,2,2768,255,2490,0,23,0,0,0,0,0,0,0,0,0,0,1840,571,1128,0,141
60,"KONITZ","MAR",13,25,206,10,2,2386,108,212,0,757,25,70,7494,757,1517,10326,225,25,963,35,72,9880,865,9880,4955,4925,4119,4156,8275,1969,7715,0,196,4653,4998,229,0,0,0,0,0,0,0,0,0,0,572,341,191,0,40,5929,417,5461,0,51,0,0,0,0,0,0,0,0,0,0,3379,1211,2063,0,105
61,"SCHLOCHAU","MAR",307,0,505,58,5,7687,315,90,62,436,37,2,5827,758,1982,13892,397,62,941,95,7,13514,1073,13514,6684,6830,6351,6495,12846,7179,6028,3,304,11701,1553,260,0,0,0,0,0,0,0,0,0,0,4743,4197,512,2,32,3681,404,3252,0,25,0,0,0,0,0,22,0,0,0,22,5068,2578,2264,1,225
62,"FLATOW","MAR",486,0,251,41,1,7405,357,67,0,78,32,1,5272,378,1879,13667,553,0,329,73,2,12677,735,12677,6462,6215,6380,6132,12512,7377,4907,10,383,8815,2472,1390,0,0,0,0,0,0,0,0,0,0,6720,5666,979,10,65,2908,239,2653,0,16,0,0,0,0,0,131,0,0,0,131,2918,1472,1275,0,171
63,"DEUTSCH KRONE","MAR",733,0,942,16,10,8182,496,21,0,433,8,3,4010,397,1705,13037,754,0,1375,24,13,12192,893,12192,6086,6106,5860,5905,11765,7107,4901,7,177,12170,10,12,0,0,0,0,0,0,0,0,0,0,7170,6684,431,7,48,4378,304,4060,0,14,0,0,0,0,0,113,0,0,0,113,531,119,410,0,2
64,"BERLIN","BER",0,0,0,0,0,151130,113,0,0,0,0,0,0,0,25896,187529,0,0,0,0,0,151130,113,151130,74192,76938,738,736,1474,138694,8620,438,3378,150561,103,415,0,2,0,0,0,5,0,3,5,36,110778,108671,675,320,1112,7824,0,7824,0,0,263,224,2,37,0,974,0,0,0,974,31291,29799,119,81,1292
65,"PRENZLAU","POT",1024,0,628,43,0,7000,39,50,0,26,3,0,1617,49,1276,9667,1074,0,654,46,0,8617,88,8617,4305,4312,3255,3111,6366,8496,83,7,31,8599,3,14,0,0,0,0,0,0,0,0,0,1,8575,8496,41,7,31,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"TEMPLIN","POT",265,0,133,16,0,5053,46,44,0,84,3,0,2852,196,1117,8104,309,0,217,19,0,7905,242,7905,3925,3980,3680,3540,7220,7835,10,37,23,7903,0,2,0,0,0,0,0,0,0,0,0,0,7905,7835,10,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"ANGERMUNDE","POT",2374,0,428,25,0,7863,48,136,0,25,24,0,2631,85,1443,11669,2510,0,453,49,0,10494,133,10494,5263,5231,3899,3894,7793,10378,63,28,25,10493,0,1,0,0,0,0,0,0,0,0,0,0,10446,10378,15,28,25,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"OBERBARNIM","POT",561,0,93,11,0,8401,56,1218,0,35,6,0,3630,35,1767,14384,1779,0,128,17,0,12031,91,12031,6037,5994,3960,4081,8041,11899,98,14,20,12031,0,0,0,0,0,0,0,0,0,0,0,0,11960,11899,27,14,20,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"NIEDERBARNIM","POT",1114,0,204,34,11,18960,132,247,0,82,15,3,4058,102,3388,25060,1361,0,286,49,14,23018,234,23018,11598,11420,7927,7793,15720,22445,424,100,49,22946,10,51,0,5,0,0,0,0,0,0,0,6,22769,22445,176,99,49,249,0,248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"CHARLOTTENBURG","POT",1992,0,0,0,0,4045,0,0,0,0,0,0,0,0,915,6786,1992,0,0,0,0,4045,0,4045,2071,1974,158,137,295,3613,426,3,3,4013,0,31,0,0,0,1,0,0,0,0,0,0,3623,3612,5,3,3,422,1,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"TELTOW","POT",2178,0,232,193,71,20422,87,973,0,68,8,0,3681,108,4019,28013,3151,0,300,201,71,24103,195,24103,11987,12116,6920,6856,13776,23477,515,64,47,24102,0,1,0,0,0,0,0,0,0,0,0,0,23648,23370,203,28,47,312,0,312,0,0,143,107,0,36,0,0,0,0,0,0,0,0,0,0,0
72,"BEESKOW-STORKOW","POT",12,0,52,4,0,2436,42,468,0,107,12,0,5452,441,1070,8293,480,0,159,16,0,7888,483,7888,3987,3901,3834,3764,7598,7862,8,0,18,7888,0,0,0,0,0,0,0,0,0,0,0,0,7888,7862,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"JUTERBOG-LUCKENWALDE","POT",1305,0,64,8,0,8643,57,17,0,42,4,0,1901,43,1470,11863,1322,0,106,12,0,10544,100,10544,5253,5291,3247,3148,6395,10477,63,4,0,10544,0,0,0,0,0,0,0,0,0,0,0,0,10509,10477,28,4,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"ZAUCH-BELZIG","POT",67,0,281,16,0,9634,20,48,0,109,7,0,3701,140,1771,13354,115,0,390,23,0,13335,160,13335,6733,6602,5421,5227,10648,13282,45,1,7,13335,0,0,0,0,0,0,0,0,0,0,0,0,13335,13282,45,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"POTSDAM","POT",2292,0,654,131,0,4440,0,0,0,0,0,0,0,0,872,7324,2292,0,654,131,0,4440,0,4440,2212,2228,177,163,340,4073,358,1,8,4440,0,0,0,0,0,0,0,0,0,0,0,0,4088,4073,6,1,8,352,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
