kreiskey1892,county,rb,wage1892_ov16_m_ur,wage1892_ov16_m_ru,wage1892_ov16_f_ur,wage1892_ov16_f_ru,wage1892_un16_m_ur,wage1892_un16_m_ru,wage1892_un16_f_ur,wage1892_un16_f_ru
1,"MEMEL","KON",1.5,1.25,1,.75,.8,.7,.7,.5
2,"FISCHHAUSEN","KON",1.8,1.31,1.1,.71,1,.51,.75,.41
3,"KONIGSBERG","KON",2.5,,1,,1.25,,.4,
4,"KONIGSBERG","KON",,1.25,,.75,,.5,,.5
5,"LABIAU","KON",1.6,1.4,1,1,1,1,.6,.6
6,"WEHLAU","KON",1.2,1.3,.77,.7,.7,.7,.5,.6
7,"GERDAUEN","KON",1.23,1.2,.63,.8,.58,.5,.45,.5
8,"RASTENBURG","KON",1.13,1.4,.67,.8,.57,.8,.43,.5
9,"FRIEDLAND","KON",1.18,1.2,.7,.7,.58,.5,.43,.4
10,"PREUSSISCH EYLAU","KON",1.07,1.2,.7,.9,.7,.8,.43,.5
11,"HEILIGENBEIL","KON",1.4,1.2,.95,.8,.78,.8,.55,.4
12,"BRAUNSBERG","KON",1.4,1.5,.85,.85,.75,.6,.51,.5
13,"HEILSBERG","KON",1,1,.7,.7,.5,.4,.33,.3
14,"ROSSEL","KON",1.2,1.15,.7,.9,.58,.9,.45,.85
15,"ALLENSTEIN","KON",1.3,1.2,.85,.6,.95,.4,.6,.25
16,"ORTELSBURG","KON",1.17,1.2,.67,.9,.67,.8,.48,.5
17,"NEIDENBURG","KON",1.4,1.2,.9,.6,.8,.6,.5,.4
18,"OSTERODE","KON",1.31,1.2,1,.9,.7,.7,.6,.6
19,"MOHRUNGEN","KON",1.35,1.2,.73,.7,.72,.7,.43,.4
20,"PREUSSISCH HOLLAND","KON",1.45,1.4,.9,.8,.63,.6,.53,.6
21,"HEYDEKRUG","GUM",,1.2,,.7,,.6,,.4
22,"NIEDERUNG","GUM",,1.2,,.7,,.6,,.4
23,"TILSIT","GUM",1.4,1.2,.7,.7,.6,.6,.4,.4
