kreiskey1800,county,rb,pop181621_born_tot,pop181621_born_oow_tot,pop181621_stillborn_oow_tot,pop181621_died_un1_tot,pop181621_died_m_1to3,pop181621_died_f_1to3,pop181621_died_m_3to5,pop181621_died_f_3to5,pop181621_died_m_10to14,pop181621_died_f_10to14,pop181621_died_m_14to20,pop181621_died_f_14to20,pop181621_died_m_80to84,pop181621_died_f_80to84,pop181621_died_m_85to89,pop181621_died_f_85to89,pop181621_died_m_ov89,pop181621_died_f_ov89,pop181621_died_m_tot,pop181621_died_f_tot,pop181621_died_tot,pop181621_died_m_sui,pop181621_died_f_sui,pop181621_died_f_birth
79,"Sorau","FRA",9100,833,293,1314,208,225,103,91,42,31,42,39,77,90,27,35,12,12,2836,2799,5635,19,4,60
80,"Demmin","STE",1681,143,33,167,52,26,20,20,11,4,15,13,12,12,3,6,1,4,447,407,854,1,2,15
80,"Demmin","STE",4364,384,103,484,152,144,83,71,39,29,35,30,31,33,19,18,4,8,1373,1317,2690,8,1,41
81,"Usedom","STE",1513,132,269,178,27,15,9,8,6,7,11,4,14,10,10,7,1,2,417,357,774,4,0,10
81,"Usedom","STE",3290,272,106,383,100,81,50,55,21,22,32,24,19,33,18,11,3,10,1023,946,1969,5,0,26
82,"Randow","STE",5899,568,214,744,207,202,89,70,29,19,41,47,28,23,13,20,6,8,1673,1480,3153,11,2,37
82,"Randow","STE",5400,634,180,753,161,157,63,74,18,21,50,40,18,46,18,18,6,8,1689,1478,3167,10,4,31
82,"Stettin","STE",3935,700,177,674,138,143,65,60,22,25,36,22,21,30,20,17,5,6,1463,1412,2875,21,7,31
83,"Greifenhagen","STE",5273,416,165,587,215,180,93,78,19,24,37,30,22,25,22,16,3,6,1448,1335,2783,9,3,35
83,"Greifenhagen","STE",1631,165,51,212,68,59,14,16,9,9,13,11,8,9,8,3,1,2,454,402,856,2,0,11
84,"Piritz","STE",4728,322,129,540,144,151,89,52,24,23,25,26,25,24,13,13,4,3,1258,1208,2466,3,0,44
84,"Piritz","STE",2862,267,82,383,99,90,51,44,13,8,22,16,13,20,8,9,2,1,786,717,1503,4,0,22
85,"Saazig","STE",3816,292,107,460,131,114,60,48,14,14,25,22,23,20,9,13,4,5,1065,985,2050,6,3,35
85,"Saazig","STE",6107,404,148,776,247,224,138,118,25,31,54,47,43,45,13,22,6,7,1946,1776,3722,13,8,55
86,"Naugard","STE",4778,334,117,601,142,144,68,70,21,13,29,23,29,24,10,11,3,5,1250,1190,2440,9,0,43
86,"Naugard","STE",1085,86,37,111,34,36,10,13,5,4,2,8,9,9,5,4,0,2,270,289,559,0,0,9
87,"Kammin","STE",1650,83,57,188,40,36,14,16,2,5,12,4,11,19,4,3,1,3,431,439,870,2,0,11
87,"Kammin","STE",4230,300,146,535,139,121,86,77,34,29,28,42,30,18,7,13,3,6,1288,1240,2528,5,3,48
88,"Greifenberg","STE",3893,350,89,646,145,115,64,68,18,24,26,27,30,22,4,9,3,2,1253,1198,2451,6,2,27
88,"Greifenberg","STE",2275,173,52,371,50,60,29,26,10,7,20,17,13,19,8,6,1,2,702,686,1388,5,1,23
89,"Osten","STE",424,29,310,63,10,14,5,5,1,1,4,0,2,4,0,0,0,0,112,106,218,0,0,7
89,"Regenwalde","STE",1043,66,24,120,29,62,11,16,8,8,5,4,7,8,1,2,0,1,258,290,548,0,0,11
89,"Regenwalde","STE",4177,241,128,437,143,128,60,56,21,17,21,23,16,24,14,11,6,5,1047,1074,2121,4,2,40
90,"Schiefelbein","KOS",2336,126,59,267,84,57,44,40,11,23,13,12,13,11,10,11,2,1,641,585,1226,0,2,22
91,"Dramburg","KOS",5290,205,164,553,196,179,90,101,13,19,32,33,38,16,17,10,10,1,1396,1363,2759,8,2,86
92,"(Neu-)Stettin","KOS",8661,350,203,1002,287,268,105,121,32,37,56,69,64,46,39,33,7,4,2321,2060,4381,2,1,80
93,"Belgard","KOS",5441,411,134,694,183,181,68,93,20,18,27,23,36,36,16,24,5,2,1489,1451,2940,3,2,59
94,"Fürstenthum","KOS",13600,1185,296,1885,438,442,214,241,59,74,77,80,98,87,31,37,18,10,3862,3821,7683,21,7,128
95,"Schlawe","KOS",10351,788,273,1385,366,326,217,213,59,62,73,59,71,56,33,25,6,6,3205,3071,6276,14,4,118
96,"Rummelsburg","KOS",4269,232,81,547,143,139,73,74,36,24,43,38,32,35,17,11,6,7,1195,1179,2374,0,1,53
97,"Stolp","KOS",9749,832,325,1165,272,268,139,137,47,42,61,64,76,75,29,28,10,30,2709,2729,5438,8,5,121
98,"Bergen","STR",6750,600,162,911,129,103,68,66,24,24,34,46,55,52,22,31,7,10,1902,1834,3736,7,5,65
99,"Franzburg","STR",9508,1055,199,1204,289,272,154,159,54,60,77,65,71,107,54,72,23,47,3077,3139,6216,35,6,88
100,"Greifswald","STR",6565,649,179,671,177,152,74,72,38,41,59,50,58,54,30,34,15,22,1884,1942,3826,11,6,51
101,"Grimmen","STR",5322,446,157,547,162,137,89,60,35,29,40,49,41,49,15,25,9,8,1597,1529,3126,10,1,56
102,"Namslau","BRE",6484,509,277,1044,192,210,83,87,30,25,37,50,38,32,14,13,5,16,1870,1857,3727,10,0,50
103,"Wartenberg","BRE",7094,400,260,1013,212,233,94,81,35,22,43,24,36,30,15,11,8,10,1848,1799,3647,3,5,55
103,"Wartenberg","BRE",2450,158,103,402,109,100,59,40,22,19,19,14,12,14,2,4,3,4,848,759,1607,1,0,27
104,"Oels","BRE",8140,630,591,1413,253,237,108,97,35,42,42,45,57,52,18,28,11,12,2567,2368,4935,16,2,90
104,"Oels","BRE",4624,354,210,796,193,175,111,109,36,44,38,38,15,34,5,8,4,4,1672,1595,3267,10,1,39
105,"Trebnitz","BRE",6769,449,369,1275,225,212,108,72,28,19,36,35,42,48,17,21,6,9,2164,2088,4252,12,6,83
105,"Trebnitz","BRE",3269,236,155,605,109,105,53,59,27,19,25,19,14,15,10,7,1,4,1102,1113,2215,4,0,43
106,"Militsch","BRE",8230,428,357,1438,262,241,82,108,28,34,47,50,61,49,26,24,7,10,2386,2327,4713,5,0,66
106,"Militsch","BRE",3597,228,143,675,130,132,61,62,21,31,25,20,22,16,13,10,3,7,1193,1163,2356,3,1,27
107,"Guhrau","BRE",2005,129,88,400,53,66,17,29,16,10,15,18,9,9,2,6,2,3,666,662,1328,4,1,23
107,"Guhrau","BRE",5532,353,309,1034,131,135,58,48,20,24,24,25,27,33,10,13,2,3,1672,1674,3346,8,3,63
108,"Steinau","BRE",1366,99,68,294,46,40,17,13,5,10,8,7,5,7,2,3,2,0,492,472,964,1,2,9
108,"Steinau","BRE",3469,228,177,646,105,86,45,53,13,17,24,23,13,12,10,3,2,2,1108,1031,2139,5,1,38
109,"Wohlau","BRE",3154,176,153,562,99,104,46,38,17,15,21,13,17,14,11,7,5,6,1029,998,2027,6,1,39
109,"Wohlau","BRE",5901,370,228,1231,206,180,69,76,30,33,30,29,32,31,18,17,7,7,1862,1799,3661,13,4,45
110,"Neumarkt","BRE",2846,197,161,593,92,99,36,31,14,6,22,16,8,11,3,3,2,3,925,883,1808,2,1,24
110,"Neumarkt","BRE",6761,457,309,1302,232,243,79,64,15,26,38,33,38,25,11,20,9,6,2052,1864,3916,6,2,53
111,"Breslau","BRE",19722,2517,906,4464,874,836,303,303,86,98,139,161,118,122,44,61,19,31,7575,7184,14759,44,10,171
111,"Breslau","BRE",9764,1212,480,2330,443,434,151,133,47,48,111,71,65,60,29,21,9,15,4047,3785,7832,23,2,92
112,"Ohlau","BRE",2529,205,410,483,102,100,38,42,12,16,12,15,20,9,5,6,4,3,835,845,1680,4,0,32
112,"Ohlau","BRE",5557,477,241,910,177,153,48,51,18,21,29,36,40,32,12,20,8,9,1604,1504,3108,5,3,46
113,"Brieg","BRE",7299,635,357,1289,258,231,84,81,52,47,64,50,63,64,32,23,10,3,2685,2401,5086,28,3,57
114,"Strehlen","BRE",1439,118,65,279,49,55,17,16,4,6,7,8,9,6,4,1,0,0,480,476,956,2,0,14
114,"Strehlen","BRE",3538,315,198,587,106,105,47,43,12,14,24,18,16,16,4,5,2,5,1025,1017,2042,3,1,18
115,"Nimptsch","BRE",6019,650,341,1069,182,171,60,67,24,23,46,38,45,31,17,11,4,4,1966,1753,3719,15,1,42
116,"Münsterberg","BRE",1801,175,60,366,71,54,19,14,9,8,10,9,21,9,5,4,3,3,620,563,1183,4,1,13
116,"Münsterberg","BRE",4405,370,194,861,127,140,48,41,21,14,28,17,25,17,9,11,4,2,1392,1354,2746,6,3,29
117,"Frankenstein","BRE",8918,897,293,1958,287,286,130,127,37,43,65,53,74,54,27,26,19,10,3184,3092,6276,18,3,12
118,"Reichenbach","BRE",10199,964,585,1993,300,277,101,104,52,41,62,46,74,66,40,31,10,9,3391,3164,6555,24,5,110
119,"Striegau","BRE",1865,123,89,506,37,41,16,17,3,4,10,8,11,9,5,7,2,0,649,579,1228,6,1,21
119,"Striegau","BRE",3571,227,180,846,118,126,45,39,12,13,22,10,23,10,8,8,4,0,1203,1152,2355,4,1,28
120,"Kreutzburg","OPP",7238,657,243,1019,246,209,132,84,30,27,40,36,48,58,27,22,17,16,2169,2023,4192,6,0,73
121,"Rosenberg","OPP",9159,564,194,1389,312,296,151,127,41,40,57,40,31,44,22,14,8,16,2550,2307,4857,6,2,66
122,"Oppeln","OPP",2661,173,109,500,107,89,34,31,11,14,11,12,11,9,7,7,9,2,849,744,1593,2,1,19
122,"Oppeln","OPP",13142,888,517,2169,606,497,232,209,62,44,60,72,75,70,38,38,28,28,4065,3661,7726,9,0,108
123,"(Gross-)Strehlitz","OPP",7607,416,217,1401,417,390,181,154,30,38,31,35,50,48,30,24,21,23,2445,2370,4815,1,2,68
123,"(Gross-)Strehlitz","OPP",1063,78,44,186,48,47,13,17,5,4,6,4,10,12,3,1,0,1,328,338,666,0,0,7
124,"Lublinitz","OPP",7994,400,228,1239,362,348,132,121,29,42,43,41,32,37,28,21,23,6,2408,2275,4683,3,0,70
125,"Tost","OPP",2496,162,79,437,145,123,39,34,17,44,10,13,10,9,11,5,6,6,861,785,1646,0,0,21
125,"Tost","OPP",10421,726,323,1896,584,568,213,215,54,39,44,60,51,38,32,22,15,26,3335,3297,6632,7,0,100
126,"Beuthen","OPP",1288,66,29,187,60,51,23,12,7,7,11,6,5,4,0,2,2,2,438,339,777,2,0,11
126,"Beuthen","OPP",9641,534,246,1517,572,508,178,182,45,47,63,49,37,31,15,25,5,13,3012,2844,5856,3,1,116
127,"Ratibor","OPP",15928,1011,358,3102,826,744,281,285,65,74,99,98,54,75,27,28,18,14,5078,5018,10096,10,3,125
127,"Ratibor","OPP",2801,161,84,497,147,137,43,45,14,11,19,19,19,8,11,9,6,5,903,853,1756,0,0,21
128,"Kosel","OPP",1165,73,21,224,59,57,26,15,8,4,5,6,3,3,2,2,1,2,404,369,773,2,0,13
128,"Kosel","OPP",8877,631,209,1656,451,455,125,163,34,44,61,59,32,32,22,14,16,14,2757,2718,5475,3,0,78
129,"Leobschütz","OPP",3199,201,92,660,128,134,27,31,16,20,32,26,18,23,6,7,3,0,1041,1104,2145,3,1,30
129,"Leobschütz","OPP",12215,774,371,2471,493,501,189,190,75,64,72,78,62,35,37,29,8,9,4072,3905,7977,11,3,103
130,"Neustadt","OPP",12439,789,309,2372,554,549,217,193,50,66,66,77,70,38,42,22,19,9,3865,3867,7732,5,4,97
130,"Neustadt","OPP",2247,120,65,473,94,86,41,41,15,10,15,9,9,12,11,4,8,2,808,803,1611,3,0,24
131,"Falkenberg","OPP",701,58,33,146,26,17,9,5,5,1,1,8,6,3,3,2,1,1,253,244,497,0,0,10
131,"Falkenberg","OPP",5655,446,254,921,196,197,81,66,22,21,26,24,27,28,10,15,10,8,1677,1603,3280,3,1,44
132,"Neisse","OPP",12995,1157,443,3024,326,513,192,172,70,59,72,90,77,34,40,39,13,8,4541,4306,8847,15,3,102
132,"Neisse","OPP",2436,186,114,589,66,85,22,28,9,6,10,19,12,18,8,7,3,3,843,832,1675,1,0,17
133,"Grottkau","OPP",1128,92,29,230,30,33,8,7,7,5,5,5,5,13,3,0,1,1,354,350,704,0,0,12
133,"Grottkau","OPP",6578,533,238,1385,238,215,86,75,22,27,27,33,27,34,23,12,14,2,2069,2061,4130,4,3,53
134,"Grünberg","LIE",6770,381,351,1100,232,212,79,87,15,31,43,36,31,40,11,22,6,4,2166,2045,4211,14,1,53
134,"Grünberg","LIE",3275,231,216,602,85,81,37,31,10,13,15,20,6,23,8,11,3,1,1055,979,2034,0,1,28
135,"Freistadt","LIE",2817,240,157,499,57,82,35,32,11,9,13,16,18,15,3,11,3,0,978,880,1858,7,3,25
135,"Freistadt","LIE",5657,404,273,922,142,171,64,58,29,28,30,30,27,32,14,14,2,7,1789,1884,3673,13,3,62
136,"Sagan","LIE",8672,865,403,1402,212,170,104,91,28,29,48,36,57,65,22,23,4,3,2697,2647,5344,10,5,58
137,"Sprottau","LIE",4993,475,261,869,132,130,50,43,12,19,28,25,32,32,14,16,3,4,1598,1587,3185,3,0,45
138,"Glogau","LIE",5088,435,271,914,164,139,59,77,26,27,50,37,27,24,13,14,5,5,1677,1697,3374,7,3,51
138,"Glogau","LIE",9804,780,495,1866,309,294,150,158,55,45,74,60,57,50,29,38,12,9,3310,3330,6640,21,4,96
139,"Lüben","LIE",6198,426,369,1233,203,184,79,69,21,26,27,24,30,37,13,8,4,5,2073,1920,3993,9,2,52
140,"Bunzlau","LIE",3426,312,202,809,90,74,32,27,8,4,14,14,14,12,3,2,2,0,1075,1062,2137,3,1,36
140,"Bunzlau","LIE",7249,566,427,1562,156,146,63,49,23,23,33,33,37,34,9,9,3,4,2297,2175,4472,6,1,54
141,"Hainau","LIE",3442,262,210,961,118,104,27,21,14,17,11,15,13,21,7,7,2,2,1309,1197,2506,5,0,36
141,"Hainau","LIE",7383,510,475,1886,184,214,68,55,24,21,30,39,42,38,12,14,4,6,2636,2517,5153,22,5,70
142,"Liegnitz","LIE",10160,602,392,2507,323,343,105,100,46,38,58,50,57,45,25,17,6,3,3605,3502,7107,25,5,80
143,"Jauer","LIE",6398,448,302,1731,180,156,61,68,15,22,36,28,41,39,13,15,0,3,2384,2141,4525,11,7,34
144,"Löwenberg","LIE",18403,1402,1121,6191,503,569,120,110,63,40,82,66,125,119,39,46,12,9,7793,7171,14964,36,24,160
145,"Lauban","LIE",11690,1201,609,3513,278,287,91,101,37,32,41,37,92,69,28,20,3,4,4518,4423,8941,12,6,118
146,"Görlitz","LIE",10133,1207,502,2440,242,241,82,88,29,30,63,28,72,71,19,22,3,5,3484,3335,6819,11,7,84
147,"Rothenburg","LIE",8109,909,331,1421,170,170,78,76,29,20,46,25,66,49,18,19,2,4,2427,2330,4757,5,1,59
148,"Osterburg","MAG",6569,893,262,899,240,219,95,106,45,25,58,60,65,55,22,13,10,7,2425,2295,4720,19,4,65
149,"Salzwedel","MAG",6512,874,359,861,243,176,107,96,30,32,44,51,63,71,19,27,9,4,2431,2328,4759,12,2,70
150,"Gardelegen","MAG",7011,757,358,834,266,255,96,85,36,27,52,38,52,63,14,22,7,5,2440,2335,4775,15,5,63
151,"Stendal","MAG",6626,555,268,955,237,204,86,86,38,31,52,48,53,51,18,24,5,5,2358,2209,4567,10,4,63
152,"2. Jerichow","MAG",8838,478,305,1379,319,311,136,147,45,33,60,48,30,54,12,23,6,5,2810,2641,5451,20,5,82
153,"1. Jerichow","MAG",10268,682,482,1573,375,329,133,160,53,51,60,60,57,49,20,21,8,7,3177,3008,6185,26,10,68
154,"Kalbe","MAG",9119,773,405,1393,318,298,122,132,47,42,76,63,66,61,27,25,7,4,3008,2807,5815,13,5,74
155,"Magdeburg","MAG",7908,846,511,1486,397,410,176,146,56,45,61,59,48,66,27,30,5,7,3409,3240,6649,26,7,58
156,"Wanzleben","MAG",7696,589,360,1157,316,291,118,99,37,46,45,45,44,29,18,13,1,2,2524,2397,4921,14,5,95
157,"Wollmirstädt","MAG",6835,559,301,926,206,220,89,99,30,36,35,47,34,38,23,21,5,4,2057,2066,4123,14,3,87
158,"(Neu-)Haldensleben","MAG",7348,673,320,967,226,227,91,102,40,35,50,33,42,60,17,18,6,7,2381,2328,4709,18,7,75
159,"Oschersleben","MAG",6990,575,8,1034,310,257,113,107,46,38,49,43,61,61,16,17,5,6,2591,2614,5205,27,12,78
160,"Aschersleben","MAG",8118,858,416,1330,268,272,131,124,40,46,49,53,54,59,30,21,1,2,2832,3047,5879,24,6,76
161,"Halberstadt","MAG",4189,460,241,716,190,184,82,90,45,31,27,37,31,51,12,21,2,2,1773,1776,3549,10,3,38
162,"Liebenwerda","MER",6190,676,231,1166,199,157,64,85,16,20,27,34,48,56,12,26,6,3,2111,1911,4022,13,1,43
163,"Torgau","MER",9958,1241,447,1837,304,287,126,105,46,31,56,42,68,69,28,14,4,2,3289,2905,6194,22,4,55
164,"Schweinitz","MER",6283,656,233,1101,220,178,90,96,36,28,37,28,40,33,18,9,0,1,2061,1862,3923,9,2,57
165,"Wittenberg","MER",7962,959,380,1467,233,233,106,85,28,33,42,33,43,44,9,13,4,3,2477,2300,4777,11,3,96
166,"Bitterfeld","MER",7842,959,318,1402,196,161,86,75,32,33,48,31,55,49,25,18,11,9,2515,2302,4812,12,3,76
167,"Delitzsch","MER",9171,1169,404,1984,228,218,82,70,29,34,43,44,77,79,25,34,6,10,3091,2843,5934,13,10,65
168,"Saalkreis","MER",7435,711,317,1260,211,182,100,103,27,26,50,47,44,53,20,24,5,9,2351,2284,4635,4,8,83
169,"Halle","MER",4660,919,201,943,189,197,77,90,24,27,56,33,40,47,16,21,3,5,1968,2044,4012,27,4,35
170,"Mansfeld, Seekreis","MER",7187,533,322,1281,197,204,87,88,27,38,50,53,41,46,16,26,7,5,2405,2286,4691,17,5,69
171,"Mansfeld, Gebirgskreis","MER",6719,467,275,1041,190,160,83,76,45,38,58,68,40,48,14,17,5,4,2370,2422,4792,10,6,70
172,"Sangerhausen","MER",8601,648,347,1422,219,212,124,122,45,52,71,57,80,39,17,25,7,6,2975,3041,6016,7,5,112
173,"Eckartsberga","MER",6332,468,294,1123,152,177,59,70,37,36,39,40,52,33,18,15,4,3,2029,2088,4117,9,4,73
174,"Querfurt","MER",8200,747,412,1684,189,164,85,99,37,39,51,56,61,69,25,17,0,4,2743,2799,5542,13,2,91
175,"Merseburg","MER",10274,1078,486,2065,228,217,98,106,35,45,52,47,82,59,29,34,2,7,3454,2990,6444,27,9,87
176,"Weissenfels","MER",8568,549,336,1668,181,198,76,80,16,32,55,47,72,78,34,47,6,6,2797,2616,5413,20,11,91
177,"Naumburg","MER",3346,256,171,635,91,101,34,41,13,14,25,19,28,24,9,15,1,2,1132,1138,2270,7,7,29
178,"Zeiz","MER",5657,572,253,1097,149,172,46,58,19,22,32,22,43,51,15,26,4,3,1876,1830,3706,11,4,51
179,"Nordhausen","ERF",9134,57,345,1224,337,338,161,141,60,37,69,56,78,66,30,29,3,4,3133,3011,6144,25,7,76
180,"Worbis","ERF",6553,333,112,871,258,222,115,134,46,44,49,51,66,57,21,16,9,11,2179,2246,4425,4,1,86
181,"Heiligenstadt","ERF",6904,319,124,1136,266,224,103,99,30,48,37,57,72,63,20,14,13,14,2338,2329,4667,3,1,130
182,"Mühlhausen","ERF",7230,479,223,1068,243,240,108,97,46,56,46,63,59,52,22,20,5,3,2483,2513,4996,12,0,95
183,"Langensalza","ERF",6077,498,292,982,184,195,71,66,27,26,40,32,50,37,17,16,6,2,1947,1997,3944,14,4,47
184,"Weissensee","ERF",4132,318,154,691,122,94,51,35,10,16,30,19,19,35,15,8,5,2,1295,1203,2498,7,7,45
185,"Erfurt","ERF",7145,901,336,1240,230,253,82,83,28,35,61,59,40,56,20,17,2,5,2426,2408,4834,21,6,66
186,"Ziegenrück","ERF",2175,230,80,461,51,65,37,21,11,12,20,20,14,12,5,12,1,0,873,800,1673,1,1,13
187,"Schleusingen","ERF",5733,427,259,996,211,196,53,57,30,35,50,54,44,42,14,7,3,5,2289,2189,4478,2,0,48
188,"Teklenburg","MUN",7465,216,237,805,226,214,106,90,56,64,118,86,83,69,21,31,4,9,2619,2513,5132,4,2,55
189,"Warendorf","MUN",5862,194,148,821,216,207,72,79,47,63,64,77,81,102,23,46,11,27,2271,2373,4644,2,0,59
190,"Beckum","MUN",5348,482,89,743,213,197,87,107,48,50,60,73,95,99,32,49,8,16,2152,2082,4234,2,0,41
191,"Lüdingshausen","MUN",5490,242,80,799,208,198,87,87,45,67,85,63,94,113,49,60,24,12,2157,2279,4436,0,0,42
192,"Münster","MUN",3123,198,102,724,173,162,67,81,53,51,65,63,75,100,39,36,24,20,2037,2001,4038,10,4,41
193,"Münster","MUN",,,,,,,,,,,,,,,,,,,,,,8,0,
194,"Steinfurt","MUN",6695,141,116,864,206,189,86,98,73,85,112,90,106,119,46,42,19,25,2784,2825,5609,3,2,79
195,"Koesfeld","MUN",6674,157,94,1097,291,283,134,109,75,67,78,77,93,116,43,44,21,25,2880,2785,5665,3,0,54
196,"Ahaus","MUN",6703,114,150,979,251,216,101,103,60,65,92,81,124,96,50,65,27,28,2920,2859,5779,3,1,74
197,"Borken","MUN",6696,146,108,903,232,236,99,90,52,52,84,70,95,87,48,46,11,27,2616,2499,5115,7,1,55
198,"Recklinghausen","MUN",7378,277,111,1002,343,315,141,152,97,100,99,105,122,109,37,46,24,24,2973,2976,5949,8,0,52
199,"Minden","MIN",10737,758,368,1507,568,551,200,239,93,88,119,118,71,83,23,33,11,21,3878,4023,7901,8,4,87
200,"Rahden","MIN",8244,355,239,1129,352,314,167,166,70,83,82,103,60,50,17,16,4,2,2819,2844,5663,7,1,53
201,"Bünde","MIN",9953,485,345,1527,414,404,177,184,67,115,105,114,40,33,13,9,3,2,3347,3468,6815,5,3,92
201,"Herford","MIN",6215,320,235,889,205,218,110,121,59,51,56,52,22,33,14,7,2,3,2094,2123,4217,3,1,61
202,"Halle","MIN",6010,366,248,775,216,192,78,85,57,41,63,67,44,47,14,17,6,5,2067,2108,4175,6,2,56
203,"Bielefeld","MIN",7616,527,288,972,307,291,97,145,58,56,65,82,41,40,20,23,12,7,2532,2508,5040,11,0,80
204,"Wiedenbrück","MIN",6806,315,127,993,252,225,114,102,43,57,51,76,91,70,35,32,9,15,2504,2521,5025,6,0,58
205,"Paderborn","MIN",6498,275,57,949,245,258,95,108,53,50,59,71,49,50,17,12,5,5,2257,2117,4428,2,0,59
206,"Büren","MIN",6500,356,114,898,294,280,109,127,39,41,52,47,29,30,10,11,6,7,2325,2075,4400,1,1,50
207,"Warburg","MIN",6143,394,90,776,280,309,99,117,43,57,38,55,41,47,15,9,3,3,2028,2136,4164,10,5,73
208,"Brakel","MIN",4606,269,81,598,198,199,74,82,29,47,39,41,41,43,17,17,7,6,1500,1516,3016,1,0,46
208,"Höxter","MIN",4706,230,97,631,197,209,87,89,40,41,46,45,43,40,10,13,5,11,1705,1645,3350,1,2,69
209,"Arnsberg","ARN",2996,240,70,379,129,88,63,40,26,33,23,30,21,13,8,4,1,3,1064,996,2060,1,0,41
209,"Arnsberg","ARN",2094,208,32,339,87,65,31,32,12,17,24,27,15,23,5,10,3,4,887,829,1716,4,0,17
210,"Medebach","ARN",816,85,18,116,39,52,19,19,6,7,5,8,6,9,1,3,1,2,381,349,730,0,0,3
210,"Meschede","ARN",2988,220,21,350,111,116,54,56,18,25,39,38,20,32,5,7,1,1,1045,1084,2129,2,0,58
211,"Brilon","ARN",4243,348,82,593,161,161,67,74,27,29,28,41,29,31,11,12,4,9,1453,1505,2958,2,2,40
211,"Brilon","ARN",1164,148,30,168,69,53,18,14,6,10,15,9,8,9,4,3,1,1,492,434,926,1,0,16
212,"Lippstadt","ARN",4881,659,85,669,159,160,81,84,31,31,44,61,41,40,15,8,8,9,1699,1649,3348,6,1,45
213,"Soest","ARN",4982,524,112,672,250,219,139,147,54,60,53,58,39,38,20,19,4,5,1910,1970,3880,12,0,43
213,"Soest","ARN",1951,255,45,347,76,74,34,28,23,20,19,13,22,16,6,9,3,3,865,775,1640,0,2,12
214,"Hamm","ARN",6670,530,233,833,298,304,153,167,73,83,98,95,83,76,34,46,15,20,2594,2727,5321,13,2,57
215,"Dortmund","ARN",7175,484,258,926,364,348,162,166,66,73,103,57,57,78,31,36,22,18,2918,2745,5663,5,1,49
216,"Bochum","ARN",7392,316,252,896,346,330,168,169,73,76,86,98,72,81,39,57,18,16,2800,2702,5532,2,0,67
217,"Hagen","ARN",2800,56,95,349,192,143,52,48,19,22,38,23,32,31,6,8,7,5,1153,958,2111,1,0,34
217,"Hagen","ARN",7537,174,256,823,444,441,241,201,66,76,83,72,54,58,27,27,6,9,2836,2630,5466,4,2,59
218,"Iserlohn","ARN",1821,98,46,262,120,117,69,46,40,29,39,35,18,18,9,6,1,3,986,900,1886,3,0,20
218,"Iserlohn","ARN",3832,164,121,470,206,166,63,87,31,50,50,49,39,30,5,15,4,3,1478,1437,2915,4,1,46
219,"Altena","ARN",4246,60,218,491,265,237,110,99,39,42,49,62,20,27,15,13,6,7,1741,1634,3375,2,1,56
219,"Altena","ARN",2151,39,91,245,135,133,30,32,9,9,23,20,20,18,3,6,1,2,864,780,1653,3,0,20
220,"Bilstein","ARN",1471,65,13,230,82,70,17,37,10,9,13,13,9,13,6,5,2,1,697,683,1380,1,0,13
220,"Olpe","ARN",3295,85,35,425,149,124,6,72,23,31,36,46,8,21,6,7,0,3,1292,1367,2659,0,0,41
221,"Siegen","ARN",7047,585,220,955,265,265,108,105,64,60,81,63,32,41,9,12,2,7,2816,2668,5484,20,3,76
222,"Wittgenstein","ARN",2215,372,73,243,69,55,40,33,20,12,19,18,2,19,12,6,0,2,728,736,1464,1,2,25
222,"Wittgenstein","ARN",967,176,42,130,33,51,6,12,7,8,7,6,8,5,3,4,0,0,345,364,709,0,0,4
223,"Wipperfürth","KOL",4391,85,282,616,261,201,103,99,50,52,58,65,35,35,11,16,6,6,1930,1918,3848,0,0,41
224,"Gimborn","KOL",2797,45,165,321,133,138,49,53,17,19,40,35,16,16,6,7,1,0,1137,1179,2318,1,0,21
224,"Homburg","KOL",2063,52,112,264,107,101,45,37,17,25,25,32,5,2,4,1,0,1,846,865,1711,0,0,21
225,"Waldbröl","KOL",3265,104,128,456,172,172,93,89,47,50,55,42,5,7,5,2,5,2,1523,1420,2943,1,0,38
226,"Siegburg","KOL",5873,208,149,930,265,241,118,111,59,78,68,53,30,37,15,24,6,13,2170,2172,4342,2,0,88
226,"Siegburg","KOL",2391,62,97,338,113,87,57,49,27,29,23,21,13,15,5,5,1,5,877,863,1740,2,0,21
226,"Ukerath","KOL",5390,188,108,827,270,275,114,149,80,58,84,69,30,22,14,4,4,6,2295,2240,4535,2,0,149
227,"Mühlheim","KOL",6731,223,331,967,285,284,124,122,50,53,56,64,48,50,20,19,13,13,2567,2358,4925,3,0,46
228,"Köln","KOL",,,,,,,,,,,,,,,,,,,,,,12,2,
229,"Köln","KOL",7634,397,207,1442,367,329,158,147,70,57,87,67,85,75,40,32,22,20,3091,2755,5846,3,1,143
230,"Bergheim","KOL",6793,416,150,1206,283,288,115,134,58,54,52,55,75,80,41,38,14,24,2570,2418,4988,2,0,58
231,"Lechenich","KOL",5483,249,95,1040,256,243,118,96,44,38,65,43,52,66,24,30,9,14,2119,2058,4177,2,0,48
232,"Rheinbach","KOL",5017,169,85,789,217,236,100,110,39,50,59,52,51,51,25,20,7,10,1905,1949,3854,3,1,66
233,"Bonn","KOL",8523,408,298,1480,362,373,182,178,64,79,93,90,72,85,37,62,15,25,3315,3269,6584,10,5,43
234,"Kleve","DUS",7709,330,188,935,189,186,84,102,48,55,101,74,92,99,55,45,22,21,2546,2401,4947,14,2,51
