kreiskey1800,county,rb,pop181621_born_tot,pop181621_born_oow_tot,pop181621_stillborn_oow_tot,pop181621_died_un1_tot,pop181621_died_m_1to3,pop181621_died_f_1to3,pop181621_died_m_3to5,pop181621_died_f_3to5,pop181621_died_m_10to14,pop181621_died_f_10to14,pop181621_died_m_14to20,pop181621_died_f_14to20,pop181621_died_m_80to84,pop181621_died_f_80to84,pop181621_died_m_85to89,pop181621_died_f_85to89,pop181621_died_m_ov89,pop181621_died_f_ov89,pop181621_died_m_tot,pop181621_died_f_tot,pop181621_died_tot,pop181621_died_m_sui,pop181621_died_f_sui,pop181621_died_f_birth
9,"Oletzko","GUM",4819,361,102,722,198,164,91,92,23,30,27,25,27,33,16,11,4,7,1461,1376,2837,6,0,49
10,"Angerburg","GUM",5285,414,101,810,318,268,96,93,31,21,24,29,46,30,16,11,9,10,1666,1505,3171,6,1,58
10,"Angerburg","GUM",5356,455,110,797,242,265,91,109,20,25,18,33,22,26,17,16,8,5,1511,1519,3060,6,1,53
10,"Lötzen","GUM",4585,353,79,736,261,240,117,94,25,23,36,25,29,24,18,13,5,15,1561,1418,2979,4,1,52
10,"Rhein","GUM",4142,335,87,516,166,156,55,48,13,14,17,37,32,25,7,8,11,18,1067,1015,2082,2,0,31
10,"Sensburg","GUM",5763,377,102,875,365,320,139,137,24,27,39,41,40,29,19,17,6,19,1827,1739,3566,3,2,56
11,"Christburg","MAR",2357,197,12,294,119,88,34,29,18,17,28,18,3,5,6,4,2,4,653,591,1244,3,1,21
11,"Elbing","DAN",8228,1109,331,1533,382,316,185,147,32,39,54,62,26,25,11,19,8,2,2619,2430,5049,10,4,96
11,"Marienburg","DAN",8051,1019,272,1415,264,222,109,96,40,38,67,67,20,16,8,12,8,4,2265,2221,4486,9,3,136
11,"Marienburg","DAN",9367,917,181,1696,422,351,164,180,53,48,71,63,49,28,12,14,8,10,2829,2592,5421,11,2,103
11,"Stuhm","MAR",5397,365,39,808,252,285,107,75,30,26,53,54,23,17,11,8,8,6,1553,1489,3042,4,1,51
12,"Graudenz","MAR",6853,387,119,1066,342,254,121,115,39,24,71,33,21,34,23,33,12,18,2033,1723,3756,6,3,51
12,"Kulm","MAR",4620,258,56,645,229,244,134,113,57,40,42,35,17,14,7,9,8,16,1434,1277,2711,2,0,43
12,"Kulm","MAR",7245,347,42,1156,233,250,116,104,34,29,71,54,40,34,14,16,11,12,1812,1805,3617,4,0,63
12,"Thorn","MAR",4447,264,60,667,245,236,59,122,37,33,31,52,26,15,11,11,12,12,1377,1370,2747,2,0,57
12,"Thorn","MAR",6774,444,105,1164,328,252,123,98,42,39,57,45,29,39,21,19,15,17,2075,1815,3890,5,1,57
13,"Löbau","MAR",5176,238,30,877,318,302,120,115,29,28,32,42,23,33,14,17,8,9,1608,1508,3116,0,1,78
13,"Michelau","MAR",3197,282,45,725,294,236,130,113,27,20,44,33,19,19,11,11,11,8,1549,1429,2978,2,0,59
13,"Strasburg","MAR",7982,432,105,1307,391,365,160,162,41,60,49,51,46,43,38,37,29,17,2343,2270,4813,0,0,84
14,"Konitz","MAR",5772,220,54,691,201,189,105,93,33,26,33,55,19,27,7,19,18,12,1460,1345,2805,2,2,65
14,"Konitz","MAR",7455,357,51,863,276,276,118,107,62,56,56,60,28,22,20,14,15,17,1893,1803,3696,3,2,71
14,"Schlochau","MAR",5570,213,83,670,250,209,110,91,32,42,26,64,42,33,16,10,12,9,1499,1429,2928,0,0,58
14,"Schwetz","MAR",8069,397,34,1082,323,289,121,134,36,28,81,65,26,29,20,16,15,18,1997,1856,3853,9,1,82
15,"Berent","DAN",4204,183,15,506,185,80,80,73,15,14,36,33,18,15,15,9,8,12,1075,1000,2075,0,1,30
15,"Neuenburg","MAR",2681,177,14,373,79,67,42,32,15,16,21,18,7,6,5,10,1,5,651,594,1245,2,0,25
