kreiskey1866,county,rb,soil1866_are_tot,soil1866_are_loam_hig,soil1866_are_loam_riv,soil1866_are_gcl_hig,soil1866_are_gcl_riv,soil1866_are_cla_tot,soil1866_are_sloa,soil1866_are_san,soil1866_are_swamp,soil1866_are_wat,soil1866_are_lim
310,"SCHLEIDEN","AAC",14961,13760,37,524,588,14909,0,48,0,4,3001
311,"ADENAU","KOB",9973,130,157,9466,0,9753,220,0,0,0,130
312,"AHRWEILER","KOB",6741,2448,1177,2873,0,6498,243,0,0,0,0
313,"ALTENKIRCHEN","KOB",11578,0,773,10300,0,11073,503,0,0,2,0
314,"SANKT GOAR","KOB",8429,232,14,8062,0,8308,121,0,0,0,0
315,"KOBLENZ LANDKREIS","KOB",4930,1140,738,867,198,2943,1986,0,0,1,0
316,"KOCHEM","KOB",9116,1307,591,6603,520,9021,95,0,0,0,0
317,"KREUZNACH","KOB",10093,0,824,8468,0,9292,784,0,0,17,47
318,"MAYEN","KOB",10505,1500,210,3786,0,5496,4947,0,0,62,0
319,"NEUWIED","KOB",11257,2313,356,6586,0,9255,2000,0,0,2,0
320,"SIMMERN","KOB",10366,65,0,10299,0,10364,0,0,0,2,0
321,"WETZLAR","KOB",9626,1547,179,7900,0,9626,0,0,0,0,0
322,"ZELL","KOB",6752,112,148,6492,0,6752,0,0,0,0,0
323,"BERNKASTEL","TRI",12146,19,287,11532,66,11904,0,133,0,109,0
324,"BITBURG","TRI",14155,8123,0,1721,0,9844,3178,1093,0,40,2546
325,"DAUN","TRI",11079,7742,889,0,0,8631,2389,0,24,35,1299
326,"MERZIG","TRI",7590,4412,156,263,0,4831,1087,1632,0,40,976
327,"OTTWEILER","TRI",5579,2782,515,1551,210,5058,0,506,0,15,0
328,"PRUM","TRI",16676,2744,0,1903,0,4647,10434,1564,0,31,1613
329,"SAARBRUCKEN","TRI",6985,2509,0,1693,0,4202,374,2373,0,36,671
330,"SAARBURG","TRI",8230,5863,925,0,0,6788,1244,63,41,94,3092
331,"SAARLOUIS","TRI",8060,1433,0,819,0,2252,2357,3302,91,58,1541
332,"TRIER","TRI",18478,2130,1010,12147,0,15287,1036,1922,0,233,2159
333,"SANKT WENDEL","TRI",9757,1392,182,4459,347,6380,3343,0,0,34,0
334,"WITTLICH","TRI",11638,6771,64,257,63,7155,2001,2414,0,68,228
