kreiskey1866,county,rb,soil1866_are_tot,soil1866_are_loam_hig,soil1866_are_loam_riv,soil1866_are_gcl_hig,soil1866_are_gcl_riv,soil1866_are_cla_tot,soil1866_are_sloa,soil1866_are_san,soil1866_are_swamp,soil1866_are_wat,soil1866_are_lim
72,"PYRITZ","STE",18928,4450,0,0,106,4556,10374,1164,2026,808,0
73,"RANDOW","STE",24983,902,0,0,355,1257,12967,4221,5699,839,0
74,"REGENWALDE","STE",22119,0,0,0,0,0,17596,3916,0,607,0
75,"SAATZIG","STE",21602,0,0,0,0,0,16002,4804,378,418,0
76,"UCKERMUNDE","STE",15100,5,0,0,0,5,4219,7389,3219,268,0
77,"USEDOM-WOLLIN","STE",12493,299,280,0,0,579,2038,5467,3750,659,34
78,"FRANZBURG","STR",20343,114,276,0,0,390,13784,4661,1209,299,0
79,"GREIFSWALD","STR",17634,329,0,0,0,329,12097,3284,1697,227,0
80,"GRIMMEN","STR",17686,70,0,0,0,70,12775,538,4188,115,0
81,"RUGEN","STR",17564,3891,0,0,0,3891,7175,5872,266,360,765
82,"BROMBERG LANDKREIS","BRO",25436,1360,234,0,211,1805,8036,13770,1141,684,0
83,"CHODZIESEN","BRO",19729,101,0,0,0,101,3464,12119,3772,273,0
84,"CZARNIKAU","BRO",28396,1676,0,0,0,1676,4663,18723,2954,380,0
85,"GNESEN","BRO",20897,2427,0,0,0,2427,12132,4261,1412,665,0
86,"INOWRAZLAW","BRO",30006,0,0,6629,0,6629,10972,7659,3861,885,0
87,"MOGILNO","BRO",16967,237,0,0,0,237,15173,664,133,760,9
88,"SCHUBIN","BRO",21100,1248,0,93,43,1384,8524,7280,3318,594,44
89,"WIRSITZ","BRO",21065,694,91,0,0,785,15652,1687,2526,415,7
90,"WONGROWITZ","BRO",24146,379,0,0,0,379,12377,10669,150,571,0
91,"ADELNAU","POS",16228,445,0,0,5345,5790,0,8333,1929,176,0
92,"BIRNBAUM","POS",23462,0,0,134,572,706,12914,8841,0,1001,0
93,"BOMST","POS",18815,0,0,0,0,0,5520,8388,4330,577,0
94,"BUK","POS",17282,4484,6842,0,0,11326,1712,4131,0,113,0
95,"FRAUSTADT","POS",18167,714,0,0,0,714,3675,10710,2740,328,0
96,"KOSTEN","POS",21088,86,0,0,0,86,14781,627,5333,261,21
97,"KROBEN","POS",18844,2759,0,0,0,2759,11557,2857,1620,51,0
98,"KROTOSCHIN","POS",17305,807,0,340,0,1147,13320,2779,0,59,0
99,"MESERITZ","POS",20925,0,0,431,0,431,8293,11518,0,683,34
100,"OBORNIK","POS",19882,2948,0,363,0,3311,9223,6327,718,303,0
101,"PLESCHEN","POS",18695,0,0,0,0,0,18621,0,0,74,0
102,"POSEN","POS",19856,2094,0,0,0,2094,13076,4231,0,455,0
103,"SAMTER","POS",19801,1380,0,0,0,1380,11772,5864,439,346,0
104,"SCHILDBERG","POS",17747,0,0,0,0,0,7038,10645,0,64,0
105,"SCHRIMM","POS",18618,558,0,0,84,642,10439,7084,41,412,0
106,"SCHRODA","POS",18431,2175,0,0,0,2175,13396,2205,411,244,0
107,"WRESCHEN","POS",12556,1168,0,0,279,1447,5970,5081,0,58,0
108,"ARNSWALDE","FRA",22945,0,0,1522,0,1522,7915,10550,2085,873,0
109,"FRANKFURT","FRA",1053,258,0,324,0,582,161,254,0,56,0
110,"FRIEDEBERG","FRA",19991,117,0,359,211,687,7247,7803,3593,661,0
111,"GUBEN LANDKREIS","FRA",20072,0,0,652,2372,3024,1138,13640,1844,426,0
112,"KALAU","FRA",18075,0,0,0,794,794,4421,11008,1559,293,0
113,"KONIGSBERG IN NEUMARK","FRA",27854,0,0,1945,3450,5395,9128,11665,548,1118,0
114,"KOTTBUS LANDKREIS","FRA",15479,0,0,0,1310,1310,1455,10523,1734,457,0
115,"KROSSEN","FRA",23786,101,0,98,1300,1499,2288,17992,1421,586,0
116,"LANDSBERG LANDKREIS","FRA",21998,253,0,0,1230,1483,13932,4395,1706,482,0
117,"LEBUS","FRA",28559,4,0,328,6288,6620,11853,8928,529,629,0
118,"LUCKAU","FRA",23631,0,0,656,0,656,4591,14129,3981,274,0
119,"LUBBEN","FRA",18866,0,0,24,580,604,753,14550,2399,560,0
120,"SOLDIN","FRA",20804,1880,0,871,0,2751,12849,3104,1192,908,0
121,"SORAU","FRA",22467,569,0,332,396,1297,6525,12463,1853,329,0
122,"SPREMBERG","FRA",5633,0,0,425,0,425,1526,3609,0,73,0
123,"STERNBERG","FRA",40726,0,0,1812,3328,5140,4345,27884,2489,868,0
124,"ZULLICHAU-SCHWIEBUS","FRA",16625,0,0,74,570,644,2891,10582,2126,382,0
125,"ANGERMUNDE","POT",23699,6870,0,104,1368,8342,9734,3625,434,1564,0
126,"BEESKOW-STORKOW","POT",22552,0,0,0,0,0,6274,10893,4021,1364,0
127,"JUTERBOG-LUCKENWALDE","POT",24063,1153,0,0,0,1153,8922,10433,3370,185,0
128,"NIEDERBARNIM + BERLIN","POT",32652,94,0,0,0,94,13582,16819,1345,812,94
129,"OBERBARNIM","POT",22126,608,0,0,2869,3477,13953,4281,0,415,0
130,"OSTHAVELLAND","POT",22418,1923,0,0,0,1923,8038,2996,8610,851,0
131,"OSTPRIGNITZ","POT",34140,0,0,0,0,0,18386,13377,1931,446,0
132,"POTSDAM","POT",233,0,0,0,0,0,179,0,0,54,0
133,"PRENZLAU","POT",20579,14008,0,334,0,14342,3677,827,1019,714,0
134,"RUPPIN","POT",32136,1381,0,0,0,1381,15635,10802,3144,1174,0
135,"TELTOW","POT",30244,7,0,0,0,7,14225,14115,558,1339,7
136,"TEMPLIN","POT",26001,1641,0,400,0,2041,10796,11793,0,1371,70
137,"WESTHAVELLAND","POT",23436,1591,0,0,648,2239,4023,9187,6868,1119,0
138,"WESTPRIGNITZ","POT",26615,223,0,0,3040,3263,15337,6393,1019,603,0
139,"ZAUCH-BELZIG","POT",34940,1945,0,0,0,1945,21279,9022,1676,1018,0
