kreiskey1874,county,rb,lit1871_ill_m_to10_pro,lit1871_ill_f_to10_pro,lit1871_ill_m_to10_cat,lit1871_ill_f_to10_cat,lit1871_ill_m_to10_jew,lit1871_ill_f_to10_jew,lit1871_ill_m_to10_oth,lit1871_ill_f_to10_oth,lit1871_ill_m_to10_tot,lit1871_ill_f_to10_tot,edu1871_lit_mis_m,edu1871_lit_mis_f
363,"Kirchhain","KAS",103,436,111,359,1,8,0,0,215,803,218,383
364,"Ziegenhain","KAS",289,1012,5,10,10,31,0,1,304,1054,150,180
365,"Fulda","KAS",8,16,576,893,0,3,0,0,584,912,75,92
366,"Hersfeld","KAS",409,1406,3,5,2,12,1,7,415,1430,132,211
367,"Hünfeld","KAS",142,395,204,466,31,78,0,0,377,939,417,608
368,"Hanau","KAS",541,1433,127,219,34,72,0,1,702,1725,431,580
369,"Gelnhausen","KAS",377,1059,172,390,22,67,0,0,571,1516,202,219
370,"Schlüchtern","KAS",379,912,158,278,25,46,2,0,564,1236,372,460
371,"Schmalkalden","KAS",313,833,0,1,5,9,6,22,324,865,281,236
372,"Rinteln","KAS",525,1215,4,5,5,10,0,0,534,1230,25,95
373,"Gersfeld","KAS",64,99,134,214,6,11,0,0,204,324,76,109
374,"Dillkreis (Dillenburg)","WIE",99,172,7,5,1,0,1,1,108,178,79,101
375,"Oberwesterwald (Marienberg)","WIE",76,173,50,147,5,13,0,0,131,333,21,30
376,"Unterwesterwald (Montabaur)","WIE",24,39,208,497,7,13,0,0,239,549,302,402
377,"Oberlahnkreis (Weilburg)","WIE",90,157,190,404,13,14,1,0,294,575,171,281
378,"Unterlahnkreis (Diez)","WIE",176,260,74,136,9,18,0,0,259,414,218,427
379,"Rheingau-Kreis (Rüdesheim)","WIE",40,74,152,277,10,15,0,0,202,366,44,58
380,"Stadtkreis Wiesbaden","WIE",48,107,32,63,3,4,0,1,83,175,228,360
381,"Mainkreis (Wiesbaden)","WIE",92,208,144,302,16,42,2,0,254,552,483,537
382,"Obertaunus-Kreis (Homburg)","WIE",125,296,167,336,11,24,0,0,303,656,117,151
