kreiskey1874,county,rb,lit1871_ill_m_to10_pro,lit1871_ill_f_to10_pro,lit1871_ill_m_to10_cat,lit1871_ill_f_to10_cat,lit1871_ill_m_to10_jew,lit1871_ill_f_to10_jew,lit1871_ill_m_to10_oth,lit1871_ill_f_to10_oth,lit1871_ill_m_to10_tot,lit1871_ill_f_to10_tot,edu1871_lit_mis_m,edu1871_lit_mis_f
132,"Landkreis Posen","POS",692,1037,7241,9373,76,142,0,0,8009,10552,591,826
133,"Obernik","POS",1328,1990,4825,6418,168,303,3,3,6324,8714,0,3
134,"Samter","POS",816,1378,5004,6947,171,347,10,13,6001,8685,372,359
135,"Birnbaum","POS",1024,1827,2074,3162,61,129,0,0,3159,5118,211,381
136,"Meseritz","POS",1059,2022,1645,2684,39,105,0,0,2743,4811,352,505
137,"Bomst","POS",996,1962,2915,4558,18,86,2,1,3931,6607,267,519
138,"Fraustadt","POS",718,1568,2643,4312,89,199,0,0,3450,6079,180,329
139,"Kröben","POS",859,1463,5957,7941,92,152,0,2,6908,9558,748,1024
140,"Krotoschin","POS",1068,1600,6169,7953,139,289,0,0,7376,9842,776,1169
141,"Adelnau","POS",948,1392,6045,8117,117,260,2,0,7112,9769,472,538
142,"Schildberg","POS",1261,1879,6011,8295,277,601,2,2,7551,10777,570,572
143,"Czarnikau","BRO",2275,4357,2723,4195,181,358,0,0,5179,8910,718,968
144,"Chodziesen","BRO",1887,3524,2192,3530,172,342,2,5,4253,7401,544,680
145,"Wirsitz","BRO",1684,2769,4103,5582,169,293,4,3,5960,8647,712,869
146,"Bromberg","BRO",326,937,571,1086,37,81,1,0,935,2104,221,281
147,"Landkreis Bromberg","BRO",2505,3866,3924,5412,105,233,1,6,6535,9517,455,614
148,"Schubin","BRO",1710,2892,5483,7516,203,342,0,0,7396,10750,620,796
149,"Inowraclaw","BRO",1739,2564,10675,12393,212,398,0,0,12626,15355,79,113
150,"Mogilno","BRO",1151,1655,6024,7477,83,140,0,0,7258,9272,407,432
151,"Gnesen","BRO",728,1150,8003,10279,199,370,0,0,8930,11799,864,1009
152,"Wongrowitz","BRO",882,1406,7506,10181,155,240,0,0,8543,11827,257,287
153,"Namslau","BRE",927,1758,1054,1768,26,29,0,0,2007,3555,0,0
154,"Wartenberg","BRE",2533,4117,1262,2141,13,32,4,4,3812,6294,198,319
155,"Oels","BRE",1431,2792,250,452,4,8,0,0,1685,3252,182,252
156,"Trebnitz","BRE",1426,2776,632,1012,3,11,0,0,2061,3799,60,136
157,"Militsch","BRE",1120,2233,555,850,5,10,0,0,1680,3093,33,8
158,"Guhrau","BRE",517,1100,173,310,0,2,1,3,691,1415,259,450
159,"Steinau","BRE",389,731,97,188,0,6,0,0,486,925,123,171
160,"Wohlau","BRE",703,1445,343,561,3,7,1,2,1050,2015,283,458
161,"Neumarkt","BRE",645,1537,549,1233,0,3,1,0,1195,2773,331,484
162,"Stadtkreis Breslau","BRE",952,2970,828,2568,100,263,16,31,1896,5832,88,202
163,"Landkreis Breslau","BRE",1204,2374,787,1741,0,0,0,2,1991,4117,87,149
164,"Ohlau","BRE",665,1457,420,1003,0,4,0,1,1085,2465,94,118
165,"Brieg","BRE",1057,2264,524,588,3,12,0,0,1584,2864,65,154
166,"Strehlen","BRE",515,1330,214,330,3,2,8,22,740,1684,163,295
167,"Nimptsch","BRE",603,1163,166,356,0,2,0,0,769,1521,151,215
168,"Münsterberg","BRE",139,294,681,1342,2,3,0,1,822,1640,287,450
169,"Frankenstein","BRE",148,292,845,1827,0,2,0,1,993,2122,325,428
170,"Reichenbach","BRE",1025,1804,518,948,1,0,0,0,1544,2752,47,109
171,"Schweidnitz","BRE",797,1484,516,960,1,4,0,4,1314,2452,386,459
172,"Striegau","BRE",395,574,268,446,1,1,0,1,664,1022,201,226
173,"Waldenburg","BRE",1579,2051,882,964,4,2,5,10,2470,3027,128,169
174,"Glatz","BRE",82,61,2752,5290,4,3,0,3,2838,5357,0,0
175,"Neurode","BRE",14,22,2408,4404,1,0,0,0,2423,4426,0,0
176,"Habelschwerdt","BRE",1,22,1645,3853,0,0,0,0,1646,3875,63,0
177,"Grünberg","LIE",672,1713,220,537,7,9,1,1,900,2260,151,315
178,"Freistadt","LIE",729,1710,166,314,2,8,3,2,900,2034,354,576
179,"Sagan","LIE",635,1810,186,404,3,8,1,2,825,2224,231,393
180,"Sprottau","LIE",431,711,72,95,2,0,0,0,505,806,0,0
181,"Glogau","LIE",766,1800,815,816,4,20,2,3,1587,2639,462,689
182,"Lüben","LIE",632,1175,139,120,0,3,1,0,772,1298,142,239
183,"Bunzlau","LIE",646,1403,192,285,0,1,0,0,838,1689,227,424
184,"Goldberg-Haynau","LIE",604,1097,52,75,3,4,0,1,659,1177,207,265
185,"Stadtkreis Liegnitz","LIE",162,384,48,93,3,21,2,0,215,498,69,86
186,"Landkreis Liegnitz","LIE",631,1343,80,147,0,0,0,0,711,1490,151,229
187,"Jauer","LIE",308,564,203,297,0,0,0,0,511,861,6,100
188,"Schönau","LIE",311,475,67,124,0,0,0,0,378,599,54,87
189,"Bolkenhain","LIE",447,719,94,154,0,0,0,0,541,873,12,77
190,"Landeshut","LIE",449,574,740,1404,2,0,12,21,1203,1999,4,27
191,"Hirschberg","LIE",1179,1782,303,433,4,3,2,2,1488,2220,22,0
192,"Löwenberg","LIE",611,1076,387,713,1,5,0,2,999,1796,79,194
193,"Lauban","LIE",975,1888,139,285,0,1,3,0,1117,2174,163,409
194,"Görlitz","LIE",357,777,123,70,2,4,2,4,484,855,0,0
195,"Landkreis Görlitz","LIE",679,1854,24,34,1,1,1,0,705,1889,0,0
196,"Rothenburg","LIE",2012,4752,2,1,1,0,0,0,2015,4753,60,32
197,"Hoyerswerda","LIE",702,2043,190,380,0,0,0,0,892,2423,216,325
198,"Kreuzburg","OPP",2076,3867,920,1497,10,42,2,2,3008,5408,292,426
199,"Rosenberg","OPP",345,566,2993,4572,14,40,0,2,3352,5180,138,133
200,"Oppeln","OPP",379,718,4796,8377,13,38,0,0,5188,9133,562,844
201,"Gross Stehlitz","OPP",52,91,3478,5907,10,131,0,1,3540,6030,636,865
202,"Lublinitz","OPP",49,81,4931,7583,18,32,1,0,4999,7696,379,488
203,"Tost-Gleiwitz","OPP",36,68,5596,9362,36,5,1,0,5669,9535,568,905
204,"Tarnowitz","OPP",100,134,4101,6100,11,41,4,3,4216,6278,189,234
205,"Beuthen","OPP",318,349,8267,10377,32,96,1,0,8618,10822,341,573
206,"Zabrze","OPP",67,74,3871,5109,9,24,0,0,3947,5207,531,578
207,"Kattowitz","OPP",151,258,8089,10099,45,106,1,1,8286,10464,794,875
208,"Pless","OPP",597,951,9259,14011,31,108,0,0,9887,15070,0,0
209,"Rybnik","OPP",133,246,6633,10642,29,80,1,0,6796,10968,168,594
210,"Ratibor","OPP",18,43,6953,12781,2,36,0,1,6973,12861,565,922
211,"Kosel","OPP",27,55,4775,7697,1,8,1,1,4804,7761,125,314
212,"Leobschütz","OPP",103,240,2333,4853,6,10,0,0,2442,5103,31,332
213,"Neustadt","OPP",126,265,3675,6537,8,27,0,0,3809,6829,166,256
214,"Falkenberg","OPP",268,556,1399,2572,2,3,0,0,1669,3131,72,252
215,"Neisse","OPP",46,81,2153,3718,3,7,0,0,2202,3806,0,135
216,"Grottkau","OPP",40,101,973,2076,1,2,0,1,1014,2180,162,242
217,"Osterburg","MAG",696,1669,7,8,3,5,1,2,707,1684,266,338
218,"Salzwedel","MAG",524,1272,9,3,0,1,0,0,533,1276,400,461
219,"Gardelegen","MAG",533,1434,7,7,0,0,0,0,540,1441,390,496
220,"Stendal","MAG",441,1232,9,18,2,5,0,0,452,1255,205,292
221,"Jerichow I","MAG",567,1267,35,15,2,2,4,1,608,1285,621,705
222,"Jerichow II","MAG",469,1221,4,6,1,2,0,0,474,1229,174,184
223,"Kalbe","MAG",570,1194,37,57,2,7,0,3,609,1261,19,162
224,"Wanzleben","MAG",387,881,181,321,2,2,3,2,573,1206,395,400
225,"Stadtkreis Magdeburg","MAG",455,883,262,145,6,12,6,29,729,1069,241,230
226,"Wolmirstedt","MAG",408,787,11,21,2,4,0,0,421,812,164,235
227,"Neuhaldensleben","MAG",443,771,71,45,1,1,0,0,515,817,237,326
228,"Oschersleben","MAG",232,425,48,87,0,2,0,0,280,514,231,290
229,"Aschersleben","MAG",407,909,27,35,1,2,0,0,435,946,155,220
230,"Halberstadt","MAG",370,748,50,85,7,7,0,0,427,840,361,451
231,"Wernigerode","MAG",184,359,3,1,0,0,0,0,187,360,2,39
232,"Liebenwerda","MER",301,920,0,1,0,0,0,0,301,921,0,30
233,"Torgau","MER",549,1263,15,3,0,0,0,1,564,1267,347,540
234,"Schweinitz","MER",500,1236,0,3,0,1,0,0,500,1240,74,118
235,"Wittenberg","MER",326,932,28,1,0,0,2,3,356,936,453,555
236,"Bitterfeld","MER",468,1244,5,3,1,2,1,2,475,1251,38,67
237,"Saale","MER",471,1115,9,7,0,0,0,0,480,1122,188,303
238,"Stadt Halle","MER",197,528,18,17,5,10,0,3,220,558,65,76
239,"Delitzsch","MER",384,790,8,5,0,1,0,0,392,796,433,645
240,"Gebirgskreis Mansfeld","MER",384,721,6,2,1,3,0,0,391,726,201,225
241,"Seekreis Mansfeld","MER",414,889,28,42,1,3,0,1,443,935,339,510
242,"Sangerhausen","MER",507,1336,10,5,0,0,0,0,517,1341,210,392
243,"Eckartsberga","MER",217,444,6,0,0,0,0,0,223,444,0,11
244,"Querfurt","MER",306,732,4,5,0,0,0,0,310,737,232,319
245,"Merseburg","MER",383,853,14,9,0,0,0,1,397,863,255,369
246,"Weissenfels","MER",495,1011,6,4,0,0,0,0,501,1015,393,516
247,"Naumburg","MER",85,326,0,2,0,0,0,1,85,329,101,138
248,"Zeitz","MER",397,796,2,0,1,0,0,1,400,797,131,142
249,"Nordhausen","ERF",527,1359,16,41,0,12,1,0,544,1412,96,387
250,"Worbis","ERF",91,269,365,1574,0,0,0,0,456,1843,105,234
251,"Heiligenstadt","ERF",36,97,638,1988,0,1,0,0,674,2086,57,114
252,"Mühlhausen","ERF",292,804,256,857,0,0,0,0,548,1661,239,393
253,"Langensalza","ERF",173,406,6,6,0,0,0,0,179,412,139,201
254,"Weissensee","ERF",111,320,2,2,0,1,0,0,113,323,50,106
255,"Stadt Erfurt","ERF",190,452,55,176,2,2,0,0,247,630,323,396
256,"Landkreis Erfurt","ERF",83,130,8,17,0,0,0,0,91,147,93,138
257,"Ziegenrück","ERF",104,368,3,3,0,0,0,0,107,371,78,134
258,"Schleusingen","ERF",321,755,0,2,6,14,0,0,327,771,126,199
259,"Hadersleben","SCH",724,1405,0,0,0,0,0,0,724,1405,265,346
260,"Apenrade","SCH",242,445,0,0,0,0,0,0,242,445,38,91
261,"Sonderburg","SCH",222,374,0,0,0,0,0,0,222,374,69,141
262,"Flensburg","SCH",384,634,0,3,1,2,1,0,385,639,204,262
263,"Schleswig","SCH",340,447,6,5,7,6,0,0,354,458,206,247
264,"Eckernförde","SCH",527,782,2,1,0,0,1,0,529,783,186,264
265,"Eiderstedt","SCH",153,310,0,0,0,0,0,0,154,310,112,140
266,"Husum","SCH",233,403,0,0,0,0,0,0,233,403,111,175
267,"Tondern","SCH",376,1039,0,0,0,0,0,0,376,1039,131,216
268,"Oldenburg","SCH",1307,2409,1,1,0,0,0,3,1308,2413,85,130
269,"Plön","SCH",1099,1816,8,0,1,0,1,0,1108,1816,46,53
270,"Kiel","SCH",536,938,38,6,1,5,0,0,576,949,317,299
271,"Rendsburg","SCH",281,334,1,17,2,4,0,0,284,355,98,95
272,"Norderdithmarschen","SCH",296,388,2,4,0,0,0,0,298,392,185,197
273,"Süderdithmarschen","SCH",296,484,2,0,1,0,0,0,299,484,118,150
274,"Steinburg","SCH",530,805,3,3,2,3,0,0,535,811,233,266
275,"Segeberg","SCH",724,1224,0,3,4,2,0,3,728,1232,91,149
276,"Stormarn","SCH",1721,2754,9,5,5,10,0,0,1735,2769,198,205
277,"Pinneberg","SCH",705,1105,2,3,5,2,2,0,714,1110,136,190
278,"Altona","SCH",509,1141,40,21,24,56,5,3,578,1221,86,96
279,"Diepholz","HAN",402,609,19,59,8,10,1,0,430,678,173,229
280,"Hoya","HAN",580,752,4,11,3,4,0,0,587,767,403,426
281,"Nienburg","HAN",524,950,2,10,3,7,0,0,529,967,519,697
282,"Stadt Hannover","HAN",354,852,60,86,9,21,0,0,423,959,131,201
283,"Landkreis Hannover","HAN",1010,1763,36,62,3,8,0,0,1049,1833,521,714
284,"Wennigsen","HAN",655,1447,20,16,1,10,0,0,676,1473,327,450
285,"Hameln","HAN",589,1311,1,2,3,4,0,0,593,1317,324,447
