kreiskey1849,county,rb,pop1849_m_un5,pop1849_f_un5,pop1849_m_6to7,pop1849_f_6to7,pop1849_m_8to14,pop1849_f_8to14,pop1849_m_un14,pop1849_f_un14,pop1849_m_15to16,pop1849_f_15to16,pop1849_m_17to19,pop1849_m_20to24,pop1849_m_25to32,pop1849_m_33to39,pop1849_m_40to45,pop1849_m_46to60,pop1849_m_ov60,pop1849_m_ov16,pop1849_f_17to45,pop1849_f_46to60,pop1849_f_ov60,pop1849_f_ov16,pop1849_m_tot,pop1849_f_tot,pop1849_tot
24,"Ragnit","GUM",3386,3310,1249,1132,3308,3101,7943,7543,802,876,1208,1951,3444,2138,1126,2281,1342,13490,9936,2118,1353,13407,22235,21826,44061
25,"Pillkallen","GUM",2995,2879,1023,977,3031,2920,7049,6776,791,739,1055,1735,3078,1924,1104,2125,1313,12334,9109,1911,1328,12348,20174,19863,40037
26,"Stallupönen","GUM",2804,2882,998,976,2962,2704,6764,6562,819,781,1133,1626,2649,1665,961,1856,1082,10972,8307,1833,1156,11296,18555,18639,37194
27,"Gumbinnen","GUM",3098,2990,1026,1035,3123,3029,7247,7054,896,847,1179,1586,2675,1793,999,2132,1167,11531,9188,2204,1726,13118,19674,21019,40693
28,"Insterburg","GUM",4211,4069,1361,1363,4131,4078,9703,9510,1229,1120,1632,2573,4289,2826,1620,2913,1770,17623,12695,2781,1736,17212,28555,27842,56397
29,"Darkehmen","GUM",2393,2348,795,803,2344,2330,5532,5481,700,648,872,1330,2251,1488,801,1555,891,9188,7384,1484,959,9827,15420,15956,31376
30,"Angerburg","GUM",2451,2407,782,741,2322,2194,5555,5342,689,636,848,1202,2243,1603,910,1584,825,9215,7159,1671,987,9853,15459,15851,31310
31,"Goldapp","GUM",2919,2841,980,941,2701,2610,6600,6392,729,730,872,1469,2587,1789,972,1785,933,10407,8224,1793,1021,11038,17736,18160,35896
32,"Oletzko","GUM",2420,2359,716,740,2079,2087,5215,5186,593,577,882,1331,2370,1542,814,1558,726,9223,7563,1613,869,10045,15031,15808,30839
33,"Lyck","GUM",2692,2561,773,789,2289,2187,5754,5537,782,682,963,1589,2917,1744,1165,1928,876,11182,8535,1816,927,11278,17718,17497,35215
34,"Lötzen","GUM",2169,2201,685,650,1960,1840,4814,4691,600,573,802,1132,2219,1489,826,1367,693,8528,6696,1497,758,8951,13942,14215,28157
35,"Sensburg","GUM",2958,3034,882,839,2530,2479,6370,6352,802,695,1012,1432,2822,1810,1139,1902,1000,11117,8693,1908,937,11538,18289,18585,36874
