kreiskey1849,county,rb,fac1849_spin_woolyarn_spindles,fac1849_spin_combyarn_spindles,fac1849_spin_cotton_spindles,fac1849_spin_flax_spindles,fac1849_spin_tow_spindles,fac1849_looms_silk_looms,fac1849_looms_cotton_looms,fac1849_looms_linen_looms,fac1849_looms_wool_looms,fac1849_looms_hosiery_looms,fac1849_looms_band_looms,fac1849_looms_others_looms,fac1849_looms_se_linen_looms,fac1849_looms_se_shag_looms,fac1849_looms_se_others_looms,fac1849_wool_cloth_looms,fac1849_wool_cloth_handlooms,fac1849_halfwool_cloth_looms,fac1849_halfwool_cloth_handlooms,fac1849_cotton_looms,fac1849_cotton_handlooms,fac1849_linen_looms,fac1849_linen_handlooms,fac1849_silk_looms,fac1849_silk_handlooms,fac1849_shawl_looms,fac1849_shawl_handlooms,fac1849_band_looms,fac1849_band_handlooms,fac1849_carpet_looms,fac1849_carpet_handlooms,fac1849_passement_looms,fac1849_passement_handlooms,fac1849_hosiery_looms,fac1849_hosiery_handlooms,fac1849_laces_looms,fac1849_laces_handlooms,fac1849_print_tables,fac1849_print_machines,mill1849_water_grindingstones,mill1849_animals_grindingstones,mill1849_steam_grindingstones,steam1849_spinnery_engines,steam1849_spinnery_horsepower,steam1849_weaving_engines,steam1849_weaving_horsepower,steam1849_fulling_engines,steam1849_fulling_horsepower,steam1849_engineworks_engines,steam1849_engineworks_horsepower,steam1849_flourmill_engines,steam1849_flourmill_horsepower,steam1849_cuttingmill_engines,steam1849_cuttingmill_horsepower,steam1849_othermills_engines,steam1849_othermills_horsepower,steam1849_mining_engines,steam1849_mining_horsepower,steam1849_shipping_engines,steam1849_shipping_horsepower,steam1849_metal_fab_engines,steam1849_metal_fab_horsepower,steam1849_railway_engines,steam1849_railway_horsepower,steam1849_others_engines,steam1849_others_horsepower,fac1849_ironworks_blast_furn,fac1849_ironworks_refining_furn,fac1849_ironworks_puddling_furn,fac1849_ironworks_welding_furn,fac1849_ironworks_cupola_furn,fac1849_ironworks_air_furn,fac1849_steel_finingforge,fac1849_steel_refiningforge,fac1849_steel_cement_furn,fac1849_steel_caststeel_furn,fac1849_glassworks_furnaces,fac1849_paper_vats,fac1849_paper_machines,occ1849_printoffice_book_press
11,"Heiligenbeil","KON",0,0,0,0,0,0,0,3,38,0,0,0,3487,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
12,"Braunsberg","KON",678,0,0,0,0,0,8,0,36,0,0,0,2610,0,11,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2
13,"Heilsberg","KON",240,0,0,0,0,0,0,19,5,0,0,0,4552,0,0,5,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,"Rössel","KON",0,0,0,0,0,0,0,1,3,0,0,0,4003,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,"Allenstein","KON",0,20,0,0,0,0,0,37,0,0,0,0,3587,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
16,"Ortelsburg","KON",40,0,0,0,0,0,0,0,2,0,0,0,4483,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
17,"Neidenburg","KON",0,0,0,0,0,0,0,5,6,0,0,0,2758,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,48,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,"Osterode","KON",0,0,0,0,0,0,0,3,6,0,0,0,3835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,6,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
19,"Morungen","KON",0,0,0,0,0,0,0,1,3,0,0,0,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,"Pr. Holland","KON",0,0,0,0,0,0,0,26,4,0,0,0,3814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
21,"Heidekrug","GUM",0,0,0,0,0,0,0,0,0,0,0,0,605,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Niederung","GUM",0,0,0,0,0,0,0,13,0,0,0,0,3108,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Tilsit","GUM",0,0,0,0,0,0,0,24,15,0,0,0,2463,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,10,0,0,5,44,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,"Ragnit","GUM",0,0,0,0,0,0,0,11,0,0,0,0,2,0,4020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,"Pillkallen","GUM",0,0,0,0,0,0,1,27,0,0,0,0,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Stallupönen","GUM",0,0,0,0,0,0,0,76,0,0,0,0,2976,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Gumbinnen","GUM",0,0,0,0,0,0,9,44,6,1,0,0,3133,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
28,"Insterburg","GUM",0,0,0,0,0,0,0,40,5,2,0,0,3296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
29,"Darkehmen","GUM",0,40,0,0,0,0,0,10,12,2,0,0,2362,42,351,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Angerburg","GUM",0,0,0,0,0,0,0,4,10,0,0,0,2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Goldapp","GUM",0,0,0,0,0,0,0,38,5,0,0,0,2734,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,"Oletzko","GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Lyck","GUM",0,30,0,0,0,0,0,4,2,0,0,0,3429,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
34,"Lötzen","GUM",0,0,0,0,0,0,0,0,0,0,0,0,2280,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,"Sensburg","GUM",0,0,0,0,0,0,0,0,0,0,0,0,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
36,"Johannisburg","GUM",0,0,0,0,0,0,0,0,0,0,0,0,2973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,"Elbing","DAN",270,0,0,0,0,0,83,130,6,3,0,0,1158,1,0,0,6,0,0,0,60,0,105,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,36,33,9,0,0,0,0,0,0,1,6,2,30,0,0,3,27,0,0,5,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
38,"Marienburg","DAN",0,0,0,0,0,0,10,113,0,0,0,0,48,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
39,"Danzig Stadt","DAN",0,0,0,0,0,0,0,28,6,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,0,0,0,0,0,0,1,6,0,0,1,6,2,32,0,0,3,106,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,16
40,"Danzig Land","DAN",0,0,0,0,0,0,0,21,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,40,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,"Stargard","DAN",0,0,0,0,0,0,0,19,3,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,2,1,4,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
