kreiskey1864,county,rb,edu1864_pub_ele_stud,edu1864_pub_mim_stud_m,edu1864_pub_mif_stud_f,edu1864_pub_rea_stud,edu1864_pub_pgy_stud,edu1864_pub_gym_stud,edu1864_pub_sem_par,edu1864_pri_ele_stud,edu1864_pri_hsm_stud_m,edu1864_pri_hsf_stud_f,edu1864_pri_voc_stud,edu1864_pri_sun_stud,edu1864_pri_kin_stud
306,"GREVENBROICH","DUS",6763,65,0,0,0,0,0,16,54,4,0,94,0
307,"GLADBACH","DUS",12911,66,58,219,175,0,0,174,46,112,0,155,411
308,"KOBLENZ LANDKREIS","KOB",8767,7,100,50,0,460,0,192,271,504,59,102,117
309,"SANKT GOAR","KOB",5950,0,0,51,0,0,0,19,9,32,0,0,35
310,"KREUZNACH","KOB",9351,0,0,130,0,162,0,57,0,215,154,53,77
311,"SIMMERN","KOB",6575,0,0,80,0,0,0,0,0,0,0,48,0
312,"ZELL","KOB",4387,5,0,0,76,0,18,0,0,30,0,0,70
313,"KOCHEM","KOB",5654,0,0,0,0,0,0,14,31,0,0,26,0
314,"MAYEN","KOB",8584,0,15,101,76,0,0,35,7,0,0,29,31
315,"ADENAU","KOB",3399,0,0,0,0,0,0,0,0,0,0,0,0
316,"AHRWEILER","KOB",5708,0,0,38,0,0,0,90,5,225,0,0,67
317,"NEUWIED","KOB",11170,19,0,156,87,0,71,97,123,172,0,120,194
318,"ALTENKIRCHEN","KOB",7376,93,0,0,0,0,0,42,20,12,0,0,0
319,"WETZLAR","KOB",7639,12,0,0,0,149,0,33,11,76,0,47,123
320,"DAUN","TRI",4285,0,0,0,0,0,0,0,0,0,0,0,0
321,"PRUM","TRI",5698,0,0,0,50,0,0,11,0,0,0,0,0
322,"BITBURG","TRI",6517,24,0,0,0,0,0,8,0,0,12,0,0
323,"WITTLICH","TRI",5037,0,0,52,0,0,0,24,0,0,0,0,0
324,"BERNKASTEL","TRI",6306,0,0,0,0,0,0,124,31,0,0,0,0
325,"TRIER STADTKREIS","TRI",2014,0,50,185,0,554,0,60,0,317,0,87,249
326,"TRIER LANDKREIS","TRI",10478,0,0,0,0,0,0,122,0,39,0,0,0
327,"SAARBURG","TRI",4412,0,0,0,0,0,0,0,0,0,0,0,0
328,"MERZIG","TRI",5625,0,0,0,0,0,0,39,55,0,0,0,0
329,"SAARLOUIS","TRI",9010,0,24,115,0,0,0,25,0,0,0,61,131
330,"SAARBRUCKEN","TRI",10038,43,189,0,0,152,0,0,0,121,57,312,216
331,"OTTWEILER","TRI",6988,0,0,29,0,0,0,172,34,22,0,32,101
332,"SANKT WENDEL","TRI",6539,0,0,0,43,0,0,66,0,0,0,0,0
333,"ERKELENZ","AAC",6784,0,0,0,79,0,0,0,0,0,0,60,79
334,"HEINSBERG","AAC",6354,75,0,0,0,0,0,5,0,0,0,20,37
335,"GEILENKIRCHEN","AAC",4825,0,0,0,0,0,0,6,66,14,0,22,25
336,"JULICH","AAC",7474,40,0,0,113,0,0,28,0,10,0,65,97
337,"DUREN","AAC",11156,0,0,95,0,154,0,0,43,19,34,75,248
338,"AACHEN STADTKREIS","AAC",8116,230,571,292,0,346,0,0,16,261,79,325,792
339,"AACHEN LANDKREIS","AAC",15071,116,0,0,0,0,0,152,52,26,0,57,239
340,"EUPEN","AAC",3255,0,0,98,0,0,0,213,95,130,0,93,412
341,"MONTJOIE","AAC",3874,0,14,0,0,0,0,20,29,0,0,0,72
342,"SCHLEIDEN","AAC",7931,0,0,0,0,0,0,54,0,0,0,0,0
343,"MALMEDY","AAC",5897,0,0,0,0,0,0,37,0,0,0,0,76
344,"SIGMARINGEN","AAC",3015,0,0,0,0,131,9,53,0,24,0,133,0
345,"GAMMERTINGEN","AAC",2127,0,0,0,0,0,0,0,0,0,0,0,0
346,"HECHINGEN","AAC",2856,0,0,44,0,0,0,0,0,0,0,372,124
347,"HAIGERLOCH","AAC",1800,0,0,0,0,0,0,0,0,0,0,0,0
