kreiskey1864,county,rb,edu1864_pub_ele_stud,edu1864_pub_mim_stud_m,edu1864_pub_mif_stud_f,edu1864_pub_rea_stud,edu1864_pub_pgy_stud,edu1864_pub_gym_stud,edu1864_pub_sem_par,edu1864_pri_ele_stud,edu1864_pri_hsm_stud_m,edu1864_pri_hsf_stud_f,edu1864_pri_voc_stud,edu1864_pri_sun_stud,edu1864_pri_kin_stud
70,"BOMST","POS",9319,0,0,0,0,0,0,23,9,0,0,0,71
71,"FRAUSTADT","POS",9237,0,0,213,0,324,0,74,0,161,0,51,108
72,"KROBEN","POS",9705,173,437,195,0,0,17,64,0,0,0,0,24
73,"KROTOSCHIN","POS",8639,44,102,0,0,196,0,12,0,0,12,0,0
74,"ADELNAU","POS",8098,0,0,0,0,316,0,46,0,64,0,0,15
75,"SCHILDBERG","POS",8128,61,0,0,0,0,0,208,0,76,0,0,0
76,"CZARNIKAU","BRO",11113,0,102,67,0,0,0,105,221,63,0,0,0
77,"CHODZIESEN","BRO",8396,19,74,0,173,0,0,183,0,33,0,0,0
78,"WIRSITZ","BRO",9777,0,0,0,0,0,0,14,48,35,0,0,0
79,"BROMBERG LANDKREIS","BRO",9312,215,607,500,0,506,43,395,0,158,0,469,75
80,"SCHUBIN","BRO",7210,56,0,0,0,0,0,98,0,0,0,0,0
81,"INOWRAZLAW","BRO",7295,0,0,0,0,268,0,40,31,92,0,30,0
82,"MOGILNO","BRO",4502,0,0,0,0,0,0,0,30,32,0,0,0
83,"GNESEN","BRO",6325,0,0,0,254,0,0,153,0,84,0,0,99
84,"WONGROWITZ","BRO",6207,53,0,0,0,0,0,11,0,0,0,26,33
85,"BERLIN","POT",27878,1386,2241,4775,21,3752,239,22118,2054,5787,214,1160,3509
86,"PRENZLAU","POT",8615,302,521,0,0,353,0,0,0,61,10,347,83
87,"TEMPLIN","POT",7686,748,663,0,0,0,0,0,0,0,0,42,36
88,"ANGERMUNDE","POT",11025,367,375,0,0,0,0,0,0,30,0,12,28
89,"OBERBARNIM","POT",11447,85,349,406,80,0,0,0,0,110,0,0,195
90,"NIEDERBARNIM","POT",14644,88,91,0,0,0,90,0,25,15,0,0,0
91,"TELTOW","POT",13297,731,810,0,189,0,95,60,36,64,0,122,47
92,"BEESKOW-STORKOW","POT",6970,545,444,0,0,0,0,0,0,0,0,0,0
93,"JUTERBOG-LUCKENWALDE","POT",9233,751,854,0,52,0,0,0,0,0,0,93,258
94,"ZAUCH-BELZIG","POT",11004,954,937,0,0,0,0,0,0,0,0,0,0
95,"POTSDAM","POT",4851,1115,600,290,226,342,0,13,76,152,114,90,224
96,"OSTHAVELLAND","POT",8065,712,1036,0,0,354,0,77,0,0,0,41,99
97,"WESTHAVELLAND","POT",10252,337,705,519,0,281,0,22,0,70,0,55,226
98,"RUPPIN","POT",13412,0,30,0,0,319,0,80,0,0,0,0,148
99,"OSTPRIGNITZ","POT",10927,801,579,272,0,0,0,165,0,6,0,0,70
100,"WESTPRIGNITZ","POT",11802,439,272,297,0,0,0,47,0,0,0,31,0
101,"KONIGSBERG IN NEUMARK","FRA",15899,0,304,449,0,250,0,68,59,38,0,45,0
102,"SOLDIN","FRA",8578,203,27,0,0,0,0,32,0,63,0,0,22
103,"ARNSWALDE","FRA",7602,0,0,0,0,0,0,338,0,0,0,0,0
104,"FRIEDEBERG","FRA",9652,315,0,0,0,0,0,22,0,27,0,55,52
105,"LANDSBERG LANDKREIS","FRA",12487,604,150,0,0,550,0,27,5,150,0,0,60
106,"LEBUS","FRA",15236,335,325,0,0,0,0,45,17,63,12,22,86
107,"FRANKFURT","FRA",2974,560,930,387,0,335,0,330,0,140,52,87,445
108,"STERNBERG","FRA",14666,671,621,0,0,0,32,97,32,42,0,0,109
109,"ZULLICHAU-SCHWIEBUS","FRA",7277,322,0,0,0,252,0,0,0,61,0,76,0
110,"KROSSEN","FRA",8332,602,562,199,0,0,0,91,0,75,0,45,25
111,"GUBEN LANDKREIS","FRA",9075,0,166,0,0,301,97,0,17,15,0,0,0
112,"LUBBEN","FRA",5203,137,357,327,0,0,0,34,0,15,0,0,28
113,"LUCKAU","FRA",9941,0,336,0,0,192,0,178,0,21,0,0,0
114,"KALAU","FRA",7632,0,0,0,0,0,105,0,0,0,0,0,27
115,"KOTTBUS LANDKREIS","FRA",9711,0,0,0,0,326,0,10,0,96,0,0,64
116,"SORAU","FRA",11730,147,179,0,0,182,0,89,25,63,0,0,115
117,"SPREMBERG","FRA",3118,0,0,230,0,0,0,30,0,0,0,0,0
118,"DEMMIN","STE",8158,102,195,0,216,0,0,44,0,0,0,0,46
119,"ANKLAM","STE",4881,92,131,0,0,360,0,198,0,0,0,0,74
120,"USEDOM-WOLLIN","STE",6732,39,0,0,0,0,0,75,31,112,24,0,0
121,"UCKERMUNDE","STE",7527,125,122,0,0,0,0,143,0,17,0,0,9
122,"RANDOW","STE",14344,37,20,0,0,0,80,115,0,145,82,60,66
123,"STETTIN","STE",5201,619,700,896,0,723,0,25,303,725,164,0,290
124,"GREIFENHAGEN","STE",9965,0,0,0,0,0,0,52,0,10,0,0,0
125,"PYRITZ","STE",7861,0,0,0,0,212,24,0,0,82,0,0,0
126,"SAATZIG","STE",10116,249,210,0,0,440,0,41,0,0,0,0,25
127,"NAUGARD","STE",9622,222,70,0,0,0,0,84,0,22,0,0,0
128,"KAMMIN","STE",7159,73,0,0,0,0,22,58,14,56,30,6,71
129,"GREIFENBERG","STE",5767,0,124,0,0,635,0,0,0,80,16,0,0
130,"REGENWALDE","STE",7875,0,0,0,0,0,0,66,20,67,0,0,26
131,"SCHIVELBEIN","KOS",2498,362,339,0,0,0,0,44,0,0,0,0,0
132,"DRAMBURG","KOS",6532,53,55,0,0,0,0,0,0,0,0,0,0
133,"NEUSTETTIN","KOS",11116,298,312,0,0,341,0,261,26,16,0,30,0
134,"BELGARD","KOS",5450,746,623,0,0,0,0,0,27,0,0,0,0
135,"FURSTENTHUM","KOS",15901,672,842,0,0,653,50,83,23,161,0,120,0
136,"SCHLAWE","KOS",12389,0,0,0,0,0,0,187,0,86,0,36,0
137,"RUMMELSBURG","KOS",4118,291,291,0,0,0,0,0,0,0,0,0,0
138,"STOLP LANDKREIS","KOS",13355,0,248,0,0,509,0,62,0,16,16,226,50
139,"LAUENBURG IN POMMERN","KOS",6401,0,0,172,0,0,0,0,0,36,0,0,0
140,"BUTOW","KOS",3376,259,254,0,0,0,26,110,42,60,0,164,0
141,"RUGEN","STR",7047,0,0,0,0,143,0,229,16,37,0,0,29
142,"FRANZBURG","STR",10005,0,161,273,0,243,38,713,0,456,253,112,121
143,"GREIFSWALD","STR",6717,644,829,0,0,379,0,371,90,163,7,154,194
144,"GRIMMEN","STR",6041,238,213,0,0,0,0,107,0,0,0,78,36
145,"NAMSLAU","BRE",5410,0,0,0,0,0,0,91,0,0,0,119,0
146,"GROSS WARTENBERG","BRE",8274,0,0,0,0,0,0,202,0,0,0,115,0
147,"OLS","BRE",9632,0,13,0,0,297,0,72,0,70,0,120,31
148,"TREBNITZ","BRE",7996,0,0,0,0,0,0,13,0,0,0,0,59
149,"MILITSCH","BRE",9148,0,0,0,0,0,0,54,0,0,0,165,0
150,"GUHRAU","BRE",6193,0,0,0,0,0,0,9,0,0,0,99,17
151,"STEINAU","BRE",4178,0,0,0,0,0,82,0,0,0,0,101,41
152,"WOHLAU","BRE",8016,0,0,0,0,0,0,73,0,0,0,26,0
153,"NEUMARKT","BRE",9222,0,0,0,0,0,0,11,0,0,0,0,24
154,"BRESLAU STADTKREIS","BRE",12745,322,1042,1432,0,2860,90,643,260,1260,402,610,1340
155,"BRESLAU LANDKREIS","BRE",9777,0,0,0,0,0,0,0,0,0,0,0,0
156,"OHLAU","BRE",8427,156,0,0,0,0,0,36,0,77,0,98,0
157,"BRIEG","BRE",7735,106,110,0,0,337,0,36,0,110,52,85,80
158,"STREHLEN","BRE",5157,0,0,0,0,0,0,27,0,50,0,0,118
159,"NIMPTSCH","BRE",4895,0,0,0,0,0,0,0,40,0,0,0,0
160,"MUNSTERBERG","BRE",5415,0,0,0,0,0,77,0,0,0,0,0,0
161,"FRANKENSTEIN","BRE",8015,40,0,0,0,0,0,99,0,35,0,306,16
162,"REICHENBACH","BRE",9192,0,0,0,0,0,0,178,61,109,0,169,202
163,"SCHWEIDNITZ LANDKREIS","BRE",11247,16,0,0,0,410,0,15,0,293,63,232,66
164,"STRIEGAU","BRE",5314,0,0,0,0,0,0,82,0,45,0,58,4
165,"WALDENBURG","BRE",11696,0,0,0,0,0,0,145,23,48,9,144,0
166,"GLATZ","BRE",8237,0,53,0,0,348,0,101,0,44,0,198,64
167,"NEURODE","BRE",6884,0,0,0,0,0,0,31,0,0,0,173,0
168,"HABELSCHWERDT","BRE",7628,0,0,0,0,0,0,298,0,0,0,139,0
