kreiskey1901,county,rb,wage1901_ov16_m_ur,wage1901_ov16_m_ru,wage1901_ov16_f_ur,wage1901_ov16_f_ru,wage1901_un16_m_ur,wage1901_un16_m_ru,wage1901_un16_f_ur,wage1901_un16_f_ru
381,"BLUMENTHAL","STA",,2.8,,2.1,,1.4,,1
382,"VERDEN","STA",2.35,1.82,1.5,1.48,.5,1.46,.5,1.2
383,"ACHIM","STA",,2.4,,1.8,,1.5,,1.2
384,"ROTENBURG","STA",2,2,1.4,1.4,1.3,1.3,1,1
385,"ZEVEN","STA",1.5,1.5,1.2,1.2,1,1,.8,.8
386,"BREMERVORDE","STA",2,2,1.3,1.3,1.1,1.1,.8,.8
387,"MEPPEN","OSN",1.8,1.6,1.3,1.1,.85,.8,.65,.6
388,"ASCHENDORF","OSN",2,1.5,1.5,1,1,.9,.8,.8
389,"HUMMLING","OSN",,1.5,,1,,.75,,.6
390,"LINGEN","OSN",2,1.5,1.5,1,1.2,.9,1,.8
391,"BENTHEIM","OSN",1.6,1.6,1.2,1.2,1,1,.8,.8
392,"BERSENBRUCK","OSN",1.73,1.6,1.3,1.2,1,1,.8,.8
393,"OSNABRUCK","OSN",2.2,,1.5,,1.3,,1,
394,"OSNABRUCK","OSN",,2.03,,1.5,,1.21,,1
395,"WITTLAGE","OSN",,1.7,,1.2,,1,,.8
396,"MELLE","OSN",1.8,1.7,1.3,1.2,1.2,1,1,.8
397,"IBURG","OSN",1.9,1.9,1.4,1.4,1.1,1.1,.9,.9
398,"NORDEN","AUR",2,1.78,1.25,1.17,1.1,.92,.8,.76
399,"EMDEN","AUR",2.4,,1.5,,.75,,.75,
400,"EMDEN","AUR",,1.92,,1.11,,.91,,.7
401,"WITTMUND","AUR",1.85,1.91,1.25,1.26,.98,1.16,.75,.91
402,"AURICH","AUR",1.8,1.9,1.5,1.2,.9,1.1,.6,.9
403,"LEER","AUR",2.5,1.8,1.75,1.1,1,1,.75,.7
404,"WEENER","AUR",1.7,1.7,1,1,.8,.8,.6,.6
405,"TECKLENBURG","MUN",2,2,1.3,1.3,1.2,1.2,.8,.8
406,"WARENDORF","MUN",2,2,1.5,1.5,1.5,1.5,1,1
407,"BECKUM","MUN",2.3,2.3,1.55,1.55,1.4,1.4,1.05,1.05
408,"LUDINGHAUSEN","MUN",1.8,1.8,1.2,1.2,1.2,1.2,.8,.8
409,"MUNSTER","MUN",2.5,,1.8,,1.2,,1,
410,"MUNSTER","MUN",2.2,2.21,1.7,1.7,1.2,1.2,.8,.81
411,"STEINFURT","MUN",2,1.71,1.6,1.38,1.4,1.25,1.2,.96
412,"KOESFELD","MUN",1.8,1.8,1.15,1.15,1.2,1.2,.8,.8
413,"AHAUS","MUN",2.38,2.07,1.64,1.36,1.45,1.33,1.19,1.03
414,"BORKEN","MUN",2.17,2,1.67,1.5,1.3,1.2,1.07,1
415,"RECKLINGHAUSEN","MUN",2.7,,1.8,,1.3,,1.1,
416,"RECKLINGHAUSEN","MUN",2.7,2.38,1.8,1.53,1.3,1.24,1.1,.95
417,"MINDEN","MIN",1.92,1.69,1.42,1.14,1.2,.98,1,.84
418,"LUBBECKE","MIN",1.8,1.59,1.1,1.06,1.1,1.06,.8,.87
419,"HERFORD","MIN",1.97,1.8,1.43,1.25,1.1,1,.83,.75
420,"HALLE","MIN",2,2,1.5,1.5,1.5,1.5,1.25,1.25
421,"BIELEFELD","MIN",2.5,,1.7,,1.4,,1.1,
422,"BIELEFELD","MIN",,2.5,,1.7,,1.2,,1
423,"WIEDENBRUCK","MIN",2,2,1.5,1.5,1,1,.9,.9
424,"PADERBORN","MIN",2.13,2,1.5,1.5,.9,1,.63,.75
425,"BUREN","MIN",2.5,1.8,1.8,1.36,1.7,1.36,1,.98
426,"WARBURG","MIN",1.65,1.5,1.2,1.2,1,1,.8,.8
427,"HOXTER","MIN",2,2,1.2,1.2,1,1,.85,.85
428,"ARNSBERG","ARN",2,2,1.4,1.4,1,1,.7,.7
429,"MESCHEDE","ARN",2,2,1.4,1.4,1,1,.7,.7
430,"BRILON","ARN",2,2,1.4,1.4,1,1,.7,.7
431,"LIPPSTADT","ARN",2.08,2,1.4,1.4,1,1,.73,.7
432,"SOEST","ARN",2.4,1.6,1.5,1.2,1.5,1,1.2,.9
433,"HAMM","ARN",2.5,,1.6,,1.2,,.8,
434,"HAMM","ARN",2.5,2.5,1.6,1.6,1,1,.8,.8
435,"DORTMUND","ARN",2.75,,1.4,,1.2,,.8,
436,"DORTMUND","ARN",2.5,2.5,1.4,1.4,1.2,1.2,.8,.8
437,"HORDE","ARN",2.6,2.6,1.6,1.6,1.5,1.5,1.2,1.2
438,"BOCHUM","ARN",2.5,,1.8,,1.4,,1.1,
439,"WITTEN","ARN",2.5,,1.8,,1.4,,1.1,
440,"BOCHUM","ARN",2.5,2.5,1.8,1.8,1.4,1.4,1.1,1.1
441,"GELSENKIRCHEN","ARN",2.75,,1.8,,1.4,,1.1,
442,"GELSENKIRCHEN","ARN",2.6,2.6,1.5,1.5,1.1,1.1,.9,.9
443,"HATTINGEN","ARN",2.6,2.6,1.8,1.8,1.3,1.3,1,1
444,"HAGEN","ARN",2.6,,1.6,,1.5,,1.2,
445,"HAGEN","ARN",2.6,2.6,1.6,1.6,1.5,1.5,1.2,1.2
446,"SCHWELM","ARN",2.5,2.5,1.5,1.5,1.5,1.5,1,1
447,"ISERLOHN","ARN",2.6,2.6,1.6,1.6,1.5,1.5,1.2,1.2
448,"ALTENA","ARN",2.58,2.5,1.68,1.6,1.38,1.3,1.2,1.1
449,"OLPE","ARN",2.6,2.6,1.6,1.6,1.5,1.5,1.2,1.2
450,"SIEGEN","ARN",2.6,2.6,1.6,1.6,1.5,1.5,1.2,1.2
451,"WITTGENSTEIN","ARN",2,2,1.2,1.2,1.2,1.2,.9,.9
452,"KASSEL","KAS",2.5,,1.6,,1.3,,1.1,
453,"KASSEL","KAS",,2,,1.4,,1.2,,1
454,"ESCHWEGE","KAS",1.87,1.8,1.33,1.3,1.13,1.1,1,1
455,"FRITZLAR","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
456,"HOFGEISMAR","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
457,"HOMBERG","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
458,"MELSUNGEN","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
459,"ROTENBURG","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
460,"WITZENHAUSEN","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
461,"WOLFHAGEN","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
462,"MARBURG","KAS",2,1.8,1.4,1.3,1.15,1.1,1.05,1
463,"FRANKENBERG","KAS",1.6,1.6,1.2,1.2,1,1,.9,.9
464,"KIRCHHAIN","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
465,"ZIEGENHAIN","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
466,"FULDA","KAS",2.2,1.8,1.5,1.3,1.2,1.1,1.1,1
467,"HERSFELD","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
468,"HUNFELD","KAS",1.6,1.6,1.2,1.2,1,1,.9,.9
469,"HANAU","KAS",2.5,,1.6,,1.3,,1.1,
470,"HANAU","KAS",1.8,1.89,1.3,1.34,1.1,1.12,1,1.02
471,"GELNHAUSEN","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
472,"SCHLUCHTERN","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
473,"SCHMALKALDEN","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
474,"RINTELN","KAS",1.8,1.8,1.3,1.3,1.1,1.1,1,1
475,"GERSFELD","KAS",1.6,1.6,1.2,1.2,1,1,.9,.9
476,"BIEDENKOPF","WIE",2,2,1.4,1.4,1.2,1.2,1,1
477,"DILLKREIS","WIE",2,2,1.4,1.4,1.2,1.2,1,1
478,"OBERWESTERWALDKREIS","WIE",2,2,1.4,1.4,1.2,1.2,1,1
479,"WESTERBURG","WIE",2,2,1.4,1.4,1.2,1.2,1,1
480,"UNTERWESTERWALDKREIS","WIE",2,2,1.4,1.4,1.2,1.2,1,1
481,"OBERLAHNKREIS","WIE",2,2,1.4,1.4,1.2,1.2,1,1
482,"LIMBURG","WIE",2,2,1.4,1.4,1.2,1.2,1,1
483,"UNTERLAHNKREIS","WIE",2.2,2.2,1.4,1.4,1.2,1.2,1,1
484,"SANKT GOARSHAUSEN","WIE",2.4,2.4,1.4,1.4,1.4,1.4,1.1,1.1
485,"RHEINGAUKREIS","WIE",2.4,2.4,1.4,1.4,1.4,1.4,1.1,1.1
486,"WIESBADEN","WIE",2.7,,2,,1.4,,1.2,
487,"WIESBADEN","WIE",2.4,2.4,1.5,1.5,1.3,1.3,1,1
488,"UNTERTAUNUSKREIS","WIE",2.4,2.4,1.4,1.4,1.4,1.4,1.1,1.1
489,"USINGEN","WIE",2.2,2.2,1.4,1.4,1.4,1.4,1,1
490,"OBERTAUNUSKREIS","WIE",2.5,2.5,1.5,1.5,1.4,1.4,1.1,1.1
491,"HOCHST","WIE",2.5,2.5,1.5,1.5,1.5,1.5,1.2,1.2
492,"FRANKFURT","WIE",3.1,,2.2,,1.8,,1.2,
493,"FRANKFURT","WIE",2.8,2.8,2,2,1.6,1.6,1,1
494,"KOBLENZ","KOB",2.3,,1.5,,1.1,,.7,
495,"KOBLENZ","KOB",2,1.93,1.3,1.23,1.2,1.13,.9,.83
496,"SANKT GOAR","KOB",2.2,1.98,1.6,1.38,1.4,1.29,1,.89
497,"KREUZNACH","KOB",2.13,1.72,1.3,1.08,1.03,1.08,.78,.79
498,"SIMMERN","KOB",1.8,1.8,1.2,1.2,1,1,.8,.8
499,"ZELL","KOB",1.9,1.62,1.4,1.18,1.2,.98,1,.78
500,"KOCHEM","KOB",2.1,2.01,1.4,1.34,.9,.84,.6,.57
501,"MAYEN","KOB",2.5,1.98,1.55,1.3,1,1.23,.8,.8
502,"ADENAU","KOB",,1.8,,1.4,,1.2,,1
503,"AHRWEILER","KOB",2.23,2.1,1.5,1.5,1.43,1.39,1.13,1.09
504,"NEUWIED","KOB",2.4,2.17,1.45,1.23,1,.97,.8,.77
505,"ALTENKIRCHEN","KOB",,2.19,,1.39,,1.16,,1.08
506,"WETZLAR","KOB",2.25,2,1.35,1.23,1.4,1.24,.95,.85
507,"MEISENHEIM","KOB",,1.6,,1.2,,1.07,,.97
508,"KLEVE","DUS",1.8,1.6,1.3,1.1,.8,.8,.7,.7
509,"REES","DUS",2.15,1.94,1.35,1.23,1.1,.98,.9,.82
510,"KREFELD","DUS",2.6,,1.6,,1.2,,1,
511,"KREFELD","DUS",2.4,2.4,1.5,1.5,1.2,1.2,.9,.9
512,"DUISBURG","DUS",2.4,,1.5,,1.2,,.8,
513,"OBERHAUSEN","DUS",3,,1.5,,1.2,,1,
514,"MULHEIM","DUS",2.8,2.8,1.8,1.8,1.2,1.3,1,1
515,"RUHRORT","DUS",2.8,2.57,1.75,1.65,1.2,1.14,.9,.87
516,"ESSEN","DUS",2.8,,1.5,,1.2,,.8,
517,"ESSEN","DUS",2.8,2.8,1.5,1.5,1.2,1.2,.8,.8
518,"MORS","DUS",2.25,2.22,1.75,1.72,1.1,1.09,.9,.89
519,"GELDERN","DUS",1.8,1.8,1.4,1.4,1,1,.9,.9
520,"KEMPEN","DUS",2.1,2.1,1.5,1.5,.9,.9,.8,.8
521,"DUSSELDORF","DUS",3,,1.8,,1.5,,1,
522,"DUSSELDORF","DUS",2.6,2.6,1.7,1.7,1.3,1.3,.9,.9
523,"ELBERFELD","DUS",2.7,,1.7,,1.1,,1,
524,"BARMEN","DUS",2.7,,1.7,,1.1,,1,
525,"METTMANN","DUS",2.5,2.5,1.8,1.8,1.2,1.2,1,1
526,"REMSCHEID","DUS",2.6,,1.8,,1.3,,1.1,
527,"LENNEP","DUS",2.4,2.4,1.8,1.8,1.3,1.3,1.1,1.1
528,"SOLINGEN","DUS",3,,1.7,,1.2,,1,
529,"SOLINGEN","DUS",2.58,2.4,1.6,1.6,1.2,1.2,1,1
530,"NEUSS","DUS",2.4,2.11,1.6,1.41,1.2,1.2,1,1
531,"GREVENBROICH","DUS",2,2,1.5,1.5,1.2,1.2,1,1
532,"MUNCHEN GLADBACH","DUS",2.5,,1.8,,1,,1,
533,"GLADBACH","DUS",2.37,2.23,1.72,1.64,1,1,.95,.89
534,"WIPPERFURTH","KOL",2,1.82,1.5,1.16,1,.85,.8,.61
535,"WALDBROL","KOL",,2,,1.2,,1,,.7
536,"GUMMERSBACH","KOL",2.5,2.16,1.5,1.18,1.2,.95,1,.74
537,"SIEGKREIS","KOL",2.4,2.08,1.5,1.34,1,.89,.8,.69
538,"MULHEIM","KOL",2.5,,1.5,,1,,.8,
539,"MULHEIM","KOL",2.5,1.91,1.5,1.22,1,1.03,.8,.83
540,"KOLN","KOL",2.5,,1.5,,1.5,,.8,
541,"KOLN","KOL",2.25,2.02,1.5,1.32,1.1,1.08,.9,.89
542,"BERGHEIM","KOL",,1.8,,1.4,,1.2,,.8
543,"EUSKIRCHEN","KOL",2,1.84,1.2,1.13,1,.97,.8,.77
544,"RHEINBACH","KOL",1.7,1.7,1.1,1.1,.85,.85,.6,.6
545,"BONN","KOL",2.2,,1.5,,1.2,,1,
546,"BONN","KOL",,1.95,,1.24,,1.1,,.85
547,"DAUN","TRI",,1.8,,1.2,,1,,.8
548,"PRUM","TRI",2,1.81,1.3,1.2,1.2,1.01,.8,.8
549,"BITBURG","TRI",1.8,1.8,1.3,1.39,1,1,.8,.8
550,"WITTLICH","TRI",1.8,1.73,1.4,1.29,1,1.04,.8,.84
551,"BERNKASTEL","TRI",2,1.78,1.4,1.39,1.2,1.2,1,.99
552,"TRIER","TRI",2.2,,1.3,,1.2,,1,
553,"TRIER","TRI",,1.87,,1.3,,1.12,,.82
554,"SAARBURG","TRI",2,1.95,1.4,1.38,1.2,1.18,1,.95
555,"MERZIG","TRI",2.5,2.19,1.6,1.46,1.4,1.26,1.1,.93
556,"SAARLOUIS","TRI",2.2,2.22,1.4,1.31,1.1,1.15,.8,.89
557,"SAARBRUCKEN","TRI",2.5,2.32,1.5,1.43,1.1,1.16,.8,.8
558,"OTTWEILER","TRI",2.3,2.36,1.3,1.33,1.2,1.23,.9,.87
559,"SANKT WENDEL","TRI",2.25,2.16,1.4,1.36,1.25,1.19,.95,.91
560,"ERKELENZ","AAC",1.8,1.8,1.2,1.2,.8,.8,.7,.7
561,"HEINSBERG","AAC",1.8,1.69,1.2,1.2,1,1,.8,.8
562,"GEILENKIRCHEN","AAC",1.7,1.7,1.3,1.3,1.1,1.1,.9,.9
563,"JULICH","AAC",2.4,1.9,1.8,1.4,1.6,1.2,1.2,1
564,"DUREN","AAC",2.2,1.88,1.5,1.34,1.4,1.18,1,.98
565,"AACHEN","AAC",2.4,,1.4,,1.1,,.8,
566,"AACHEN","AAC",2.4,2.4,1.4,1.4,1.1,1.1,.8,.8
567,"EUPEN","AAC",2.2,2.2,1.2,1.2,1,1,.75,.75
568,"MONTJOIE","AAC",2,2,1.3,1.3,1.2,1.2,.8,.8
569,"SCHLEIDEN","AAC",2.25,2.18,1.3,1.34,1.2,1.11,.8,.84
570,"MALMEDY","AAC",1.73,1.77,1.23,1.27,.95,.97,.83,.84
571,"SIGMARINGEN","SIG",2.3,2,1.8,1.4,1.7,1.3,1,.8
572,"GAMMERTINGEN","SIG",,2,,1.4,,1.3,,.8
573,"HECHINGEN","SIG",2.3,2,1.8,1.4,1.7,1.3,1,.8
574,"HAIGERLOCH","SIG",,2,,1.4,,1.3,,.8
