kreiskey1886,county,rb,yie1886_hec_wwh_gra,yie1886_hec_wwh_str,yie1886_hec_swh_gra,yie1886_hec_swh_str,yie1886_hec_wsp_gra,yie1886_hec_wsp_str,yie1886_hec_ssp_gra,yie1886_hec_ssp_str,yie1886_hec_wei_gra,yie1886_hec_wei_str,yie1886_hec_sei_gra,yie1886_hec_sei_str,yie1886_hec_wry_gra,yie1886_hec_wry_str,yie1886_hec_sry_gra,yie1886_hec_sry_str,yie1886_hec_wba_gra,yie1886_hec_wba_str,yie1886_hec_sba_gra,yie1886_hec_sba_str,yie1886_hec_oat_gra,yie1886_hec_oat_str,yie1886_hec_buc_gra,yie1886_hec_buc_str,yie1886_hec_pea_fru,yie1886_hec_pea_str,yie1886_hec_fbe_fru,yie1886_hec_fbe_str,yie1886_hec_vet_fru,yie1886_hec_vet_str,yie1886_hec_lup_fru,yie1886_hec_lup_str,yie1886_hec_pot_tub,yie1886_hec_pot_dis,yie1886_hec_bee_roo,yie1886_hec_car_roo,yie1886_hec_tur_roo,yie1886_hec_rut_roo,yie1886_hec_wra_gra,yie1886_hec_sra_gra,yie1886_hec_hop_con,yie1886_hec_clo_hay,yie1886_hec_luc_hay,yie1886_hec_sai_hay,yie1886_hec_oth_hay,yie1886_hec_clo_see,yie1886_hec_hay_tot,yie1886_hec_whi_hec,yie1886_tot_wwh_gra,yie1886_tot_wwh_str,yie1886_tot_swh_gra,yie1886_tot_swh_str,yie1886_tot_wsp_gra,yie1886_tot_wsp_str,yie1886_tot_ssp_gra,yie1886_tot_ssp_str,yie1886_tot_wei_gra,yie1886_tot_wei_str,yie1886_tot_sei_gra,yie1886_tot_sei_str,yie1886_tot_wry_gra,yie1886_tot_wry_str,yie1886_tot_sry_gra,yie1886_tot_sry_str,yie1886_tot_wba_gra,yie1886_tot_wba_str,yie1886_tot_sba_gra,yie1886_tot_sba_str,yie1886_tot_oat_gra,yie1886_tot_oat_str,yie1886_tot_buc_gra,yie1886_tot_buc_str,yie1886_tot_pea_fru,yie1886_tot_pea_str,yie1886_tot_fbe_fru,yie1886_tot_fbe_str,yie1886_tot_vet_fru,yie1886_tot_vet_str,yie1886_tot_lup_fru,yie1886_tot_lup_str,yie1886_tot_pot_tub,yie1886_tot_pot_dis,yie1886_tot_bee_roo,yie1886_tot_car_roo,yie1886_tot_tur_roo,yie1886_tot_rut_roo,yie1886_tot_wra_gra,yie1886_tot_sra_gra,yie1886_tot_hop_con,yie1886_tot_clo_hay,yie1886_tot_luc_hay,yie1886_tot_sai_hay,yie1886_tot_oth_hay,yie1886_tot_clo_see,yie1886_tot_hay_tot,yie1886_tot_whi_hec,_merge
460,"REES","DUS",14.4,22.53,12.76,19.46,0,0,0,0,0,0,0,0,10.42,19.99,10.73,18,13.7,14.74,12.19,12.34,16.49,19.72,9.73,10.89,8.3,8.85,11.63,14.22,9.16,12.55,13.33,14.7,105.89,0,247.26,121.5,54.21,151.6,10.17,0,14,35.26,35.98,0,17.92,2.3,26.29,0,25940,40586,1617,2466,0,0,0,0,0,0,0,0,56862,109085,255,428,2852,3069,3007,3044,44643,53394,7561,8463,640,682,2129,2604,1106,1798,1168,1288,287650,19092,114036,26220,85077,37081,143,0,14,36596,6890,0,21382,42,31779,0,"matched (3)"
461,"KREFELD","DUS",18,26.5,0,0,0,0,0,0,0,0,0,0,22.5,30,0,0,0,0,0,0,27,24,32.6,11.2,22.75,10.8,0,0,0,27.3,0,0,170,0,240,200,38,195,0,0,0,44.5,52,0,38,0,32.5,0,4158,6122,0,0,0,0,0,0,0,0,0,0,5895,7860,0,0,0,0,0,0,6278,5580,782,269,546,259,0,0,0,328,0,0,16490,0,17280,2400,8740,4680,0,0,0,5385,624,0,456,0,9126,0,"matched (3)"
462,"KREFELD","DUS",17.67,24.5,15.75,19.31,0,0,0,0,0,0,0,0,16.64,24.72,0,0,22.94,23.94,16.93,17.57,26,29.44,10.53,15.31,12.33,13.6,5.5,8.4,12,21.13,0,0,164.72,0,452.5,171.25,40.11,260,16,0,0,40.72,42.81,0,32.86,2.44,33,0,36736,50936,713,875,0,0,0,0,0,0,0,0,39084,58062,0,0,4099,4278,677,703,56285,65295,1613,2345,181,200,1,2,358,1764,0,0,182098,21282,263536,12553,60751,37310,14,0,0,72535,19915,0,2064,115,40425,0,"matched (3)"
463,"DUISBURG","DUS",18.31,29.37,16.65,27.42,0,0,0,0,0,0,0,0,15.67,27.42,12.53,23.5,0,0,20.56,23.5,19.58,31.33,0,0,0,0,0,0,0,39.17,0,0,127.29,0,391.66,0,19.58,117.5,0,0,0,58.75,78.33,0,78.33,0,43.08,0,92,147,216,356,0,0,0,0,0,0,0,0,4074,7129,100,188,0,0,21,24,4347,6955,0,0,0,0,0,0,0,31,0,0,51043,0,7833,0,2496,1175,0,0,0,1469,470,0,446,0,1379,0,"matched (3)"
464,"MULHEIM","DUS",15.92,22.87,10,8.6,0,0,0,0,0,0,0,0,12.49,21.73,6.67,5,11.96,16.28,10.46,8.73,16.14,15.82,10.05,9.27,9.92,13.61,10.23,27.6,10.59,22.52,16.08,18.01,75.08,0,159.29,76.29,36.3,54.37,15,0,0,36.3,41.54,0,22.29,3.59,29.22,0,25087,36039,457,393,0,0,0,0,0,0,0,0,70079,121923,347,291,611,832,597,498,40072,39278,6590,6078,1025,1406,359,969,568,1664,347,389,187850,5428,54429,11176,42315,3371,128,0,0,45056,4407,0,14526,15,25605,0,"matched (3)"
465,"ESSEN","DUS",18,28,0,0,0,0,0,0,0,0,0,0,14.5,28,0,0,0,0,0,0,18,22,0,0,0,0,0,0,0,32,0,0,85,0,200,0,60,0,0,0,0,24,0,0,0,0,30,0,223,347,0,0,0,0,0,0,0,0,0,0,719,1389,0,0,0,0,0,0,257,315,0,0,0,0,0,0,0,74,0,0,17468,0,280,0,258,0,0,0,0,170,0,0,0,0,618,0,"matched (3)"
466,"ESSEN","DUS",15.12,23.52,13,21,0,0,0,0,0,0,0,0,11.12,19.33,11,22,18,11.5,12.47,12.31,16.27,19.79,10.5,9.57,17,17,17.01,19.31,14.5,26.59,0,0,107.66,0,151.48,54.92,39.88,34.15,11.67,3,0,28.07,35,0,20.38,3,21.23,0,22291,34676,285,460,0,0,0,0,0,0,0,0,28328,49243,44,297,301,192,1360,1345,30017,36932,489,446,114,114,844,958,312,2039,0,0,182990,2390,50064,1137,20909,536,351,2,0,37931,1642,0,3071,20,19610,0,"matched (3)"
467,"MORS","DUS",15.59,21.99,11.24,16.29,0,0,0,0,0,0,0,0,14,20.74,13.11,17.71,14.24,15.52,13.26,14.12,17.14,19.27,10.93,13.71,9.71,9.34,8.75,11.6,9.77,13.27,9.67,11.17,99.47,0,117.62,96.16,82.87,103.8,10.41,9.78,0,33.3,31.99,19.17,23.3,2.35,28.34,0,66200,93376,2212,3206,0,0,0,0,0,0,0,0,102320,151580,412,556,1974,2151,8797,9367,101275,114824,17035,21368,2362,2272,444,588,2256,6063,323,407,396448,9877,182864,40945,238367,78888,302,33,0,118401,46213,422,4632,1471,93542,0,"matched (3)"
468,"GELDERN","DUS",14.34,22.09,12.48,21.5,0,0,0,0,0,0,0,0,14.98,22.7,8.97,16.97,14.5,13.25,14.79,15.08,17.98,21.14,10.81,11.96,13.08,9.16,5,2.5,10.56,13.56,14.57,26.4,124.68,0,168.44,210.73,77.96,121.18,11.48,0,0,35.73,32.63,0,25.74,2.24,34.61,0,36782,56661,2024,3487,0,0,0,0,0,0,0,0,107395,162741,1084,2050,125,114,12391,12634,72283,84987,8096,8957,1249,875,3,1,399,1687,1386,2590,439821,4750,56882,163231,266374,61620,253,0,0,97343,3136,0,23776,670,208117,0,"matched (3)"
469,"KEMPEN","DUS",16.25,22.6,13.88,17.12,0,0,0,0,0,0,0,0,15.64,25.91,12.75,18,25.6,20.9,15.35,17,21.7,23.39,11.85,13.72,11.65,6.66,0,0,13.4,29.7,16.5,14.5,127.88,0,252.77,274.84,61.93,149,14.6,0,0,37.6,30.5,0,20.79,1.79,30.64,0,51197,71204,397,490,0,0,0,0,0,0,0,0,99910,165516,57,81,5140,4197,560,621,85403,92309,4328,5011,457,261,0,0,27,2765,104,96,430713,2340,154973,242904,147598,22350,750,0,0,137575,653,0,3339,488,76358,0,"matched (3)"
