kreiskey1886,county,rb,yie1886_hec_wwh_gra,yie1886_hec_wwh_str,yie1886_hec_swh_gra,yie1886_hec_swh_str,yie1886_hec_wsp_gra,yie1886_hec_wsp_str,yie1886_hec_ssp_gra,yie1886_hec_ssp_str,yie1886_hec_wei_gra,yie1886_hec_wei_str,yie1886_hec_sei_gra,yie1886_hec_sei_str,yie1886_hec_wry_gra,yie1886_hec_wry_str,yie1886_hec_sry_gra,yie1886_hec_sry_str,yie1886_hec_wba_gra,yie1886_hec_wba_str,yie1886_hec_sba_gra,yie1886_hec_sba_str,yie1886_hec_oat_gra,yie1886_hec_oat_str,yie1886_hec_buc_gra,yie1886_hec_buc_str,yie1886_hec_pea_fru,yie1886_hec_pea_str,yie1886_hec_fbe_fru,yie1886_hec_fbe_str,yie1886_hec_vet_fru,yie1886_hec_vet_str,yie1886_hec_lup_fru,yie1886_hec_lup_str,yie1886_hec_pot_tub,yie1886_hec_pot_dis,yie1886_hec_bee_roo,yie1886_hec_car_roo,yie1886_hec_tur_roo,yie1886_hec_rut_roo,yie1886_hec_wra_gra,yie1886_hec_sra_gra,yie1886_hec_hop_con,yie1886_hec_clo_hay,yie1886_hec_luc_hay,yie1886_hec_sai_hay,yie1886_hec_oth_hay,yie1886_hec_clo_see,yie1886_hec_hay_tot,yie1886_hec_whi_hec,yie1886_tot_wwh_gra,yie1886_tot_wwh_str,yie1886_tot_swh_gra,yie1886_tot_swh_str,yie1886_tot_wsp_gra,yie1886_tot_wsp_str,yie1886_tot_ssp_gra,yie1886_tot_ssp_str,yie1886_tot_wei_gra,yie1886_tot_wei_str,yie1886_tot_sei_gra,yie1886_tot_sei_str,yie1886_tot_wry_gra,yie1886_tot_wry_str,yie1886_tot_sry_gra,yie1886_tot_sry_str,yie1886_tot_wba_gra,yie1886_tot_wba_str,yie1886_tot_sba_gra,yie1886_tot_sba_str,yie1886_tot_oat_gra,yie1886_tot_oat_str,yie1886_tot_buc_gra,yie1886_tot_buc_str,yie1886_tot_pea_fru,yie1886_tot_pea_str,yie1886_tot_fbe_fru,yie1886_tot_fbe_str,yie1886_tot_vet_fru,yie1886_tot_vet_str,yie1886_tot_lup_fru,yie1886_tot_lup_str,yie1886_tot_pot_tub,yie1886_tot_pot_dis,yie1886_tot_bee_roo,yie1886_tot_car_roo,yie1886_tot_tur_roo,yie1886_tot_rut_roo,yie1886_tot_wra_gra,yie1886_tot_sra_gra,yie1886_tot_hop_con,yie1886_tot_clo_hay,yie1886_tot_luc_hay,yie1886_tot_sai_hay,yie1886_tot_oth_hay,yie1886_tot_clo_see,yie1886_tot_hay_tot,yie1886_tot_whi_hec,_merge
1,"MEMEL","KON",8.02,13.8,8.12,14.23,0,0,0,0,0,0,0,0,7.07,14.53,5.02,10.29,0,0,7.81,11.34,7.69,13.01,2.98,4.97,6.11,10.24,5.56,8.05,8.24,13.38,12.67,15.57,39.27,0,77.71,68.58,122.17,47.38,10.91,0,0,17.94,0,0,15.01,2.52,10.93,0,6282,10810,715,1254,0,0,0,0,0,0,0,0,50712,104222,1806,3702,0,0,19168,27832,42586,72047,693,1156,6357,10654,304,440,2925,5848,75,248,134563,1583,17695,604,3763,725,764,0,0,50921,0,0,5034,11,135927,0,"matched (3)"
2,"FISCHHAUSEN","KON",9.99,16.84,12.65,18.7,0,0,0,0,0,0,0,0,8.59,16.19,6.12,14.47,7.35,10,9.96,13.36,10.15,14.59,5.94,8.94,8.15,13.02,10.47,15.5,8.8,13.24,7.07,13.63,56.06,0,160.87,262,107.7,166.42,11.05,0,0,16.97,0,0,18.01,2.15,16.44,0,24234,40850,7667,11371,0,0,0,0,0,0,0,0,99514,187560,1748,4133,37,51,29533,39615,106698,153442,566,888,19255,30761,2334,3470,9758,18600,5223,11204,160976,1446,84618,157,43,25895,3663,0,0,92826,0,0,6678,179,142412,0,"matched (3)"
3,"KONIGSBERG","KON",17.62,13.71,0,0,0,0,0,0,0,0,0,0,12.53,15.67,10.97,11.75,0,0,13.71,15.67,11.75,15.67,0,0,0,0,0,0,0,0,0,0,141,0,300,0,0,195.83,0,0,0,13.71,0,0,0,0,9.79,0,35,27,0,0,0,0,0,0,0,0,0,0,308,385,21,22,0,0,232,265,222,296,0,0,0,0,0,0,0,0,0,0,6627,28,2790,0,0,98,0,0,0,137,0,0,0,0,3609,0,"matched (3)"
4,"KONIGSBERG","KON",12.61,21.76,13.87,21.77,0,0,0,0,0,0,0,0,11.16,20.4,8.46,15.36,0,0,12.95,16.45,12.43,17.4,6,10.06,11.09,16.97,14.08,18.96,12.01,18.4,15,10.5,66.99,0,192.61,179.25,83,253.69,10.19,0,0,23.82,0,0,21.58,1,20.48,0,53454,92241,18238,28625,0,0,0,0,0,0,0,0,120780,220781,2980,5410,0,0,67273,85454,119240,167351,115,193,24054,36808,12458,16965,24301,49387,8,739,203281,1420,237161,3531,988,9894,5389,0,0,160804,0,0,7579,77,263127,0,"matched (3)"
5,"LABIAU","KON",10.05,17.3,10.53,17.79,0,0,0,0,0,0,0,0,9.47,16.93,9.66,12.81,10.5,13,8.89,12.18,9.02,14.66,5.85,9,8.07,12.13,10.42,15.87,8.61,13.06,0,0,45.19,0,60.82,28.86,0,49.94,10.85,0,0,21.85,0,0,17.47,1.26,15.95,0,21397,36833,2027,3425,0,0,0,0,0,0,0,0,54178,96857,785,1041,269,333,31029,42590,53041,86457,81,124,9452,14208,1687,2569,8607,15839,0,0,170787,8283,26913,1807,0,3641,1515,0,0,75063,0,0,6378,99,214740,0,"matched (3)"
6,"WEHLAU","KON",10.05,17.2,9.47,15.23,0,0,0,0,0,0,0,0,9.4,17.11,6.69,11.38,9.6,7,9.48,12.65,9.63,14.06,8.7,13.5,7.87,12.86,9.45,14.62,8.18,12.63,12,18.63,15.31,0,94.87,124.47,100,153.48,10.19,0,17.6,23.26,0,0,18.27,1.69,19.06,0,37573,64304,4411,7094,0,0,0,0,0,0,0,0,75958,138259,1842,3233,77,56,26829,35806,87024,127133,157,244,15682,25625,5929,9173,10314,20922,722,1271,132380,2899,48687,3099,70,7659,1842,0,35,116288,0,0,9373,703,177567,0,"matched (3)"
7,"GERDAUEN","KON",11.9,17.1,11.26,16.74,0,0,0,0,0,0,0,0,11.19,17.33,4.5,10,4.9,12,9.94,12.47,11.12,14.61,0,0,9.87,13.69,10.8,14.69,8.86,12.83,13.76,15.25,61.97,0,111.89,120.08,0,49.41,8.66,0,2,18.3,0,0,19.6,1.06,14.01,0,58174,83595,3078,4912,0,0,0,0,0,0,0,0,88726,137410,88,195,15,36,19003,23840,83860,110618,0,0,21714,30118,5455,7582,8106,15204,688,1464,138974,0,533,58507,2390,949,1513,0,4,98646,0,0,19561,470,132022,0,"matched (3)"
8,"RASTENBURG","KON",13.98,22.1,13.28,20.27,0,0,0,0,0,0,0,0,16.87,28.4,7.98,15.94,0,0,12.4,16.09,12.25,17.38,4,15.5,10.89,15.46,12.86,17.62,10.82,15.62,11.22,16.84,75.08,0,177.27,156.8,25,135.78,9.23,0,7.91,23.14,29.12,0,17.54,1.53,18.15,0,75830,119875,8705,13287,0,0,0,0,0,0,0,0,140854,237123,1788,3571,0,0,35481,46040,84091,119307,49,437,23673,33607,15561,21320,9581,19152,2277,3442,171821,1892,86880,2540,133,2811,4092,0,86,136084,518,0,7098,348,200233,0,"matched (3)"
9,"FRIEDLAND","KON",10.18,16.93,11.23,16.17,0,0,0,0,0,0,0,0,10.22,16.78,8.17,14.88,9,8,9.74,13.41,9.27,14.24,11.37,10,9.46,14.79,12.33,18.08,9.22,14.28,9.29,13.91,56.43,0,112.59,109.01,34.3,122.76,9.35,0,12.83,18.05,0,0,16.64,1.11,14.21,0,48337,80387,6591,9842,0,0,0,0,0,0,0,0,102885,168924,507,923,414,368,22595,31109,70997,109133,57,50,19763,30898,9395,13831,10849,21780,2354,3817,144433,1608,43257,3030,14,6936,2667,0,62,111293,0,0,8545,203,120406,0,"matched (3)"
10,"PREUSSISCH EYLAU","KON",9.12,14.93,10.27,15.2,0,0,0,0,0,0,0,0,8.85,13.55,5.98,9.82,15.45,26.5,9.76,12.03,8.94,12.13,5.3,6.1,8.45,12.55,11.88,15.29,9.24,12.14,9.32,15.43,49.49,0,92.55,84.93,19.5,160.88,7.86,13.7,5.45,20.32,0,0,15.03,.95,16.75,0,41564,68043,8351,12359,0,0,0,0,0,0,0,0,113952,175756,1364,2240,128,220,33081,40774,105045,142528,9,32,25756,38252,8308,10692,11068,19257,923,1791,185157,599,50375,2038,101,2156,2112,27,22,160221,0,0,14209,194,234936,0,"matched (3)"
11,"HEILIGENBEIL","KON",9.44,14.43,11.22,16.02,0,0,0,0,0,0,0,0,9.11,13.89,7.3,13.33,10,13,9.92,12.67,9.55,12.97,4.8,5.83,8.23,12.47,11.43,15.13,8.52,12.53,6.77,13.95,61.81,0,123.5,109.71,117.1,149.31,9.17,0,0,17.47,0,0,17.13,1.64,17.79,0,19432,29704,6494,9272,0,0,0,0,0,0,0,0,107204,163453,2353,4296,240,312,34256,43752,100307,136520,17,21,13286,20130,2283,3158,7285,18240,404,2406,190715,346,49524,3094,2869,6644,2118,0,0,116476,0,0,9238,144,195156,0,"matched (3)"
12,"BRAUNSBERG","KON",6.94,11.23,8.46,14.48,0,0,0,0,0,0,0,0,6.94,11.41,3.95,7.38,0,0,6.16,8.78,5.55,8.82,4.54,8.53,4.88,8.53,8.03,11.46,4.78,8.74,2.55,9.69,36.8,0,47.29,43.3,55.4,61.91,8.53,0,3.38,11.37,0,0,6.95,1.19,10.21,0,13548,21922,906,1551,0,0,0,0,0,0,0,0,89895,147796,794,1484,0,0,12713,18120,52514,83481,400,751,6701,11713,1483,2117,4727,10123,136,695,101266,166,13047,1070,620,2130,128,0,30,48811,0,0,2575,284,134728,0,"matched (3)"
13,"HEILSBERG","KON",8.33,14.14,8.09,13.94,0,0,0,0,0,0,0,0,7.98,13.74,4.21,7.97,6.43,10.4,8.92,11.76,7.19,11.11,0,0,5.53,10.29,6.23,11.08,6.18,10.78,7.41,10.42,45.83,0,55.18,81.03,48.64,55.4,8.5,0,3.5,15.48,0,0,11.01,1.42,12.55,0,33303,56530,1379,2398,0,0,0,0,0,0,0,0,123327,212345,3729,7060,238,385,19403,25580,59783,92510,0,0,12815,23846,976,1735,6565,12581,1612,2266,181519,183,24401,586,394,12808,88,0,165,76436,0,0,3446,301,200415,0,"matched (3)"
14,"ROSSEL","KON",9.54,14.93,7.37,12.32,0,0,0,0,0,0,0,0,8.96,14.77,4.26,7.74,0,0,9,11.74,7.65,10.86,3.2,4.77,6.56,10.81,9.15,12.56,7.19,9.76,7.72,10.89,44.38,0,69.11,60.37,11.3,46.18,16.3,0,6.03,17.75,0,0,22.39,1.56,15.84,0,40323,63105,1655,2766,0,0,0,0,0,0,0,0,86296,142253,1177,2139,0,0,14396,18910,51777,73660,178,265,13112,21607,3416,4689,8611,12395,1119,1982,150639,590,18128,1050,50,1963,750,0,257,65299,0,0,1729,474,165168,0,"matched (3)"
15,"ALLENSTEIN","KON",9.01,13.26,5.68,10.55,0,0,0,0,0,0,0,0,7.64,12.51,4.09,7.19,0,0,8.89,10.95,7.46,10.74,3.54,4.95,5.3,9.17,10.5,15,6.53,10.72,8.06,11.99,58.33,0,95.63,38.78,49,74.75,0,0,4.7,16.8,0,0,17.28,1.37,14.63,0,18243,26848,345,641,0,0,0,0,0,0,0,0,129882,212673,5241,9530,0,0,14331,17651,48318,69563,1412,1974,11630,20122,827,1182,4239,8637,7687,12176,397472,4871,16554,1737,167,11489,0,0,1135,63096,0,0,6157,300,151456,0,"matched (3)"
16,"ORTELSBURG","KON",8.54,13.94,4.27,7.84,0,0,0,0,0,0,0,0,6.22,11.08,4.42,7.27,0,0,6.47,7.95,6.56,9.43,2.22,3.36,4.33,7.92,2.7,3.85,5.97,10.43,6.37,10.45,53.8,0,73.62,50,54,68.99,0,0,4.38,15.11,0,0,12.74,1.71,11.2,0,8738,14263,339,622,0,0,0,0,0,0,0,0,133960,238630,7678,12643,0,0,12232,15245,34248,49476,9842,14897,11752,21495,34,48,2035,5924,7870,14238,542455,882,7244,1880,108,9659,0,0,110,32131,0,0,4486,255,263579,0,"matched (3)"
17,"NEIDENBURG","KON",9.28,14.18,6.58,9.85,0,0,0,0,0,0,0,0,6.45,10.69,4.09,6.33,0,0,7.25,8.85,5.86,8.39,3.55,4.78,4.15,6.23,0,0,5.58,10.46,6.99,10.55,63.73,0,52.17,41.85,34.33,67.44,0,0,4.2,11.72,0,0,15.15,.86,11.96,0,5989,9152,119,178,0,0,0,0,0,0,0,0,167894,278262,10627,16650,0,0,23774,29109,30420,43722,13111,17654,8983,13485,0,0,1463,3863,12392,19290,733328,83,1596,716,96,22855,0,0,40,39465,0,0,10488,67,176154,0,"matched (3)"
18,"OSTERODE","KON",10.43,16.47,4.82,6.85,0,0,0,0,0,0,0,0,7.94,12.79,4.42,7.53,6,10,8.73,10.73,7.73,10.2,4.24,5.49,5.41,9.09,5,7.55,6.25,13.85,7.58,12.74,77.15,0,120.82,93.46,36,103.44,9.32,0,6.34,11.82,0,0,16.29,1.66,13.04,0,12339,19484,121,172,0,0,0,0,0,0,0,0,178600,286120,8956,15272,35,58,32741,40285,58064,76617,5009,6485,16136,27112,80,128,5723,19647,9981,19760,723073,301,10946,2869,292,38025,649,0,461,77448,0,0,13597,235,147519,0,"matched (3)"
19,"MOHRUNGEN","KON",10.07,14.94,9.3,14.74,0,0,0,0,0,0,0,0,9.55,13.86,5.94,9.36,21,23,10.65,13.32,10.28,13.62,5.86,7.04,7.18,11.92,14.09,19.97,7.76,12.94,10.62,14.11,65.17,0,136.48,140.7,136.75,153.06,11.08,0,5.77,14.43,0,0,20.32,1.47,13.79,0,41262,61217,1671,2649,0,0,0,0,0,0,0,0,139801,202895,3984,6279,210,230,25540,31943,102133,135302,748,898,18180,30183,2598,3682,5911,19841,3485,4785,317560,4288,40739,3827,752,49331,3457,0,258,112876,0,0,13850,521,205297,0,"matched (3)"
20,"PREUSSISCH HOLLAND","KON",10.26,15.18,10.51,15.2,0,0,0,0,0,0,0,0,10.45,15.8,7.36,11.23,0,0,12.11,19.64,10.6,13.87,0,0,9.07,13.25,9.97,13.52,8.9,13.48,8.61,12.24,72.44,0,140.04,125.09,10,187.46,8.33,0,6.97,13.75,60,0,14.9,1.34,16.4,0,52518,77702,5779,8358,0,0,0,0,0,0,0,0,96852,146435,1839,2805,0,0,32079,52026,95312,124743,0,0,15164,22153,4514,6421,7897,22289,579,1032,188177,3767,58117,3277,36,9898,3022,0,8,93259,444,0,11875,480,161233,0,"matched (3)"
21,"HEYDEKRUG","GUM",8.22,15.46,6.52,11.9,0,0,0,0,0,0,0,0,8.03,15.16,5.87,11.99,3.5,6,6.73,11,6.65,11.98,3.93,7.39,4.2,7.35,5.82,7.51,4.35,6.88,9.5,8.67,39.4,0,33.08,38.96,0,52.11,0,0,1,17.66,25,0,9.14,1.63,13.88,0,622,1170,705,1286,0,0,0,0,0,0,0,0,29145,55023,3932,8032,5,9,10053,16432,21458,38669,1371,2578,929,1627,503,649,689,1239,152,139,140016,1619,2266,2112,0,1355,0,0,2,11951,38,0,2845,8,283245,0,"matched (3)"
22,"NIEDERUNG","GUM",10.9,17.92,9.81,14.76,0,0,0,0,0,0,0,0,11.47,19.32,8.24,14.21,0,0,10.59,14.48,10.84,15.8,5.2,8.47,7.24,10.56,8.79,11.59,6.6,11.85,0,0,48.26,0,43.5,37.03,10,32.11,0,0,2.2,23.28,0,0,20.91,1.36,18.97,0,9545,15693,704,1060,0,0,0,0,0,0,0,0,75244,126741,2051,3537,0,0,39966,54646,69546,101368,95,155,2312,3373,328,432,1962,5118,0,0,173582,4585,17648,3566,10,4287,0,0,1,56738,0,0,18150,50,467235,0,"matched (3)"
23,"TILSIT","GUM",8.44,15.29,6.69,12.75,0,0,0,0,0,0,0,0,7.95,16.39,5.29,10.83,0,0,7.27,12.07,7.49,12.3,5.06,7.93,6.06,10.12,7.58,15.22,6.56,12.5,8.35,9.5,49.83,0,58.76,37.88,32.6,61.86,0,0,0,16.11,0,0,13.47,.94,13.77,0,5567,10085,882,1680,0,0,0,0,0,0,0,0,67841,139682,2275,4658,0,0,20171,33488,60135,98753,776,1216,2805,4684,3,6,1994,5886,8,10,202888,3638,18180,841,1464,3266,0,0,0,52113,0,0,14492,25,199346,0,"matched (3)"
24,"RAGNIT","GUM",8.17,13.28,6.75,9.98,0,0,0,0,0,0,0,0,7.96,13.68,5.01,8.33,0,0,6.74,9.11,7.29,10.24,3.46,5.57,6.49,9.28,15.12,19.2,6.02,9.86,9.65,15.2,48.57,0,60.09,106.47,16.75,34.27,0,0,0,18.06,0,0,12.08,1.16,12.24,0,24458,39755,2252,3700,0,0,0,0,0,0,0,0,83488,143481,2543,4278,0,0,24685,33548,81924,115904,307,495,8853,12659,236,300,3578,9383,19,30,187636,5368,38854,1363,508,3725,0,0,0,119636,0,0,13557,191,164083,0,"matched (3)"
25,"PILLKALLEN","GUM",8.04,13.79,5.82,9.37,0,0,0,0,0,0,0,0,7.84,14.84,4.43,7.54,0,0,6,8.32,6.8,10.07,2.9,5,5.91,8.5,4.94,8.16,5.93,8.98,0,0,40.3,0,54.31,32.25,20,34.78,0,0,0,14.1,0,0,11.89,1.26,10.29,0,27804,47689,2745,4514,0,0,0,0,0,0,0,0,48111,147854,425,761,0,0,13368,18620,81946,121482,18,31,8892,12789,247,407,5776,11504,0,0,97707,1072,25102,310,10,1600,0,0,0,136582,0,0,5751,300,145538,0,"matched (3)"
26,"STALLUPONEN","GUM",7.95,13.3,6.9,10.21,0,0,0,0,0,0,0,0,8.28,14.46,5.18,8.97,0,0,6.74,9.75,7.1,10.83,0,0,6.83,10.56,6.33,8.54,5.94,8.97,8.2,9,45.67,0,53.67,71.9,0,49.29,0,2.9,0,12.29,0,0,7.47,1.19,10.27,0,18724,31324,1228,1816,0,0,0,0,0,0,0,0,78619,137299,251,434,0,0,30765,44505,53871,82690,0,0,9223,14259,208,280,5908,12866,37,72,109695,1137,25450,582,0,2479,0,3,0,65040,0,0,516,409,101330,0,"matched (3)"
27,"GUMBINNEN","GUM",11.09,17.25,8.49,12.55,0,0,0,0,0,0,0,0,11.3,17.98,11.6,11.9,20,30,8.87,12.04,9.16,13.32,0,0,8.92,12.24,10.19,13.13,8.56,12.36,0,0,60.26,0,78.35,60.61,0,67.59,5.6,0,0,19.77,0,0,17.5,1.31,13.12,0,31834,49516,2635,3896,0,0,0,0,0,0,0,0,90579,144124,70,71,230,345,29931,40706,83056,121007,0,0,12130,16645,1662,2142,5369,13799,0,0,153307,3097,42003,1024,0,28665,11,0,0,130106,0,0,1397,442,128084,0,"matched (3)"
28,"INSTERBURG","GUM",7.35,12.05,7.08,10.93,0,0,0,0,0,0,0,0,7.42,12.59,4.53,8.22,3.25,5.75,7.31,9.53,7.65,10.85,0,0,6.64,9.26,9.27,13.15,5.55,7.94,8,11.5,42.71,0,51,67.75,30,37.06,10.83,0,0,18.23,0,0,13.69,1.31,13.07,0,35432,58089,2317,3576,0,0,0,0,0,0,0,0,64295,109094,139,252,85,150,24084,31398,99546,141511,0,0,11187,15601,2920,4142,4401,9495,228,362,130402,713,35389,1341,102,7816,326,0,0,172232,0,0,3365,449,191053,0,"matched (3)"
29,"DARKEHMEN","GUM",9.95,17.05,8.77,13.44,0,0,0,0,0,0,0,0,10.12,17.85,5.16,9.24,20,21,8.85,12.02,9.64,13.39,6.37,9.2,7.69,12.03,11.19,14.22,7.89,11.62,14.98,18.75,67.54,0,91.35,125.17,47.33,56.29,18,0,0,18.2,0,0,17.95,1.3,14.52,0,23898,40951,3554,5447,0,0,0,0,0,0,0,0,79545,140305,702,1257,80,84,22271,30248,80258,111478,175,253,9958,15578,856,1088,2609,6501,234,293,173227,2222,33224,1953,388,10577,72,0,0,110714,0,0,12761,254,181699,0,"matched (3)"
30,"ANGERBURG","GUM",9.91,16.75,9.9,16.61,0,0,0,0,0,0,0,0,9.23,17.66,4.5,8.12,11,19,8.8,11.93,8.73,12.24,4.03,7.46,7.73,12.1,8.97,13.66,7.43,12.18,6.16,10.8,75.18,0,95.98,120.29,87.5,69.78,11.21,0,0,19.12,0,0,13.33,.95,14.6,0,16545,27964,476,799,0,0,0,0,0,0,0,0,80504,154031,1890,3410,176,304,18881,25597,58975,82735,564,1044,13256,20750,756,1152,3679,7662,3157,5535,257664,2301,22877,2442,263,5366,382,0,0,64536,0,0,7411,124,171230,0,"matched (3)"
31,"GOLDAP","GUM",7.73,12.86,6.14,9.26,0,0,0,0,0,0,0,0,7.86,13.45,4.97,7.73,0,0,6.24,8.43,6.33,9.62,4.16,4.76,7.02,9.43,5.37,8,6.77,10.27,6,9.83,50.77,0,57.74,49.77,0,43.33,20,0,8.5,14.81,0,0,12.51,1.12,11.47,0,7991,13295,1294,1952,0,0,0,0,0,0,0,0,59444,101720,2934,4563,0,0,14497,19585,51300,77963,259,298,8955,12030,92,137,1923,3807,83,137,207751,2026,13719,866,0,4511,140,0,17,58277,0,0,3816,292,174850,0,"matched (3)"
32,"OLETZKO","GUM",7.96,13.34,4.97,8.5,0,0,0,0,0,0,0,0,7.71,14.71,4.65,9.14,6,8,6.68,8.64,6.88,9.73,3.2,3.47,5.46,8.54,4.97,5.05,5.06,7.78,7.53,7,53.67,0,44.33,34.94,48.1,43.17,0,0,0,13.32,0,0,13.24,1.05,10.16,0,9518,15951,243,415,0,0,0,0,0,0,0,0,62961,120125,1403,2758,6,8,11694,15125,56689,80464,632,686,8817,13791,237,261,2073,3779,663,620,248991,2093,5466,706,192,4360,0,0,0,41993,0,0,6231,260,135024,0,"matched (3)"
33,"LYCK","GUM",7.04,11.2,3.69,6.25,0,0,7,4,0,0,0,0,6.57,11.64,3.22,5.04,0,0,5.36,7.21,5.46,7.51,2.52,4.02,5.36,7.88,4.96,7.1,3.61,5.81,5.56,6.99,55.05,0,68.73,58.96,19.38,42.6,11.8,0,10,14.1,40,17.6,8.78,1.57,10.53,0,18924,30107,316,535,0,0,4,2,0,0,0,0,72135,127801,921,1441,0,0,15613,21002,43720,60136,1368,2182,15583,22909,237,339,2670,4296,2609,3378,317710,2340,16901,1952,233,2565,189,0,1,36341,16,229,641,353,140806,0,"matched (3)"
34,"LOTZEN","GUM",8.68,14.93,9.58,14.94,0,0,0,0,0,0,0,0,7.91,14.65,4.16,6.98,0,0,7.33,9.54,6.93,10.02,3.57,4.7,6.54,10.31,6.4,12.56,5.76,9.68,6.19,8.48,61.09,0,61.2,45.91,17.4,49.3,10.7,0,6.13,18.2,40.5,23,15.86,1.34,15.21,0,12217,21014,284,442,0,0,0,0,0,0,0,0,88524,163954,1231,2066,0,0,14243,18537,44121,63793,1811,2384,15928,25110,188,369,4209,8808,4906,6958,277043,3342,12626,4917,254,4432,148,0,15,52494,660,7,2033,231,189985,0,"matched (3)"
35,"SENSBURG","GUM",8.68,13.95,6.54,9.9,0,0,0,0,0,0,0,0,7.21,12.61,4,7.24,0,0,7.2,9.32,5.89,8.18,3.46,4.86,5.53,8.8,8.07,9.74,5.41,8.4,5.47,7.82,51.71,0,64.01,48.98,31,45.3,9.12,15.1,6.99,14.58,14.25,0,12.77,1.25,10.23,0,15627,25114,206,312,0,0,0,0,0,0,0,0,93715,163904,2075,3755,0,0,13989,18108,30674,42690,2845,3996,16063,25561,793,957,3293,7425,5421,8980,346266,3004,10043,1504,211,3185,799,448,178,44839,110,0,2078,139,142118,0,"matched (3)"
36,"JOHANNISBURG","GUM",7.82,12.01,4.72,8.26,0,0,0,0,0,0,0,0,6.62,11.46,4.44,7.61,0,0,5.83,8.13,4.97,8.04,3.45,4.66,5.5,8.2,5.4,6.9,4.38,7.6,6.31,10.33,53.47,0,62.28,50.08,10.67,40.98,0,0,0,11.83,0,17.45,11.88,2.04,9.25,0,6017,9240,169,296,0,0,0,0,0,0,0,0,91743,158817,6453,11060,0,0,11321,15788,29258,47372,5826,7878,14489,21602,194,248,2498,5074,7782,13967,434855,1289,3886,891,435,5315,0,0,0,11836,0,38,2649,70,181874,0,"matched (3)"
37,"ELBING","DAN",10,25,11,23.5,0,0,0,0,0,0,0,0,9.7,28,0,0,0,0,11.55,17,18.5,17,0,0,0,0,0,0,0,0,0,0,118,0,345.17,0,0,0,0,0,0,28,0,0,0,0,18.7,0,25,63,29,61,0,0,0,0,0,0,0,0,638,1842,0,0,0,0,245,360,1092,1003,0,0,0,0,0,0,0,0,0,0,13712,0,4936,0,0,0,0,0,0,549,0,0,0,0,5191,0,"matched (3)"
38,"ELBING","DAN",11.61,16.9,12.76,18.28,0,0,0,0,0,0,0,0,13.11,19.87,7.05,12.06,0,0,14.1,17.04,13.34,18.7,3.4,6.3,8.38,12.38,13.79,18.09,6.88,14.5,10.93,13.36,54.61,0,172.41,142.7,0,147.13,12.99,0,0,19.76,0,0,15.28,1.43,19.7,0,14079,20495,6477,9279,0,0,0,0,0,0,0,0,53330,80829,766,1310,0,0,28317,34221,76674,107482,2,4,4036,5962,3144,4125,1807,6352,447,628,106544,814,62654,1827,0,6577,2840,0,0,56146,0,0,5039,123,227438,0,"matched (3)"
39,"MARIENBURG","DAN",17.02,23.2,16.51,21,0,0,0,0,0,0,0,0,14.56,21.2,8.4,13.2,0,0,20.68,22.9,16.8,21.62,0,0,11.49,15.46,16.87,17.79,12.19,17.46,0,0,80.59,0,235.06,49,0,67.86,15.11,0,5.5,23.43,29.4,0,22.21,1.95,20.93,0,105555,143882,51769,65848,0,0,0,0,0,0,0,0,62059,90361,92,145,0,0,149028,165027,126827,163214,0,0,7304,9828,5872,6193,8956,26510,0,0,117347,733,153283,142,0,787,23281,0,2,135315,182,0,26674,1230,259712,0,"matched (3)"
40,"DANZIG STADTKREIS","DAN",17,25,12,25,0,0,0,0,0,0,0,0,14,35,11.45,35,0,0,23,38.5,15.5,30,0,0,5,15,0,0,0,20,2.44,4,112,0,287.5,143.33,20,250,0,0,5.5,56.6,0,0,10,0,33.5,0,3,5,25,53,0,0,0,0,0,0,0,0,1606,4015,315,688,0,0,435,728,248,480,0,0,14,41,0,0,0,8,9,14,25726,0,6814,14,12,1475,0,0,8,521,0,0,130,0,7705,0,"matched (3)"
41,"DANZIG LANDKREIS","DAN",16.53,22.22,14.47,17.76,0,0,0,0,0,0,0,0,13,14.24,7.16,12.56,20,10,16.16,18.5,13.73,17.45,6.5,8.83,11.16,15.72,16.42,19.4,11.31,20.03,9.49,15.9,73.65,0,161.36,162.7,106.2,126.31,15.07,0,0,22.62,31.2,0,19.5,2.2,21.2,0,89042,119692,19859,24374,0,0,0,0,0,0,0,0,136686,149724,4248,7477,256,128,83877,96041,112981,143615,93,126,21396,30138,9016,10717,10005,31701,4718,8271,428039,3034,128023,2522,1742,63862,22328,0,0,127534,768,0,64227,579,184902,0,"matched (3)"
42,"PREUSSISCH STARGARD","DAN",17.54,26.05,16.69,22.66,0,0,0,0,0,0,0,0,11.68,18.89,5.92,9.98,16,18,14.01,16.6,12.79,16.95,4.55,7.11,9.01,16.78,13.11,21.53,9.24,17.61,8.68,13.1,96.98,0,160.72,131.66,180.39,113.19,14.67,0,0,20.85,34.64,16,13.61,2.23,20.75,0,81514,116415,3001,4074,0,0,0,0,0,0,0,0,193299,312622,3982,6713,80,90,37883,44827,83034,110041,3200,5018,24475,45581,2499,4104,8571,29153,10074,15782,932957,504,23433,1712,1407,63500,714,0,0,144491,4926,27,8921,697,168716,0,"matched (3)"
