kreiskey1878,county,rb,pop1877_tot
1,"MEMEL","KON",59103
2,"FISCHHAUSEN","KON",49272
3,"KONIGSBERG LANDKREIS","KON",51015
4,"LABIAU","KON",51342
5,"WEHLAU","KON",48141
6,"GERDAUEN","KON",37245
7,"RASTENBURG","KON",43024
8,"FRIEDLAND","KON",44712
9,"PREUSSISCH EYLAU","KON",55097
10,"HEILIGENBEIL","KON",45582
11,"BRAUNSBERG","KON",52495
12,"HEILSBERG","KON",53937
13,"ROSSEL","KON",48945
14,"ALLENSTEIN","KON",57435
15,"ORTELSBURG","KON",63943
16,"NEIDENBURG","KON",53440
17,"OSTERODE","KON",64817
18,"MOHRUNGEN","KON",55131
19,"PREUSSISCH HOLLAND","KON",44335
20,"HEYDEKRUG","GUM",41434
21,"NIEDERUNG","GUM",53732
22,"TILSIT","GUM",66049
23,"RAGNIT","GUM",53251
24,"PILLKALLEN","GUM",44553
25,"STALLUPONEN","GUM",45531
26,"GUMBINNEN","GUM",46374
27,"INSTERBURG","GUM",68242
28,"DARKEHMEN","GUM",35677
29,"ANGERBURG","GUM",37109
30,"GOLDAP","GUM",42504
31,"OLETZKO","GUM",39276
32,"LYCK","GUM",48168
33,"LOTZEN","GUM",39992
34,"SENSBURG","GUM",47978
35,"JOHANNISBURG","GUM",44904
36,"Landkreis Elbing","DAN",37839
37,"MARIENBURG","DAN",57566
38,"DANZIG LANDKREIS","DAN",77958
39,"PREUSSISCH STARGARD","DAN",73715
40,"BERENT","DAN",44588
41,"KARTHAUS","DAN",56651
42,"NEUSTADT I WESTPR.","DAN",62558
43,"STUHM","MAR",39086
44,"MARIENWERDER","MAR",65610
45,"ROSENBERG I WESTPR.","MAR",51269
46,"LOBAU","MAR",51221
47,"STRASBURG I WESTPR.","MAR",66426
48,"THORN","MAR",74226
49,"KULM","MAR",55682
50,"GRAUDENZ","MAR",59690
51,"SCHWETZ","MAR",73808
52,"KONITZ","MAR",46131
52,"TUCHEL","MAR",27050
53,"SCHLOCHAU","MAR",62779
54,"FLATOW","MAR",63853
55,"DEUTSCH KRONE","MAR",63603
56,"PRENZLAU","POT",53848
57,"TEMPLIN","POT",43903
58,"ANGERMUNDE","POT",66758
59,"OBERBARNIM","POT",75812
60,"NIEDERBARNIM","POT",118707
61,"TELTOW","POT",119959
62,"BEESKOW-STORKOW","POT",43662
63,"JUTERBOG-LUCKENWALDE","POT",61244
64,"ZAUCHE-BELZIG","POT",71501
65,"OSTHAVELLAND","POT",83150
66,"WESTHAVELLAND","POT",78748
67,"RUPPIN","POT",74738
68,"OSTPRIGNITZ","POT",66799
69,"WESTPRIGNITZ","POT",70482
70,"KONIGSBERG IN NEUMARK","FRA",94434
71,"SOLDIN","FRA",47359
72,"ARNSWALDE","FRA",42177
73,"FRIEDEBERG","FRA",54690
74,"LANDSBERG","FRA",81883
75,"LEBUS","FRA",93965
76,"WESTSTERNBERG","FRA",43926
77,"OSTSTERNBERG","FRA",48792
78,"ZULLICHAU-SCHWIEBUS","FRA",49402
79,"KROSSEN","FRA",60592
80,"GUBEN","FRA",64602
81,"LUBBEN","FRA",34026
82,"LUCKAU","FRA",60812
83,"KALAU","FRA",50003
84,"KOTTBUS","FRA",70316
85,"SORAU","FRA",91272
86,"SPREMBERG","FRA",23961
87,"DEMMIN","STE",46588
88,"ANKLAM","STE",30672
89,"USEDOM-WOLLIN","STE",46218
90,"UCKERMUNDE","STE",45515
91,"RANDOW","STE",101226
92,"GREIFENHAGEN","STE",53550
93,"PYRITZ","STE",42310
94,"SAATZIG","STE",66095
95,"NAUGARD","STE",55093
96,"KAMMIN","STE",43462
97,"GREIFENBERG","STE",36717
98,"REGENWALDE","STE",47316
99,"SCHIVELBEIN","KOS",19212
100,"DRAMBURG","KOS",35882
101,"NEUSTETTIN","KOS",72255
102,"BELGARD","KOS",45825
103,"KOLBERG-KORLIN","KOS",48193
104,"KOSLIN","KOS",43772
105,"BUBLITZ","KOS",21084
106,"SCHLAWE","KOS",79539
107,"RUMMELSBURG","KOS",32456
108,"STOLP","KOS",92451
109,"LAUENBURG i. Pm.","KOS",43248
110,"BUTOW","KOS",23914
111,"RUGEN","STR",45318
112,"FRANZBURG","STR",43522
113,"GREIFSWALD","STR",56212
114,"GRIMMEN","STR",35908
115,"WRESCHEN","POS",39353
116,"PLESCHEN","POS",64193
117,"SCHRODA","POS",49855
118,"SCHRIMM","POS",57346
119,"KOSTEN","POS",68247
120,"BUK","POS",58109
121,"LANDKREIS POSEN","POS",60050
122,"OBORNIK","POS",47269
123,"SAMTER","POS",50429
124,"BIRNBAUM","POS",47739
125,"MESERITZ","POS",45760
126,"BOMST","POS",54797
127,"FRAUSTADT","POS",62429
128,"KRÖBEN","POS",76827
129,"KROTOSCHIN","POS",67231
130,"ADELNAU","POS",59329
131,"SCHILDBERG","POS",63786
132,"CZARNIKAU","BRO",68350
133,"KOLMAR i. Pr.","BRO",54328
134,"WIRSITZ","BRO",56700
135,"LANDKREIS BROMBERG","BRO",68194
136,"SCHUBIN","BRO",56691
137,"INOWRACLAW","BRO",76752
138,"MOGILNO","BRO",44725
139,"GNESEN","BRO",60844
140,"WONGROWITZ","BRO",54445
141,"NAMSLAU","BRE",36616
142,"WARTENBERG","BRE",51351
143,"OLS","BRE",65382
144,"TREBNITZ","BRE",50833
145,"MILITSCH","BRE",54453
146,"GUHRAU","BRE",35509
147,"STEINAU","BRE",23943
148,"WOHLAU","BRE",47888
149,"NEUMARKT","BRE",55891
150,"LANDKREIS BRESLAU","BRE",74604
151,"OHLAU","BRE",55100
152,"BRIEG","BRE",56449
153,"STREHLEN","BRE",34644
154,"NIMPTSCH","BRE",29679
155,"MUNSTERBERG","BRE",32763
156,"FRANKENSTEIN","BRE",50290
157,"REICHENBACH","BRE",67649
158,"SCHWEIDNITZ","BRE",87020
159,"STRIEGAU","BRE",37962
160,"WALDENBURG","BRE",111241
161,"GLATZ","BRE",62837
162,"NEURODE","BRE",49976
163,"HABELSCHWERDT","BRE",61124
164,"GRUNBERG","LIE",51214
165,"FREISTADT","LIE",50633
166,"SAGAN","LIE",55776
167,"SPROTTAU","LIE",34607
168,"GLOGAU","LIE",73016
169,"LUBEN","LIE",32602
170,"BUNZLAU","LIE",58034
171,"GOLDBERG-HAINAU","LIE",48854
172,"LANDKREIS LIEGNITZ","LIE",43936
173,"JAUER","LIE",33543
174,"SCHONAU","LIE",25485
175,"BOLKENHAIN","LIE",32049
176,"LANDESHUT","LIE",49116
177,"HIRSCHBERG","LIE",66220
178,"LOWENBERG","LIE",65226
