kreiskey1878,county,rb,pop1877_tot
179,"LAUBAN","LIE",65992
180,"LANDKREIS GÖRLITZ","LIE",48498
181,"ROTHENBURG i./O.-L.","LIE",51802
182,"HOYERSWERDA","LIE",31728
183,"KREUZBURG","OPP",41919
184,"ROSENBERG i. O.-S.","OPP",45839
185,"OPPELN","OPP",104083
186,"GROSS STREHLITZ","OPP",61746
187,"LUBLINITZ","OPP",43749
188,"TOST-GLEIWITZ","OPP",88806
189,"TARNOWITZ","OPP",40786
190,"BEUTHEN","OPP",101543
191,"ZABRZE","OPP",46007
192,"KATTOWITZ","OPP",89374
193,"PLESS","OPP",94222
194,"RYBNIK","OPP",77355
195,"RATIBOR","OPP",121844
196,"KOSEL","OPP",65964
197,"LEOBSCHUTZ","OPP",84318
198,"NEUSTADT i. O.-S.","OPP",89082
199,"FALKENBERG","OPP",39761
200,"NEISSE","OPP",96103
201,"GROTTKAU","OPP",43861
202,"OSTERBURG","MAG",43638
203,"SALZWEDEL","MAG",49356
204,"GARDELEGEN","MAG",49764
205,"STENDAL","MAG",52081
206,"JERICHOW I","MAG",65617
207,"JERICHOW II","MAG",53412
208,"KALBE","MAG",78820
209,"WANZLEBEN","MAG",69033
210,"WOLMIRSTEDT","MAG",49267
211,"NEUHALDENSLEBEN","MAG",51146
212,"OSCHERSLEBEN","MAG",46222
213,"ASCHERSLEBEN","MAG",64476
214,"HALBERSTADT","MAG",60587
215,"WERNIGERODE","MAG",23350
216,"LIEBENWERDA","MER",44722
217,"TORGAU","MER",54201
218,"SCHWEINITZ","MER",40695
219,"WITTENBERG","MER",52089
220,"BITTERFELD","MER",49499
221,"SAALKREIS","MER",65698
222,"DELITZSCH","MER",57156
223,"MANSFELDER GEBIRGSKR","MER",45299
224,"MANSFELDER SEEKREIS","MER",68576
225,"SANGERHAUSEN","MER",65887
226,"ECKARTSBERGA","MER",38644
227,"QUERFURT","MER",53793
228,"MERSEBURG","MER",64734
229,"WEISSENFELS","MER",70886
230,"NAUMBURG","MER",28285
231,"ZEITZ","MER",43264
232,"LANDKREIS NORDHAUSEN","ERF",65684
233,"WORBIS","ERF",41410
234,"HEILIGENSTADT","ERF",37977
235,"MUHLHAUSEN","ERF",52564
236,"LANGENSALZA","ERF",34761
237,"WEISSENSEE","ERF",26749
238,"ERFURT","ERF",22844
239,"ZIEGENRUCK","ERF",15156
240,"SCHLEUSINGEN","ERF",40324
241,"HADERSLEBEN","SCH",60315
242,"APENRADE","SCH",29048
243,"SONDERBURG","SCH",34453
244,"FLENSBURG","SCH",65313
245,"SCHLESWIG","SCH",61213
246,"ECKERNFORDE","SCH",45602
247,"EIDERSTEDT","SCH",17026
248,"HUSUM","SCH",35586
249,"TONDERN","SCH",56597
250,"OLDENBURG","SCH",46260
251,"PLON","SCH",53952
252,"KIEL","SCH",74261
253,"RENDSBURG","SCH",42665
254,"NORDERDITHMARSCHEN","SCH",35750
255,"SUDERDITHMARSCHEN","SCH",39637
256,"STEINBURG","SCH",59747
257,"SEGEBERG","SCH",41719
258,"STORMARN","SCH",67038
259,"PINNEBERG","SCH",62471
260,"DIEPHOLZ","HAN",51033
261,"HOYA","HAN",44414
262,"NIENBURG","HAN",50695
263,"LANDKREIS HANNOVER","HAN",76382
264,"WINNIGSEN","HAN",46938
265,"HAMELN","HAN",49868
266,"HILDESHEIM","HIL",64674
267,"MARIENBURG i. H.","HIL",53162
268,"LIEBENBURG","HIL",52802
269,"OSTERODE a. HARZ","HIL",66891
270,"GOTTINGEN","HIL",68562
271,"EINBECK","HIL",66780
272,"ZELLERFELD","HIL",42445
273,"CELLE","LUN",66795
274,"GIFHORN","LUN",50492
275,"FALLINGBOSTEL","LUN",50088
276,"ULZEN","LUN",43764
277,"DANNENBERG","LUN",53780
278,"LUNEBURG","LUN",49032
279,"HARBURG","LUN",72740
280,"STADER MARSCHKREIS","STA",37551
281,"STADER GEESTKREIS","STA",52609
282,"NEUHAUS","STA",28008
283,"OTTERNDORF","STA",17148
284,"LEHE","STA",55341
285,"OSTERHOLZ","STA",43390
286,"VERDEN","STA",42552
287,"ROTENBURG i. H.","STA",31578
288,"MEPPEN","OSN",55343
289,"LINGEN","OSN",59511
290,"BERSENBRUCK","OSN",42808
291,"OSNABRUCK","OSN",72893
292,"MELLE","OSN",47228
293,"AURICH","AUR",76230
294,"EMDEN","AUR",60240
295,"LEER","AUR",64583
296,"TECKLENBURG","MUN",46555
297,"WARENDORF","MUN",27801
298,"BECKUM","MUN",39712
299,"LUDINGHAUSEN","MUN",38657
300,"MUNSTER LANDKREIS","MUN",35781
301,"STEINFURT","MUN",45261
302,"KOESFELD","MUN",40481
303,"AHAUS","MUN",35122
304,"BORKEN","MUN",40692
305,"RECKLINGHAUSEN","MUN",57577
306,"MINDEN","MIN",74465
307,"LUBBECKE","MIN",46465
308,"HERFORD","MIN",70288
309,"HALLE i. W.","MIN",27271
310,"BIELEFELD LANDKREIS","MIN",64003
311,"WIEDENBRUCK","MIN",41159
312,"PADERBORN","MIN",40533
313,"BUREN","MIN",35136
314,"WARBURG","MIN",30442
315,"HOXTER","MIN",50850
316,"ARNSBERG","ARN",38352
317,"MESCHEDE","ARN",33297
318,"BRILON","ARN",36753
319,"LIPPSTADT","ARN",34929
320,"SOEST","ARN",49245
321,"HAMM","ARN",63513
322,"DORTMUND LANDKREIS","ARN",109482
323,"BOCHUM LANDKREIS","ARN",175754
324,"HAGEN","ARN",121676
325,"ISERLOHN","ARN",56386
326,"ALTENA","ARN",59300
327,"OLPE","ARN",32932
328,"SIEGEN","ARN",64012
329,"WITTGENSTEIN","ARN",20000
330,"LANDKREIS KASSEL","KAS",41664
331,"ESCHWEGE","KAS",41086
332,"FRITZLAR","KAS",25327
333,"HOFGEISMAR","KAS",36585
334,"HOMBERG","KAS",22102
335,"MELSUNGEN","KAS",28003
336,"ROTENBURG i. H.-N.","KAS",30375
337,"WITZENHAUSEN","KAS",31088
338,"WOLFHAGEN","KAS",23630
339,"MARBURG","KAS",39188
340,"FRANKENBERG","KAS",23283
341,"KIRCHHAIN","KAS",22219
342,"ZIEGENHAIN","KAS",31945
343,"FULDA","KAS",46028
344,"HERSFELD","KAS",32758
345,"HUNFELD","KAS",24291
346,"HANAU","KAS",76692
347,"GELNHAUSEN","KAS",41410
348,"SCHLUCHTERN","KAS",28611
349,"SCHMALKALDEN","KAS",29790
350,"RINTELN","KAS",37761
351,"GERSFELD","KAS",22007
352,"DILLKREIS","WIE",36176
353,"OBERWESTERWALDKREIS","WIE",36165
354,"UNTERWESTERWALDKREIS","WIE",53074
355,"OBERLAHNKREIS","WIE",57824
356,"UNTERLAHNKREIS","WIE",69396
357,"RHEINGAUKREIS","WIE",57671
358,"LANDKREIS WIESBADEN","WIE",63949
359,"OBERTAUNUSKREIS","WIE",54653
360,"UNTERTAUNUSKREIS","WIE",43975
361,"BIEDENKOPF","WIE",38385
362,"FRANKFURT AM MAIN STADTKREIS","WIE",124384
363,"KOBLENZ","KOB",77151
364,"SANKT GOAR","KOB",37692
365,"KREUZNACH","KOB",63009
366,"SIMMERN","KOB",35757
367,"ZELL","KOB",29262
368,"KOCHEM","KOB",36508
369,"MAYEN","KOB",53652
370,"ADENAU","KOB",21247
371,"AHRWEILER","KOB",34388
372,"NEUWIED","KOB",70827
373,"ALTENKIRCHEN","KOB",52018
374,"WETZLAR","KOB",46586
375,"MEISENHEIM","KOB",13462
376,"KLEVE","DUS",47941
377,"REES","DUS",60063
378,"KREFELD LANDKREIS","DUS",29818
379,"MULHEIM a./Ruhr","DUS",124425
380,"LANDKREIS ESSEN","DUS",108717
381,"MORS","DUS",60040
382,"GELDERN","DUS",50684
383,"KEMPEN","DUS",86750
384,"DUSSELDORF LANDKREIS","DUS",49189
385,"METTMANN","DUS",58081
386,"LENNEP","DUS",88149
387,"SOLINGEN","DUS",98401
388,"NEUSS","DUS",45507
389,"GREVENBROICH","DUS",39076
390,"GLADBACH","DUS",110672
391,"WIPPERFURTH","KOL",27318
392,"WALDBROL","KOL",22258
393,"GUMMERSBACH","KOL",29369
394,"SIEGKREIS","KOL",85476
395,"MULHEIM a. Rh.","KOL",63548
396,"LANDKREIS KÖLN","KOL",109785
397,"BERGHEIM","KOL",39858
398,"EUSKIRCHEN","KOL",36732
399,"RHEINBACH","KOL",30774
400,"BONN","KOL",74302
401,"DAUN","TRI",27011
402,"PRUM","TRI",35377
403,"BITBURG","TRI",43537
404,"WITTLICH","TRI",37535
405,"BERNKASTEL","TRI",43490
406,"LANDKREIS TRIER","TRI",63165
407,"SAARBURG","TRI",30368
408,"MERZIG","TRI",35720
409,"SAARLOUIS","TRI",61176
410,"SAARBRUCKEN","TRI",102652
411,"OTTWEILER","TRI",58613
412,"SANKT WENDEL","TRI",43495
413,"ERKELENZ","AAC",38147
414,"HEINSBERG","AAC",35351
415,"GEILENKIRCHEN","AAC",25954
416,"JULICH","AAC",41280
417,"DUREN","AAC",68025
418,"AACHEN LANDKREIS","AAC",97427
419,"EUPEN","AAC",25477
420,"MONTJOIE","AAC",18005
421,"SCHLEIDEN","AAC",42995
422,"MALMEDY","AAC",30277
423,"OBERAMT SIGMARINGEN","SIG",21046
424,"OBERAMT GAMMERTINGEN","SIG",13823
425,"OBERAMT HECHINGEN","SIG",19907
426,"OBERAMT HAIGERLOCH","SIG",11690
