id1819,kreiskey1800,county,rb,fac1819_looms_silk_looms,fac1819_looms_cotton_looms,fac1819_looms_wool_looms,fac1819_looms_linen_looms,fac1819_looms_hosiery_looms,fac1819_looms_band_looms,fac1819_looms_se_linen_looms,fac1819_looms_se_shag_looms,fac1819_looms_se_others_looms
92,83,"Greifenhagen","STE",0,0,88,59,0,0,89,3,0
93,100,"Greifswald","STR",0,0,5,185,1,0,91,0,0
94,245,"Grevenbroich","DUS",3,167,0,158,12,0,83,0,10
95,101,"Grimmen","STR",0,1,2,218,0,0,80,0,0
96,133,"Grottkau","OPP",0,29,0,80,2,0,0,0,0
97,134,"Grünberg","LIE",0,0,620,15,0,2,810,2,0
98,74,"Guben","FRA",0,0,87,33,7,0,68,0,0
99,107,"Guhrau","BRE",0,0,16,20,2,0,59,0,0
100,8,"Gumbinnen","GUM",0,0,20,49,0,2,9,0,0
101,28,"Habelschwerdt","BRE",0,0,16,662,12,5,413,0,0
102,217,"Hagen","ARN",37,41,89,151,17,6997,7,0,316
103,141,"Hainau","LIE",0,0,253,28,2,2,18,0,0
104,161,"Halberstadt","MAG",0,0,29,9,1,2,53,13,0
105,158,"(Neu-)Haldensleben","MAG",0,0,20,84,0,0,304,0,0
106,169,"Halle","MER",0,0,30,19,92,0,0,0,0
107,202,"Halle","MIN",0,0,0,0,0,0,1504,0,0
108,214,"Hamm","ARN",0,0,0,291,9,0,84,0,0
109,60,"(Ost-)Havelland","POT",0,3,7,260,0,30,8,0,0
110,61,"(West-)Havelland","POT",0,4,157,328,9,2,8,1,0
111,8,"Heidekrug","GUM",0,0,0,0,1,0,635,0,0
112,181,"Heiligenstadt","ERF",0,0,418,192,4,0,42,33,0
113,2,"Heilsberg","KON",0,0,18,0,0,0,2333,0,0
114,272,"Heinsberg","AAC",0,1,7,46,0,0,237,4,0
115,201,"Herford","MIN",0,0,0,372,1,0,25,0,0
116,29,"Hirschberg","LIE",37,30,13,60,11,4172,400,0,271
117,208,"Höxter","MIN",0,0,2,197,0,0,107,0,0
118,3,"(Preussisch) Holland","KON",0,0,10,30,0,0,829,43,0
119,224,"Homburg","KOL",0,0,0,0,0,0,394,0,0
120,143,"Jauer","LIE",0,0,12,64,11,1,1,0,1
121,153,"1. Jerichow","MAG",0,2,168,31,2,0,258,0,0
122,152,"2. Jerichow","MAG",0,0,3,90,0,1,0,0,0
123,21,"Inowrazlaw","BRO",0,0,1,8,0,0,32,0,0
124,8,"Insterburg","GUM",0,0,4,9,3,0,3081,11,0
125,9,"Johannsburg","GUM",0,0,0,0,0,0,2,0,0
126,218,"Iserlohn","ARN",45,28,7,176,12,0,35,0,0
127,274,"Jülich","AAC",0,0,3,25,0,0,57,3,0
128,57,"Jüterbok","POT",0,89,233,285,7,0,1097,0,0
129,77,"Kalau","FRA",0,0,10,209,0,6,1835,0,0
130,154,"Kalbe","MAG",0,3,83,251,4,0,0,30,0
131,87,"Kammin","STE",0,0,0,14,0,0,1103,0,0
132,16,"Karthaus","DAN",0,0,0,0,0,0,13,0,0
133,238,"Kempen","DUS",288,261,21,104,25,449,601,8,0
134,234,"Kleve","DUS",0,0,3,131,17,0,23,0,0
135,248,"Koblenz","KOB",0,9,36,51,9,0,68,1,0
136,252,"Kochem","KOB",0,0,16,23,3,3,79,1,0
137,229,"Köln","KOL",0,0,0,39,0,6,0,0,0
138,65,"Königsberg","FRA",0,0,12,237,3,0,0,0,1
139,6,"Königsberg, Stadtkreis","KON",0,2,33,54,11,2,122,2,0
140,6,"Königsberg, Landkreis","KON",0,0,0,1,0,0,2033,0,0
141,195,"Koesfeld","MUN",0,0,24,317,18,0,777,0,0
