kreiskey1896,county,rb,yie1896_acr_wwh,yie1896_hec_wwh,yie1896_tot_wwh,yie1896_acr_wry,yie1896_hec_wry,yie1896_tot_wry,yie1896_acr_sba,yie1896_hec_sba,yie1896_tot_sba,yie1896_acr_oat,yie1896_hec_oat,yie1896_tot_oat,yie1896_acr_pot,yie1896_hec_pot,yie1896_tot_pot
451,"GELNHAUSEN","KAS",1077.5,11.85,12768,4026.8,11.7,47114,1697.4,9.25,15701,3542.3,10.43,36946,3255.6,88.61,288479
452,"SCHLUCHTERN","KAS",1075.9,8.98,9662,3428.1,9.08,31127,1717.9,7.36,12644,3169.1,7.95,25194,2280.1,75.22,171509
453,"SCHMALKALDEN","KAS",63.1,6.42,405,2404.3,6.93,16662,327.4,6.24,2043,1281.1,7.5,9608,1889.3,90.18,170377
454,"SCHAUMBURG","KAS",3860.3,18.25,70450,6957.9,16.4,114110,447.2,13.86,6198,4409.4,16.06,70815,2034.2,86.84,176650
455,"GERSFELD","KAS",357.4,6.8,2430,2614.6,8.61,22512,913.4,7.18,6558,1939,8.43,16346,1262.2,60.38,76212
456,"BIEDENKOPF","WIE",728.7,11.6,8453,5169.3,12.13,62704,1473.1,11.56,17029,4519.8,11.38,51435,2988.8,83.78,250402
457,"DILLKREIS","WIE",238.4,12.82,3056,2681.9,13,34865,1373.6,11.15,15316,2715.1,10.19,27667,2536.5,117.65,298419
458,"OBERWESTERWALDKREIS","WIE",7.6,12.43,94,1802.6,14.52,26174,222.3,9.79,2176,3223.6,10.33,33300,2532.3,119.48,302559
459,"WESTERBURG","WIE",368.4,11.86,4369,2529.8,13.3,33646,1636.6,10.23,16742,3358.8,10.74,36074,2714.5,123.48,335186
460,"UNTERWESTERWALDKREIS","WIE",178.5,12.58,2246,2838.9,15.3,43435,190.5,10.05,1915,3149.1,9.89,31145,2375.9,123.75,294018
461,"OBERLAHNKREIS","WIE",1519.4,12.81,19464,3735.4,13.9,51922,2424.7,12.29,29800,3094,13.79,42666,2788.6,112.32,313216
462,"LIMBURG","WIE",2539.1,13.77,34963,4015.4,17.11,68703,2782.4,12.93,35976,3833,15.36,58875,2750.1,133.12,366093
463,"UNTERLAHNKREIS","WIE",2047.4,12.23,25040,3200.4,15.37,49190,1225.5,11.47,14056,3903.9,13.94,54420,2336.5,117.68,274959
464,"SANKT GOARSHAUSEN","WIE",2164.7,9.66,20911,2848.6,12.22,34810,788.8,8.74,6894,3871.3,9.41,36429,2182.8,71.45,155961
465,"RHEINGAUKREIS","WIE",233,13.61,3171,1465.7,17.92,26265,119.8,12.46,1493,870.1,12.84,11172,1285.5,91,116981
466,"WIESBADEN LANDKREIS","WIE",2377.6,17.27,41061,1789.1,16.89,30218,1573.2,15.29,24054,1652.3,13.85,22884,1924.6,109.63,210994
467,"UNTERTAUNUSKREIS","WIE",1447.5,9.88,14301,4588.2,12.35,56664,497.8,7.8,3883,5491.5,10.61,58265,2785.7,94.05,261995
468,"USINGEN","WIE",324.2,8.87,2876,3004.6,12.03,36145,683.3,8.72,5958,2795,9.84,27503,2147.6,92.23,198073
469,"OBERTAUNUSKREIS","WIE",1051.8,14.19,14925,1456.5,16.95,24688,173.1,10.69,1850,2010.2,12.81,25751,1379.9,100.44,138597
470,"HOCHST","WIE",2019.3,17.73,35802,1094.2,18.18,19893,783.5,14.45,11322,1578.5,14.52,22920,1297.5,127.38,165276
471,"FRANKFURT LANDKREIS","WIE",797,21.7,17295,602.7,20,12054,94.6,16,1514,817.5,18,14715,761.7,140,106637
472,"WIESBADEN STADTKREIS","WIE",142.9,18,2572,161.7,19.28,3118,55.6,14.17,788,218.7,15.71,3436,166.8,123.51,20604
473,"FRANKFURT STADTKREIS","WIE",340,30,10200,252.9,16.37,4140,3.3,13.26,44,335.1,13.58,4550,721.3,94.28,68000
474,"KOBLENZ STADTKREIS","KOB",55,17,935,194.3,17.5,3400,18.7,17.15,320,65.5,12.92,846,263.5,95.64,25200
475,"KOBLENZ LANDKREIS","KOB",1196.5,15.29,18294,3723.8,14.4,53623,827.4,13.02,10773,1508.8,12.3,18558,3838.8,111.97,429827
476,"SANKT GOAR","KOB",655.7,14.43,9462,3237.4,14.61,47299,1251.9,12.54,15699,3497.3,9.37,32770,2030.5,117.14,237850
477,"KREUZNACH","KOB",730.7,14.24,10405,5814.8,13.75,79954,8343.7,9.01,75177,2779,9.73,27040,4037.2,81.95,330847
478,"SIMMERN","KOB",249,12.85,3200,1355,14.4,19512,1196.5,13.02,15578,6263.1,12.3,77036,2622.2,111.97,293608
479,"ZELL","KOB",164.2,12.48,2049,1325.9,14.61,19371,377.7,12.54,4736,2208.1,9.37,20690,1848.8,117.14,216568
480,"KOCHEM","KOB",396.3,10.74,4256,4174.6,13.75,57401,1439.4,9.01,12969,3047,9.73,29647,2858.9,81.95,234287
481,"MAYEN","KOB",2026.2,11.24,22774,7351.2,11.61,85347,4073.8,9.01,36705,3951.7,9.63,38055,6718.4,92.87,623938
482,"ADENAU","KOB",492.4,10.24,5042,3652.3,13.35,48758,382.2,7.23,2763,4034.1,8.82,35581,2480.6,89.1,221021
483,"AHRWEILER","KOB",1780.7,15.33,27298,3260.9,14.17,46207,177.6,10.08,1790,1539.2,13.11,20179,2210.5,69.06,152657
484,"NEUWIED","KOB",886.9,13.41,11893,5064.9,16.07,81393,478.4,11.54,5521,5466.3,12.4,67782,4777.5,103.53,494615
485,"ALTENKIRCHEN","KOB",199.8,12.67,2531,3639.4,13.95,50770,176.4,10,1764,5721.9,11.12,63628,3864.5,114.21,441365
486,"WETZLAR","KOB",1916.3,12.1,23187,4873.7,13.03,63504,2606.8,10.65,27762,4022.9,10.85,43648,3075.1,101.66,312615
487,"MEISENHEIM","KOB",235.2,11.56,2719,1712.6,14.38,24627,1894.5,15.98,30274,930.1,9.1,8464,1417.8,86.14,122129
488,"KLEVE","DUS",2117.8,18.42,39010,7634.7,19.51,148953,305.1,14.44,4406,5081.2,19.32,98169,2659.2,125.16,332825
489,"REES","DUS",1959.2,16.52,32366,5609.3,16.12,90422,159.2,12.27,1953,2751.2,15.57,42836,2828.9,113.25,320373
490,"KREFELD STADTKREIS","DUS",201,21,4221,254,20.2,5131,22,10.1,222,217,20.5,4449,91,123,11193
491,"KREFELD LANDKREIS","DUS",1679.8,21.89,36771,2897,23.59,68340,13.8,16,221,2420.7,22.18,53691,1106.7,104.12,115230
492,"DUISBURG","DUS",18,16.65,300,235,15.67,3682,1,7.34,7,150,11.75,1763,425,78.33,33290
493,"MULHEIM","DUS",535.4,19.46,10419,1491.5,19.83,29576,5.5,9.63,53,796.8,18.62,14836,1104.2,110.23,121716
494,"RUHRORT","DUS",944.8,16.57,15655,4261,17.04,72607,52.6,12.73,670,1833.9,16.55,30351,1720.7,89.6,154175
495,"ESSEN STADTKREIS","DUS",4.5,13.7,62,19,15,285,0,0,0,6,13,78,116,83,9628
496,"ESSEN LANDKREIS","DUS",1461.7,17.64,25784,2366.3,17.74,41978,30.4,13.5,410,1950.9,12.87,25108,1717.1,110.04,188950
497,"MORS","DUS",4105.6,18.42,75625,7680.3,19.05,146310,384.9,14.76,5681,5544.9,16.8,93154,3997.3,108.92,435386
498,"GELDERN","DUS",2125.9,14.55,30932,7247.6,17.27,125166,680.1,13.88,9440,4284.9,14.16,60674,3550.7,107.13,380386
499,"KEMPEN","DUS",2573.6,19.68,50648,6774.8,19.71,133531,26.5,15.5,411,4265.9,19.3,82332,3199.6,120.7,386192
500,"DUSSELDORF STADTKREIS","DUS",87,20.6,1792,470,20.5,9635,0,0,0,385,20.7,7970,506,109.7,55508
501,"DUSSELDORF LANDKREIS","DUS",3432.8,18.87,64777,4906.3,19.14,93907,20.7,15,311,3769.5,18.54,69887,1850.5,110.21,203944
502,"ELBERFELD","DUS",15,20,300,130,7.5,975,0,0,0,239.6,9,2156,95,130,12350
503,"BARMEN","DUS",0,0,0,74.6,23,1716,0,0,0,83.4,16.76,1398,85.3,145.5,12411
504,"METTMANN","DUS",1896.8,15.81,29988,3134.2,14.73,46167,18.2,11,200,3367.8,13.78,46408,1059.3,105.5,111756
505,"REMSCHEID","DUS",0,0,0,55,20,1100,0,0,0,110,13,1430,115,150,17250
506,"LENNEP","DUS",2.5,11.5,29,1521.4,14.05,21376,0,0,0,2499.6,10.86,27146,1232.4,120.64,148677
507,"SOLINGEN STADTKREIS","DUS",50,15,750,147,18.5,2720,1.4,12,17,161,16,2576,81,100,8100
508,"SOLINGEN LANDKREIS","DUS",1204.5,17,20477,4495.1,16.79,75473,27.8,14.83,412,3272.9,12.6,41239,1924.3,98.4,189351
509,"NEUSS","DUS",3223.5,19.14,61698,5097.4,18.69,95270,95.1,16.44,1563,3804.2,17.48,66497,2282.5,106.26,242538
510,"GREVENBROICH","DUS",3986.2,21.67,86381,3445.1,21.15,72864,97.5,19.81,1931,3636.3,22.21,80762,1308.3,115.04,150507
511,"MUNCHEN GLADBACH","DUS",15,18,270,200,20,4000,0,0,0,101,15,1515,96,40,3840
512,"GLADBACH","DUS",1714.2,19.39,33238,3893.8,20.2,78655,19.6,13.6,267,2651.4,19.33,51252,1816,97.71,177441
513,"WIPPERFURTH","KOL",23.5,14.67,345,2156.7,15.38,33170,0,0,0,4296,14.5,62292,1944.5,121.56,236373
514,"WALDBROL","KOL",35,15,525,1823.4,16.75,30542,55,14.97,823,3865.8,11.92,46080,1956,116.67,228207
515,"GUMMERSBACH","KOL",101.1,12.06,1219,1395.7,15.27,21312,134.3,11.1,1491,4268.9,13.09,55880,1941.6,128.64,249767
516,"SIEGKREIS","KOL",3287.7,15.88,52209,7544.8,16.21,122301,346.4,14.24,4933,8641.7,15.37,132823,5304.3,89.49,474682
517,"MULHEIM","KOL",1730.5,13.76,23812,4284.1,15.91,68160,57.4,14.54,835,3645.5,14.66,53443,2375.9,85.89,204066
518,"KOLN STADTKREIS","KOL",1206,25,30150,1037,21,21777,80,10,800,1456,15.4,22422,642,92,59064
519,"KOLN LANDKREIS","KOL",4840.7,21.81,105576,4936.5,19.7,97249,579.5,21.85,12662,4672.2,18.52,86529,1989.2,111.67,222134
520,"BERGHEIM","KOL",5521.6,22.15,122303,5391.4,20.5,110524,254.5,17.41,4431,5415.9,19.89,107722,1475.1,92.82,136919
521,"EUSKIRCHEN","KOL",4717.6,22.13,104400,5388,19.09,102857,1156.2,21.03,24315,5677.2,20.9,118653,2244.5,107.35,240947
