kreiskey1882,county,rb,occ1882_se_agr_pr,occ1882_emp_agr_pr,occ1882_se_for_pr,occ1882_emp_for_pr,occ1882_se_agr_cat,occ1882_emp_agr_cat,occ1882_se_for_cat,occ1882_emp_for_cat,occ1882_se_agr_jew,occ1882_emp_agr_jew,occ1882_se_for_jew,occ1882_emp_for_jew,occ1882_se_agr_tot,occ1882_emp_agr_tot,occ1882_se_for_tot,occ1882_emp_for_tot
111,"BELGARD","KOS",2000,8367,2,91,0,13,0,2,1,0,0,0,2001,8380,2,93
112,"KOLBERG-KORLIN","KOS",2189,7312,82,115,2,38,0,8,0,0,0,0,2191,7350,82,123
113,"KOSLIN","KOS",2232,6000,115,110,1,8,0,1,0,0,0,0,2235,6011,115,111
114,"BUBLITZ","KOS",1100,3753,3,60,1,4,0,0,0,0,0,0,1101,3757,3,60
115,"SCHLAWE","KOS",5290,13354,130,315,2,8,0,1,1,0,0,0,5297,13362,130,316
116,"RUMMELSBURG","KOS",1594,6186,12,122,4,40,0,0,1,0,0,0,1602,6229,12,122
117,"STOLP","KOS",4658,16721,141,256,10,58,0,1,0,1,0,0,4672,16790,141,257
118,"LAUENBURG","KOS",1583,7292,50,108,117,713,0,6,4,2,0,0,1722,8051,50,114
119,"BUTOW","KOS",980,3066,3,66,268,917,0,2,1,1,0,0,1253,3990,3,68
120,"RUGEN","STR",1202,8526,638,260,0,18,0,1,0,0,0,0,1202,8544,638,261
121,"STRALSUND","STR",170,345,163,91,0,0,1,0,0,0,0,0,170,345,164,91
122,"FRANZBURG","STR",869,7773,142,212,0,19,0,0,0,1,0,0,870,7796,142,213
123,"GREIFSWALD","STR",655,7659,338,257,0,179,0,0,0,0,0,0,656,7839,338,257
124,"GRIMMEN","STR",980,7667,62,120,0,43,0,0,0,0,0,0,980,7710,62,120
125,"WRESCHEN","POS",128,294,1,11,1362,8283,4,26,2,3,0,0,1492,8580,5,37
126,"PLESCHEN","POS",408,1197,1,22,2243,12263,6,77,6,6,0,0,2658,13470,7,99
127,"SCHRODA","POS",485,1434,2,18,1600,11245,11,49,5,2,0,0,2090,12685,13,67
128,"SCHRIMM","POS",575,1540,3,19,1871,10984,22,125,5,4,0,0,2451,12528,25,144
129,"KOSTEN","POS",354,1040,3,21,3233,14349,8,57,3,0,0,0,3590,15389,11,78
130,"BUK","POS",1484,3653,4,43,1564,9203,4,70,3,2,0,0,3051,12858,8,113
131,"POSEN","POS",21,37,4,1,37,231,11,17,2,0,0,0,60,268,15,18
132,"POSEN","POS",334,1517,0,30,1521,13455,13,73,10,2,0,0,1865,14974,13,103
133,"OBORNIK","POS",896,3053,5,84,856,7812,10,61,2,14,0,0,1754,10879,15,145
134,"SAMTER","POS",673,1839,3,65,935,9734,7,84,4,10,0,0,1612,11583,10,149
135,"BIRNBAUM","POS",1099,3578,22,86,742,5501,9,41,3,2,0,0,1844,9085,31,127
136,"MESERITZ","POS",1680,4709,19,78,1254,4438,7,73,1,0,0,0,2935,9147,26,151
137,"BOMST","POS",2040,3604,9,40,2126,6930,8,46,3,0,0,0,4169,10534,17,86
138,"FRAUSTADT","POS",1276,3210,3,42,2017,8459,3,115,1,0,0,0,3300,11671,6,157
139,"KROBEN","POS",987,2471,3,29,3341,12753,1,44,1,1,0,0,4329,15227,4,73
140,"KROTOSCHIN","POS",846,2081,4,41,3056,10607,1,45,7,1,0,0,3909,12689,5,86
141,"ADELNAU","POS",718,1519,0,28,3356,9752,4,80,4,2,0,0,4078,11274,4,109
142,"SCHILDBERG","POS",766,1989,0,40,3778,11665,1,65,19,15,0,0,4563,13669,1,105
143,"CZARNIKAU","BRO",2983,6965,10,87,1029,5168,4,50,5,12,0,0,4017,12145,14,137
144,"KOLMAR","BRO",1845,4761,11,64,667,3559,17,24,2,0,0,0,2518,8327,28,88
145,"WIRSITZ","BRO",1342,4951,11,50,941,6226,6,26,1,1,0,0,2284,11178,17,76
146,"BROMBERG","BRO",35,97,3,6,9,54,1,3,2,2,0,0,46,154,4,9
147,"BROMBERG","BRO",2167,4842,21,122,1378,5542,12,40,1,2,0,0,3552,10386,34,164
148,"SCHUBIN","BRO",1537,3320,4,51,1307,8176,14,96,10,5,0,0,2854,11501,18,147
149,"INOWRAZLAW","BRO",1395,4240,5,44,1710,16088,4,36,9,7,1,0,3116,20360,10,80
150,"MOGILNO","BRO",620,2010,2,16,1235,9009,16,37,9,2,2,0,1868,11021,20,53
151,"GNESEN","BRO",568,1456,2,48,1487,11283,20,88,2,3,0,0,2057,12742,22,136
152,"WONGROWITZ","BRO",491,1593,2,31,1289,12354,21,99,5,1,0,0,1785,13948,23,130
153,"NAMSLAU","BRE",1203,4426,3,74,855,4189,1,28,3,1,0,0,2061,8616,4,102
154,"WARTENBERG","BRE",2472,6054,7,147,1472,4075,1,43,3,1,0,0,3947,10130,8,190
155,"OLS","BRE",3183,11755,2,181,398,1888,1,26,4,1,0,0,3586,13646,3,207
156,"TREBNITZ","BRE",3104,10086,5,79,755,2655,2,25,4,1,0,0,3868,12750,7,104
157,"MILITSCH","BRE",2949,8034,7,123,677,2358,1,36,0,0,0,0,3628,10395,8,159
158,"GUHRAU","BRE",2028,6469,8,64,441,1748,1,17,1,0,0,0,2471,8223,9,81
159,"STEINAU","BRE",1096,4056,12,45,303,1155,6,12,0,0,0,0,1399,5211,18,57
160,"WOHLAU","BRE",2408,7002,5,68,890,2888,2,36,1,0,0,0,3300,9896,7,104
161,"NEUMARKT","BRE",1617,6340,5,44,1213,5459,1,25,2,0,0,0,2842,11806,6,69
162,"BRESLAU","BRE",285,724,8,14,74,346,2,4,5,7,0,0,369,1083,10,18
163,"BRESLAU","BRE",2176,11108,2,34,1166,7243,5,28,8,5,0,0,3355,18359,7,62
164,"OHLAU","BRE",1939,6890,2,110,1469,5435,1,22,2,1,0,0,3412,12326,3,132
165,"BRIEG","BRE",2826,8380,15,135,133,1521,1,19,0,1,0,0,2960,9904,16,154
166,"STREHLEN","BRE",1552,5297,0,9,171,1470,1,9,2,0,0,0,1726,6769,1,18
167,"NIMPTSCH","BRE",1191,5857,0,16,231,1891,1,8,0,0,0,0,1422,7748,1,24
168,"MUNSTERBERG","BRE",368,1322,1,7,1648,5872,0,15,0,0,0,0,2016,7194,1,22
169,"FRANKENSTEIN","BRE",502,1499,3,40,2343,7080,4,125,0,0,0,0,2845,8579,7,165
170,"REICHENBACH","BRE",1259,4337,1,118,354,2043,1,37,0,1,0,0,1615,6388,2,155
171,"SCHWEIDNITZ","BRE",1845,7530,2,83,830,4402,0,48,0,0,0,0,2676,11934,2,131
172,"STRIEGAU","BRE",831,3917,0,16,385,2420,0,9,1,0,0,0,1218,6338,0,25
173,"WALDENBURG","BRE",1699,4155,4,186,96,875,0,44,0,1,0,0,1800,5043,4,231
174,"GLATZ","BRE",27,98,2,15,3010,7766,4,233,1,0,0,0,3039,7867,6,248
175,"NEURODE","BRE",10,35,2,13,2046,4169,1,130,0,0,0,0,2057,4208,3,143
