kreiskey1858,county,rb,land1866_knight_estates
252,"WARBURG","MIN",18
253,"WIEDENBRUCK","MIN",1
254,"AHAUS","MUN",3
255,"BECKUM","MUN",13
256,"BORKEN","MUN",5
257,"KOESFELD","MUN",16
258,"LUDINGHAUSEN","MUN",30
259,"MUNSTER LANDKREIS","MUN",19
260,"MUNSTER STADTKREIS","MUN",0
261,"RECKLINGHAUSEN LANDKREIS","MUN",18
262,"STEINFURT","MUN",5
263,"TECKLENBURG","MUN",6
264,"WARENDORF","MUN",12
265,"ALTENA","ARN",8
266,"ARNSBERG","ARN",14
267,"BOCHUM LANDKREIS","ARN",21
268,"BRILON","ARN",10
269,"DORTMUND LANDKREIS","ARN",28
270,"HAGEN LANDKREIS","ARN",13
271,"HAMM LANDKREIS","ARN",20
272,"ISERLOHN","ARN",12
273,"LIPPSTADT","ARN",16
274,"MESCHEDE","ARN",12
275,"OLPE","ARN",4
276,"SIEGEN","ARN",1
277,"SOEST","ARN",26
278,"WITTGENSTEIN","ARN",0
279,"BARMEN","DUS",0
280,"DUSSELDORF LANDKREIS","DUS",30
281,"DUISBURG","DUS",11
282,"ESSEN LANDKREIS","DUS",7
283,"ELBERFELD","DUS",1
284,"GELDERN","DUS",29
285,"GLADBACH","DUS",7
286,"GREVENBROICH","DUS",15
287,"KEMPEN","DUS",5
288,"KLEVE","DUS",14
289,"KREFELD LANDKREIS","DUS",6
290,"LENNEP","DUS",0
291,"METTMANN","DUS",8
292,"MORS","DUS",16
293,"NEUSS","DUS",9
294,"REES","DUS",7
295,"SOLINGEN LANDKREIS","DUS",13
296,"BERGHEIM","KOL",23
297,"BONN LANDKREIS","KOL",16
298,"EUSKIRCHEN","KOL",29
299,"GUMMERSBACH","KOL",2
300,"KOLN LANDKREIS","KOL",21
301,"KOLN STADTKREIS","KOL",1
302,"MULHEIM RHEIN LANDKREIS","KOL",14
303,"RHEINBACH","KOL",15
304,"SIEGKREIS","KOL",15
305,"WALDBROL","KOL",0
306,"WIPPERFURTH","KOL",3
307,"AACHEN LANDKREIS","AAC",12
308,"AACHEN STADTKREIS","AAC",1
309,"DUREN","AAC",21
310,"ERKELENZ","AAC",9
311,"EUPEN","AAC",4
312,"GEILENKIRCHEN","AAC",8
313,"HEINSBERG","AAC",10
314,"JULICH","AAC",20
315,"MALMEDY","AAC",0
316,"MONTJOIE","AAC",0
317,"SCHLEIDEN","AAC",6
318,"ADENAU","KOB",2
319,"AHRWEILER","KOB",8
320,"ALTENKIRCHEN","KOB",2
321,"SANKT GOAR","KOB",0
322,"KOBLENZ LANDKREIS","KOB",3
323,"KOCHEM","KOB",0
324,"KREUZNACH","KOB",6
325,"MAYEN","KOB",5
326,"NEUWIED","KOB",6
327,"SIMMERN","KOB",1
328,"WETZLAR","KOB",2
329,"ZELL","KOB",0
330,"BERNKASTEL","TRI",0
331,"BITBURG","TRI",0
332,"DAUN","TRI",0
333,"MERZIG","TRI",2
334,"OTTWEILER","TRI",2
335,"PRUM","TRI",0
336,"SAARBRUCKEN","TRI",0
337,"SAARBURG","TRI",1
338,"SAARLOUIS","TRI",1
339,"TRIER LANDKREIS","TRI",4
340,"TRIER STADTKREIS","TRI",1
341,"SANKT WENDEL","TRI",0
342,"WITTLICH","TRI",1
