kreiskey1883,county,rb,land1882_far_ext_un1,land1882_far_ext_1to2,land1882_far_ext_2to10,land1882_far_ext_10to50,land1882_far_ext_50to100,land1882_far_ext_ov100,land1882_far_ext_tot,land1882_area_ext_un1,land1882_area_ext_1to2,land1882_area_ext_2to10,land1882_area_ext_10to50,land1882_area_ext_50to100,land1882_area_ext_ov100,land1882_area_ext_tot
52,"KULM","MAR",3199,643,1111,595,82,127,5757,1002,1003,5483,14598,4975,54230,81291
53,"GRAUDENZ LANDKREIS","MAR",2962,574,796,659,120,114,5225,1016,864,3811,17856,7582,43306,74435
54,"SCHWETZ","MAR",4097,1241,2169,1132,111,99,8849,1513,2027,11594,28984,9140,58365,111623
55,"TUCHEL","MAR",1282,342,702,548,90,64,3028,496,564,3805,14467,6817,23317,49466
56,"KONITZ","MAR",1917,562,912,913,239,60,4603,768,995,7298,37394,26239,33759,106453
57,"SCHLOCHAU","MAR",2535,1172,1649,1399,297,211,7263,1100,1639,11867,45360,24978,74128,159072
58,"FLATOW","MAR",3044,952,2121,1645,204,122,8088,1261,1398,11408,44351,15158,53053,126629
59,"DEUTSCH KRONE","MAR",3204,689,1073,1584,255,202,7007,1201,1153,6955,51451,21033,101404,183197
60,"BERLIN","BER",1530,56,110,35,6,2,1739,198,85,527,705,351,405,2271
61,"PRENZLAU","POT",4862,440,437,579,224,141,6683,1339,622,2109,17825,14921,67564,104380
62,"TEMPLIN","POT",4757,771,905,775,126,112,7446,1998,1196,5312,22643,9499,48104,88752
63,"ANGERMUNDE","POT",6233,881,1242,1093,84,76,9609,2115,1298,6380,26166,5916,43989,85864
64,"OBERBARNIM","POT",6258,553,924,1047,157,74,9013,1619,881,4859,27354,11569,51282,97564
65,"NIEDERBARNIM","POT",7570,1269,1791,1487,222,74,12413,2568,2030,10063,47581,16858,29863,108963
66,"CHARLOTTENBURG","POT",166,40,56,8,0,1,271,47,57,274,160,0,200,738
67,"TELTOW","POT",5476,1274,2292,1551,120,72,10785,2006,2155,13546,51557,8974,32601,110839
68,"BEESKOW-STORKOW","POT",2467,1142,1614,1004,46,52,6325,1323,2160,9008,32331,5496,25759,76077
69,"JUTERBOG-LUCKENWALDE","POT",4473,1136,1893,1274,209,40,9025,1575,1788,11049,50358,16696,17971,99437
70,"ZAUCH-BELZIG","POT",4842,1962,2984,1633,334,73,11828,2005,2963,15699,56919,28373,39909,145868
71,"POTSDAM","POT",132,42,51,4,0,0,229,65,60,202,72,0,0,399
72,"OSTHAVELLAND","POT",5032,526,1030,1198,205,71,8062,1503,877,5720,40091,15428,31831,95450
73,"BRANDENBURG","POT",117,34,125,69,5,1,351,55,60,653,1372,324,151,2615
74,"WESTHAVELLAND","POT",4592,623,836,1004,217,75,7347,1639,1033,4811,35081,16642,45895,105101
75,"RUPPIN","POT",5611,1282,1735,1789,214,101,10732,2275,2356,9899,52375,16618,52088,135611
76,"OSTPRIGNITZ","POT",4418,1315,1858,2236,283,132,10242,3207,2068,12285,66194,22675,51497,157926
77,"WESTPRIGNITZ","POT",6218,1495,1923,1937,113,89,11775,2234,2361,9943,60815,8409,39675,123437
78,"KONIGSBERG IN NEUMARK","FRA",6353,1178,1798,1575,122,87,11113,2184,1723,9044,36064,9546,59659,118220
79,"SOLDIN","FRA",3888,567,901,810,95,93,6354,1183,813,4540,18321,6483,59290,90630
80,"ARNSWALDE","FRA",2419,649,756,912,111,101,4948,833,920,4038,26122,8334,62617,102864
81,"FRIEDEBERG","FRA",3332,836,1808,1098,34,48,7156,1220,1388,11205,27405,3190,35867,80275
82,"LANDSBERG LANDKREIS","FRA",3497,1337,2560,1293,55,35,8777,1372,2130,14406,27350,3746,31761,80765
83,"LEBUS","FRA",8059,951,1459,1681,222,105,12477,2354,1396,8212,40686,17344,59017,129009
84,"FRANKFURT","FRA",390,87,123,41,6,5,652,122,119,479,721,363,1366,3170
85,"WESTSTERNBERG","FRA",3619,825,1235,1081,184,52,6996,1279,1290,7758,30480,14433,30968,86208
86,"OSTSTERNBERG","FRA",2840,643,1393,1187,79,55,6197,1023,1199,9340,33750,7734,32706,85752
87,"ZULLICHAU-SCHWIEBUS","FRA",2209,465,1449,980,27,71,5201,721,702,8401,28053,2398,45173,85448
88,"KROSSEN","FRA",3011,1076,2435,1233,14,45,7814,1433,2066,19250,36325,1427,37559,98060
89,"GUBEN LANDKREIS","FRA",3605,1167,2373,1231,25,39,8440,2047,2725,16684,36730,2818,19953,80957
90,"LUBBEN","FRA",1623,859,1779,1004,62,29,5356,829,1369,11862,33779,5560,17647,71046
91,"LUCKAU","FRA",3625,1360,2762,1482,45,48,9322,1680,2312,20463,46877,4000,35158,110490
92,"KALAU","FRA",3171,1250,2599,943,15,72,8050,1567,2183,20187,25732,2425,32849,84943
93,"KOTTBUS LANDKREIS","FRA",2636,1670,3352,776,7,36,8477,1513,3003,23357,18519,748,15414,62554
94,"SORAU","FRA",3524,1361,2910,988,42,79,8904,1768,3116,22722,28795,5006,27368,88775
95,"SPREMBERG","FRA",1088,592,864,167,2,18,2731,544,1187,7841,5530,387,8966,24455
96,"DEMMIN","STE",5837,431,714,553,133,109,7777,1281,538,3549,13305,8228,61559,88460
97,"ANKLAM","STE",1933,236,384,412,71,69,3105,450,371,1948,10805,4887,40179,58640
98,"USEDOM-WOLLIN","STE",2353,788,1553,549,37,34,5314,809,1186,7707,12091,2940,17825,42558
99,"UCKERMUNDE","STE",3006,951,1374,481,33,26,5871,1062,1410,6326,10812,2786,14803,37199
100,"RANDOW","STE",4001,811,1753,1097,162,107,7931,1504,1750,12199,32789,12480,59425,120147
101,"STETTIN","STE",361,26,33,23,0,2,445,100,46,168,572,0,517,1403
102,"GREIFENHAGEN","STE",3011,655,1525,1045,90,56,6382,1131,972,8153,30133,6358,23553,70300
103,"PYRITZ","STE",3059,294,555,911,131,101,5051,912,440,3013,26367,8747,56300,95779
104,"SAATZIG","STE",3650,739,1591,1449,131,95,7655,1385,1078,8427,38570,8362,48810,106632
105,"NAUGARD","STE",2112,852,2420,1338,79,87,6888,767,1226,13912,33785,6218,35167,91075
106,"KAMMIN","STE",2775,693,1543,795,72,106,5984,821,1070,9170,21526,5330,54818,92735
107,"GREIFENBERG","STE",1854,333,995,768,97,62,4109,599,514,5331,24445,6788,28750,66427
108,"REGENWALDE","STE",3024,582,1072,844,38,143,5703,899,868,5785,20400,2829,81910,112691
109,"SCHIVELBEIN","KOS",1016,347,667,405,53,53,2541,317,516,3569,11859,4316,25336,45913
110,"DRAMBURG","KOS",2654,468,801,733,156,103,4915,1522,663,4227,21318,12696,59694,100120
111,"NEUSTETTIN","KOS",3278,1097,2383,1679,182,182,8801,1486,1777,14197,45548,15840,95560,174408
112,"BELGARD","KOS",2884,616,1314,704,31,112,5661,1224,875,8350,18585,2420,72762,104216
113,"KOLBERG-KORLIN","KOS",2323,574,1274,813,89,83,5156,650,821,7231,21387,6783,48928,85800
114,"KOSLIN","KOS",1967,635,1341,667,16,61,4687,740,1071,7494,16818,941,35902,62966
115,"BUBLITZ","KOS",1275,469,599,421,43,60,2867,555,622,3179,11668,3318,42679,62021
116,"SCHLAWE","KOS",3708,1912,3340,1428,51,89,10528,1834,2832,17558,37620,4059,68138,132041
117,"RUMMELSBURG","KOS",1975,1226,1141,588,26,91,5047,925,1531,6428,13274,2334,74055,98547
118,"STOLP LANDKREIS","KOS",4592,2804,2861,1402,45,195,11899,2127,3883,15987,32113,3480,142447,200037
119,"LAUENBURG IN POMMERN","KOS",2503,1568,996,563,45,119,5794,1108,2112,6127,16508,6718,82012,114585
120,"BUTOW","KOS",1077,524,686,503,60,54,2904,481,796,4594,15355,5191,18237,44654
121,"RUGEN","STR",5547,689,840,539,55,189,7859,901,1104,3746,13199,3861,58472,81283
122,"STRALSUND","STR",257,37,92,30,1,1,418,73,58,482,445,77,542,1677
123,"FRANZBURG","STR",4927,774,552,327,40,154,6774,1543,1231,2683,8241,3103,71376,88177
124,"GREIFSWALD","STR",4139,308,437,218,87,172,5361,994,452,2119,4602,6807,68816,83790
125,"GRIMMEN","STR",4163,505,560,344,115,161,5848,886,777,2475,8600,8547,61961,83246
126,"WRESCHEN","POS",2650,205,692,615,38,99,4299,975,298,4235,11638,3660,46039,66845
127,"PLESCHEN","POS",3875,363,1916,706,19,102,6981,1394,524,11977,11934,1269,72299,99397
128,"SCHRODA","POS",2989,303,712,1154,58,147,5363,1065,444,4392,23215,4481,65024,98621
129,"SCHRIMM","POS",3016,436,1032,1182,23,96,5785,1006,673,6313,24738,1751,56371,90852
130,"KOSTEN","POS",4282,898,1678,1402,42,117,8419,1647,1370,9498,24533,2930,65846,105824
131,"BUK","POS",2792,592,1619,1320,24,62,6409,1020,992,9950,24281,1752,44759,82754
132,"POSEN STADTKREIS","POS",66,6,9,4,2,2,89,18,9,57,108,189,490,871
133,"POSEN LANDKREIS","POS",3606,403,659,1037,61,126,5892,1066,565,3699,21528,4444,68038,99340
134,"OBORNIK","POS",3027,399,588,1039,92,101,5246,913,758,2467,24704,5954,51624,86420
135,"SAMTER","POS",3452,367,745,884,21,97,5566,1208,532,4307,18421,1570,58382,84420
136,"BIRNBAUM","POS",1940,221,657,1160,94,67,4139,696,491,4156,30463,7738,46950,90494
137,"MESERITZ","POS",2058,424,1208,1579,76,59,5404,769,657,8607,43231,6712,45607,105583
138,"BOMST","POS",1903,906,2414,1504,28,47,6802,839,1440,14988,30731,2374,38809,89181
139,"FRAUSTADT","POS",2494,543,1892,1320,27,80,6356,833,808,10865,28036,2232,45675,88449
140,"KROBEN","POS",3409,1023,2940,1128,22,98,8620,1362,1483,16570,17850,1680,55434,94379
141,"KROTOSCHIN","POS",2350,719,2520,1105,37,83,6814,850,1076,14708,18808,2710,42101,80253
142,"ADELNAU","POS",2194,986,2693,931,14,59,6877,962,1476,15198,15664,1607,31814,66721
143,"SCHILDBERG","POS",2379,935,3207,1035,31,77,7664,961,1398,18525,17441,2364,39488,80177
144,"CZARNIKAU","BRO",3658,818,2402,1661,118,77,8734,1298,1332,13221,44472,9991,39187,109501
145,"KOLMAR","BRO",2028,558,1554,1015,75,65,5295,1077,879,9131,27202,6650,32358,77297
146,"WIRSITZ","BRO",3500,459,1121,971,102,129,6282,1224,716,6173,23286,7427,68498,107324
147,"BROMBERG STADTKREIS","BRO",231,14,12,4,5,1,267,80,18,59,89,405,137,788
148,"BROMBERG LANDKREIS","BRO",2910,1008,1505,881,147,129,6580,1105,1700,7813,22786,12042,47241,92687
149,"SCHUBIN","BRO",2909,599,1605,844,76,121,6154,1077,999,8064,20220,5850,75818,112028
150,"INOWRAZLAW","BRO",4720,629,1337,1049,77,214,8026,1727,946,7013,25865,5661,92360,133572
151,"MOGILNO","BRO",3053,451,648,736,158,142,5188,1066,635,3073,18919,11446,54360,89499
152,"GNESEN","BRO",3008,346,699,1118,79,166,5416,1011,504,3836,25437,5553,68358,104699
153,"WONGROWITZ","BRO",4946,294,579,1042,96,161,7118,1901,399,3149,23436,7343,86268,122496
154,"NAMSLAU","BRE",1170,483,1264,557,37,52,3563,409,833,6282,12410,2537,29888,52359
155,"WARTENBERG","BRE",2344,1445,2457,749,10,52,7057,917,1930,11523,13853,680,28695,57598
156,"OLS","BRE",2301,839,2231,758,37,99,6265,830,1263,11319,16976,2307,41691,74386
157,"TREBNITZ","BRE",2613,983,2128,838,48,98,6708,980,1470,10170,18377,3345,36783,71125
158,"MILITSCH","BRE",2131,835,2435,812,17,73,6303,765,1192,13108,15840,1917,30066,62888
159,"GUHRAU","BRE",1390,365,1704,673,29,69,4230,441,553,8872,13848,2161,33176,59051
160,"STEINAU","BRE",782,205,999,371,10,55,2422,248,331,5286,8806,857,22701,38229
161,"WOHLAU","BRE",1808,544,2488,640,28,94,5602,675,855,12482,16023,2483,34694,67212
162,"NEUMARKT","BRE",2706,589,2045,514,63,106,6023,1025,883,9686,13477,4294,39862,69227
163,"BRESLAU STADTKREIS","BRE",325,56,139,8,2,4,534,108,81,643,142,168,1638,2780
164,"BRESLAU LANDKREIS","BRE",3214,674,2222,539,61,136,6846,1084,989,10140,12426,4198,39874,68711
165,"OHLAU","BRE",2139,598,2084,880,61,43,5805,806,710,10314,20035,4220,18635,54720
166,"BRIEG","BRE",1645,508,1853,989,39,25,5059,655,743,9735,22509,2587,7603,43832
167,"STREHLEN","BRE",1068,291,1130,350,35,51,2925,319,435,5154,7912,2459,14397,30676
168,"NIMPTSCH","BRE",874,378,891,238,52,71,2504,296,441,3978,6649,3644,20243,35251
169,"MUNSTERBERG","BRE",882,351,1226,461,37,44,3001,321,556,5537,10776,2562,10000,29752
170,"FRANKENSTEIN","BRE",1450,542,1828,740,32,30,4622,578,861,8933,17584,2686,10876,41518
171,"REICHENBACH","BRE",1566,285,1071,488,17,34,3461,523,492,5067,11254,1179,12766,31281
172,"SCHWEIDNITZ LANDKREIS","BRE",2169,469,1607,721,60,77,5103,677,707,7555,18303,4355,18860,50457
173,"STRIEGAU","BRE",1264,152,830,275,50,44,2615,341,231,4016,7263,3504,14276,29631
174,"WALDENBURG","BRE",1707,484,1249,720,7,6,4173,639,818,7185,14582,930,1744,25898
175,"GLATZ","BRE",1696,951,1918,740,26,30,5361,826,1556,9290,18535,1853,8463,40523
176,"NEURODE","BRE",1081,844,1624,408,10,15,3982,582,1316,7612,9243,1861,5473,26087
177,"HABELSCHWERDT","BRE",1572,1064,2846,1199,33,9,6723,641,1794,16597,28460,2596,8655,58743
178,"GRUNBERG","LIE",2940,1088,2332,766,5,33,7164,1319,1871,15419,20149,389,27717,66864
179,"FREISTADT","LIE",1864,611,1977,984,28,56,5520,666,868,10963,23185,2316,27257,65255
180,"SAGAN","LIE",1806,1010,2624,870,41,53,6404,964,2110,17931,30574,4390,23700,79669
181,"SPROTTAU","LIE",930,381,1472,628,37,38,3486,388,613,7722,16883,2936,22337,50879
182,"GLOGAU","LIE",1926,575,2559,1203,31,88,6382,579,812,13424,26470,2316,38392,81993
183,"LUBEN","LIE",1189,317,1523,479,14,62,3584,376,498,8004,10926,1666,34710,56180
184,"BUNZLAU","LIE",1733,1074,2859,834,54,38,6592,852,1623,15372,24771,5002,18465,66085
185,"GOLDBERG-HAINAU","LIE",1618,594,1953,609,110,75,4959,641,812,9347,15594,9089,22140,57623
186,"LIEGNITZ STADTKREIS","LIE",120,23,84,49,1,1,278,319,29,466,709,59,118,1700
187,"LIEGNITZ LANDKREIS","LIE",2565,534,1773,569,88,94,5623,937,852,8980,14101,5839,24948,55657
188,"JAUER","LIE",1354,269,936,365,34,30,2988,370,465,4342,9555,2418,11378,28528
189,"SCHONAU","LIE",939,389,1341,469,10,22,3170,472,608,7077,13329,952,8471,30909
190,"BOLKENHAIN","LIE",1070,435,1435,477,16,26,3459,415,707,7319,12170,1205,8493,30309
191,"LANDESHUT","LIE",1166,637,1608,713,15,8,4147,558,873,8253,16123,1088,4161,31056
192,"HIRSCHBERG","LIE",2322,997,2048,537,19,14,5937,949,1551,10279,13619,1721,6793,34912
193,"LOWENBERG","LIE",3235,1529,3702,963,68,23,9520,1363,2279,17252,25778,6403,5172,58247
194,"LAUBAN","LIE",3295,1440,2845,604,27,48,8259,1556,2084,12692,14455,2075,12914,45776
195,"GORLITZ STADTKREIS","LIE",81,18,70,26,5,4,204,35,32,400,589,355,3226,4637
196,"GORLITZ LANDKREIS","LIE",1971,924,2686,836,46,50,6513,912,1341,12880,22324,3719,12461,53637
197,"ROTHENBURG","LIE",2811,1407,3075,495,11,61,7860,1366,2403,19961,12593,1288,29207,66818
198,"HOYERSWERDA","LIE",1557,940,2446,713,7,17,5680,828,2079,21109,19878,753,12862,57509
199,"KREUZBURG","OPP",1764,501,1457,556,23,49,4350,535,693,6826,11355,1636,29229,50274
200,"ROSENBERG IN OBERSCHLESIEN","OPP",2220,1167,2420,653,4,40,6504,999,1607,13347,11939,252,30203,58347
201,"OPPELN LANDKREIS","OPP",4774,2766,4868,1625,19,26,14078,2317,4025,24735,28331,1296,13868,74572
202,"GROSS STREHLITZ","OPP",2467,1703,2499,760,9,40,7478,1213,2438,11669,13945,627,26863,56755
203,"LUBLINITZ","OPP",1487,1354,2790,523,10,32,6196,743,1956,14176,9919,605,44115,71514
204,"TOST-GLEIWITZ","OPP",3849,1724,3394,576,9,51,9603,1525,2495,17829,10495,657,33607,66608
205,"TARNOWITZ","OPP",2827,1224,1062,77,2,19,5211,1225,1726,4231,1377,149,11927,20635
206,"BEUTHEN LANDKREIS","OPP",2592,540,569,80,0,8,3789,890,742,2530,1219,0,2806,8187
207,"ZABRZE","OPP",2036,456,627,42,0,8,3169,766,643,2679,652,0,3453,8193
208,"KATTOWITZ LANDKREIS","OPP",3312,687,727,64,1,9,4800,1214,1103,3373,1096,70,2913,9769
209,"PLESS","OPP",5221,3305,4464,1030,22,43,14085,2705,4690,21079,21462,1560,19680,71176
210,"RYBNIK","OPP",3235,2778,4667,528,19,63,11290,1675,4113,21365,10438,1833,21140,60564
211,"RATIBOR","OPP",6984,2824,3643,917,12,71,14451,2953,4169,17754,15331,1479,32226,73912
212,"KOSEL","OPP",3223,1488,2406,669,6,50,7842,1349,2184,11230,11201,467,22388,48819
213,"LEOBSCHUTZ","OPP",3306,1200,3186,1557,33,28,9310,1245,1794,15300,36589,2207,6540,63675
214,"NEUSTADT IN OBERSCHLESIEN","OPP",3234,1404,3295,1543,19,40,9535,1308,2298,15103,27568,1276,22163,69716
215,"FALKENBERG","OPP",1365,545,2208,622,9,50,4799,556,811,11943,10640,1192,25246,50388
216,"NEISSE","OPP",1777,903,2963,1640,38,39,7360,763,1404,14339,34925,2909,8329,62669
217,"GROTTKAU","OPP",972,296,1855,955,16,56,4150,350,443,9934,21427,1214,17622,50990
218,"OSTERBURG","MAG",4169,774,1345,1235,235,113,7871,1458,1178,7542,41089,18988,30318,100573
219,"SALZWEDEL","MAG",2651,1449,2586,1663,190,22,8561,1180,2206,13128,64115,16939,7468,105036
220,"GARDELEGEN","MAG",3329,1568,2599,1289,160,32,8977,1487,2485,14274,47606,15621,19774,101247
221,"STENDAL","MAG",4576,675,1101,1458,120,35,7965,1496,1040,5800,43148,9101,15361,75946
222,"JERICHOW I","MAG",5164,1205,1696,1385,159,85,9694,2193,1797,9100,40843,12972,39961,106866
223,"JERICHOW II","MAG",5273,1135,1513,1488,142,69,9620,2347,1746,9119,52015,11346,39630,116203
224,"KALBE","MAG",6979,1066,1241,541,34,32,9893,2537,1463,5845,11244,2316,20413,43818
225,"WANZLEBEN","MAG",8109,1318,1242,372,22,55,11118,2948,1828,5756,7171,1617,35677,54997
226,"MAGDEBURG","MAG",632,58,109,89,2,5,895,172,94,603,1731,167,1013,3780
227,"WOLMIRSTEDT","MAG",5684,1296,1319,729,42,38,9108,2472,1795,8368,19136,3976,16950,52697
228,"NEUHALDENSLEBEN","MAG",6227,850,1136,685,65,52,9015,2393,1282,5529,15033,4854,25042,54133
229,"OSCHERSLEBEN","MAG",5490,911,1165,454,30,36,8086,2074,1281,5556,9236,2119,21368,41634
230,"ASCHERSLEBEN","MAG",4700,967,1278,345,60,39,7389,1759,1348,6094,6745,4790,15728,36464
231,"HALBERSTADT LANDKREIS","MAG",3581,1003,1498,639,58,37,6816,1515,1398,7509,13022,3963,13706,41113
232,"WERNIGERODE","MAG",2024,337,701,174,5,11,3252,695,493,3553,3008,327,3307,11383
233,"LIEBENWERDA","MER",2690,976,2288,1297,41,31,7323,1079,1525,13224,33256,3107,10369,62560
234,"TORGAU","MER",2258,687,1743,1174,86,56,6004,913,1022,9190,29583,5829,14139,60676
235,"SCHWEINITZ","MER",2430,904,2137,1380,109,38,6998,1048,1382,11735,44754,10716,13717,83352
236,"WITTENBERG","MER",2464,836,1734,985,202,23,6244,1073,1245,9861,30809,16739,8993,68720
237,"BITTERFELD","MER",3856,809,1555,777,78,44,7119,1562,1242,8840,18823,6097,13431,49995
238,"SAALKREIS","MER",7972,809,819,557,87,79,10323,2294,1131,4087,13689,5994,20320,47515
239,"HALLE","MER",64,11,11,8,3,3,100,19,16,53,278,218,795,1379
240,"DELITZSCH","MER",2623,579,1217,1300,134,66,5919,909,929,6755,31838,9776,17192,67399
241,"MANSFELDER GEBIRGSKR","MER",4975,832,1250,413,31,40,7541,2210,1259,6288,8899,3933,11975,34564
242,"MANSFELDER SEEKREIS","MER",6549,906,936,399,127,85,9002,2295,1298,4386,9646,8873,26629,53127
243,"SANGERHAUSEN","MER",6411,1508,2570,688,35,59,11271,2696,2195,12147,12836,2395,18549,50818
244,"ECKARTSBERGA","MER",2753,1007,1984,775,28,47,6594,1258,1384,11285,17214,2011,12435,45587
245,"QUERFURT","MER",4638,1039,1859,1011,69,54,8670,1793,1536,9397,21989,5643,18646,59004
246,"MERSEBURG","MER",4229,689,1628,1125,62,59,7792,1348,995,8849,23347,4380,14172,53091
247,"WEISSENFELS LANDKREIS","MER",4009,684,1594,1029,45,40,7401,1367,1058,9752,20850,3219,10143,46389
248,"NAUMBURG","MER",1397,246,633,333,8,8,2625,392,376,3704,6379,1259,1887,13997
249,"ZEITZ LANDKREIS","MER",2529,283,652,536,33,21,4054,729,442,3382,11700,2330,3920,22503
250,"NORDHAUSEN STADTKREIS","ERF",211,22,32,21,4,1,291,46,30,170,526,291,311,1374
251,"NORDHAUSEN LANDKREIS","ERF",3113,892,1358,473,45,40,5921,1441,1284,6785,10569,4020,9563,33662
252,"WORBIS","ERF",3712,1694,2172,477,13,24,8092,1917,2463,9839,9907,1006,6377,31509
253,"HEILIGENSTADT","ERF",2958,1052,1737,677,28,16,6468,1433,1660,8288,15619,2296,2968,32264
254,"MUHLHAUSEN LANDKREIS","ERF",3007,997,2298,671,17,13,7003,1808,2243,13049,12484,1394,3832,34810
255,"LANGENSALZA","ERF",1837,853,2335,690,20,22,5757,877,1240,11428,12211,1346,5266,32368
256,"WEISSENSEE","ERF",2252,857,1518,432,23,26,5108,938,1258,7181,8214,1958,7477,27026
257,"ERFURT STADTKREIS","ERF",131,62,95,50,4,0,342,47,87,513,1254,268,0,2169
