id1816,kreiskey1800,county,rb,edu1816_pub_ele_stud_m,edu1816_pub_ele_stud_f,edu1816_pri_ele_stud_m,edu1816_pri_ele_stud_f,edu1816_pub_mim_stud_m,edu1816_pub_mif_stud_f,edu1816_pri_mim_stud_m,edu1816_pri_mif_stud_f,edu1816_pub_gel_stud_m
88,161,"Halberstadt","MAG",341,335,0,0,300,320,12,8,260
89,158,"(Neu-)Haldensleben","MAG",2934,2942,0,0,170,0,0,0,0
90,169,"Halle","MER",1107,1224,59,85,198,95,25,20,425
91,202,"Halle","MIN",2087,1777,0,0,0,0,0,0,0
92,214,"Hamm","ARN",2331,2033,0,0,0,0,0,0,122
93,60,"(Ost-)Havelland","POT",2212,1964,0,0,97,0,0,0,0
94,61,"(West-)Havelland","POT",2219,2109,20,100,296,36,0,0,35
95,181,"Heiligenstadt","ERF",2261,2015,20,40,31,12,0,0,92
96,2,"Heilsberg","KON",1554,856,0,0,0,0,0,0,0
97,272,"Heinsberg","AAC",1525,1211,0,0,0,0,0,0,0
98,201,"Herford","MIN",1568,1432,0,0,0,0,35,23,64
99,29,"Hirschberg","LIE",4236,4563,20,14,181,61,16,7,206
100,208,"Höxter","MIN",1724,1598,0,0,0,0,0,0,0
101,224,"Homburg","KOL",,,,,,,,,
102,143,"Jauer","LIE",1614,1611,0,0,78,79,0,0,0
103,153,"1. Jerichow","MAG",2918,2732,143,140,66,78,0,0,0
104,152,"2. Jerichow","MAG",2806,2708,0,0,0,0,0,0,0
105,21,"Inowrazlaw","BRO",798,545,0,15,0,0,0,0,0
106,9,"Johannsburg","GUM",1926,1734,0,0,0,0,0,0,0
107,218,"Iserlohn","ARN",1793,1708,0,0,67,0,0,0,0
108,274,"Jülich","AAC",1803,1451,12,0,0,0,0,0,0
109,57,"Jüterbok","POT",2273,2306,0,0,139,148,0,0,0
110,77,"Kalau","FRA",1646,1684,0,0,0,0,0,0,0
111,154,"Kalbe","MAG",2080,2140,0,0,262,122,0,0,0
112,87,"Kammin","STE",1275,1084,0,0,0,0,0,0,0
113,238,"Kempen","DUS",1393,1180,0,0,0,0,0,0,0
114,234,"Kleve","DUS",2011,1536,94,32,0,0,0,0,0
115,248,"Koblenz","KOB",2221,2217,0,0,315,390,0,0,156
116,252,"Kochem","KOB",1480,1457,0,0,0,0,0,0,0
117,229,"Köln","KOL",,,0,0,0,0,150,300,350
118,65,"Königsberg","FRA",2818,2875,0,0,0,0,0,50,46
119,195,"Koesfeld","MUN",2293,2169,0,0,0,0,0,0,18
120,14,"Konitz","MAR",2221,1813,0,0,0,0,0,0,0
121,128,"Kosel","OPP",1136,975,0,0,0,0,0,0,0
122,41,"Kosten","POS",523,376,0,0,0,0,0,0,0
123,78,"Kottbus","FRA",1933,1882,96,183,0,0,0,0,42
124,239,"Krefeld","DUS",1364,1213,200,200,0,0,19,0,0
125,120,"Kreutzburg","OPP",1605,1477,0,0,0,0,0,0,0
126,250,"Kreutznach","KOB",2410,2116,16,44,0,0,18,0,50
127,47,"Kröben","POS",935,704,0,0,111,240,6,10,0
128,23,"(Deutsch)Krone","MAR",1746,1476,0,0,0,0,0,0,0
129,75,"Krossen","FRA",2431,2196,0,0,33,0,0,0,0
130,33,"Krotoschin","POS",935,611,0,0,143,0,82,0,0
131,65,"Küstrin","FRA",2271,1911,0,65,157,106,41,84,0
132,12,"Kulm","MAR",1266,1124,0,0,39,0,0,25,71
133,69,"Landsberg","FRA",2847,2382,284,257,63,0,0,0,0
134,183,"Langensalza","ERF",1754,1711,24,26,237,198,55,0,0
135,145,"Lauban","LIE",1883,1945,131,99,77,14,0,0,39
136,35,"Lauenburg","KOS",1345,1168,0,0,0,0,0,0,0
137,70,"Lebus","FRA",2064,1911,0,0,0,0,0,0,0
138,231,"Lechenich","KOL",,,,,,,,,
139,242,"Lennep","DUS",3043,2628,0,0,60,0,16,0,0
140,129,"Leobschütz","OPP",4451,4380,0,0,0,0,0,0,200
141,162,"Liebenwerda","MER",1981,2088,0,0,0,0,0,0,0
142,142,"Liegnitz","LIE",2817,2753,24,3,0,0,0,86,178
