id1816,kreiskey1800,county,rb,land1816_far_ext_ov300,land1816_far_ext_15to30,land1816_far_ext_un15
142,142,"Liegnitz","LIE",45,597,2243
143,212,"Lippstadt","ARN",11,1097,2248
144,144,"Löwenberg","LIE",42,1340,8329
145,124,"Lublinitz","OPP",14,957,1592
146,76,"Luckau","FRA",56,1992,1919
147,34,"Lübben","FRA",65,1482,1493
148,139,"Lüben","LIE",43,393,1625
149,191,"Lüdingshausen","MUN",29,1243,1437
150,155,"Magdeburg","MAG",2,64,371
151,253,"Maien","KOB",9,1311,5687
152,281,"Malmedy","AAC",4,949,1488
153,171,"Mansfeld, Gebirgskreis","MER",36,740,2398
154,170,"Mansfeld, Seekreis","MER",51,1337,2384
155,11,"Marienburg","DAN",24,2604,2168
156,17,"Marienwerder","MAR",86,2007,843
157,38,"Memel","KON",16,1533,463
158,175,"Merseburg","MER",29,1458,2872
159,267,"Merzig","TRI",5,887,1977
160,25,"Meseritz","POS",64,1595,988
161,106,"Militsch","BRE",55,519,2679
162,199,"Minden","MIN",12,1787,3024
163,3,"Mohrungen","KON",195,3274,729
164,279,"Montjoie","AAC",0,318,2294
165,182,"Mühlhausen","ERF",8,1498,2040
166,227,"Mühlheim","KOL",,,
167,192,"Münster","MUN",27,1502,1680
168,116,"Münsterberg","BRE",22,619,1867
169,102,"Namslau","BRE",39,669,1573
170,86,"Naugard","STE",27,619,67
171,177,"Naumburg","MER",0,107,267
172,4,"Neidenburg","KON",105,5404,450
173,132,"Neisse","OPP",71,2125,3075
174,110,"Neumarkt","BRE",47,624,2292
175,244,"Neuss","DUS",10,854,1870
176,130,"Neustadt","OPP",27,1012,3080
177,256,"Neuwied","KOB",0,895,4213
178,8,"Niederung","GUM",11,2139,707
179,115,"Nimptsch","BRE",39,386,1402
180,179,"Nordhausen","ERF",44,1095,1816
181,42,"Obernik","POS",56,732,1292
182,104,"Oels","BRE",62,873,3271
183,112,"Ohlau","BRE",38,925,2379
184,9,"Oletzko","GUM",32,4227,341
185,122,"Oppeln","OPP",23,2291,2188
186,159,"Oschersleben","MAG",49,1238,2810
187,148,"Osterburg","MAG",74,1499,1110
188,37,"Osterwiek","MAG",37,1386,2836
189,270,"Ottweiler","TRI",3,1473,1287
190,205,"Paderborn","MIN",6,891,1277
191,84,"Piritz","STE",76,1483,419
192,31,"Pless","OPP",44,1494,4696
193,24,"Posen","POS",80,1330,1575
