kreiskey1882,county,rb,occ1882_se_utb_pr,occ1882_emp_utb_pr,occ1882_unemp_pr,occ1882_ukn_pr,occ1882_dom_pr,occ1882_wif_pr,occ1882_sum_pr,occ1882_se_utb_cat,occ1882_emp_utb_cat,occ1882_unemp_cat,occ1882_ukn_cat,occ1882_dom_cat,occ1882_wif_cat,occ1882_sum_cat,occ1882_se_utb_jew,occ1882_emp_utb_jew,occ1882_unemp_jew,occ1882_ukn_jew,occ1882_dom_jew,occ1882_wif_jew,occ1882_sum_jew,occ1882_se_utb_tot,occ1882_emp_utb_tot,occ1882_unemp_tot,occ1882_ukn_tot,occ1882_dom_tot,occ1882_wif_tot,occ1882_sum_tot
442,"TRIER","TRI",0,1,7,3,9,599,965,1,81,232,49,511,35750,64056,0,0,12,0,3,498,763,1,82,251,52,523,36858,65803
443,"SAARBURG","TRI",0,0,2,0,0,110,173,0,111,259,32,312,17902,30254,0,0,5,0,1,208,313,0,111,266,32,313,18220,30740
444,"MERZIG","TRI",0,0,71,0,6,127,296,4,172,686,18,413,21549,36573,0,0,15,0,7,205,340,4,172,772,18,426,21881,37209
445,"SAARLOUIS","TRI",0,1,29,5,54,1018,2394,2,119,978,225,876,36903,62756,0,0,20,0,9,590,918,2,120,1027,230,939,38532,66108
446,"SAARBRUCKEN","TRI",1,80,1350,66,937,28153,44644,0,107,1428,96,1237,40552,64717,0,0,5,0,4,220,398,1,187,2787,162,2179,68970,109838
447,"OTTWEILER","TRI",0,23,687,42,333,13996,21829,1,23,1090,66,608,27783,43239,0,0,21,0,5,467,690,1,46,1798,108,946,42288,65819
448,"SANKT WENDEL","TRI",0,4,75,26,339,13351,21502,0,17,200,81,389,15007,23773,0,0,10,1,1,310,440,0,21,285,108,729,28674,45725
449,"ERKELENZ","AAC",0,0,60,2,31,1038,1824,0,7,559,19,909,19626,36427,0,0,3,0,2,96,167,0,7,622,21,942,20760,38418
450,"HEINSBERG","AAC",0,0,23,0,9,579,865,0,17,327,66,689,18801,33610,0,0,9,0,4,131,213,0,17,359,66,702,19511,34688
451,"GEILENKIRCHEN","AAC",0,0,8,0,7,160,292,0,21,262,75,613,14017,25310,0,0,6,0,4,172,272,0,21,276,75,624,14349,25874
452,"JULICH","AAC",0,1,43,0,20,617,1604,0,94,696,24,1222,21540,39361,0,0,24,1,7,380,624,0,95,763,25,1249,22537,41590
453,"DUREN","AAC",1,5,102,5,46,898,1707,2,649,1163,253,1818,38702,69700,0,0,16,2,13,553,852,3,654,1281,260,1877,40153,72259
454,"AACHEN","AAC",2,38,280,4,192,2703,5352,7,996,3170,32,3521,43106,79361,0,1,34,0,24,749,1241,9,1035,3486,36,3738,46572,85992
455,"AACHEN","AAC",1,83,134,12,76,2218,3730,9,2147,2435,166,1912,58998,100425,0,0,8,0,10,385,600,10,2230,2578,178,1998,61602,104759
456,"EUPEN","AAC",0,0,27,2,25,359,564,4,340,468,104,589,14161,25772,0,0,0,0,0,7,9,4,340,495,106,614,14527,26345
457,"MONTJOIE","AAC",0,1,18,0,13,412,799,0,125,194,5,365,9220,17723,0,0,0,0,0,0,2,0,126,212,5,378,9632,18524
458,"SCHLEIDEN","AAC",0,40,48,0,44,1078,1850,0,128,604,8,816,24207,43301,0,0,7,0,0,156,274,0,168,659,8,860,25441,45425
459,"MALMEDY","AAC",0,0,8,2,5,196,312,2,78,293,40,540,16155,29996,0,0,0,0,0,8,14,2,78,301,42,545,16359,30322
460,"SIGMARINGEN","SIG",0,0,18,1,22,401,755,0,10,542,35,628,11191,20541,0,0,1,0,0,3,11,0,10,561,36,650,11600,21313
461,"GAMMERTINGEN","SIG",0,0,2,0,23,127,326,0,16,221,25,213,7316,13130,0,0,0,0,0,0,6,0,16,223,25,236,7443,13462
462,"HECHINGEN","SIG",0,4,7,2,79,378,797,2,46,233,52,353,10438,18741,1,0,26,1,0,229,397,3,50,266,55,432,11045,19935
463,"HAIGERLOCH","SIG",0,1,1,0,26,48,204,0,19,172,4,260,6107,11100,0,0,7,4,2,253,360,0,20,180,8,288,6408,11664
464,"BERLIN","BER",42,1418,35204,536,52293,508838,1009221,4,136,2624,35,5245,40696,89513,11,16,3663,11,400,29890,54069,58,1578,41615,582,58003,581792,1156945
