kreiskey1864,county,rb,edu1864_pub_ele_tea_m,edu1864_pub_ele_tea_f,edu1864_pub_mim_tea_m,edu1864_pub_mif_tea_m,edu1864_pub_mif_tea_f,edu1864_pub_rea_tea_m,edu1864_pub_pgy_tea_m,edu1864_pub_gym_tea_m,edu1864_pri_ele_tea_m,edu1864_pri_ele_tea_f,edu1864_pri_hsm_tea_m,edu1864_pri_hsf_tea,edu1864_pri_voc_tea_m,edu1864_pri_sun_tea_m
21,"HEYDEKRUG","GUM",52,0,0,"0",0,0,0,0,2,1,1,"1",0,0
22,"NIEDERUNG","GUM",74,0,0,"0",0,0,0,0,4,2,0,"2",0,0
23,"TILSIT LANDKREIS","GUM",85,9,0,"4",5,12,0,17,1,8,0,"11",0,0
24,"RAGNIT","GUM",94,0,0,"0",0,0,0,0,1,4,0,"1",1,0
25,"PILLKALLEN","GUM",98,1,0,"0",0,0,0,0,3,2,0,"0",0,0
26,"STALLUPONEN","GUM",85,0,9,"0",0,0,0,0,0,0,0,"0",0,0
27,"GUMBINNEN","GUM",98,0,0,"4",2,6,0,10,0,4,0,"5",0,2
28,"INSTERBURG","GUM",117,2,4,"4",4,0,0,18,1,3,0,"2",0,0
29,"DARKEHMEN","GUM",77,0,4,"0",0,0,0,0,0,0,0,"0",0,0
30,"ANGERBURG","GUM",87,0,4,"0",0,0,0,0,0,2,0,"6",0,0
31,"GOLDAP","GUM",102,2,0,"0",0,0,0,0,1,2,1,"1",0,0
32,"OLETZKO","GUM",90,0,6,"3",0,0,0,0,0,5,0,"1",0,0
33,"LYCK","GUM",96,0,3,"1",1,0,0,12,0,0,1,"4",0,0
34,"LOTZEN","GUM",87,0,0,"0",0,0,0,0,0,0,0,"0",0,0
35,"SENSBURG","GUM",100,0,5,"2",1,0,0,0,1,1,0,"0",0,2
36,"JOHANNISBURG","GUM",112,0,2,"0",0,0,0,0,0,3,0,"2",0,1
37,"ELBING LANDKREIS","DAN",107,11,6,"13",11,14,0,11,1,0,0,"5",0,2
38,"MARIENBURG IN PREUSSEN","DAN",133,3,0,"4",2,0,0,13,5,0,3,"1",5,0
39,"DANZIG STADTKREIS","DAN",51,20,8,"6",6,36,0,18,12,56,4,"52",15,10
40,"DANZIG LANDKREIS","DAN",118,34,0,"0",0,7,0,0,1,1,0,"0",0,0
41,"PREUSSISCH STARGARD","DAN",118,3,7,"2",2,0,0,0,0,8,0,"5",0,0
42,"BERENT","DAN",75,4,0,"0",7,0,0,0,0,2,0,"0",0,0
43,"KARTHAUS","DAN",69,0,0,"0",0,0,0,0,1,0,0,"2",0,0
44,"NEUSTADT IN WESTPREUSSEN","DAN",95,0,0,"0",0,0,0,13,0,2,0,"2",0,0
45,"STUHM","MAR",80,0,0,"0",0,0,0,0,1,1,0,"0",0,5
46,"MARIENWERDER","MAR",120,4,5,"4",0,0,0,14,3,8,0,"5",0,0
47,"ROSENBERG IN WESTPREUSSEN","MAR",106,0,0,"0",0,0,0,0,2,3,1,"1",0,1
48,"LOBAU","MAR",76,0,0,"0",0,0,0,0,0,3,10,"2",0,1
49,"STRASBURG","MAR",98,2,0,"0",0,0,0,0,3,1,0,"0",0,0
50,"THORN LANDKREIS","MAR",77,3,7,"8",8,0,0,21,8,9,0,"0",0,0
51,"KULM","MAR",85,6,0,"0",0,5,18,18,2,2,0,"10",0,2
52,"GRAUDENZ LANDKREIS","MAR",95,2,3,"6",6,10,0,0,0,0,0,"0",3,1
53,"SCHWETZ","MAR",124,1,0,"0",0,0,0,0,2,2,0,"0",0,0
54,"KONITZ","MAR",105,0,0,"1",1,0,0,13,2,2,0,"0",4,2
55,"SCHLOCHAU","MAR",109,0,0,"0",0,0,0,0,4,2,1,"0",0,0
56,"FLATOW","MAR",125,5,0,"0",0,0,0,0,1,1,1,"0",0,3
57,"DEUTSCH KRONE","MAR",127,0,5,"2",2,0,0,11,2,0,1,"3",0,0
58,"WRESCHEN","POS",63,45,0,"0",0,0,0,0,1,1,0,"0",0,0
59,"PLESCHEN","POS",95,0,0,"0",0,0,0,0,0,0,0,"0",0,0
60,"SCHRODA","POS",86,11,1,"0",0,0,0,0,3,2,0,"0",0,0
61,"SCHRIMM","POS",99,18,0,"0",0,0,9,0,0,0,0,"9",0,0
62,"KOSTEN","POS",110,0,1,"0",0,0,0,0,2,0,0,"5",0,0
63,"BUK","POS",103,19,1,"1",0,0,0,0,0,0,0,"0",0,0
64,"POSEN STADTKREIS","POS",34,10,11,"15",12,17,0,53,25,20,5,"36",4,8
65,"POSEN LANDKREIS","POS",62,50,0,"",0,0,0,0,1,0,0,"0",0,0
66,"OBORNIK","POS",92,1,0,"0",0,6,0,0,1,0,1,"1",0,0
67,"SAMTER","POS",87,32,1,"0",0,0,0,0,1,0,3,"7",0,0
68,"BIRNBAUM","POS",94,2,0,"0",0,0,0,0,0,0,0,"4",0,0
69,"MESERITZ","POS",93,12,0,"0",0,11,0,0,0,1,0,"1",0,0
70,"BOMST","POS",115,0,0,"0",0,0,0,0,1,0,2,"0",0,0
71,"FRAUSTADT","POS",111,2,0,"0",0,12,0,16,2,0,0,"18",0,6
72,"KROBEN","POS",111,45,6,"6",0,13,0,0,3,1,0,"0",0,0
73,"KROTOSCHIN","POS",105,25,1,"2",1,0,0,12,0,1,0,"0",1,0
74,"ADELNAU","POS",93,0,0,"0",0,0,0,16,3,0,0,"2",0,0
75,"SCHILDBERG","POS",91,0,2,"0",0,0,0,0,4,1,0,"9",0,0
76,"CZARNIKAU","BRO",129,0,0,"0",2,4,0,0,2,2,16,"5",0,0
77,"CHODZIESEN","BRO",110,3,1,"2",1,0,7,0,5,1,0,"3",0,0
78,"WIRSITZ","BRO",104,0,0,"0",0,0,0,0,1,0,4,"1",0,0
79,"BROMBERG LANDKREIS","BRO",124,4,6,"12",3,20,0,20,7,7,0,"20",0,8
80,"SCHUBIN","BRO",99,0,1,"0",0,0,0,0,3,1,0,"0",0,0
81,"INOWRAZLAW","BRO",110,3,0,"0",0,0,0,15,1,1,1,"11",0,4
82,"MOGILNO","BRO",69,1,0,"0",0,0,0,0,0,0,3,"4",0,0
83,"GNESEN","BRO",95,5,0,"0",0,0,12,0,4,4,0,"18",0,0
84,"WONGROWITZ","BRO",97,2,2,"0",0,0,0,0,0,1,0,"0",0,4
85,"BERLIN","POT",411,139,42,"52",36,190,9,185,328,218,85,"439",12,0
86,"PRENZLAU","POT",145,13,6,"9",4,0,0,20,0,0,0,"3",0,6
87,"TEMPLIN","POT",104,6,15,"11",4,0,0,0,0,0,0,"0",0,1
88,"ANGERMUNDE","POT",142,15,11,"9",3,0,0,0,0,0,0,"5",0,1
89,"OBERBARNIM","POT",170,6,3,"7",2,18,8,0,0,0,0,"12",0,0
90,"NIEDERBARNIM","POT",190,6,2,"2",1,0,0,0,0,0,1,"2",0,0
91,"TELTOW","POT",182,14,16,"8",4,0,9,0,1,0,2,"7",0,3
92,"BEESKOW-STORKOW","POT",82,1,8,"6",1,0,0,0,0,0,0,"0",0,0
93,"JUTERBOG-LUCKENWALDE","POT",140,2,10,"10",1,0,4,0,0,0,0,"0",0,9
94,"ZAUCH-BELZIG","POT",147,4,16,"14",2,0,0,0,0,0,0,"0",0,0
95,"POTSDAM","POT",66,17,30,"15",6,12,24,14,1,0,3,"11",7,3
96,"OSTHAVELLAND","POT",114,20,12,"18",6,0,0,13,3,3,0,"0",0,1
97,"WESTHAVELLAND","POT",139,17,11,"12",7,17,0,22,1,0,0,"7",0,4
98,"RUPPIN","POT",188,10,0,"4",1,0,0,13,0,1,0,"0",0,0
99,"OSTPRIGNITZ","POT",166,2,16,"12",3,12,0,0,6,5,0,"0",0,0
100,"WESTPRIGNITZ","POT",177,8,10,"7",5,14,0,0,0,2,0,"0",0,8
101,"KONIGSBERG IN NEUMARK","FRA",184,5,0,"6",3,10,0,10,2,2,6,"3",0,3
102,"SOLDIN","FRA",97,2,5,"1",0,0,0,0,4,2,0,"3",0,0
103,"ARNSWALDE","FRA",84,1,0,"0",0,0,0,0,7,0,0,"0",0,0
104,"FRIEDEBERG","FRA",102,3,9,"0",0,0,0,0,1,0,0,"2",0,1
105,"LANDSBERG LANDKREIS","FRA",125,1,12,"6",2,0,0,21,1,0,1,"15",0,0
106,"LEBUS","FRA",177,5,8,"5",0,0,0,0,4,0,1,"5",3,3
107,"FRANKFURT","FRA",51,8,13,"24",16,17,0,13,10,2,0,"16",3,6
108,"STERNBERG","FRA",173,3,12,"8",2,0,0,0,6,1,2,"4",0,0
109,"ZULLICHAU-SCHWIEBUS","FRA",80,0,11,"0",0,0,0,14,0,0,0,"10",0,3
110,"KROSSEN","FRA",94,3,9,"10",3,9,0,0,10,0,0,"2",0,2
111,"GUBEN LANDKREIS","FRA",103,3,0,"5",2,0,0,12,0,0,1,"2",0,0
112,"LUBBEN","FRA",64,1,3,"4",0,7,0,0,2,0,0,"1",0,0
113,"LUCKAU","FRA",135,1,0,"5",1,0,0,9,2,1,0,"1",0,0
114,"KALAU","FRA",101,1,0,"0",0,0,0,0,0,0,0,"0",0,0
115,"KOTTBUS LANDKREIS","FRA",111,0,0,"0",0,0,0,12,0,1,0,"7",0,0
116,"SORAU","FRA",116,1,4,"3",1,0,0,9,2,0,1,"2",0,0
117,"SPREMBERG","FRA",34,1,0,"0",0,9,0,0,1,0,0,"0",0,0
118,"DEMMIN","STE",139,2,3,"7",1,0,11,0,2,2,0,"0",0,0
119,"ANKLAM","STE",84,1,5,"6",2,0,0,14,2,5,0,"0",0,0
120,"USEDOM-WOLLIN","STE",99,1,4,"0",0,0,0,0,2,0,1,"3",1,0
121,"UCKERMUNDE","STE",93,0,3,"3",0,0,0,0,3,1,0,"1",0,0
122,"RANDOW","STE",169,0,2,"1",0,0,0,0,5,2,0,"12",4,2
123,"STETTIN","STE",111,0,16,"19",8,25,0,28,0,1,15,"50",12,0
124,"GREIFENHAGEN","STE",122,0,0,"0",0,0,0,0,2,0,0,"1",0,0
125,"PYRITZ","STE",114,1,0,"0",0,0,0,11,0,0,0,"4",0,0
126,"SAATZIG","STE",141,3,9,"5",3,0,0,15,3,0,0,"0",0,0
127,"NAUGARD","STE",137,0,10,"2",1,0,0,0,1,0,0,"2",0,0
128,"KAMMIN","STE",130,0,4,"0",0,0,0,0,2,1,1,"5",1,1
129,"GREIFENBERG","STE",107,2,0,"3",0,0,0,25,0,0,0,"5",2,0
130,"REGENWALDE","STE",125,1,0,"0",0,0,0,0,3,1,3,"4",0,0
131,"SCHIVELBEIN","KOS",44,0,7,"5",1,0,0,0,2,0,0,"0",0,0
132,"DRAMBURG","KOS",85,1,3,"0",1,0,0,0,0,0,0,"0",0,0
