kreiskey1864,county,rb,edu1864_pub_ele_tea_m,edu1864_pub_ele_tea_f,edu1864_pub_mim_tea_m,edu1864_pub_mif_tea_m,edu1864_pub_mif_tea_f,edu1864_pub_rea_tea_m,edu1864_pub_pgy_tea_m,edu1864_pub_gym_tea_m,edu1864_pri_ele_tea_m,edu1864_pri_ele_tea_f,edu1864_pri_hsm_tea_m,edu1864_pri_hsf_tea,edu1864_pri_voc_tea_m,edu1864_pri_sun_tea_m
197,"LANDESHUT","LIE",76,0,0,"0",0,11,0,0,0,0,0,"1",0,0
198,"HIRSCHBERG","LIE",112,1,0,"0",0,0,0,9,0,0,1,"9",2,3
199,"LOWENBERG","LIE",122,4,3,"4",4,0,0,0,0,2,0,"3",0,0
200,"LAUBAN","LIE",104,0,3,"4",2,0,0,10,1,0,0,"0",0,0
201,"GORLITZ LANDKREIS","LIE",93,21,10,"21",9,22,0,16,7,1,3,"14",10,0
202,"ROTHENBURG","LIE",83,11,0,"0",0,0,12,7,3,2,0,"3",0,0
203,"HOYERSWERDA","LIE",66,4,0,"0",0,0,0,0,0,0,5,"0",0,2
204,"OSTERBURG","MAG",135,4,1,"0",0,0,6,0,0,0,2,"1",0,1
205,"SALZWEDEL","MAG",152,2,4,"6",3,0,0,9,1,0,0,"0",0,2
206,"GARDELEGEN","MAG",129,2,7,"0",0,0,0,0,0,0,0,"0",0,0
207,"STENDAL","MAG",127,7,0,"3",3,0,0,14,3,0,0,"0",0,5
208,"JERICHOW I","MAG",144,11,9,"0",0,0,0,12,1,0,0,"11",0,3
209,"JERICHOW II","MAG",124,3,0,"0",0,0,0,0,2,0,0,"0",0,0
210,"KALBE","MAG",142,10,12,"7",20,0,0,0,1,3,0,"",0,1
211,"MAGDEBURG","MAG",122,35,47,"42",32,19,0,45,3,2,0,"6",2,5
212,"WANZLEBEN","MAG",123,1,0,"0",0,0,0,0,5,1,0,"0",0,0
213,"WOLMIRSTEDT","MAG",99,2,0,"0",0,0,0,0,3,0,1,"0",0,0
214,"NEUHALDENSLEBEN","MAG",94,0,0,"0",0,0,0,0,1,0,0,"3",0,2
215,"OSCHERSLEBEN","MAG",81,0,7,"0",0,0,0,0,1,1,0,"0",4,0
216,"ASCHERSLEBEN","MAG",96,7,18,"14",4,11,0,13,9,1,4,"6",2,2
217,"HALBERSTADT LANDKREIS","MAG",104,15,7,"11",7,13,0,13,6,1,0,"12",4,2
