kreiskey1888,county,rb,edu1886_loc_scd,edu1886_loc_sco,edu1886_dif_scd,edu1886_dif_sco,edu1886_tot_scd,edu1886_tot_sco,edu1886_pro_sco,edu1886_pro_cla,edu1886_cat_sco,edu1886_cat_cla,edu1886_ocr_sco,edu1886_ocr_cla,edu1886_jew_sco,edu1886_jew_cla,edu1886_mix_sco,edu1886_mix_cla,edu1886_new_num,edu1886_new_roo,edu1886_ext_num,edu1886_ext_roo
55,"THORN","MAR",18,18,47,47,65,65,25,49,27,58,0,0,1,3,12,56,9,17,7,4
56,"KULM","MAR",21,21,43,43,64,64,35,47,22,32,0,0,0,0,7,34,14,5,8,2
57,"GRAUDENZ","MAR",29,29,52,52,81,81,53,65,14,20,0,0,0,0,14,53,5,0,15,7
58,"SCHWETZ","MAR",45,45,73,75,118,120,71,78,36,56,1,1,0,0,12,43,8,9,15,2
59,"TUCHEL","MAR",19,19,27,27,46,46,9,9,28,41,0,0,0,0,9,32,3,6,1,0
60,"KONITZ","MAR",22,22,43,46,65,68,6,8,52,87,0,0,0,0,10,47,7,7,9,4
61,"SCHLOCHAU","MAR",53,53,46,49,99,102,49,62,31,41,0,0,1,1,21,68,11,8,13,1
62,"FLATOW","MAR",62,67,45,45,107,112,72,91,26,40,0,0,1,2,13,43,9,5,30,5
63,"DEUTSCH KRONE","MAR",55,71,32,36,87,107,65,113,37,62,0,0,2,3,3,7,7,7,24,2
64,"BERLIN","BER",6,166,0,0,6,166,120,1972,10,154,2,9,2,22,32,568,11,355,2,0
65,"PRENZLAU","POT",83,85,24,24,107,109,108,161,1,1,0,0,0,0,0,0,1,8,14,0
66,"TEMPLIN","POT",49,53,35,35,84,88,88,144,0,0,0,0,0,0,0,0,2,0,11,0
67,"ANGERMUNDE","POT",68,75,18,18,86,93,92,206,1,1,0,0,0,0,0,0,4,9,8,2
68,"OBERBARNIM","POT",72,74,28,30,100,104,102,213,2,2,0,0,0,0,0,0,5,10,8,10
69,"NIEDERBARNIM","POT",100,104,23,23,123,127,125,376,2,4,0,0,0,0,0,0,9,12,16,0
70,"CHARLOTTENBURG","POT",2,6,0,0,2,6,5,56,1,6,0,0,0,0,0,0,2,58,0,0
71,"TELTOW","POT",114,117,19,20,133,137,133,397,3,5,1,3,0,0,0,0,14,28,21,1
72,"BEESKOW-STORKOW","POT",30,30,42,42,72,72,72,140,0,0,0,0,0,0,0,0,7,1,6,1
73,"JUTERBOG-LUCKENWALDE","POT",77,83,23,23,100,106,105,188,1,1,0,0,0,0,0,0,2,17,9,0
74,"ZAUCH-BELZIG","POT",84,87,40,40,124,127,127,236,0,0,0,0,0,0,0,0,7,2,17,2
75,"POTSDAM","POT",2,11,0,0,2,11,9,79,2,7,0,0,0,0,0,0,3,34,0,0
76,"SPANDAU","POT",1,6,0,0,1,6,5,57,1,5,0,0,0,0,0,0,0,0,4,7
77,"OSTHAVELLAND","POT",69,70,12,12,81,82,80,173,2,2,0,0,0,0,0,0,4,12,3,0
78,"BRANDENBURG","POT",2,11,0,0,2,11,10,49,1,2,0,0,0,0,0,0,0,0,1,4
79,"WESTHAVELLAND","POT",50,51,30,30,80,81,81,150,0,0,0,0,0,0,0,0,4,4,22,3
80,"RUPPIN","POT",97,104,27,27,124,131,130,230,1,1,0,0,0,0,0,0,6,5,15,1
81,"OSTPRIGNITZ","POT",99,100,36,37,135,137,137,206,0,0,0,0,0,0,0,0,2,0,17,0
82,"WESTPRIGNITZ","POT",83,85,45,48,128,133,131,205,2,2,0,0,0,0,0,0,3,24,16,10
83,"KONIGSBERG","FRA",93,102,15,16,108,118,118,254,0,0,0,0,0,0,0,0,9,13,10,1
84,"SOLDIN","FRA",50,52,13,13,63,65,65,140,0,0,0,0,0,0,0,0,2,0,10,1
85,"ARNSWALDE","FRA",38,40,24,25,62,65,65,120,0,0,0,0,0,0,0,0,4,4,13,2
86,"FRIEDEBERG","FRA",49,51,22,23,71,74,73,165,1,1,0,0,0,0,0,0,4,5,11,2
87,"LANDSBERG","FRA",64,72,27,27,91,99,98,206,1,2,0,0,0,0,0,0,7,20,18,9
88,"LEBUS","FRA",76,79,27,28,103,107,107,250,0,0,0,0,0,0,0,0,2,3,11,0
89,"FRANKFURT","FRA",1,10,0,0,1,10,9,95,1,6,0,0,0,0,0,0,1,13,2,2
90,"WESTSTERNBERG","FRA",58,59,5,5,63,64,64,137,0,0,0,0,0,0,0,0,6,2,12,1
91,"OSTSTERNBERG","FRA",54,56,16,16,70,72,72,139,0,0,0,0,0,0,0,0,5,2,6,1
92,"ZULLICHAU-SCHWIEBUS","FRA",40,44,21,21,61,65,57,124,8,16,0,0,0,0,0,0,3,1,6,0
93,"KROSSEN","FRA",59,64,21,22,80,86,84,197,2,2,0,0,0,0,0,0,1,1,17,2
94,"GUBEN","FRA",1,5,1,1,2,6,5,66,1,1,0,0,0,0,0,0,1,14,0,0
95,"GUBEN","FRA",33,33,32,32,65,65,62,108,3,6,0,0,0,0,0,0,2,1,8,0
96,"LUBBEN","FRA",38,38,23,23,61,61,60,108,1,1,0,0,0,0,0,0,6,6,4,0
97,"LUCKAU","FRA",68,68,35,36,103,104,104,218,0,0,0,0,0,0,0,0,9,3,9,2
98,"KALAU","FRA",38,39,42,42,80,81,81,180,0,0,0,0,0,0,0,0,3,5,5,4
99,"KOTTBUS","FRA",2,5,0,0,2,5,4,44,1,2,0,0,0,0,0,0,1,13,1,1
100,"KOTTBUS","FRA",51,55,20,20,71,75,75,164,0,0,0,0,0,0,0,0,7,15,10,0
101,"SORAU","FRA",44,47,39,39,83,86,83,249,3,7,0,0,0,0,0,0,10,21,8,0
102,"SPREMBERG","FRA",10,11,13,13,23,24,23,68,1,1,0,0,0,0,0,0,2,3,1,0
103,"DEMMIN","STE",71,70,32,34,103,104,103,157,1,1,0,0,0,0,0,0,2,1,5,0
104,"ANKLAM","STE",41,42,19,19,60,61,61,90,0,0,0,0,0,0,0,0,6,5,4,0
105,"USEDOM-WOLLIN","STE",32,34,34,35,66,69,68,132,1,1,0,0,0,0,0,0,8,6,7,0
106,"UCKERMUNDE","STE",38,40,19,19,57,59,54,135,5,6,0,0,0,0,0,0,6,24,9,0
107,"RANDOW","STE",78,81,32,32,110,113,113,277,0,0,0,0,0,0,0,0,11,21,8,2
108,"STETTIN","STE",1,19,0,0,1,19,18,199,1,4,0,0,0,0,0,0,5,20,4,6
109,"GREIFENHAGEN","STE",67,68,12,12,79,80,80,154,0,0,0,0,0,0,0,0,1,2,10,2
110,"PYRITZ","STE",76,78,14,14,90,92,92,120,0,0,0,0,0,0,0,0,3,1,14,0
111,"SAATZIG","STE",77,80,16,16,93,96,95,196,1,1,0,0,0,0,0,0,7,6,8,0
112,"NAUGARD","STE",79,83,23,23,102,106,104,161,2,2,0,0,0,0,0,0,2,2,14,0
113,"KAMMIN","STE",79,80,29,30,108,110,110,136,0,0,0,0,0,0,0,0,3,3,8,1
114,"GREIFENBERG","STE",71,74,11,11,82,85,85,114,0,0,0,0,0,0,0,0,3,2,11,3
115,"REGENWALDE","STE",66,69,34,34,100,103,103,137,0,0,0,0,0,0,0,0,6,4,12,2
116,"SCHIVELBEIN","KOS",34,37,9,9,43,46,46,63,0,0,0,0,0,0,0,0,1,0,8,2
117,"DRAMBURG","KOS",45,46,12,12,57,58,58,114,0,0,0,0,0,0,0,0,1,1,6,0
118,"NEUSTETTIN","KOS",53,56,53,54,106,110,109,222,0,0,0,0,0,0,1,12,9,5,12,4
119,"BELGARD","KOS",62,64,27,27,89,91,91,136,0,0,0,0,0,0,0,0,4,3,9,3
120,"KOLBERG-KORLIN","KOS",85,85,16,16,101,101,100,154,1,2,0,0,0,0,0,0,6,10,10,0
121,"KOSLIN","KOS",52,55,25,25,77,80,79,144,1,1,0,0,0,0,0,0,5,2,20,2
