kreiskey1888,county,rb,edu1886_loc_scd,edu1886_loc_sco,edu1886_dif_scd,edu1886_dif_sco,edu1886_tot_scd,edu1886_tot_sco,edu1886_pro_sco,edu1886_pro_cla,edu1886_cat_sco,edu1886_cat_cla,edu1886_ocr_sco,edu1886_ocr_cla,edu1886_jew_sco,edu1886_jew_cla,edu1886_mix_sco,edu1886_mix_cla,edu1886_new_num,edu1886_new_roo,edu1886_ext_num,edu1886_ext_roo
225,"TOST-GLEIWITZ","OPP",35,35,33,34,68,69,1,1,66,171,0,0,0,0,2,35,15,17,8,2
226,"TARNOWITZ","OPP",13,13,12,15,25,28,1,1,26,94,0,0,0,0,1,16,3,3,4,0
227,"BEUTHEN","OPP",27,33,5,5,32,38,4,22,30,237,0,0,2,10,2,21,8,13,8,3
228,"ZABRZE","OPP",16,19,4,4,20,23,2,8,19,99,0,0,1,3,1,19,6,12,3,0
229,"KATTOWITZ","OPP",18,25,11,14,29,39,2,6,30,156,0,0,3,6,4,60,6,13,7,6
230,"PLESS","OPP",56,57,32,33,88,90,8,15,80,226,0,0,1,1,1,3,22,17,20,12
231,"RYBNIK","OPP",42,42,37,39,79,81,5,5,74,189,0,0,1,2,1,6,23,22,10,5
232,"RATIBOR","OPP",83,83,20,21,103,104,2,2,101,261,0,0,0,0,1,33,15,24,12,5
233,"KOSEL","OPP",34,34,31,31,65,65,3,4,60,142,1,1,0,0,1,10,17,27,3,3
234,"LEOBSCHUTZ","OPP",65,65,25,25,90,90,12,25,77,192,0,0,1,1,0,0,14,10,6,1
235,"NEUSTADT","OPP",49,49,32,32,81,81,9,20,71,208,0,0,0,0,1,11,9,8,14,2
236,"FALKENBERG","OPP",34,34,29,29,63,63,24,37,39,84,0,0,0,0,0,0,6,7,3,0
237,"NEISSE","OPP",48,48,33,33,81,81,4,12,77,236,0,0,0,0,0,0,2,4,11,0
238,"GROTTKAU","OPP",30,30,20,20,50,50,3,5,47,121,0,0,0,0,0,0,5,2,6,1
239,"OSTERBURG","MAG",77,80,31,31,108,111,111,155,0,0,0,0,0,0,0,0,2,1,10,0
240,"SALZWEDEL","MAG",93,94,44,44,137,138,137,181,1,1,0,0,0,0,0,0,7,5,5,1
241,"GARDELEGEN","MAG",85,87,18,19,103,106,105,161,1,1,0,0,0,0,0,0,2,1,14,3
242,"STENDAL","MAG",72,75,19,19,91,94,93,158,1,1,0,0,0,0,0,0,5,4,9,11
243,"JERICHOW I","MAG",81,84,17,18,98,102,101,190,1,1,0,0,0,0,0,0,6,6,6,4
244,"JERICHOW II","MAG",82,82,13,13,95,95,95,143,0,0,0,0,0,0,0,0,6,3,24,2
245,"KALBE","MAG",41,48,7,10,48,58,55,236,3,5,0,0,0,0,0,0,8,5,6,4
246,"WANZLEBEN","MAG",54,55,8,8,62,63,49,166,14,17,0,0,0,0,0,0,11,16,4,2
247,"MAGDEBURG","MAG",3,31,0,0,3,31,27,332,4,12,0,0,0,0,0,0,5,90,4,18
248,"WOLMIRSTEDT","MAG",49,49,7,8,56,57,55,124,2,2,0,0,0,0,0,0,4,3,4,3
249,"NEUHALDENSLEBEN","MAG",51,52,11,11,62,63,61,134,2,4,0,0,0,0,0,0,8,12,5,1
250,"OSCHERSLEBEN","MAG",35,35,7,8,42,43,37,114,6,11,0,0,0,0,0,0,8,12,8,3
251,"ASCHERSLEBEN","MAG",30,38,1,1,31,39,36,135,3,4,0,0,0,0,0,0,4,14,3,2
252,"HALBERSTADT","MAG",39,40,2,2,41,42,39,149,2,6,0,0,1,3,0,0,7,17,2,0
253,"WERNIGERODE","MAG",10,10,3,3,13,13,13,55,0,0,0,0,0,0,0,0,1,4,0,0
254,"LIEBENWERDA","MER",50,50,22,22,72,72,71,158,1,1,0,0,0,0,0,0,7,4,11,1
255,"TORGAU","MER",53,55,21,23,74,78,77,153,1,1,0,0,0,0,0,0,6,9,5,3
256,"SCHWEINITZ","MER",58,60,24,24,82,84,84,148,0,0,0,0,0,0,0,0,1,0,6,0
257,"WITTENBERG","MER",31,38,34,34,65,72,71,159,1,1,0,0,0,0,0,0,1,1,2,0
258,"BITTERFELD","MER",53,55,23,25,76,80,78,150,2,2,0,0,0,0,0,0,7,7,8,6
259,"SAALKREIS","MER",62,63,28,28,90,91,90,206,1,1,0,0,0,0,0,0,14,10,4,6
260,"HALLE","MER",2,5,0,0,2,5,4,166,1,5,0,0,0,0,0,0,2,60,0,0
261,"DELITZSCH","MER",53,55,43,43,96,98,96,176,2,2,0,0,0,0,0,0,4,14,9,3
262,"MANSFELDER GEBIRGSKR","MER",38,38,15,17,53,55,54,148,1,1,0,0,0,0,0,0,9,8,8,4
263,"MANSFELDER SEEKREIS","MER",54,57,24,24,78,81,76,221,5,10,0,0,0,0,0,0,15,14,8,23
264,"SANGERHAUSEN","MER",62,67,9,9,71,76,75,198,1,1,0,0,0,0,0,0,12,25,10,2
265,"ECKARTSBERGA","MER",69,72,6,6,75,78,78,131,0,0,0,0,0,0,0,0,1,0,9,3
266,"QUERFURT","MER",73,74,18,20,91,94,94,181,0,0,0,0,0,0,0,0,8,3,11,6
267,"MERSEBURG","MER",51,55,46,46,97,101,100,188,1,1,0,0,0,0,0,0,8,4,8,1
268,"WEISSENFELS","MER",51,54,43,44,94,98,97,214,1,2,0,0,0,0,0,0,12,34,8,0
269,"NAUMBURG","MER",19,22,12,12,31,34,33,61,1,1,0,0,0,0,0,0,4,3,6,1
270,"ZEITZ","MER",14,16,34,36,48,52,51,156,1,1,0,0,0,0,0,0,12,10,9,10
271,"NORDHAUSEN","ERF",2,2,0,0,2,2,1,43,1,3,0,0,0,0,0,0,0,0,0,0
272,"NORDHAUSEN","ERF",59,59,7,7,66,66,63,139,3,4,0,0,0,0,0,0,7,6,5,1
273,"WORBIS","ERF",51,51,5,5,56,56,21,34,35,97,0,0,0,0,0,0,9,6,8,1
274,"HEILIGENSTADT","ERF",67,68,4,4,71,72,10,12,62,105,0,0,0,0,0,0,5,3,11,8
275,"MUHLHAUSEN","ERF",40,43,5,5,45,48,30,99,18,48,0,0,0,0,0,0,5,27,7,1
276,"LANGENSALZA","ERF",39,42,2,2,41,44,43,109,1,1,0,0,0,0,0,0,1,0,8,0
277,"WEISSENSEE","ERF",27,29,4,4,31,33,32,78,1,1,0,0,0,0,0,0,0,0,2,1
278,"ERFURT","ERF",2,5,0,0,2,5,4,103,1,23,0,0,0,0,0,0,1,24,0,0
279,"ERFURT","ERF",39,42,1,1,40,43,38,66,5,11,0,0,0,0,0,0,7,8,1,1
280,"ZIEGENRUCK","ERF",18,18,9,9,27,27,27,46,0,0,0,0,0,0,0,0,1,0,2,1
281,"SCHLEUSINGEN","ERF",34,37,6,6,40,43,43,109,0,0,0,0,0,0,0,0,7,8,3,2
282,"HADERSLEBEN","SCH",69,75,42,44,111,119,117,190,0,0,2,8,0,0,0,0,17,1,19,5
283,"APENRADE","SCH",24,24,30,30,54,54,54,91,0,0,0,0,0,0,0,0,7,0,11,3
284,"SONDERBURG","SCH",15,18,19,27,34,45,45,87,0,0,0,0,0,0,0,0,8,0,6,2
285,"FLENSBURG","SCH",25,37,52,55,77,92,90,220,2,2,0,0,0,0,0,0,8,2,23,2
286,"SCHLESWIG","SCH",47,54,43,43,90,97,94,192,2,2,1,1,0,0,0,0,16,0,21,0
287,"ECKERNFORDE","SCH",20,22,49,49,69,71,71,127,0,0,0,0,0,0,0,0,13,1,20,1
288,"EIDERSTEDT","SCH",14,26,7,9,21,35,35,64,0,0,0,0,0,0,0,0,6,1,4,0
289,"HUSUM","SCH",38,69,5,10,43,79,78,132,1,2,0,0,0,0,0,0,16,10,8,2
290,"TONDERN","SCH",70,77,66,66,136,143,143,206,0,0,0,0,0,0,0,0,19,2,24,2
291,"OLDENBURG","SCH",52,58,34,39,86,97,97,157,0,0,0,0,0,0,0,0,6,5,7,1
292,"PLON","SCH",73,79,29,32,102,111,111,197,0,0,0,0,0,0,0,0,16,10,16,2
293,"KIEL","SCH",2,16,0,0,2,16,15,130,1,3,0,0,0,0,0,0,2,18,3,8
294,"KIEL","SCH",52,56,25,25,77,81,80,152,1,1,0,0,0,0,0,0,11,15,23,4
295,"RENDSBURG","SCH",65,69,39,39,104,108,106,162,1,1,0,0,1,1,0,0,22,10,13,2
296,"NORDERDITHMARSCHEN","SCH",15,62,13,13,28,75,75,135,0,0,0,0,0,0,0,0,14,2,12,0
297,"SUDERDITHMARSCHEN","SCH",52,59,22,23,74,82,82,157,0,0,0,0,0,0,0,0,17,3,11,0
298,"STEINBURG","SCH",43,52,40,42,83,94,94,189,0,0,0,0,0,0,0,0,19,6,18,0
299,"SEGEBERG","SCH",71,75,27,29,98,104,104,149,0,0,0,0,0,0,0,0,9,4,17,0
300,"STORMARN","SCH",72,78,37,38,109,116,115,212,0,0,0,0,1,1,0,0,16,7,22,11
301,"PINNEBERG","SCH",64,76,14,14,78,90,89,197,0,0,0,0,1,1,0,0,26,17,16,4
302,"ALTONA","SCH",3,20,1,1,4,21,19,224,1,6,0,0,1,7,0,0,2,24,1,7
303,"LAUENBURG","SCH",64,66,39,39,103,105,105,144,0,0,0,0,0,0,0,0,7,5,32,5
304,"DIEPHOLZ","HAN",23,24,9,9,32,33,33,60,0,0,0,0,0,0,0,0,5,0,5,0
305,"SYKE","HAN",37,42,23,23,60,65,59,91,6,11,0,0,0,0,0,0,16,1,4,0
306,"HOYA","HAN",26,29,19,20,45,49,48,77,0,0,0,0,1,1,0,0,6,5,1,0
307,"NIENBURG","HAN",21,21,14,16,35,37,35,60,1,1,0,0,1,1,0,0,1,0,2,1
308,"STOLZENAU","HAN",26,26,14,15,40,41,40,76,0,0,0,0,1,1,0,0,4,2,3,0
309,"SULINGEN","HAN",22,22,11,13,33,35,35,53,0,0,0,0,0,0,0,0,2,2,5,0
310,"NEUSTADT","HAN",39,41,16,16,55,57,54,89,1,1,0,0,2,2,0,0,10,3,6,0
311,"HANNOVER","HAN",1,15,1,1,2,16,14,199,2,17,0,0,0,0,0,0,6,75,1,1
312,"HANNOVER","HAN",33,34,3,3,36,37,37,75,0,0,0,0,0,0,0,0,13,4,6,5
313,"LINDEN (Wennigsen)","HAN",2,6,1,1,3,7,6,49,1,8,0,0,0,0,0,0,1,0,1,3
314,"LINDEN (Wennigsen)","HAN",46,47,6,6,52,53,52,89,0,0,0,0,1,1,0,0,6,3,6,4
315,"SPRINGE","HAN",27,27,13,13,40,40,39,85,0,0,0,0,1,1,0,0,7,1,2,2
316,"HAMELN","HAN",48,49,18,20,66,69,68,121,1,3,0,0,0,0,0,0,6,1,4,1
317,"PEINE","HIL",43,44,9,9,52,53,50,94,3,6,0,0,0,0,0,0,13,11,2,0
318,"HILDESHEIM","HIL",2,3,1,1,3,4,1,33,2,16,0,0,1,2,0,0,1,4,4,2
319,"HILDESHEIM","HIL",31,34,8,8,39,42,17,26,23,28,0,0,2,2,0,0,4,1,4,4
320,"MARIENBURG","HIL",52,52,28,29,80,81,50,81,31,35,0,0,0,0,0,0,14,3,4,1
321,"GRONAU","HIL",23,23,8,8,31,31,26,55,5,5,0,0,0,0,0,0,7,5,3,4
322,"ALFELD","HIL",32,33,15,15,47,48,42,58,6,8,0,0,0,0,0,0,4,4,6,5
323,"GOSLAR","HIL",36,36,19,19,55,55,42,83,13,16,0,0,0,0,0,0,6,7,2,4
324,"OSTERODE AM HARZ","HIL",34,36,3,3,37,39,37,97,2,2,0,0,0,0,0,0,3,1,12,5
325,"DUDERSTADT","HIL",32,38,1,1,33,39,3,5,35,57,0,0,1,1,0,0,8,5,0,0
326,"GOTTINGEN","HIL",1,3,1,1,2,4,3,27,1,3,0,0,0,0,0,0,2,0,1,0
327,"GOTTINGEN","HIL",55,55,10,10,65,65,65,96,0,0,0,0,0,0,0,0,17,7,7,4
328,"MUNDEN","HIL",31,31,8,8,39,39,36,62,1,1,0,0,2,2,0,0,9,1,7,1
329,"USLAR","HIL",27,27,5,6,32,33,31,55,0,0,0,0,2,2,0,0,5,2,2,1
330,"EINBECK","HIL",20,22,11,11,31,33,31,62,2,2,0,0,0,0,0,0,9,2,7,1
331,"NORTHEIM","HIL",38,39,9,10,47,49,45,71,3,3,0,0,1,1,0,0,7,2,9,4
332,"ZELLERFELD","HIL",14,14,1,1,15,15,14,64,1,1,0,0,0,0,0,0,1,7,5,5
333,"ILFELD","HIL",21,24,0,0,21,24,24,43,0,0,0,0,0,0,0,0,1,1,4,2
334,"CELLE","LUN",3,7,0,0,3,7,6,26,1,2,0,0,0,0,0,0,0,0,4,6
335,"CELLE","LUN",61,64,27,27,88,91,91,108,0,0,0,0,0,0,0,0,18,11,7,0
336,"GIFHORN","LUN",52,52,19,19,71,71,71,90,0,0,0,0,0,0,0,0,11,0,12,3
337,"BURGDORF","LUN",48,48,19,19,67,67,66,105,0,0,0,0,1,1,0,0,13,3,9,4
338,"ISENHAGEN","LUN",25,25,21,23,46,48,48,58,0,0,0,0,0,0,0,0,2,1,7,0
339,"FALLINGBOSTEL","LUN",36,36,34,34,70,70,70,89,0,0,0,0,0,0,0,0,5,1,9,2
340,"SOLTAU","LUN",28,28,15,15,43,43,43,60,0,0,0,0,0,0,0,0,6,0,6,1
341,"ULZEN","LUN",37,38,53,53,90,91,91,133,0,0,0,0,0,0,0,0,8,3,13,0
342,"LUCHOW","LUN",19,19,37,39,56,58,58,78,0,0,0,0,0,0,0,0,5,8,6,1
343,"DANNENBERG","LUN",4,4,21,22,25,26,26,42,0,0,0,0,0,0,0,0,9,0,2,0
344,"BLECKEDE","LUN",24,24,30,30,54,54,54,66,0,0,0,0,0,0,0,0,4,5,1,0
345,"LUNEBURG","LUN",0,0,2,2,2,2,1,23,1,1,0,0,0,0,0,0,0,0,1,1
346,"LUNEBURG","LUN",23,23,21,21,44,44,44,58,0,0,0,0,0,0,0,0,7,2,1,0
347,"WINSEN","LUN",47,47,14,14,61,61,61,85,0,0,0,0,0,0,0,0,16,5,5,1
348,"HARBURG","LUN",2,6,0,0,2,6,5,49,1,3,0,0,0,0,0,0,1,12,0,0
349,"HARBURG","LUN",32,32,27,28,59,60,60,106,0,0,0,0,0,0,0,0,16,4,11,3
350,"JORK","STA",10,11,16,20,26,31,31,59,0,0,0,0,0,0,0,0,13,0,2,1
351,"STADE","STA",59,61,13,14,72,75,73,100,1,1,0,0,1,1,0,0,10,6,8,1
352,"KEHDINGEN","STA",9,26,4,4,13,30,30,56,0,0,0,0,0,0,0,0,10,0,4,1
353,"NEUHAUS","STA",35,45,10,10,45,55,55,82,0,0,0,0,0,0,0,0,21,0,6,2
354,"HADELN (Otterndorf)","STA",15,33,0,0,15,33,33,52,0,0,0,0,0,0,0,0,6,6,3,1
355,"LEHE","STA",34,42,6,6,40,48,47,89,1,1,0,0,0,0,0,0,8,0,5,0
356,"GEESTEMUNDE","STA",36,38,18,18,54,56,55,102,1,3,0,0,0,0,0,0,11,1,9,0
357,"OSTERHOLZ","STA",34,35,35,35,69,70,69,93,0,0,0,0,1,1,0,0,32,1,9,1
358,"BLUMENTHAL","STA",19,20,5,5,24,25,27,53,0,0,0,0,0,0,0,0,7,1,3,2
359,"VERDEN","STA",31,33,15,15,46,48,46,78,1,1,0,0,1,1,0,0,12,5,4,0
360,"ACHIM","STA",19,19,10,10,29,29,25,62,1,1,0,0,1,1,0,0,7,1,8,8
361,"ROTENBURG","STA",52,53,6,6,58,59,59,72,0,0,0,0,0,0,0,0,8,0,3,2
362,"ZEVEN","STA",37,37,12,12,49,49,49,57,0,0,0,0,0,0,0,0,8,1,6,0
363,"BREMERVORDE","STA",31,31,17,17,48,48,48,62,0,0,0,0,0,0,0,0,5,1,5,2
364,"MEPPEN","OSN",26,27,18,18,44,45,1,2,43,61,0,0,1,1,0,0,6,2,4,1
365,"ASCHENDORF","OSN",26,32,8,8,34,40,1,2,38,59,0,0,1,1,0,0,9,4,3,0
366,"HÜMMLING","OSN",27,28,6,6,33,34,0,0,33,48,0,0,1,1,0,0,5,1,5,0
367,"LINGEN","OSN",28,31,20,20,48,51,6,12,45,79,0,0,0,0,0,0,7,0,6,0
368,"BENTHEIM","OSN",39,41,26,28,65,69,53,70,15,18,0,0,1,1,0,0,12,2,7,0
369,"BERSENBRUCK","OSN",32,32,43,43,75,75,38,71,37,61,0,0,0,0,0,0,13,5,8,0
370,"OSNABRUCK","OSN",3,6,0,0,3,6,3,38,3,26,0,0,0,0,0,0,4,14,0,0
371,"OSNABRUCK","OSN",13,13,24,24,37,37,18,43,19,37,0,0,0,0,0,0,5,1,9,2
372,"WITTLAGE","OSN",11,12,12,12,23,24,16,42,8,12,0,0,0,0,0,0,8,2,1,0
373,"MELLE","OSN",5,5,20,22,25,27,18,53,9,17,0,0,0,0,0,0,7,7,4,1
374,"IBURG","OSN",12,12,15,15,27,27,9,19,18,50,0,0,0,0,0,0,8,4,3,1
375,"NORDEN","AUR",31,33,10,10,41,43,40,82,1,1,0,0,2,3,0,0,11,4,12,8
376,"EMDEN","AUR",5,5,0,0,5,5,3,27,1,2,0,0,1,2,0,0,2,8,0,0
377,"EMDEN","AUR",37,38,5,5,42,43,43,56,0,0,0,0,0,0,0,0,6,1,4,1
378,"WITTMUND","AUR",47,48,20,20,67,68,65,108,0,0,0,0,3,3,0,0,4,2,3,1
379,"AURICH","AUR",44,44,19,19,63,63,61,93,1,1,0,0,1,2,0,0,15,5,6,0
380,"LEER","AUR",53,54,23,23,76,77,70,114,6,10,0,0,1,1,0,0,12,2,12,3
381,"WEENER","AUR",26,27,12,12,38,39,35,54,2,2,0,0,2,2,0,0,5,1,5,1
382,"TECKLENBURG","MUN",45,75,1,1,46,76,41,64,34,46,0,0,1,1,0,0,9,7,14,2
383,"WARENDORF","MUN",17,29,2,6,19,35,1,1,33,54,0,0,1,1,0,0,6,0,0,0
384,"BECKUM","MUN",21,45,8,8,29,53,3,3,47,90,0,0,3,3,0,0,8,5,4,0
385,"LUDINGHAUSEN","MUN",21,45,6,8,27,53,2,2,50,80,0,0,1,1,0,0,3,3,1,1
386,"MUNSTER","MUN",3,7,4,4,7,11,2,9,9,53,0,0,0,0,0,0,3,16,2,3
387,"MUNSTER","MUN",14,24,15,18,29,42,0,0,42,66,0,0,0,0,0,0,3,1,3,1
388,"STEINFURT","MUN",23,44,2,2,25,46,5,10,39,87,0,0,2,2,0,0,11,9,3,0
389,"KOESFELD","MUN",21,46,6,8,27,54,3,3,49,85,0,0,2,2,0,0,10,3,4,0
390,"AHAUS","MUN",14,34,5,7,19,41,3,5,38,72,0,0,0,0,0,0,2,4,4,0
391,"BORKEN","MUN",31,33,12,14,43,47,5,5,40,86,0,0,2,2,0,0,5,8,6,2
392,"RECKLINGHAUSEN","MUN",29,62,5,5,34,67,8,10,59,145,0,0,0,0,0,0,17,29,7,2
393,"MINDEN","MIN",53,68,22,23,75,91,85,227,4,9,0,0,2,2,0,0,24,15,16,9
394,"LUBBECKE","MIN",33,37,11,11,44,48,44,139,1,1,0,0,3,3,0,0,6,8,7,3
395,"HERFORD","MIN",38,51,18,18,56,69,61,216,4,8,0,0,4,4,0,0,6,13,11,5
396,"HALLE","MIN",19,24,12,12,31,36,31,92,3,3,0,0,2,2,0,0,6,4,6,4
397,"BIELEFELD","MIN",2,6,1,1,3,7,6,71,1,8,0,0,0,0,0,0,1,16,1,0
398,"BIELEFELD","MIN",17,24,9,11,26,35,34,120,1,2,0,0,0,0,0,0,11,11,5,4
399,"WIEDENBRUCK","MIN",25,41,8,9,33,50,11,30,38,107,0,0,1,1,0,0,6,2,5,0
400,"PADERBORN","MIN",28,38,0,0,28,38,2,4,35,112,0,0,1,1,0,0,12,14,3,0
401,"BUREN","MIN",47,48,12,12,59,60,3,3,53,129,0,0,4,4,0,0,4,3,2,1
402,"WARBURG","MIN",50,54,2,2,52,56,4,6,48,109,0,0,4,4,0,0,2,3,3,2
403,"HOXTER","MIN",59,60,19,19,78,79,9,14,65,167,0,0,5,5,0,0,9,5,8,3
404,"ARNSBERG","ARN",36,42,11,14,47,56,2,5,52,106,0,0,2,2,0,0,8,7,4,2
405,"MESCHEDE","ARN",23,49,10,12,33,61,4,4,57,106,0,0,0,0,0,0,10,2,4,2
406,"BRILON","ARN",59,59,5,5,64,64,2,2,59,116,0,0,3,3,0,0,5,2,3,1
407,"LIPPSTADT","ARN",31,35,14,17,45,52,2,7,45,80,0,0,5,5,0,0,7,1,2,0
408,"SOEST","ARN",17,19,37,39,54,58,26,60,30,72,0,0,2,2,0,0,14,12,7,3
409,"HAMM","ARN",32,42,28,35,60,77,55,137,20,64,0,0,2,2,0,0,16,4,8,10
410,"DORTMUND","ARN",3,20,0,0,3,20,11,111,8,91,0,0,1,3,0,0,6,64,1,1
411,"DORTMUND","ARN",17,19,24,37,41,56,35,93,17,56,0,0,2,2,2,8,14,10,7,14
412,"HORDE","ARN",24,34,9,10,33,44,32,114,9,53,0,0,1,1,2,28,23,6,8,7
413,"BOCHUM","ARN",1,13,0,0,1,13,6,51,6,62,0,0,1,2,0,0,3,32,2,2
414,"BOCHUM","ARN",18,33,6,16,24,49,28,136,15,82,0,0,1,1,5,21,23,24,10,6
415,"GELSENKIRCHEN","ARN",18,45,4,8,22,53,25,94,26,123,0,0,2,2,0,0,38,39,10,8
416,"HATTINGEN","ARN",21,38,7,8,28,46,31,89,14,47,0,0,1,1,0,0,5,0,8,2
417,"HAGEN","ARN",3,12,2,2,5,14,9,55,4,17,0,0,1,1,0,0,3,2,2,0
418,"HAGEN","ARN",21,43,8,13,29,56,47,125,9,27,0,0,0,0,0,0,18,20,4,4
419,"SCHWELM","ARN",14,35,5,7,19,42,38,120,3,8,0,0,1,1,0,0,6,7,10,5
420,"ISERLOHN","ARN",24,37,11,11,35,48,32,107,13,58,0,0,3,3,0,0,16,19,5,5
421,"ALTENA","ARN",23,69,5,7,28,76,69,155,6,12,0,0,1,1,0,0,14,12,7,3
422,"OLPE","ARN",19,59,7,7,26,66,2,3,64,98,0,0,0,0,0,0,11,4,10,5
423,"SIEGEN","ARN",65,68,39,49,104,117,89,173,27,38,0,0,1,1,0,0,26,14,11,16
424,"WITTGENSTEIN","ARN",11,11,31,36,42,47,43,66,2,2,0,0,1,1,1,5,11,3,3,2
425,"KASSEL","KAS",2,7,0,0,2,7,6,126,1,10,0,0,0,0,0,0,0,0,2,2
426,"KASSEL","KAS",45,45,6,6,51,51,50,124,0,0,0,0,1,1,0,0,5,3,4,0
427,"ESCHWEGE","KAS",70,72,8,8,78,80,70,128,1,1,0,0,9,9,0,0,8,4,3,0
428,"FRITZLAR","KAS",50,52,4,4,54,56,46,68,3,7,0,0,7,7,0,0,0,0,2,0
429,"HOFGEISMAR","KAS",40,43,11,11,51,54,50,107,0,0,0,0,4,4,0,0,2,3,9,0
430,"HOMBERG","KAS",39,39,15,15,54,54,51,61,0,0,0,0,3,3,0,0,1,1,0,0
431,"MELSUNGEN","KAS",55,56,8,8,63,64,58,91,0,0,0,0,6,6,0,0,1,0,4,2
432,"ROTENBURG","KAS",47,47,14,14,61,61,55,98,1,1,0,0,5,5,0,0,3,1,3,0
433,"WITZENHAUSEN","KAS",39,39,18,18,57,57,55,102,0,0,0,0,2,2,0,0,3,2,2,0
434,"WOLFHAGEN","KAS",35,35,5,5,40,40,34,70,2,7,0,0,4,4,0,0,3,2,3,1
435,"MARBURG","KAS",58,62,15,16,73,78,72,121,4,6,0,0,2,2,0,0,36,4,8,2
436,"FRANKENBERG","KAS",45,45,11,11,56,56,51,83,0,0,0,0,5,5,0,0,7,4,5,2
437,"KIRCHHAIN","KAS",41,42,1,1,42,43,25,35,14,28,0,0,4,4,0,0,3,4,3,0
438,"ZIEGENHAIN","KAS",60,60,11,11,71,71,68,111,0,0,0,0,3,3,0,0,6,2,5,1
439,"FULDA","KAS",20,21,35,35,55,56,2,7,53,136,0,0,1,1,0,0,10,41,0,0
440,"HERSFELD","KAS",42,44,19,19,61,63,60,113,0,0,0,0,3,3,0,0,4,4,2,0
441,"HUNFELD","KAS",29,29,22,24,51,53,17,26,28,50,0,0,8,8,0,0,6,3,4,2
442,"HANAU","KAS",1,3,0,0,1,3,0,0,0,0,0,0,0,0,3,49,0,0,5,3
443,"HANAU","KAS",37,38,1,1,38,39,30,86,4,12,0,0,5,5,0,0,3,5,4,0
444,"GELNHAUSEN","KAS",68,69,10,12,78,81,57,107,21,47,0,0,3,3,0,0,4,2,7,1
445,"SCHLUCHTERN","KAS",45,49,3,3,48,52,35,73,16,30,0,0,1,1,0,0,2,0,3,0
446,"SCHMALKALDEN","KAS",25,26,6,6,31,32,31,85,0,0,0,0,1,1,0,0,5,0,6,1
447,"SCHAUMBURG","KAS",36,36,27,29,63,65,60,124,2,2,0,0,3,3,0,0,9,3,9,0
448,"GERSFELD","KAS",34,34,13,15,47,49,20,30,27,53,0,0,2,2,0,0,2,1,3,1
449,"BIEDENKOPF","WIE",66,75,9,10,75,85,84,159,0,0,0,0,1,1,0,0,2,1,3,0
450,"DILLKREIS","WIE",70,72,0,0,70,72,70,109,0,0,0,0,0,0,2,11,5,3,5,1
451,"OBERWESTERWALDKREIS","WIE",54,54,13,13,67,67,45,53,18,20,0,0,0,0,4,14,3,1,1,1
452,"WESTERBURG","WIE",61,61,10,11,71,72,21,29,50,66,0,0,0,0,1,3,6,2,3,0
453,"UNTERWESTERWALDKREIS","WIE",64,64,5,5,69,69,15,25,52,91,0,0,0,0,2,10,3,4,7,2
454,"OBERLAHNKREIS","WIE",64,64,0,0,64,64,53,98,10,28,0,0,0,0,1,7,0,0,1,2
455,"LIMBURG","WIE",47,48,3,3,50,51,9,16,37,93,0,0,0,0,5,31,3,3,1,1
456,"UNTERLAHNKREIS","WIE",65,66,8,8,73,74,59,96,6,10,0,0,1,1,8,37,1,0,2,2
457,"SANKT GOARSHAUSEN","WIE",44,44,9,9,53,53,31,45,14,25,0,0,0,0,8,39,4,5,5,1
458,"RHEINGAUKREIS","WIE",26,26,0,0,26,26,0,0,23,56,0,0,0,0,3,21,2,4,1,1
459,"WIESBADEN","WIE",27,27,0,0,27,27,16,38,4,11,0,0,0,0,7,61,0,0,0,0
460,"UNTERTAUNUSKREIS","WIE",68,69,8,8,76,77,58,72,14,16,0,0,0,0,5,23,4,2,4,1
461,"USINGEN","WIE",40,41,6,6,46,47,34,47,9,21,0,0,0,0,4,12,2,2,3,0
462,"OBERTAUNUSKREIS","WIE",34,37,0,0,34,37,9,22,24,54,0,0,0,0,4,24,5,4,0,0
463,"HOCHST","WIE",21,21,0,0,21,21,8,18,7,24,0,0,0,0,6,41,3,11,1,2
464,"FRANKFURT","WIE",16,18,1,1,17,19,12,59,3,18,0,0,0,0,4,48,6,34,7,8
465,"WIESBADEN","WIE",1,4,0,0,1,4,1,1,0,0,0,0,0,0,3,64,2,26,0,0
466,"FRANKFURT","WIE",3,18,0,0,3,18,5,34,4,30,0,0,1,5,8,150,6,113,3,31
467,"KOBLENZ","KOB",1,10,0,0,1,10,1,9,9,44,0,0,0,0,0,0,1,10,0,0
468,"KOBLENZ","KOB",36,40,2,2,38,42,2,8,39,119,0,0,0,0,1,7,6,4,8,8
469,"SANKT GOAR","KOB",49,58,12,12,61,70,11,18,56,84,0,0,0,0,3,8,6,4,5,0
470,"KREUZNACH","KOB",72,106,12,12,84,118,61,99,56,88,0,0,0,0,1,12,2,2,4,1
471,"SIMMERN","KOB",54,66,38,42,92,108,64,75,44,52,0,0,0,0,0,0,4,4,2,0
472,"ZELL","KOB",44,52,6,6,50,58,15,21,41,64,0,0,0,0,2,7,3,6,1,1
473,"KOCHEM","KOB",60,73,5,6,65,79,0,0,79,114,0,0,0,0,0,0,2,1,2,0
474,"MAYEN","KOB",60,67,10,10,70,77,2,2,74,164,0,0,1,1,0,0,5,5,7,3
