id1816,kreiskey1800,county,rb,ani1816_horses,ani1816_foals,ani1816_bulls,ani1816_oxen,ani1816_cattle,ani1816_youngcattle,ani1816_merino,ani1816_halfmerino,ani1816_nomerino,ani1816_goats,ani1816_pigs
171,177,"Naumburg","MER",344,9,4,95,613,241,164,796,139,200,239
172,4,"Neidenburg","KON",10688,1245,429,13806,12181,10918,4,1225,32384,211,17721
173,132,"Neisse","OPP",6271,1599,281,1252,17134,7851,945,14729,24241,349,3406
174,110,"Neumarkt","BRE",3293,613,255,1047,8632,3732,1500,45930,17544,347,682
175,244,"Neuss","DUS",1560,231,48,332,5253,1708,0,0,2600,616,3172
176,130,"Neustadt","OPP",5525,944,73,940,10102,4002,6805,13270,14517,103,4710
177,256,"Neuwied","KOB",523,97,57,3319,8755,4691,0,0,9169,700,2145
178,8,"Niederung","GUM",6835,1835,457,301,11652,3068,127,0,4681,135,10683
179,115,"Nimptsch","BRE",2248,531,223,75,6486,2560,408,22688,16588,354,848
180,179,"Nordhausen","ERF",2640,676,92,418,4638,1569,3074,7431,23292,865,7473
181,42,"Obernik","POS",4313,682,212,5417,6856,3979,769,2050,51130,5,8185
182,104,"Oels","BRE",4811,675,234,3510,9865,3224,18665,35119,17672,37,1804
183,112,"Ohlau","BRE",3745,1177,241,1423,8755,5119,7451,16567,28416,279,5601
184,9,"Oletzko","GUM",10827,2027,233,10294,8299,8647,4,1273,19985,291,11907
185,122,"Oppeln","OPP",4345,647,144,6964,11292,6347,1106,18143,3116,23,5746
186,159,"Oschersleben","MAG",3059,509,156,221,6006,1995,13553,10260,40576,449,5823
187,148,"Osterburg","MAG",6204,2179,282,2496,7600,4927,1340,55290,16916,169,4778
188,37,"Osterwiek","MAG",2772,705,174,129,5947,2157,11730,8873,24088,461,5790
189,270,"Ottweiler","TRI",1399,114,50,943,3486,2238,0,0,6571,221,3008
190,205,"Paderborn","MIN",2539,610,69,363,5496,2311,5,295,10877,1109,3103
191,84,"Piritz","STE",4693,577,261,4865,8423,4737,10796,15243,60969,66,10779
192,31,"Pless","OPP",2738,495,130,2428,6790,3341,20,2140,8661,7,3617
193,24,"Posen","POS",4720,484,205,4566,6431,3132,7375,4405,47825,11,7110
194,51,"Prenzlow","POT",6309,1202,252,3395,7602,4389,4332,18232,49500,153,12010
195,63,"(Ost-)Priegnitz","POT",6284,1764,278,3869,12256,6385,1524,10148,53397,15,6653
196,64,"(West-)Priegnitz","POT",7212,1693,275,1175,13544,4804,5173,7650,29635,109,5304
197,260,"Prüm","TRI",1281,263,150,1765,3750,4569,12,265,37157,569,2202
198,174,"Querfurt","MER",2191,231,109,123,8976,4640,8312,33516,14324,2124,5646
199,200,"Rahden","MIN",3191,742,80,69,7947,4640,110,80,3139,311,3709
200,82,"Randow","STE",693,1338,291,4955,11400,5481,2669,11400,40526,549,13807
201,5,"Rastenburg","KON",16730,4011,578,8272,14209,8874,1897,1849,34069,83,22940
202,127,"Ratibor","OPP",4555,543,108,1751,8060,3501,2918,14095,9532,24,3988
203,198,"Recklinghausen","MUN",3959,879,132,150,10171,5775,25,402,21775,475,5755
204,235,"Rees","DUS",2054,352,53,431,5080,4104,139,0,5158,179,2599
205,89,"Regenwalde","STE",2491,470,125,2472,5038,2740,2300,6540,44128,100,3912
206,118,"Reichenbach","BRE",2059,276,176,152,7429,2309,78,9905,16822,798,354
207,232,"Rheinbach","KOL",1248,157,98,1075,5590,4318,0,0,11991,316,3666
208,237,"Rheinberg","DUS",2664,561,119,555,6258,3330,44,165,7215,737,3991
209,121,"Rosenberg","OPP",1970,225,84,2695,4917,3355,1770,19869,5930,370,2508
210,147,"Rothenburg","LIE",720,7,142,3655,7182,3496,1400,7464,16600,314,225
211,96,"Rummelsburg","KOS",1262,135,83,1772,2635,1454,1849,1859,14617,98,1722
212,62,"Ruppin","POT",7485,1746,354,6024,14607,6653,2365,22268,66328,811,11426
213,168,"Saalkreis","MER",2108,387,142,145,5538,1878,11719,8597,13706,1297,3623
214,269,"Saarbrücken","TRI",1933,305,166,1051,3979,957,5,55,4008,348,4113
215,266,"Saarburg","TRI",2338,356,55,362,3940,1696,0,300,3636,126,5506
216,268,"Saarlouis","TRI",3552,624,96,840,6215,3081,71,531,6887,149,5942
217,85,"Saazig","STE",5810,942,252,5502,9929,6690,2049,9482,73474,148,9559
218,136,"Sagan","LIE",1030,38,130,5402,7129,3847,2182,15732,12908,390,240
219,149,"Salzwedel","MAG",4201,896,195,1162,6705,3538,1601,1690,21921,116,4099
220,172,"Sangerhausen","MER",2415,482,108,69,6425,3039,10310,15047,18079,1530,4819
221,90,"Schiefelbein","KOS",1239,192,51,1591,2123,1291,11,2590,19671,4,2394
222,43,"Schildberg","POS",2865,246,98,3160,5943,2776,314,9156,17982,6,5848
223,95,"Schlawe","KOS",6466,1140,204,2602,9398,3562,414,7128,26585,99,5297
224,187,"Schleusingen","ERF",367,117,78,2042,5553,2311,2595,5283,2404,1660,83
225,40,"Schrimm","POS",2783,329,135,3284,4925,2388,1200,7341,28882,1,6400
226,39,"Schrodda","POS",2551,388,130,2631,3603,2289,1031,4447,28619,13,4514
227,30,"Schweidnitz","BRE",4728,560,376,825,15196,4571,6489,28532,25460,2494,1167
228,164,"Schweinitz","MER",3778,714,152,4771,6786,5733,1737,15779,15623,451,7011
229,226,"Siegburg","KOL",713,100,77,1258,7290,4892,0,0,1703,1097,3651
230,221,"Siegen","ARN",394,15,174,1516,9513,4066,10,101,6869,1065,3389
231,247,"Simmern","KOB",1705,267,131,2920,5495,4547,0,0,8938,1032,5581
232,213,"Soest","ARN",4553,788,227,281,7880,4554,12,13,10445,1129,6535
233,66,"Soldin","FRA",2688,289,145,3285,4960,2936,3856,29041,27126,267,6141
234,243,"Solingen","DUS",388,9,12,17,3160,186,8,6,700,2109,113
235,79,"Sorau","FRA",2102,153,156,5885,9224,7163,8691,15148,13485,137,1529
236,36,"Spremberg","FRA",1972,28,128,4650,7770,4638,7,7336,16565,24,1294
237,137,"Sprottau","LIE",916,35,99,1447,4103,2299,1818,8588,5827,347,186
238,8,"Stallupöhnen","GUM",19651,4086,453,12102,13943,9311,1540,2933,25936,130,21487
239,15,"Stargard","DAN",5322,819,259,6871,6400,3319,1398,2280,29738,403,9425
240,108,"Steinau","BRE",1260,191,102,1841,3447,2723,3337,16056,9523,108,424
241,194,"Steinfurt","MUN",3346,772,190,488,9494,4679,2120,0,5926,452,5867
242,151,"Stendal","MAG",5182,1760,194,2518,7347,5605,0,8246,18711,324,4725
243,72,"Sternberg","FRA",3005,259,147,6148,8530,6397,1786,12236,62134,227,7098
244,92,"(Neu-)Stettin","KOS",4635,480,141,4072,6466,6233,53,2851,37060,393,4825
245,97,"Stolp","KOS",6046,643,249,3529,8890,4162,10,1212,30186,31,5292
246,114,"Strehlen","BRE",1528,378,157,214,4781,2193,5360,15033,5524,242,1179
247,123,"(Gross-)Strehlitz","OPP",1285,144,58,1430,3411,1711,1020,4270,12602,25,2415
248,119,"Striegau","BRE",1835,321,159,397,4715,2261,6286,17351,13725,452,497
249,188,"Teklenburg","MUN",2966,574,177,96,9356,4880,0,0,7215,189,6102
250,56,"Teltow","POT",7313,1049,300,6145,10266,4998,8997,26714,25496,241,7579
251,52,"Templin","POT",3111,645,174,3488,5286,3665,2392,12733,32677,227,6941
252,12,"Thorn","MAR",5706,947,257,4331,7940,3890,812,3469,32972,113,12932
253,8,"Tilsit","GUM",10900,2495,449,3337,11019,4972,1173,3066,14852,79,16926
254,163,"Torgau","MER",4318,1031,174,4132,8519,7221,6064,16702,15143,882,8257
255,125,"Tost","OPP",3617,265,160,3627,8024,3808,1614,6568,11426,8,5680
256,105,"Trebnitz","BRE",3322,518,228,4117,8445,3003,4673,31283,21242,29,2270
257,263,"Trier, Stadtkreis","TRI",132,6,3,136,232,78,610,500,1600,32,1420
258,264,"Trier, Landkreis","TRI",2431,219,187,3665,8240,3208,12,240,15653,257,9660
259,23,"Tscharnikow","BRO",2867,448,90,2599,7082,3129,0,7632,24971,84,5118
260,226,"Ukerath","KOL",706,154,159,2250,7491,8474,0,0,1415,1377,6139
261,81,"Usedom","STE",2762,611,158,1135,5269,2122,232,2213,12842,50,3488
262,225,"Waldbröl","KOL",130,17,427,1092,5009,4811,0,0,2989,669,2512
263,156,"Wanzleben","MAG",3398,717,182,125,5970,2361,25514,17897,25159,319,4706
264,207,"Warburg","MIN",4041,1120,112,379,6020,2687,1108,7358,14686,2678,6123
265,189,"Warendorf","MUN",3709,829,175,53,9080,4928,258,144,9642,448,3034
266,103,"Wartenberg","BRE",2043,196,84,2836,4229,2205,2231,23009,3947,13,1914
