kreiskey1888,county,rb,edu1886_apa_m_free,edu1886_apa_m_ren,edu1886_apa_f_free,edu1886_apa_f_ren,edu1886_val_she,edu1886_wag_m_tot,edu1886_wag_f_tot,edu1886_fin_fee_wag,edu1886_fin_fou_wag,edu1886_fin_soc_wag,edu1886_fin_pat_wag,edu1886_fin_sfu_wag,edu1886_fin_sgr_wag,edu1886_tot_bui,edu1886_new_sum,edu1886_new_num,edu1886_new_apa,edu1886_new_roo,edu1886_ext_sum,edu1886_ext_num,edu1886_ext_apa,edu1886_ext_roo,edu1886_tot_ren,edu1886_fin_pat_bui,edu1886_fin_sgr_bui,edu1886_fin_fou_bui,edu1886_fin_soc_bui,edu1886_fin_mun_bui,edu1886_fin_oth_bui,edu1886_fin_tot_mai,edu1886_fin_fou_mai,edu1886_fin_soc_mai,edu1886_fin_mun_mai,edu1886_fin_sgr_mai,edu1886_fin_oth_mai,edu1886_fin_tot
415,"GELSENKIRCHEN","ARN",52,0,8,0,235.5,189148,77561,11519,372,150856,102502,0,1460,118771,93680,38,6,39,14900,10,4,8,10191,0,0,0,52435,66336,0,89392,276,53136,35684,296,0,208163
416,"HATTINGEN","ARN",51,0,11,0,204.5,116577,30045,12547,2831,66400,56982,0,7862,23822,11464,5,0,0,8392,8,2,2,3966,0,0,662,16961,5946,253,56785,297,36999,19250,0,239,80607
417,"HAGEN","ARN",16,2,6,0,251,82870,25230,114,2328,21111,83747,0,800,33727,26307,3,1,2,477,2,0,0,6943,0,0,0,9243,24484,0,29474,0,7252,22222,0,0,63201
418,"HAGEN","ARN",69,2,7,1,213,143210,25376,2570,4257,23270,134077,0,4412,122442,110897,18,11,20,7155,4,0,4,4390,0,0,5895,8037,79182,29328,64409,0,12104,46233,0,6072,186851
419,"SCHWELM","ARN",59,0,5,0,228.5,116249,17765,1101,1214,47658,74971,0,9070,38316,19212,6,3,7,16255,10,0,5,2849,0,1000,2169,28703,6444,0,40778,270,17598,22910,0,0,79094
420,"ISERLOHN","ARN",51,0,4,0,219,146327,18524,14630,9640,98533,32998,0,9050,47176,35900,16,4,19,10262,5,0,5,1015,0,0,0,27987,19189,0,62473,134,43477,18328,534,0,109649
421,"ALTENA","ARN",75,0,1,1,210,168142,10990,33199,9052,44379,77617,0,14885,55495,37644,14,7,12,11059,7,2,3,6792,0,0,525,26566,27582,822,53386,1133,30040,21907,66,240,108881
422,"OLPE","ARN",38,0,16,0,150.5,67054,23211,11768,5267,28450,8414,0,36366,27747,20499,11,4,4,3882,10,3,5,3366,0,4011,1945,17528,0,4263,33715,798,29312,3405,200,0,61462
423,"SIEGEN","ARN",54,0,1,0,234.5,200564,6710,10435,11184,80823,79017,578,25237,95017,51775,26,1,14,31342,11,2,16,11900,0,0,1393,42865,50759,0,103212,4073,39773,59091,0,275,198229
424,"WITTGENSTEIN","ARN",23,3,0,0,148.5,57304,1540,3360,1377,10894,6593,0,36620,13809,9261,11,3,3,3131,3,1,2,1417,0,5506,0,2226,5864,213,15083,20,9771,5047,200,45,28892
425,"KASSEL","KAS",0,0,0,0,230,193425,23430,68775,3453,0,130699,12428,1500,12039,0,0,0,0,1420,2,0,2,10619,0,0,0,0,12039,0,58994,0,0,58994,0,0,71033
426,"KASSEL","KAS",76,7,0,0,223,82531,0,32597,11057,341,23140,3659,11737,15988,10554,5,3,3,173,4,0,0,5261,0,0,0,27,15669,292,29936,404,312,28634,359,227,45924
427,"ESCHWEGE","KAS",81,1,0,0,245.5,109140,0,24038,12955,2502,38890,4245,26510,33218,23729,8,6,4,318,3,0,0,9171,0,0,0,72,23013,10133,35670,430,1086,33784,102,268,68888
428,"FRITZLAR","KAS",57,0,0,0,154,62456,1800,13535,9807,2589,19529,13789,5007,6964,0,0,0,0,833,2,0,0,6131,0,0,0,194,6770,0,16474,690,319,15218,180,67,23438
429,"HOFGEISMAR","KAS",68,0,0,0,199.5,78332,900,22359,8564,808,26746,1962,18793,13954,6390,2,2,3,1494,9,0,0,6070,0,0,5,160,13782,7,26437,4071,343,20616,550,857,40391
430,"HOMBERG","KAS",58,2,2,0,132,53667,1900,11694,5732,1864,14244,0,22033,4215,1070,1,1,1,0,0,0,0,3145,0,0,0,71,3923,221,14940,4401,808,9731,0,0,19155
431,"MELSUNGEN","KAS",63,0,0,0,177.5,70718,0,15046,10884,1761,18572,12215,12240,5087,233,1,0,0,913,4,2,2,3939,0,0,0,85,4939,63,19447,256,506,18397,0,288,24534
432,"ROTENBURG","KAS",69,1,0,0,179.5,71710,0,11495,9359,2618,25127,240,22871,7965,2744,3,1,1,389,3,0,0,4832,0,0,17,208,7740,0,19936,594,403,18804,30,105,27901
433,"WITZENHAUSEN","KAS",69,1,0,0,188.5,77702,900,17544,8755,622,26198,0,25483,8383,3660,3,1,2,1058,2,0,0,3663,34,0,0,0,8349,0,22739,1002,245,21066,201,225,31122
434,"WOLFHAGEN","KAS",46,0,0,0,176.5,54576,750,12692,8224,2057,16959,1156,14238,11028,6477,3,2,2,1830,3,0,1,2721,87,3173,0,245,7523,0,16341,18,847,14456,277,743,27369
435,"MARBURG","KAS",78,0,0,0,240,98357,2570,19972,15746,720,32346,690,31453,34070,25829,36,3,4,2426,8,1,2,5815,0,883,267,0,32877,43,35596,453,371,33955,693,124,69666
436,"FRANKENBERG","KAS",65,2,0,0,146.5,64454,0,5496,10865,0,12906,1218,33969,17876,9772,7,4,4,3956,5,1,2,4148,0,2300,0,1077,13499,1000,19719,270,0,18179,710,560,37595
437,"KIRCHHAIN","KAS",51,3,1,2,171,53514,2040,4965,7078,1343,24026,1334,16808,22455,12311,3,4,4,264,3,0,0,9880,652,2833,391,38,15538,3003,14628,453,674,13002,406,93,37083
438,"ZIEGENHAIN","KAS",78,0,0,0,188.5,73988,0,13667,9815,902,17506,11007,21091,11990,6897,6,2,2,863,5,1,1,4234,0,0,3000,117,8873,0,21314,1662,564,18122,90,876,33304
439,"FULDA","KAS",64,0,1,0,173.5,85012,8580,18063,5728,780,31643,2314,35064,37895,31282,10,8,41,0,0,0,0,6613,0,3340,0,726,33773,56,27708,298,247,25840,1323,0,65603
440,"HERSFELD","KAS",64,2,0,0,202.5,80566,0,12141,7071,1221,30708,4235,25190,12522,8247,4,1,4,143,2,0,0,4132,222,6686,63,158,5393,0,21802,957,1316,19418,111,0,34324
441,"HUNFELD","KAS",51,1,0,0,160.5,50715,0,6019,7143,3590,11419,490,22054,12538,7544,6,2,3,2135,4,0,2,2859,57,6403,5,1171,4842,60,14723,0,3103,11421,132,67,27261
442,"HANAU","KAS",0,0,0,0,532,51050,2180,19398,3983,0,29849,0,0,14545,0,0,0,0,4705,5,0,3,9840,0,0,0,14545,0,0,29209,178,0,29031,0,0,43754
443,"HANAU","KAS",72,0,1,0,235,80629,750,7524,16987,1908,46321,2437,6202,18896,8940,3,3,5,1918,4,0,0,8038,0,0,0,833,15892,2171,29475,99,1008,28098,270,0,48371
444,"GELNHAUSEN","KAS",81,3,3,0,195,99100,3240,9636,13302,1785,40995,9971,26651,12134,3723,4,2,2,3114,7,1,1,5297,0,2000,2083,101,7950,0,31351,654,932,28688,891,186,43485
445,"SCHLUCHTERN","KAS",56,2,0,0,172.5,63716,0,2637,11112,1273,18956,3421,26317,5730,1132,2,0,0,932,3,0,0,3666,0,0,85,26,5286,333,16441,1387,566,14228,150,110,22171
446,"SCHMALKALDEN","KAS",42,1,0,0,170,62465,0,10869,7370,836,30623,4554,8213,8421,1755,5,0,0,1591,6,0,1,5075,0,0,50,237,8084,50,18644,154,274,18188,22,6,27065
447,"SCHAUMBURG","KAS",72,0,3,0,211.5,88913,2940,25507,14717,7096,18855,11382,14296,24795,19094,9,4,3,1023,9,1,0,4678,473,0,909,592,22784,37,25485,393,2776,21162,908,246,50280
448,"GERSFELD","KAS",54,0,0,0,144,51390,0,10042,4554,709,10084,1144,24857,5116,1432,2,0,1,761,3,1,1,2923,0,600,0,832,3684,0,11817,53,191,11467,96,10,16933
449,"BIEDENKOPF","WIE",67,4,0,0,189.5,71411,3130,9304,9493,728,33072,4893,17051,10208,3036,2,1,1,783,3,0,0,6389,0,0,0,0,10208,0,20941,317,170,20356,64,34,31149
450,"DILLKREIS","WIE",41,0,0,0,204.5,74615,615,9184,5122,1377,55593,0,3954,10291,6791,5,2,3,1813,5,0,1,1687,0,0,50,0,10241,0,22441,24,0,22390,27,0,32732
451,"OBERWESTERWALDKREIS","WIE",18,0,0,0,196.5,55611,0,5715,2979,2654,38116,0,6147,3899,1642,3,0,1,500,1,0,1,1757,0,0,0,592,3307,0,17232,34,561,16630,7,0,21131
452,"WESTERBURG","WIE",23,0,0,0,126.5,61436,2542,7576,4550,0,49865,0,1987,10385,5493,6,0,2,1626,3,0,0,3266,0,0,0,0,10365,20,22222,0,0,22116,47,59,32607
453,"UNTERWESTERWALDKREIS","WIE",63,2,4,0,220,84536,9665,12306,2408,2492,70886,0,6109,19172,11237,3,3,4,4787,7,1,2,3148,0,0,4,0,18168,1000,28241,8,0,28129,51,53,47413
454,"OBERLAHNKREIS","WIE",21,0,2,0,231.5,75979,4245,5503,7357,107,63751,80,3426,4310,0,0,0,0,1330,1,1,2,2980,0,0,667,0,3643,0,26516,144,34,26338,0,0,30826
455,"LIMBURG","WIE",30,0,3,0,189.5,90587,14088,12034,6385,3371,74951,1231,6703,17871,9988,3,2,3,1133,1,0,1,6750,0,0,653,7562,9656,0,33331,25,0,33051,255,0,51202
456,"UNTERLAHNKREIS","WIE",32,0,0,0,245,98001,4081,14530,6137,2783,73699,360,4573,4106,255,1,0,0,1145,2,0,2,2706,0,896,0,50,3160,0,36063,269,130,33566,25,2073,40169
457,"SANKT GOARSHAUSEN","WIE",40,1,1,0,142.5,86628,5259,12078,7068,320,68337,381,3703,19106,10421,4,1,5,5142,5,2,1,3543,0,0,50,0,19056,0,22986,31,0,22916,39,0,42092
458,"RHEINGAUKREIS","WIE",20,0,7,0,163.5,60533,16612,1912,5811,0,66539,157,2726,14943,11937,2,2,4,92,1,0,1,2914,0,2797,4118,0,8028,0,18948,220,0,18728,0,0,33891
459,"WIESBADEN","WIE",34,0,1,0,177.5,86393,6710,16936,5842,0,69896,69,360,23118,20223,0,0,0,1557,0,0,0,1338,0,0,0,0,23118,0,27613,0,0,27613,0,0,50731
460,"UNTERTAUNUSKREIS","WIE",80,0,0,0,187,88187,1080,6862,6503,0,69241,346,6315,7621,3845,4,1,2,1742,4,0,1,2034,0,200,0,27,7161,233,21678,621,31,21026,0,0,29299
461,"USINGEN","WIE",19,0,0,0,107.5,49155,0,2218,4783,0,37908,253,3993,8096,5900,2,2,2,296,3,0,0,1900,0,1833,0,140,6123,0,13388,18,264,13079,27,0,21484
462,"OBERTAUNUSKREIS","WIE",41,0,0,0,180,75500,0,13200,7332,0,49230,2088,3650,20720,15059,5,2,4,0,0,0,0,5661,446,0,0,0,20274,0,26897,76,0,26675,96,50,47617
463,"HOCHST","WIE",25,0,3,0,193,66119,6074,12380,3221,0,55267,1325,0,26966,25013,3,2,11,1100,1,2,2,853,23467,0,0,0,3499,0,23770,26,0,19956,2324,1464,50736
464,"FRANKFURT","WIE",20,1,3,0,289.5,117471,11507,54854,3937,3446,57876,3353,5512,102221,94107,6,1,34,4786,7,0,8,3328,0,0,0,33000,69221,0,50024,0,1236,48747,0,41,152245
465,"WIESBADEN","WIE",3,0,0,0,259,96585,0,9700,0,0,86719,166,0,73256,69765,2,1,26,0,0,0,0,3491,0,0,0,0,73256,0,30200,0,0,30200,0,0,103456
466,"FRANKFURT","WIE",11,0,0,0,580,363480,54200,134880,10600,4280,267920,0,0,532857,486340,6,7,113,16926,3,0,31,29591,0,0,0,0,532857,0,287895,0,4020,281625,0,2250,820752
467,"KOBLENZ","KOB",6,5,5,5,309,58865,22015,14100,0,0,66780,0,0,35945,35945,1,2,10,0,0,0,0,0,0,0,0,0,35945,0,108098,0,0,108098,0,0,144043
468,"KOBLENZ","KOB",57,0,28,0,193,74268,31857,21444,2813,536,76399,916,4017,36078,22160,6,4,4,9856,8,8,8,4062,0,0,0,0,36078,0,38235,0,0,38235,0,0,74313
469,"SANKT GOAR","KOB",60,4,2,0,161.5,86953,9584,14781,3600,0,64843,0,13313,19362,15118,6,4,4,1746,5,0,0,2498,0,1000,0,0,18362,0,25326,124,0,25202,0,0,44688
470,"KREUZNACH","KOB",119,1,3,0,207.5,167776,8710,21371,9784,562,126135,0,18634,22696,8097,2,2,2,8081,4,1,1,6518,0,0,0,0,22696,0,56419,540,0,55729,150,0,79115
471,"SIMMERN","KOB",112,0,1,0,155.5,109459,705,16685,4408,0,64422,0,24649,17328,12401,4,4,4,2186,2,1,0,2741,0,0,0,0,17328,0,29648,0,0,29648,0,0,46976
472,"ZELL","KOB",59,1,7,0,162,64859,9599,7302,2406,2350,54869,0,7531,19907,16138,3,6,6,281,1,0,1,3488,0,0,0,0,19907,0,20925,172,0,20753,0,0,40832
473,"KOCHEM","KOB",69,0,29,0,156.5,71567,18522,9332,7210,0,65244,0,8303,8464,6432,2,1,1,351,2,1,0,1681,0,0,0,0,8464,0,22422,545,0,21591,0,286,30886
474,"MAYEN","KOB",67,0,18,0,126,94211,33955,22161,2299,927,91213,0,11566,23714,17350,5,5,5,2190,7,1,3,4174,0,0,0,0,23714,0,31474,0,195,31279,0,0,55188
475,"ADENAU","KOB",53,5,1,1,104,58085,3770,4416,514,63,21652,0,35210,17376,11139,3,3,3,4732,4,3,2,1505,0,12103,0,0,5163,110,18209,129,0,17829,251,0,35585
476,"AHRWEILER","KOB",56,2,11,0,175.5,67193,17593,5171,2556,2396,58054,0,16609,15247,8639,4,2,2,2361,5,0,3,4247,0,0,0,253,14994,0,24049,0,779,23270,0,0,39296
477,"NEUWIED","KOB",130,0,22,0,194.5,144186,21903,19377,6935,13785,82904,0,43088,31557,23041,12,7,6,2621,5,2,3,5895,0,244,0,0,31313,0,54069,65,9621,43579,166,638,85626
478,"ALTENKIRCHEN","KOB",125,2,3,0,141,147362,2975,25149,11319,36789,30018,185,46877,72644,60226,23,11,12,8991,9,2,0,3427,0,6367,0,42338,18605,5334,37967,206,18801,18793,167,0,110611
479,"WETZLAR","KOB",102,0,2,0,167,115397,1900,14048,16826,0,75270,118,11035,15027,937,1,0,0,5230,4,2,2,8860,0,0,0,233,14744,50,32350,1474,3149,27727,0,0,47377
480,"MEISENHEIM","KOB",28,1,0,0,140,35795,0,5330,5671,0,23346,0,1448,3826,1617,1,0,0,0,0,0,0,2209,0,0,587,0,3239,0,9462,0,0,9462,0,0,13288
481,"KLEVE","DUS",58,5,23,2,202,100481,38802,9107,5618,1096,116051,0,7411,15593,7851,7,3,2,3032,3,0,2,4710,0,0,0,381,15212,0,44603,0,230,44326,0,47,60196
482,"REES","DUS",55,3,22,2,234,123799,44905,45485,14335,71810,25174,618,11282,25177,12014,11,3,4,6459,8,1,7,6704,0,0,353,18949,5875,0,54909,982,46845,7052,30,0,80086
483,"KREFELD","DUS",33,0,0,0,227,258357,74655,0,0,0,333012,0,0,251427,234681,6,8,63,16746,4,1,11,0,0,0,0,0,251427,0,93937,0,0,93937,0,0,345364
484,"KREFELD","DUS",27,0,17,0,171.5,60580,30930,100,1851,0,83302,0,6257,13163,7580,4,0,3,2956,4,1,2,2627,0,0,0,0,13163,0,20035,0,0,20035,0,0,33198
485,"DUISBURG","DUS",19,0,2,0,262,209100,12450,27551,1800,0,192199,0,0,74414,73431,3,1,16,983,1,0,0,0,0,0,0,0,74414,0,64529,0,0,64100,0,429,138943
486,"MULHEIM","DUS",51,0,10,0,268,224712,33235,63832,2187,5289,183859,0,2780,47337,9534,2,0,4,36241,20,0,27,1562,0,4000,1833,0,40837,667,87346,0,3629,83583,134,0,134683
487,"RUHRORT","DUS",79,0,10,1,262.5,187620,28140,13922,5237,58721,110015,1699,26166,53525,7409,6,3,1,34880,12,2,19,11236,0,1947,0,14931,36266,381,65741,90,30915,34478,25,233,119266
488,"ESSEN","DUS",27,0,24,3,379,170445,56565,57325,101,169584,0,0,0,142969,79673,4,2,15,11913,2,2,8,51383,0,0,0,142969,0,0,100013,0,100013,0,0,0,242982
489,"ESSEN","DUS",168,0,79,0,275.5,317574,120342,136220,6067,6721,247194,0,41714,326977,249942,25,22,33,64759,25,9,27,12276,428,6683,1236,14118,304512,0,164838,30,8324,154858,1182,444,491815
490,"MORS","DUS",90,1,11,0,206.5,159199,25670,34727,2994,4528,132083,118,10419,15250,6944,6,0,1,5768,3,1,3,2538,0,0,165,714,14371,0,52117,0,2548,49569,0,0,67367
491,"GELDERN","DUS",36,0,16,0,187.5,76895,46472,16512,1013,10736,90241,65,4800,16063,12051,8,0,1,1420,2,2,0,2592,0,0,0,0,16063,0,34707,0,391,34316,0,0,50770
492,"KEMPEN","DUS",56,0,27,2,144,147175,82610,1691,762,15369,193413,0,18550,30974,23825,12,3,2,3628,5,1,1,3521,0,1055,0,0,29919,0,58013,20,227,57766,0,0,88987
493,"DUSSELDORF","DUS",30,0,9,0,290,219130,107175,73820,0,0,252485,0,0,137749,88210,5,3,38,49539,7,0,36,0,0,0,0,0,137749,0,106551,0,0,106551,0,0,244300
494,"DUSSELDORF","DUS",83,1,28,0,201,126142,41090,14920,2083,3403,134713,815,11298,20662,6986,7,0,0,9271,9,5,10,4405,0,0,0,10,18986,1666,41206,0,780,40426,0,0,61868
495,"ELBERFELD","DUS",34,0,1,0,292,437620,23280,0,270,0,460630,0,0,228483,114624,9,6,48,97526,15,1,34,16333,0,0,0,0,228483,0,121150,0,0,121150,0,0,349633
496,"BARMEN","DUS",37,0,0,0,279,371430,57460,55246,2880,0,370764,0,0,143966,114867,3,3,20,.1,15,0,18,29099,0,0,0,0,143966,0,88466,0,0,88466,0,0,232432
497,"METTMANN","DUS",84,0,7,0,233.5,172235,21036,7511,3059,0,160167,1633,20901,80966,52394,9,9,12,22799,11,4,13,5773,0,0,0,0,80966,0,60742,164,0,59524,1054,0,141708
498,"REMSCHEID","DUS",18,1,6,0,254,89967,28715,0,542,0,118140,0,0,21910,0,0,0,0,16217,8,1,7,5693,0,0,0,0,21910,0,42486,0,0,42486,0,0,64396
499,"LENNEP","DUS",74,6,1,0,271,191842,10486,13006,3068,0,150847,1110,34297,39228,22523,4,1,1,5784,4,0,3,10921,0,1334,7113,0,30781,0,69024,680,550,67485,309,0,108252
500,"SOLINGEN","DUS",102,0,14,0,200.5,303659,50315,24066,2981,90,286817,700,39320,98179,65248,23,5,17,23741,15,3,10,9190,1000,0,3500,0,85165,8514,93568,0,0,93065,503,0,191747
501,"NEUSS","DUS",48,0,35,0,198.5,77794,54371,6907,1149,0,119214,0,4895,31089,22860,5,3,7,7622,4,6,6,607,0,0,0,0,28622,2467,44848,0,0,44848,0,0,75937
502,"GREVENBROICH","DUS",59,0,21,2,211.5,93509,29810,726,1990,0,109827,2666,8110,13972,9771,5,2,5,1855,2,1,1,2346,0,0,0,0,13972,0,34991,0,0,34991,0,0,48963
503,"MUNCHEN GLADBACH","DUS",14,0,15,0,316,75800,42925,0,30,0,118695,0,0,48835,40139,1,4,8,8171,2,0,6,525,0,0,0,0,48835,0,48989,0,0,48989,0,0,97824
504,"GLADBACH","DUS",61,1,20,1,206,195560,56149,20055,255,450,209664,3575,17710,15368,1672,1,0,0,8880,6,0,8,4816,0,0,0,0,15368,0,72220,0,200,72020,0,0,87588
505,"WIPPERFURTH","KOL",32,3,11,0,163.5,47603,15290,0,162,0,47536,166,15029,13870,6142,4,2,4,5691,6,4,5,2037,0,0,0,0,13870,0,24000,0,0,23747,253,0,37870
506,"WALDBROL","KOL",46,2,1,0,156,55725,845,0,824,210,25169,0,30367,28963,25598,8,4,11,561,5,2,2,2804,0,2692,0,0,15623,10648,17267,0,0,16891,376,0,46230
507,"GUMMERSBACH","KOL",49,8,1,0,201.5,83739,750,8003,1486,1822,55648,0,17530,23184,17574,6,3,4,3767,4,0,4,1843,0,3394,0,0,19790,0,27869,0,0,27758,111,0,51053
508,"SIEGKREIS","KOL",124,1,40,0,185,161466,42368,4564,1527,17130,156136,0,24477,37190,14373,9,6,7,14451,9,6,7,8366,3332,1399,0,0,32459,0,62724,0,5362,57212,150,0,99914
509,"MULHEIM","KOL",77,5,38,2,235.5,150430,60215,0,365,0,204628,528,5124,116820,97193,17,21,38,12463,11,3,13,7164,0,0,0,0,116820,0,61656,0,0,61490,166,0,178476
510,"KOLN","KOL",46,0,36,0,353,316000,183622,120329,540,0,378753,0,0,115875,94855,2,0,42,2034,6,0,12,18986,0,0,0,0,115875,0,192839,0,0,192839,0,0,308714
511,"KOLN","KOL",137,1,94,1,231.5,243165,140200,31458,1110,51144,297513,0,2140,134760,84920,17,11,46,44039,12,10,31,5801,0,0,0,0,134760,0,137914,252,0,137662,0,0,272674
512,"BERGHEIM","KOL",63,0,38,1,136,71370,33245,0,968,6450,95697,0,1500,24719,14772,10,6,7,4428,4,3,0,5519,0,0,0,3063,21656,0,28850,306,2458,26086,0,0,53569
513,"EUSKIRCHEN","KOL",56,0,28,0,127.5,74510,34025,14526,851,750,87668,0,4740,48538,42373,6,3,16,3423,4,1,2,2742,0,0,0,0,48538,0,26067,102,0,25965,0,0,74605
514,"RHEINBACH","KOL",59,0,16,0,173,61969,17914,10667,0,110,56612,0,12494,15510,11657,5,2,2,38,1,0,0,3815,0,1101,0,166,14243,0,19494,0,0,19134,360,0,35004
515,"BONN","KOL",11,0,10,0,336,46300,31400,12968,0,0,64732,0,0,21534,19155,3,0,0,2379,2,0,6,0,0,0,0,0,21534,0,36248,0,0,36248,0,0,57782
516,"BONN","KOL",65,3,47,0,209,76255,42808,2207,367,0,110044,225,6220,45630,37191,18,5,5,5178,6,1,2,3261,0,1500,0,0,43860,270,44387,0,0,44220,167,0,90017
517,"DAUN","TRI",62,1,8,1,85,61471,8132,9665,163,0,23689,0,36086,13066,10630,4,2,2,46,1,1,0,2390,0,4348,0,0,8718,0,14834,186,0,14525,123,0,27900
518,"PRUM","TRI",71,4,9,1,110,73974,11457,13821,696,716,22438,4185,43575,9051,6291,6,3,5,82,1,1,0,2678,0,2833,0,513,5705,0,21254,135,565,19254,1300,0,30305
519,"BITBURG","TRI",65,1,26,1,111.5,76186,24210,20533,627,0,51882,0,27354,26168,17237,7,7,8,2840,2,1,1,6091,0,0,73,77,26018,0,25728,50,212,25386,80,0,51896
520,"WITTLICH","TRI",53,0,21,0,126.5,58471,20482,18383,1176,466,44134,0,14794,19106,15186,4,6,5,1361,5,0,0,2559,0,0,0,0,19106,0,19345,0,280,19015,50,0,38451
521,"BERNKASTEL","TRI",89,0,32,0,117.5,85973,24732,21709,4085,9668,58050,900,16293,21527,9479,2,2,2,327,3,0,0,11721,0,3200,0,1756,16571,0,29820,278,2738,26801,3,0,51347
522,"TRIER","TRI",18,0,8,0,211,36960,20755,16669,0,368,38197,0,2481,12489,10674,4,8,8,1539,2,2,2,276,0,1333,0,0,11156,0,25856,0,0,25856,0,0,38345
523,"TRIER","TRI",120,1,53,1,145,113448,40608,35509,3480,939,80683,0,33445,50563,37905,5,7,8,6136,8,2,2,6522,0,1638,0,0,48889,36,49895,0,184,48699,1012,0,100458
524,"SAARBURG","TRI",49,0,23,0,112,51669,18673,13714,5014,0,39714,0,11900,11378,7668,4,3,4,491,2,0,0,3219,0,0,0,0,11378,0,16640,0,0,16587,53,0,28018
525,"MERZIG","TRI",54,0,36,1,113,58297,29061,16360,1496,133,47996,0,21373,22143,14650,9,3,5,3103,3,1,2,4390,0,0,47,0,22096,0,24208,80,0,23938,190,0,46351
526,"SAARLOUIS","TRI",77,4,59,4,349,115112,58157,49490,967,460,84795,0,37557,51381,44212,13,7,20,1136,1,1,0,6033,0,700,0,0,48154,2527,56914,0,200,54691,2023,0,108295
527,"SAARBRUCKEN","TRI",144,0,33,0,260.5,301178,69247,136694,1478,11993,200837,0,19423,100187,66521,11,3,12,19146,9,2,14,14520,0,0,0,9081,91106,0,119575,0,4768,114158,62,587,219762
528,"OTTWEILER","TRI",84,2,31,2,198,154810,57440,89411,1146,999,83471,0,37223,64491,46579,11,9,19,5840,7,4,4,12072,0,2841,0,0,61650,0,68450,0,150,66196,2104,0,132941
529,"SANKT WENDEL","TRI",104,0,17,0,138.5,111498,18745,27260,9785,1367,60511,0,31320,31623,25553,13,7,6,2320,9,2,4,3750,0,807,0,0,30816,0,34644,0,0,34584,60,0,66267
530,"ERKELENZ","AAC",69,0,9,0,174,83786,6685,7319,1076,0,79246,0,2830,7254,4305,3,0,0,117,2,1,0,2832,0,0,0,0,7254,0,28618,182,0,28418,0,18,35872
531,"HEINSBERG","AAC",61,0,12,0,166,69056,10780,10090,1366,0,59735,0,8645,18788,15766,4,5,5,2581,3,2,1,441,0,0,0,0,18788,0,20705,0,0,19739,0,966,39493
532,"GEILENKIRCHEN","AAC",47,0,3,0,175,51220,7165,5046,1208,0,50888,0,1243,2262,0,0,0,0,0,0,0,0,2262,0,0,0,0,2262,0,17328,0,0,16452,0,876,19590
533,"JULICH","AAC",74,2,10,2,163,100036,10820,15012,9213,1550,84901,0,180,6344,5539,2,1,1,0,0,0,0,805,0,0,0,0,6344,0,17109,856,410,15843,0,0,23453
534,"DUREN","AAC",99,0,19,1,217.5,150455,46850,35686,5608,1300,150010,0,4701,52494,46033,6,2,9,56,1,0,0,6405,0,0,0,67,52427,0,67469,0,3670,63601,0,198,119963
535,"AACHEN","AAC",39,0,18,0,337,133100,88300,47731,6411,0,167258,0,0,42412,42412,2,3,20,0,0,0,0,0,0,0,0,0,42412,0,70488,0,0,70488,0,0,112900
536,"AACHEN","AAC",99,7,63,2,202.5,183473,76471,47770,0,650,211424,0,100,65465,53285,18,28,45,8231,4,5,6,3949,0,0,0,0,65465,0,86296,1111,339,84846,0,0,151761
537,"EUPEN","AAC",18,1,9,3,166,36837,21872,11559,2234,0,44916,0,0,6253,2644,2,1,1,0,0,0,0,3609,0,0,0,0,6253,0,16882,86,0,16796,0,0,23135
538,"MONTJOIE","AAC",33,0,1,0,195,37825,4197,8593,337,798,23938,0,8356,7871,7583,2,2,2,0,0,0,0,288,0,0,0,0,7871,0,15366,0,0,15366,0,0,23237
539,"SCHLEIDEN","AAC",100,1,6,0,137.5,114573,9915,22029,1096,884,62304,0,38175,43295,36733,15,9,11,1669,7,3,1,4893,0,0,0,2465,40830,0,34874,0,280,33958,438,198,78169
540,"MALMEDY","AAC",58,0,0,0,142,84575,10287,16356,419,8927,30754,0,38406,21162,16054,4,4,4,3084,9,2,0,2024,0,1824,0,0,19338,0,28613,529,4596,22400,350,738,49775
541,"SIGMARINGEN","SIG",47,1,2,0,142,46281,2758,100,12816,3195,25050,5480,2398,20715,17043,6,3,6,317,1,0,0,3355,233,0,263,929,19290,0,12450,674,479,11109,137,51,33165
542,"GAMMERTINGEN","SIG",36,0,0,0,142,32717,0,0,9473,0,17374,4413,1457,5045,3360,2,1,1,447,2,0,0,1238,0,0,0,0,5045,0,9140,857,0,8000,283,0,14185
543,"HECHINGEN","SIG",42,1,0,0,163.5,43601,0,4034,3657,2000,30623,0,3287,52456,49102,5,11,17,2218,3,1,2,1136,0,0,0,143,52313,0,15904,1559,297,14048,0,0,68360
544,"HAIGERLOCH","SIG",28,0,0,0,198.5,28095,0,0,5415,1960,15620,3616,1484,7635,910,1,0,0,6118,4,1,3,607,0,0,0,0,7635,0,9329,1368,606,7323,0,32,16964
