kreiskey1888,county,rb,edu1886_apa_m_free,edu1886_apa_m_ren,edu1886_apa_f_free,edu1886_apa_f_ren,edu1886_val_she,edu1886_wag_m_tot,edu1886_wag_f_tot,edu1886_fin_fee_wag,edu1886_fin_fou_wag,edu1886_fin_soc_wag,edu1886_fin_pat_wag,edu1886_fin_sfu_wag,edu1886_fin_sgr_wag,edu1886_tot_bui,edu1886_new_sum,edu1886_new_num,edu1886_new_apa,edu1886_new_roo,edu1886_ext_sum,edu1886_ext_num,edu1886_ext_apa,edu1886_ext_roo,edu1886_tot_ren,edu1886_fin_pat_bui,edu1886_fin_sgr_bui,edu1886_fin_fou_bui,edu1886_fin_soc_bui,edu1886_fin_mun_bui,edu1886_fin_oth_bui,edu1886_fin_tot_mai,edu1886_fin_fou_mai,edu1886_fin_soc_mai,edu1886_fin_mun_mai,edu1886_fin_sgr_mai,edu1886_fin_oth_mai,edu1886_fin_tot
402,"WARBURG","MIN",50,2,17,4,196,61640,19730,18094,8994,2990,34720,2458,14114,11638,8840,2,3,3,601,3,0,2,2197,0,0,0,47,11591,0,24418,0,973,23391,54,0,36056
403,"HOXTER","MIN",80,0,21,1,163,100996,28890,35578,9141,2020,50403,2304,30440,21094,9989,9,4,5,9076,8,4,3,2029,0,0,0,109,19898,1087,37969,0,3199,34470,261,39,59063
404,"ARNSBERG","ARN",42,0,19,0,172.5,66974,31265,17675,6672,13224,52723,11,7934,43707,35177,8,5,7,6553,4,3,2,1977,5433,0,0,4850,33424,0,30846,45,8779,22022,0,0,74553
405,"MESCHEDE","ARN",31,2,10,0,137,57894,22160,10792,4642,36535,6001,33,22051,18423,11756,10,2,2,3696,4,2,2,2971,0,3220,0,12204,2862,137,26453,593,20542,3804,684,830,44876
406,"BRILON","ARN",53,0,12,1,149,71994,22756,15607,6085,9128,32211,400,31319,10404,5145,5,2,2,640,3,1,1,4619,0,174,394,1558,8278,0,28348,827,2885,24259,377,0,38752
407,"LIPPSTADT","ARN",41,0,18,0,163,63882,24861,15156,17701,37924,15827,315,1820,9522,8625,7,1,1,760,2,0,0,137,0,0,0,5370,4152,0,28159,590,18191,9378,0,0,37681
408,"SOEST","ARN",58,0,5,1,185,101340,21647,17364,16131,51916,35631,1115,830,44674,33482,14,6,12,4176,7,4,3,7016,0,0,0,27358,17316,0,39419,47,23974,15398,0,0,84093
409,"HAMM","ARN",71,1,6,0,238.5,163806,30492,36139,20358,107310,25526,1290,3675,47597,21307,16,3,4,18626,8,0,10,7664,0,2059,827,37140,7571,0,66994,1247,57668,7891,150,38,114591
410,"DORTMUND","ARN",20,1,16,0,278,249700,58000,39352,2285,134492,131571,0,0,246752,232344,6,11,64,197,1,0,1,14211,0,0,0,0,246752,0,195620,600,0,195020,0,0,442372
411,"DORTMUND","ARN",64,0,15,0,162,146926,30460,29847,11184,77238,53570,83,5464,69436,49087,14,7,10,13014,7,9,14,7335,0,0,0,47724,21712,0,78530,540,65769,12221,0,0,147966
412,"HORDE","ARN",64,1,4,1,246.5,184637,43295,15746,1806,91786,114299,0,4295,82029,60455,23,3,6,11835,8,1,7,9739,0,0,0,44938,37091,0,85452,0,34819,50633,0,0,166481
413,"BOCHUM","ARN",6,0,0,0,243,108496,47865,27608,601,1953,126199,0,0,136642,122930,3,0,32,6545,2,2,2,7167,0,0,0,749,135893,0,45555,0,214,45341,0,0,182197
414,"BOCHUM","ARN",79,2,23,0,238,234454,70274,18356,3027,11647,269283,0,2415,137471,115880,23,14,24,16150,10,4,6,5441,0,0,0,448,137023,0,93954,345,3826,89783,0,0,231425
