kreiskey1888,county,rb,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_sco,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_pro_cla,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_sco,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_cat_cla,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_sco,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_ocr_cla,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_sco,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_jew_cla,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_sco,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup,edu1886_mix_cla,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
75,"POTSDAM","POT",177,163,340,4073,358,1,8,0,0,0,59,4,0,0,15,3,0,0,5,0,0,0,4,0,0,0,9,74,9,79,4088,4073,6,1,8,2,7,0,7,352,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"SPANDAU","POT",324,314,638,3473,293,1,5,0,0,0,41,4,0,0,13,1,0,0,0,0,0,0,0,0,0,0,5,54,0,57,3484,3473,5,1,5,1,5,0,5,288,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"OSTHAVELLAND","POT",3766,3846,7612,9666,87,15,11,84,1,0,137,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80,138,0,173,9750,9666,58,15,11,2,2,0,2,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"BRANDENBURG","POT",45,50,95,2545,81,9,0,0,1,0,36,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,10,44,0,49,2540,2529,2,9,0,1,2,0,2,95,16,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"WESTHAVELLAND","POT",3180,3047,6227,8905,66,3,10,80,0,0,132,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,81,135,0,150,8984,8905,66,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"RUPPIN","POT",4763,4676,9439,11838,50,4,26,121,1,0,203,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,130,206,0,230,11889,11838,21,4,26,1,1,0,1,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"OSTPRIGNITZ","POT",3881,3723,7604,9168,12,0,7,126,0,0,175,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,137,177,0,206,9187,9168,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"WESTPRIGNITZ","POT",3566,3626,7192,9866,96,2,9,104,1,0,187,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,131,190,3,205,9887,9866,10,2,9,2,2,0,2,86,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"KONIGSBERG","FRA",6344,6324,12668,16051,58,20,54,99,0,0,207,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,118,213,2,254,16183,16051,58,20,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"SOLDIN","FRA",3260,3181,6441,8558,5,52,42,65,0,0,110,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,65,114,0,140,8657,8558,5,52,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"ARNSWALDE","FRA",2909,2781,5690,7503,25,53,58,60,0,0,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,97,0,120,7639,7503,25,53,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"FRIEDEBERG","FRA",3949,3932,7881,10270,99,15,69,66,1,0,130,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,73,132,0,165,10392,10270,38,15,69,1,1,0,1,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"LANDSBERG","FRA",5528,5539,11067,13532,137,16,14,81,1,0,157,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,98,161,0,206,13603,13532,41,16,14,1,2,0,2,96,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
