kreiskey1888,county,rb,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_sco,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_pro_cla,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_sco,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_cat_cla,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_sco,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_ocr_cla,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_sco,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_jew_cla,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_sco,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup,edu1886_mix_cla,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
110,"PYRITZ","STE",3519,3325,6844,7378,15,17,24,88,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,104,0,120,7434,7378,15,17,24,0,0,0,0,0,0,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"SAATZIG","STE",4196,4147,8343,11211,80,116,64,93,1,0,161,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,95,172,0,196,11402,11209,15,114,64,1,1,0,1,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"NAUGARD","STE",4567,4393,8960,10317,62,0,11,96,1,0,147,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,104,147,1,161,10331,10317,3,0,11,2,2,0,2,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,"KAMMIN","STE",4033,3928,7961,8132,1,0,18,46,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,130,0,136,8151,8132,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"GREIFENBERG","STE",2647,2448,5095,6201,1,15,8,35,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,112,0,114,6225,6201,1,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"REGENWALDE","STE",4305,4105,8410,8880,13,36,55,82,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,134,0,137,8984,8880,13,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"SCHIVELBEIN","KOS",1418,1310,2728,3466,4,0,49,29,0,0,60,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,46,62,0,63,3519,3466,4,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,"DRAMBURG","KOS",2237,2342,4579,6420,11,51,68,51,0,0,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,97,0,114,6550,6420,11,51,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"NEUSTETTIN","KOS",6462,6062,12524,14052,41,51,149,86,0,0,183,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,109,177,0,222,13613,13429,23,51,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,10,1,0,0,0,12,680,623,18,0,39
119,"BELGARD","KOS",3567,3406,6973,8244,11,27,45,35,0,0,121,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,91,122,1,136,8327,8244,11,27,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"KOLBERG-KORLIN","KOS",3696,3722,7418,8408,74,5,64,32,1,0,140,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,100,143,1,154,8488,8408,11,5,64,1,1,0,2,63,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"KOSLIN","KOS",2730,2613,5343,7622,33,18,58,25,1,0,133,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,79,135,0,144,7714,7622,16,18,58,1,1,0,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"BUBLITZ","KOS",1788,1729,3517,4151,0,8,16,19,0,0,62,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,44,63,1,74,4175,4151,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"SCHLAWE","KOS",6180,6142,12322,13429,32,59,52,57,0,0,205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151,206,0,230,13572,13429,32,59,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,"RUMMELSBURG","KOS",2990,2983,5973,6541,25,49,60,19,0,0,83,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,65,85,0,96,6675,6541,25,49,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"STOLP","KOS",7361,7201,14562,17418,72,94,113,36,0,0,260,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,182,260,1,278,17697,17418,72,94,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"LAUENBURG","KOS",3623,3547,7170,7236,571,42,58,14,0,0,114,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,110,2,117,7491,6963,428,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,2,0,0,0,7,416,273,143,0,0
127,"BUTOW","KOS",1982,1842,3824,3492,780,22,49,9,2,0,53,9,0,0,0,0,0,0,2,10,0,0,0,0,0,0,37,44,10,50,3350,3071,254,20,5,8,8,2,13,474,11,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,9,1,0,0,0,10,519,410,63,2,44
128,"RUGEN","STR",3449,3398,6847,7698,10,0,0,35,0,0,126,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,91,129,1,145,7708,7698,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"STRALSUND","STR",145,151,296,2659,58,3,0,0,1,0,35,1,0,0,14,0,0,0,0,0,0,0,2,0,0,0,6,49,2,48,2665,2659,3,3,0,1,1,0,1,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,"FRANZBURG","STR",3096,3038,6134,7334,3,3,4,34,0,0,133,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,95,136,0,146,7344,7334,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,"GREIFSWALD","STR",3003,3077,6080,9197,79,6,7,32,1,0,156,1,0,0,17,0,0,0,1,0,0,0,3,0,0,0,87,173,4,178,9233,9197,23,6,7,1,1,0,1,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"GRIMMEN","STR",2436,2428,4864,6759,9,4,4,41,0,0,124,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,90,128,1,138,6776,6759,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"WRESCHEN","POS",2952,2832,5784,485,5132,0,167,3,2,0,10,44,0,3,0,0,0,0,4,1,0,0,0,0,0,0,9,10,1,10,406,365,26,0,15,36,44,4,64,5226,120,5106,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,152,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"JAROTSCHIN","POS",4159,4170,8329,937,7217,0,175,4,6,0,14,58,0,4,0,0,0,0,2,0,0,0,0,0,0,0,11,11,0,20,763,719,42,0,2,44,53,2,75,6700,125,6575,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,182,6,3,0,173,3,8,3,5,0,0,0,9,684,87,597,0,0
135,"SCHRODA","POS",5038,5064,10102,1510,8604,0,110,5,5,0,25,71,0,2,0,0,0,0,10,2,0,0,0,0,0,0,23,25,2,26,1804,1302,441,0,61,56,71,10,89,8371,208,8163,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,49,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"SCHRIMM","POS",5199,5059,10258,1681,8699,6,216,7,5,0,25,74,0,4,0,0,0,0,8,6,0,0,0,0,0,0,21,24,5,31,1756,1411,303,0,42,52,73,9,111,8484,247,8231,6,0,0,0,0,0,0,0,0,0,0,3,4,0,4,174,0,0,0,174,1,2,1,1,0,0,0,2,188,23,165,0,0
137,"POSEN","POS",0,0,0,1625,4531,0,149,0,0,0,44,50,0,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,111,56,53,0,2,0,99,6305,1625,4531,0,149
138,"POSEN OST","POS",3036,2957,5993,1214,4960,0,93,2,3,0,16,42,0,2,0,0,0,0,13,3,0,0,0,0,0,0,7,10,3,13,785,588,197,0,0,23,29,12,52,3411,176,3233,0,2,0,0,0,0,0,0,0,0,0,1,2,1,2,89,0,0,0,89,3,19,6,13,0,0,0,26,1982,450,1530,0,2
139,"POSEN WEST","POS",3282,3179,6461,735,5703,0,23,2,2,0,10,40,0,0,0,0,0,0,17,4,0,0,0,0,0,0,9,9,4,11,622,491,126,0,5,35,39,17,69,5645,236,5392,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,3,194,8,185,0,1
140,"OBORNIK","POS",4466,4290,8756,3099,5743,0,304,9,3,0,53,53,0,4,3,0,0,1,7,10,0,0,0,0,0,0,42,46,10,47,3230,2365,849,0,16,32,42,7,50,4146,197,3940,0,9,0,0,0,0,0,0,0,0,0,2,4,0,4,190,0,0,0,190,6,22,10,11,0,1,0,24,1580,537,954,0,89
141,"SAMTER","POS",5129,5057,10186,2533,7336,0,317,7,3,0,34,58,0,6,0,0,0,0,4,5,0,0,0,0,0,0,27,34,5,45,2645,2379,254,0,12,43,58,3,78,7238,154,7082,0,2,0,0,0,0,0,0,0,0,0,4,6,1,8,303,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0
142,"BIRNBAUM","POS",2586,2488,5074,2466,2781,0,61,4,1,0,35,21,0,2,0,0,0,0,2,7,0,0,0,0,0,0,25,31,7,36,2415,1933,471,0,11,16,18,2,25,2191,156,2035,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,14,0,0,0,14,2,8,4,3,0,1,0,10,688,377,275,0,36
143,"SCHWERIN","POS",1814,1816,3630,1843,2302,0,29,6,15,0,22,25,0,1,0,0,0,0,8,4,0,0,0,0,0,0,11,22,3,24,1783,1709,68,0,6,17,25,9,35,2371,134,2234,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"MESERITZ","POS",4315,4139,8454,4873,4192,3,107,23,11,0,56,42,0,1,0,0,0,0,11,19,0,0,0,0,0,0,38,45,19,59,4350,3973,321,3,53,32,37,11,49,3695,255,3440,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,18,0,0,0,18,2,16,11,5,0,0,0,19,1112,645,431,0,36
145,"NEUTOMISCHEL","POS",3148,3182,6330,2680,3556,0,94,12,2,0,32,26,0,1,0,0,0,0,1,3,0,0,0,0,0,0,26,32,3,34,2860,2593,241,0,26,20,26,1,30,3402,87,3315,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,68,0,0,0,68,0,11,0,0,0,0,0,0,0,0,0,0,0
146,"GRATZ (Buk)","POS",2725,2780,5505,1054,4811,0,112,1,2,0,16,43,0,2,1,0,0,0,2,0,0,0,0,1,0,0,10,10,0,11,698,678,20,0,0,29,36,2,50,4259,145,4113,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,44,0,0,0,44,3,4,7,7,0,1,1,16,976,231,678,0,67
147,"BOMST","POS",5721,5799,11520,4633,6846,4,82,15,8,0,68,53,0,2,1,0,0,0,6,8,0,0,0,0,0,0,49,68,6,79,4981,4441,508,4,28,40,52,6,73,6363,144,6216,0,3,0,0,0,0,0,0,0,0,0,2,2,1,2,51,0,0,0,51,1,2,1,1,0,0,1,3,170,48,122,0,0
148,"FRAUSTADT","POS",2395,2417,4812,1923,3380,0,27,10,14,0,24,36,0,1,0,0,0,0,2,1,0,0,0,0,0,0,15,24,0,37,1869,1763,104,0,2,27,36,3,52,3436,160,3276,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
149,"SCHMIEGEL","POS",4015,3808,7823,1047,6729,0,47,1,3,0,12,51,0,1,0,0,0,0,1,1,0,0,0,0,0,0,8,12,1,14,1052,880,162,0,10,39,51,1,81,6735,167,6567,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"KOSTEN","POS",4234,4181,8415,829,7522,0,64,2,2,0,11,56,0,1,0,0,0,0,1,0,0,1,0,0,0,0,8,11,1,12,821,749,22,0,50,44,56,1,89,7580,80,7500,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
151,"LISSA","POS",3058,2959,6017,2253,4913,0,202,7,9,0,31,37,0,3,0,0,0,0,2,7,0,0,0,0,0,0,15,30,7,35,2506,2062,429,0,15,23,36,2,53,4483,91,4391,0,1,0,0,0,0,0,0,0,0,0,1,3,0,3,186,0,0,0,186,1,2,1,1,0,0,0,3,193,100,93,0,0
152,"RAWITSCH","POS",3715,3696,7411,2855,5242,3,52,10,2,0,36,44,0,1,2,0,0,0,1,7,0,1,0,0,0,0,18,26,7,36,2432,1930,491,2,9,27,37,1,53,4201,87,4114,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,23,0,0,0,23,4,19,12,7,0,0,1,27,1496,838,637,1,20
153,"GOSTYN (Kröben)","POS",3743,3655,7398,766,6776,0,70,3,2,0,11,60,0,1,0,0,0,0,3,5,0,0,0,0,0,0,4,4,1,5,283,219,56,0,8,38,57,7,78,6386,143,6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,3,0,1,0,13,943,404,477,0,62
154,"KOSCHMIN","POS",2640,2638,5278,658,4737,0,109,3,0,0,9,38,0,3,0,0,0,0,2,0,0,0,0,0,0,0,9,9,0,12,618,600,9,0,9,27,38,2,60,4786,58,4728,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
155,"KROTOSCHIN","POS",3821,3752,7573,2220,5278,0,203,5,3,0,29,45,0,4,0,0,0,0,4,2,0,0,0,0,0,0,12,27,2,31,2116,1982,110,0,24,31,43,4,64,4977,192,4785,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,179,0,0,0,179,2,4,2,2,0,0,0,6,429,46,383,0,0
156,"PLESCHEN","POS",3052,3026,6078,847,5269,0,123,2,1,0,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,12,894,717,55,0,122,33,49,0,50,5177,100,5077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,168,30,137,0,1
157,"OSTROWO","POS",2650,2630,5280,812,4556,0,166,1,2,0,9,44,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0,9,581,556,25,0,0,30,43,1,63,4653,205,4434,0,14,0,0,0,0,0,0,0,0,0,1,4,0,4,152,0,0,0,152,1,2,1,1,0,0,0,2,148,51,97,0,0
158,"ADELNAU","POS",3133,3045,6178,1235,4856,0,87,3,1,0,18,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,13,963,854,30,0,79,33,45,0,51,4051,109,3942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,5,9,0,0,0,15,1164,272,884,0,8
159,"SCHILDBERG","POS",2977,3011,5988,1352,4452,0,184,2,4,0,17,47,0,1,0,0,0,0,1,2,0,0,0,0,0,0,9,13,2,17,1141,948,156,0,37,27,41,1,55,3906,161,3724,0,21,0,0,0,0,0,0,0,0,0,1,1,0,2,94,0,0,0,94,3,10,4,6,0,0,0,12,847,243,572,0,32
160,"KEMPEN","POS",2660,2629,5289,850,5017,0,238,1,3,0,9,49,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,4,0,5,278,241,33,0,4,32,43,1,56,4782,261,4519,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,6,6,0,1,0,15,1045,348,465,0,232
161,"FILEHNE","BRO",3154,3051,6205,4188,2028,0,89,25,2,0,50,21,0,2,0,0,0,0,2,3,0,0,0,0,0,0,37,50,3,56,4257,4139,100,0,18,13,21,2,24,1977,49,1928,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,71,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
162,"CZARNIKAU","BRO",3860,3726,7586,4319,3179,0,246,21,3,0,52,28,0,3,2,0,0,0,7,9,0,0,0,0,0,0,30,50,10,60,4326,3883,422,0,21,18,24,6,28,2608,134,2454,0,20,0,0,0,0,0,0,0,0,0,2,3,0,3,205,0,0,0,205,4,8,4,4,0,0,0,9,605,302,303,0,0
163,"KOLMAR (Chodziesen)","BRO",5107,5031,10138,6703,4361,4,312,13,2,1,87,42,0,7,0,0,0,0,3,11,0,0,0,0,0,0,58,86,11,110,7206,6429,707,3,67,24,41,3,53,3787,196,3591,0,0,0,0,0,0,0,0,0,0,0,4,7,0,7,241,0,0,0,241,1,2,1,1,0,0,0,3,146,78,63,1,4
164,"WIRSITZ","BRO",5544,5313,10857,5634,5337,2,271,15,1,0,74,52,0,5,0,0,0,0,12,22,0,0,0,0,0,0,53,72,20,86,5926,5078,740,0,108,42,50,13,55,4829,362,4464,2,1,0,0,0,0,0,0,0,0,0,2,4,1,4,137,0,0,0,137,1,5,2,2,0,1,0,6,352,194,133,0,25
165,"BROMBERG","BRO",18,51,69,1707,1237,17,66,0,0,0,18,14,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,22,15,0,1,0,39,3027,1707,1237,17,66
166,"BROMBERG","BRO",6794,6929,13723,7640,6055,3,111,9,4,0,78,61,0,2,1,0,0,0,23,18,0,0,0,0,0,0,50,53,19,72,5074,4246,825,3,0,39,45,22,59,4386,588,3784,0,14,0,0,0,0,0,0,0,0,0,1,2,0,2,68,0,0,0,68,12,42,26,16,0,0,0,55,4281,2806,1446,0,29
167,"SCHUBIN","BRO",4137,3828,7965,3664,4155,2,241,5,1,0,54,35,0,4,0,0,0,0,3,13,0,0,0,0,0,0,45,50,13,65,3910,3380,516,2,12,22,30,3,43,3238,119,3119,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,200,0,0,0,200,3,9,4,5,0,0,0,10,714,165,520,0,29
168,"HOHENSALZA (Inowraclaw)","BRO",3967,3981,7948,3273,6119,12,164,6,0,0,38,47,0,2,1,1,0,0,8,4,0,0,0,0,0,0,24,27,4,34,2535,2284,242,0,9,29,33,8,54,4471,217,4251,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,12,15,0,2,0,34,2562,772,1626,12,152
169,"STRELNO","BRO",3209,3041,6250,1165,4992,2,91,3,1,0,19,38,0,2,0,0,0,0,1,2,0,0,0,0,0,0,16,18,2,19,1208,1055,134,2,17,31,37,1,52,4824,43,4771,0,10,0,0,0,0,0,0,0,0,0,1,2,0,2,64,0,0,0,64,1,2,1,1,0,0,0,2,154,67,87,0,0
170,"MOGILNO","BRO",3792,3595,7387,1930,5608,0,142,6,0,0,31,50,0,1,0,0,0,0,9,6,0,0,0,0,0,0,27,31,6,37,2243,1722,450,0,71,35,50,9,80,5389,208,5158,0,23,0,0,0,0,0,0,0,0,0,1,1,0,1,48,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
171,"ZNIN","BRO",3078,2843,5921,760,4979,1,181,1,0,0,14,44,0,2,0,0,0,0,1,1,0,0,0,0,0,0,13,13,1,16,709,526,149,1,33,39,42,1,66,4771,162,4606,0,3,0,0,0,0,0,0,0,0,0,2,2,0,2,98,0,0,0,98,1,3,1,2,0,0,0,4,343,72,224,0,47
172,"WONGROWITZ","BRO",3813,3632,7445,1352,6256,0,164,2,4,0,31,64,0,3,0,0,0,0,2,9,0,1,0,0,0,0,24,25,9,27,1206,963,240,0,3,44,56,2,79,5192,155,5035,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,54,0,0,0,54,4,16,6,8,0,2,0,19,1320,234,981,0,105
173,"GNESEN","BRO",2301,2321,4622,1352,4722,12,221,3,2,0,21,43,0,3,1,0,0,0,0,0,0,0,0,0,0,0,14,22,0,23,1602,1206,308,12,76,28,43,0,64,4560,146,4414,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,145,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0
174,"WITKOWO","BRO",2241,2195,4436,709,3660,0,67,2,1,0,16,29,0,1,0,0,0,0,1,4,0,0,0,0,0,0,15,15,4,15,844,658,178,0,8,22,27,1,48,3349,44,3303,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,53,0,0,0,53,1,3,1,2,0,0,0,4,190,7,179,0,4
175,"NAMSLAU","BRE",3632,3688,7320,3968,3518,0,63,9,21,0,48,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33,48,0,79,4365,3670,645,0,50,23,34,1,51,3184,298,2873,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,"GROSS WARTENBERG","BRE",5204,5137,10341,6700,3852,0,71,8,15,0,77,42,0,0,3,0,0,0,5,6,0,0,0,0,0,0,55,80,5,139,7126,6496,572,0,58,29,42,6,68,3497,204,3280,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,"OLS","BRE",5534,5637,11171,10635,1820,12,51,40,5,1,115,16,0,1,11,0,0,0,1,0,0,0,0,0,0,0,85,126,1,221,11156,10579,525,12,40,10,16,0,19,1352,56,1295,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"TREBNITZ","BRE",4363,4558,8921,7597,1847,4,5,22,12,0,88,22,0,0,4,0,0,0,0,0,0,0,0,0,0,0,69,92,0,158,7860,7488,363,4,5,14,22,0,25,1593,109,1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"MILITSCH","BRE",4948,5133,10081,8453,2015,0,47,12,13,0,99,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,76,100,0,163,8689,8325,317,0,47,21,29,0,40,1826,128,1698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"GUHRAU","BRE",3304,3195,6499,5721,1360,0,33,18,8,0,68,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,52,71,0,115,5968,5692,243,0,33,13,15,0,20,1146,29,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"STEINAU","BRE",2198,2133,4331,3594,794,0,15,22,7,0,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,46,0,76,3708,3554,139,0,15,9,10,0,13,695,40,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"WOHLAU","BRE",4280,4229,8509,6092,2660,15,14,20,18,0,75,35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,62,75,2,123,6234,5933,274,15,12,27,35,0,44,2547,159,2386,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"NEUMARKT","BRE",5223,5323,10546,6009,5043,0,3,16,34,0,65,62,0,0,1,0,0,0,1,2,0,0,0,0,0,0,50,66,0,114,5944,5551,390,0,3,46,62,3,78,5111,458,4653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"BRESLAU","BRE",461,392,853,22469,14022,138,489,0,1,0,267,165,0,0,89,58,0,0,0,0,0,0,0,0,0,0,55,356,0,356,23021,22467,45,108,401,36,223,0,223,14097,2,13977,30,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
