kreiskey1888,county,rb,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup
264,"SANGERHAUSEN","MER",96,1,0,163,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,164,1,1,0,0,0,0,0,0,0,0,0,0,0
265,"ECKARTSBERGA","MER",92,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"QUERFURT","MER",102,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0
267,"MERSEBURG","MER",92,1,0,165,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,165,3,1,0,0,0,0,0,0,0,0,0,0,0
268,"WEISSENFELS","MER",85,1,0,185,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,189,0,2,0,0,0,0,0,0,0,0,0,0,0
269,"NAUMBURG","MER",28,0,0,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,0,1,0,0,0,0,0,0,0,0,0,0,0
270,"ZEITZ","MER",41,0,0,113,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,118,2,1,0,0,0,0,0,0,0,0,0,0,0
271,"NORDHAUSEN","ERF",0,1,0,39,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,43,0,3,0,0,0,0,0,0,0,0,0,0,0
272,"NORDHAUSEN","ERF",66,3,0,93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,3,0,0,0,0,0,0,0,0,0,0,0
273,"WORBIS","ERF",22,37,0,26,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,71,0,0,0,0,0,0,0,0,0,0,0
274,"HEILIGENSTADT","ERF",9,63,0,11,84,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,91,0,0,0,0,0,0,0,0,0,0,0
275,"MUHLHAUSEN","ERF",43,19,0,87,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,88,1,35,0,0,0,0,0,0,0,0,0,0,0
276,"LANGENSALZA","ERF",61,1,0,96,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,97,4,1,0,0,0,0,0,0,0,0,0,0,0
277,"WEISSENSEE","ERF",45,0,0,67,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68,0,1,0,0,0,0,0,0,0,0,0,0,0
278,"ERFURT","ERF",1,0,0,85,22,0,0,14,1,0,0,3,0,0,0,0,0,0,0,99,3,23,0,0,0,0,0,0,0,0,0,0,0
279,"ERFURT","ERF",44,5,0,60,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,1,8,0,0,0,0,0,0,0,0,0,0,0
280,"ZIEGENRUCK","ERF",31,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
281,"SCHLEUSINGEN","ERF",38,0,0,88,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0
282,"HADERSLEBEN","SCH",62,0,0,166,0,6,0,20,0,2,0,7,0,0,0,1,0,0,0,186,5,0,0,8,3,0,0,0,0,0,0,0,0
283,"APENRADE","SCH",19,0,0,85,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
284,"SONDERBURG","SCH",26,0,0,78,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
285,"FLENSBURG","SCH",25,0,0,218,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,218,2,2,0,0,0,0,0,0,0,0,0,0,0
286,"SCHLESWIG","SCH",36,1,0,181,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,187,0,2,0,1,0,0,0,0,0,0,0,0,0
287,"ECKERNFORDE","SCH",20,0,0,119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0
288,"EIDERSTEDT","SCH",29,0,0,61,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
289,"HUSUM","SCH",26,1,0,130,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,132,0,2,0,0,0,0,0,0,0,0,0,0,0
