id1819,kreiskey1800,county,rb,trans1819_ships,trans1819_ships_capacity,buil1819_inns_cargo
290,72,"Sternberg","FRA",51,520,86
291,82,"Stettin","STE",56,778,41
292,92,"(Neu-)Stettin","KOS",0,0,32
293,97,"Stolp","KOS",3,71,39
294,13,"Strasburg","MAR",0,0,44
295,114,"Strehlen","BRE",0,0,82
296,123,"(Gross-)Strehlitz","OPP",6,20,25
297,119,"Striegau","BRE",0,0,51
298,11,"Stuhm","MAR",6,1,113
299,188,"Teklenburg","MUN",0,0,50
300,56,"Teltow","POT",179,7403,130
301,52,"Templin","POT",218,3351,62
302,12,"Thorn","MAR",52,687,23
303,8,"Tilsit","GUM",55,1148,59
304,163,"Torgau","MER",23,402,23
305,125,"Tost","OPP",21,200,77
306,105,"Trebnitz","BRE",0,0,85
307,263,"Trier, Stadtkreis","TRI",141,4400,36
308,264,"Trier, Landkreis","TRI",1,1,24
309,23,"Tscharnikow","BRO",4,66,44
310,32,"Uckermünde","STE",81,1338,24
311,226,"Ukerath","KOL",0,0,17
312,81,"Usedom","STE",117,1682,21
313,281,"St. Vith","AAC",0,0,6
314,225,"Waldbröl","KOL",0,0,19
315,30,"Waldenburg","BRE",0,0,92
316,156,"Wanzleben","MAG",0,0,97
317,207,"Warburg","MIN",0,0,21
318,189,"Warendorf","MUN",0,0,66
319,103,"Wartenberg","BRE",0,0,17
320,7,"Wehlau","KON",70,1453,67
321,176,"Weissenfels","MER",0,0,31
322,184,"Weissensee","ERF",0,0,29
323,258,"Wetzlar","KOB",0,0,28
324,204,"Wiedenbrück","MIN",0,0,34
325,223,"Wipperfürth","KOL",0,0,11
326,22,"Wirlitz","BRO",0,0,50
327,165,"Wittenberg","MER",3,86,65
328,222,"Wittgenstein","ARN",0,0,27
329,262,"Wittlich","TRI",4,14,21
330,109,"Wohlau","BRE",37,551,32
331,157,"Wollmirstädt","MAG",14,274,52
332,49,"Wongrowiz","BRO",0,0,1
333,180,"Worbis","ERF",0,0,38
334,26,"Wreschen","POS",0,0,27
335,178,"Zeiz","MER",0,0,16
336,251,"Zell","KOB",15,319,46
337,186,"Ziegenrück","ERF",0,0,9
338,1,"Zinten","KON",18,56,58
339,73,"Züllichau","FRA",27,232,78
340,276,"Aachen","AAC",0,0,43
341,228,"Köln","KOL",286,25512,44
342,193,"Münster","MUN",0,0,26
343,59,"Potsdam","POT",26,359,30
344,50,"Berlin","POT",504,9112,105
