id1816,kreiskey1800,county,rb,pop1816_m_un7,pop1816_m_7to14,pop1816_m_15to18,pop1816_m_19to45,pop1816_m_46to60,pop1816_m_ov60,pop1816_m_tot,pop1816_f_un7,pop1816_f_7to14,pop1816_f_15to45,pop1816_f_46to60,pop1816_f_ov60,pop1816_f_tot,pop1816_tot
253,8,"Tilsit","GUM",4451,3197,1898,6960,2483,1092,20081,4190,2946,9765,2417,1263,20581,40662
254,163,"Torgau","MER",3306,3265,1534,5330,2387,1226,17048,3365,2848,8226,2129,1234,17802,34850
255,125,"Tost","OPP",4598,3229,1668,6615,3141,984,20235,4525,3414,9028,3371,847,21185,41420
256,105,"Trebnitz","BRE",3643,2814,1566,5366,2580,1082,17051,3643,2823,8705,2461,914,18546,35597
257,263,"Trier, Stadtkreis","TRI",1132,1700,500,1898,1400,190,6820,1550,1990,1170,2265,449,7424,14244
258,264,"Trier, Landkreis","TRI",4105,3152,1904,6149,2711,1236,19257,4189,3338,8177,2822,1122,19648,38905
259,23,"Tscharnikow","BRO",4282,2656,1581,6153,2550,1100,18322,4007,2462,8235,2115,908,17727,36049
260,226,"Ukerath","KOL",,,,,,,13064,,,,,,13605,26669
261,81,"Usedom","STE",1932,1379,740,3103,1116,684,8954,1928,1336,4312,1404,663,9643,18597
262,225,"Waldbröl","KOL",,,,,,,7500,,,,,,7609,15109
263,156,"Wanzleben","MAG",2888,2449,1056,4790,1986,1028,14197,3007,2540,7305,2015,1042,15909,30106
264,207,"Warburg","MIN",3049,2587,1237,4447,1867,851,14038,2919,2501,6202,2008,733,14363,28401
265,189,"Warendorf","MUN",2906,2322,1331,5710,2003,1293,15565,2943,2296,7556,1964,1315,16074,31639
266,103,"Wartenberg","BRE",2752,2118,922,3466,1479,570,11307,2770,2075,5182,1545,526,12098,23405
267,176,"Weissenfels","MER",3288,2740,1484,5843,2764,1574,17693,3232,2732,8827,2585,1481,18857,36550
268,184,"Weissensee","ERF",1616,1397,728,2849,1268,608,8466,1584,1380,4258,1212,569,9003,17469
269,258,"Wetzlar","KOB",1181,1082,647,2224,1100,495,6729,1105,1117,3194,1236,521,7173,13902
