kreiskey1888,county,rb,edu1886_wag_m_tot,edu1886_wag_f_tot
155,"KROTOSCHIN","POS",67888,0
156,"PLESCHEN","POS",51751,0
157,"OSTROWO","POS",48986,0
158,"ADELNAU","POS",57029,0
159,"SCHILDBERG","POS",52300,0
160,"KEMPEN","POS",48104,850
161,"FILEHNE","BRO",58892,0
162,"CZARNIKAU","BRO",67162,1300
163,"KOLMAR (Chodziesen)","BRO",113233,0
164,"WIRSITZ","BRO",107699,0
165,"BROMBERG","BRO",34800,4890
166,"BROMBERG","BRO",119198,750
167,"SCHUBIN","BRO",73385,0
168,"HOHENSALZA (Inowraclaw)","BRO",77566,1500
169,"STRELNO","BRO",46851,0
170,"MOGILNO","BRO",65447,0
171,"ZNIN","BRO",46494,0
172,"WONGROWITZ","BRO",78454,0
173,"GNESEN","BRO",55281,585
174,"WITKOWO","BRO",36273,0
175,"NAMSLAU","BRE",68799,0
176,"GROSS WARTENBERG","BRE",100911,2040
177,"OLS","BRE",124147,6046
178,"TREBNITZ","BRE",97182,3053
179,"MILITSCH","BRE",111969,1170
180,"GUHRAU","BRE",77335,2328
181,"STEINAU","BRE",54207,0
182,"WOHLAU","BRE",98755,0
183,"NEUMARKT","BRE",108632,618
184,"BRESLAU","BRE",663456,159850
185,"BRESLAU","BRE",104865,10608
186,"OHLAU","BRE",104409,1500
187,"BRIEG","BRE",130761,5889
188,"STREHLEN","BRE",66751,4046
189,"NIMPTSCH","BRE",58893,0
190,"MUNSTERBERG","BRE",53862,5190
191,"FRANKENSTEIN","BRE",102363,1029
192,"REICHENBACH","BRE",99830,6437
193,"SCHWEIDNITZ","BRE",185387,13140
194,"STRIEGAU","BRE",75728,8050
195,"WALDENBURG","BRE",234197,11400
196,"GLATZ","BRE",99933,2412
197,"NEURODE","BRE",76240,1250
198,"HABELSCHWERDT","BRE",91699,4860
199,"GRUNBERG","LIE",111748,3640
200,"FREISTADT","LIE",96244,3480
201,"SAGAN","LIE",115097,1965
202,"SPROTTAU","LIE",73681,780
203,"GLOGAU","LIE",140280,1480
204,"LUBEN","LIE",70194,750
205,"BUNZLAU","LIE",120225,490
206,"GOLDBERG-HAINAU","LIE",95095,1580
207,"LIEGNITZ","LIE",76000,650
208,"LIEGNITZ","LIE",89828,650
209,"JAUER","LIE",79331,0
210,"SCHONAU","LIE",45740,0
211,"BOLKENHAIN","LIE",60951,0
212,"LANDESHUT","LIE",90872,780
213,"HIRSCHBERG","LIE",125593,0
214,"LOWENBERG","LIE",119814,750
215,"LAUBAN","LIE",131483,0
216,"GORLITZ","LIE",130903,0
217,"GORLITZ","LIE",85736,4130
218,"ROTHENBURG","LIE",94774,750
219,"HOYERSWERDA","LIE",71972,684
220,"KREUZBURG","OPP",81876,611
221,"ROSENBERG","OPP",75049,840
222,"OPPELN","OPP",182188,4045
223,"GROSS STREHLITZ","OPP",106870,0
224,"LUBLINITZ","OPP",68315,0
225,"TOST-GLEIWITZ","OPP",166398,1100
226,"TARNOWITZ","OPP",72590,2880
227,"BEUTHEN","OPP",268846,22522
228,"ZABRZE","OPP",71257,24916
229,"KATTOWITZ","OPP",194605,11376
230,"PLESS","OPP",163053,6875
231,"RYBNIK","OPP",129528,2970
232,"RATIBOR","OPP",192360,7350
233,"KOSEL","OPP",102631,750
234,"LEOBSCHUTZ","OPP",154511,17367
235,"NEUSTADT","OPP",167971,5500
236,"FALKENBERG","OPP",77525,0
237,"NEISSE","OPP",179119,2904
238,"GROTTKAU","OPP",88847,0
239,"OSTERBURG","MAG",131419,1163
240,"SALZWEDEL","MAG",139777,0
241,"GARDELEGEN","MAG",131123,990
242,"STENDAL","MAG",129994,4525
243,"JERICHOW I","MAG",193529,2975
244,"JERICHOW II","MAG",121912,2640
245,"KALBE","MAG",254402,13235
246,"WANZLEBEN","MAG",196656,6768
247,"MAGDEBURG","MAG",393483,43475
248,"WOLMIRSTEDT","MAG",126197,4375
249,"NEUHALDENSLEBEN","MAG",130266,763
250,"OSCHERSLEBEN","MAG",124615,7425
251,"ASCHERSLEBEN","MAG",143613,6050
252,"HALBERSTADT","MAG",177174,3270
253,"WERNIGERODE","MAG",55267,0
254,"LIEBENWERDA","MER",109449,750
255,"TORGAU","MER",111768,2335
256,"SCHWEINITZ","MER",102928,0
257,"WITTENBERG","MER",132142,0
258,"BITTERFELD","MER",125157,2270
259,"SAALKREIS","MER",172185,5550
260,"HALLE","MER",153632,21499
261,"DELITZSCH","MER",139351,2575
262,"MANSFELDER GEBIRGSKR","MER",109185,3120
263,"MANSFELDER SEEKREIS","MER",191425,2460
264,"SANGERHAUSEN","MER",175705,750
265,"ECKARTSBERGA","MER",115788,0
266,"QUERFURT","MER",154652,0
267,"MERSEBURG","MER",179905,0
268,"WEISSENFELS","MER",196289,3518
269,"NAUMBURG","MER",53371,850
270,"ZEITZ","MER",120865,5915
271,"NORDHAUSEN","ERF",41822,3256
272,"NORDHAUSEN","ERF",87407,0
273,"WORBIS","ERF",83507,0
274,"HEILIGENSTADT","ERF",81096,5175
275,"MUHLHAUSEN","ERF",112846,780
276,"LANGENSALZA","ERF",94671,690
277,"WEISSENSEE","ERF",71177,850
278,"ERFURT","ERF",129812,9800
279,"ERFURT","ERF",64238,0
280,"ZIEGENRUCK","ERF",34011,0
281,"SCHLEUSINGEN","ERF",79404,3955
282,"HADERSLEBEN","SCH",184655,16616
283,"APENRADE","SCH",90372,2586
284,"SONDERBURG","SCH",88231,5710
285,"FLENSBURG","SCH",267004,560
286,"SCHLESWIG","SCH",200848,5080
287,"ECKERNFORDE","SCH",123472,750
288,"EIDERSTEDT","SCH",76543,2651
289,"HUSUM","SCH",139916,2475
290,"TONDERN","SCH",210725,3465
291,"OLDENBURG","SCH",162815,8420
292,"PLON","SCH",203373,7550
293,"KIEL","SCH",173324,4220
294,"KIEL","SCH",149459,8620
295,"RENDSBURG","SCH",166591,4850
296,"NORDERDITHMARSCHEN","SCH",144475,4250
