kreiskey1849,county,rb,occ1849_baker_master,occ1849_baker_assi,occ1849_pastrychef_master,occ1849_pastrychef_assi,occ1849_butcher_master,occ1849_butcher_assi,occ1849_soapboiler_master,occ1849_soapboiler_assi,occ1849_tanner_master,occ1849_tanner_assi,occ1849_shoemaker_master,occ1849_shoemaker_assi,occ1849_glover_master,occ1849_glover_assi,occ1849_furrier_master,occ1849_furrier_assi,occ1849_lorimer_master,occ1849_lorimer_assi,occ1849_ropemaker_master,occ1849_ropemaker_assi,occ1849_sailmaker_master,occ1849_sailmaker_assi,occ1849_firehosemaker_master,occ1849_firehosemaker_assi,occ1849_tailor_master,occ1849_tailor_assi,occ1849_passementer_self_emp,occ1849_passementer_assi,occ1849_milliner_self_emp,occ1849_milliner_assi,occ1849_embroiderer_self_emp,occ1849_embroiderer_assi,occ1849_paperhanger_self_emp,occ1849_paperhanger_assi,occ1849_hatter_master,occ1849_hatter_assi,occ1849_cloth_cutter_self_emp,occ1849_cloth_cutter_assi,occ1849_dyer_self_emp,occ1849_dyer_assi,occ1849_bleacher_self_emp,occ1849_bleacher_assi,occ1849_carpenter_self_emp,occ1849_carpenter_assi,occ1849_carpenter_patchers,occ1849_wellsinker_master,occ1849_wellsinker_assi,occ1849_cabinetmaker_master,occ1849_cabinetmaker_assi,occ1849_wheelwright_master,occ1849_wheelwright_assi,occ1849_wainwright_master,occ1849_wainwright_assi,occ1849_cooper_master,occ1849_cooper_assi,occ1849_turner_master,occ1849_turner_assi,occ1849_manufacturer_f_self_emp,occ1849_manufacturer_f_assi,occ1849_manufacturer_c_self_emp,occ1849_manufacturer_c_assi,occ1849_combmaker_master,occ1849_combmaker_assi,occ1849_brushmaker_master,occ1849_brushmaker_assi,occ1849_basketmaker_master,occ1849_basketmaker_assi,occ1849_bricklayer_master,occ1849_bricklayer_assi,occ1849_bricklayer_patchers,occ1849_slater_master,occ1849_slater_assi,occ1849_stonemason_master,occ1849_stonemason_assi,occ1849_paver_master,occ1849_paver_assi,occ1849_chimneysweep_self_emp,occ1849_chimneysweep_assi,occ1849_potter_master,occ1849_potter_assi,occ1849_glazier_master,occ1849_glazier_assi,occ1849_colourist_self_emp,occ1849_colourist_assi,occ1849_painter_self_emp,occ1849_painter_assi,occ1849_lacquerer_self_emp,occ1849_lacquerer_assi,occ1849_sculptor_self_emp,occ1849_sculptor_assi,occ1849_blacksmith_master,occ1849_blacksmith_assi,occ1849_locksmith_master,occ1849_locksmith_assi,occ1849_beltmaker_master,occ1849_beltmaker_assi,occ1849_millwright_self_emp,occ1849_millwright_assi,occ1849_spoolmaker_self_emp,occ1849_spoolmaker_assi,occ1849_coppersmith_master,occ1849_coppersmith_assi,occ1849_bellfounder_master,occ1849_bellfounder_assi,occ1849_tinmoulder_master,occ1849_tinmoulder_assi,occ1849_plumber_master,occ1849_plumber_assi,occ1849_wiredrawer_master,occ1849_wiredrawer_assi,occ1849_sc_instrument_self_emp,occ1849_sc_instrument_assi,occ1849_mus_instrument_self_emp,occ1849_mus_instrument_assi,occ1849_clockmaker_self_emp,occ1849_clockmaker_assi,occ1849_goldsmith_self_emp,occ1849_goldsmith_assi,occ1849_stonecutter_self_emp,occ1849_stonecutter_assi,occ1849_gold_beater_self_emp,occ1849_gold_beater_assi,occ1849_barber_self_emp,occ1849_barber_assi,occ1849_hairdresser_self_emp,occ1849_hairdresser_assi,occ1849_fisher_self_emp,occ1849_fisher_assi,occ1849_gardener_self_emp,occ1849_gardener_assi,occ1849_bookbinder_self_emp,occ1849_bookbinder_assi,occ1849_goldborder_self_emp,occ1849_goldborder_assi,occ1849_papiermache_self_emp,occ1849_papiermache_assi,occ1849_umbrellamaker_self_emp,occ1849_umbrellamaker_assi,occ1849_cigarmaker_self_emp,occ1849_cigarmaker_assi,occ1849_plasterfigurine_self_emp,occ1849_plasterfigurine_assi,occ1849_waxcandlemaker_self_emp,occ1849_waxcandlemaker_assi,occ1849_waddingmaker_self_emp,occ1849_waddingmaker_assi,occ1849_blanketmaker_self_emp,occ1849_blanketmaker_assi,occ1849_carder_self_emp,occ1849_carder_assi,occ1849_yarnspinner_self_emp,occ1849_yarnspinner_assi,occ1849_ingnitermaker_self_emp,occ1849_ingnitermaker_assi,occ1849_product_corn_self_emp,occ1849_product_corn_assi,occ1849_writing_utens_self_emp,occ1849_writing_utens_assi,occ1849_autioneer_self_emp,occ1849_autioneer_assi,occ1849_executioner_self_emp,occ1849_executioner_assi,occ1849_musicteacher_self_emp,occ1849_musicteacher_assi,occ1849_actor_self_emp,occ1849_actor_assi,occ1849_cleaner_self_emp,occ1849_cleaner_assi,occ1849_metalworker_self_emp,occ1849_metalworker_assi,occ1849_pastoralist_self_emp,occ1849_pastoralist_assi,occ1849_bargee_self_emp,occ1849_bargee_assi,occ1849_tinker_self_emp,occ1849_tinker_assi,occ1849_thatcher_self_emp,occ1849_thatcher_assi,occ1849_charburner_self_emp,occ1849_charburner_assi,occ1849_castrator_self_emp,occ1849_castrator_assi
15,"Allenstein","KON",22,13,1,0,17,5,1,1,9,4,151,56,1,0,27,24,9,4,4,3,0,0,0,0,121,23,0,0,4,1,0,0,0,0,1,0,0,1,8,7,0,0,4,32,0,0,0,66,30,58,7,0,0,35,10,13,4,0,0,2,0,0,0,0,1,1,0,1,21,1,1,0,0,0,1,0,1,0,17,7,5,3,0,0,3,1,0,0,0,0,103,24,17,11,0,0,1,0,4,10,2,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,24,4,2,1,2,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,18,0,69,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,"Ortelsburg","KON",29,13,2,1,31,32,1,0,23,14,108,54,0,0,23,8,5,2,3,3,0,0,0,0,106,34,0,0,0,0,0,0,2,0,1,0,9,5,12,11,0,0,8,20,5,0,0,55,31,24,8,1,0,17,10,8,0,0,0,1,0,0,0,0,0,0,0,3,19,2,0,0,0,0,0,0,3,1,27,12,12,5,0,0,1,0,0,0,0,0,105,24,16,13,0,0,1,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,21,0,5,0,4,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Neidenburg","KON",14,18,1,1,37,11,1,1,6,10,168,70,0,0,33,13,10,7,5,6,0,0,0,0,127,38,0,0,6,0,0,0,0,0,4,7,27,5,8,7,0,0,4,5,25,0,0,35,30,36,9,0,0,13,7,14,5,0,0,0,0,0,0,0,0,0,0,2,13,31,0,0,0,0,0,0,2,3,13,10,7,2,0,0,2,1,0,0,0,0,114,26,11,11,0,0,0,0,0,0,1,2,0,0,0,0,3,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,3,1,0,0,12,1,4,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Osterode","KON",23,11,2,1,22,17,0,0,13,12,195,70,0,0,9,3,10,5,4,2,0,0,0,0,137,43,0,0,4,2,0,0,0,0,1,0,6,8,12,8,0,0,4,41,20,1,0,69,34,46,15,0,0,28,8,17,7,0,0,0,0,1,1,0,0,1,0,9,42,27,1,0,0,0,0,0,4,1,31,20,7,1,0,0,2,1,0,0,0,0,122,32,24,13,0,0,1,0,0,0,1,2,0,0,0,0,4,0,14,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,34,12,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Morungen","KON",24,11,3,1,26,10,0,0,13,8,158,48,1,0,9,4,27,13,6,3,0,0,0,0,132,38,0,0,7,1,0,0,0,0,4,0,5,3,8,11,0,0,7,81,7,0,0,89,37,64,18,0,0,37,6,15,6,0,0,1,0,0,0,0,0,1,0,12,175,8,0,0,0,0,0,0,2,1,32,15,12,3,0,0,5,3,0,0,0,0,130,43,22,22,0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,0,43,24,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Pr. Holland","KON",22,16,1,1,10,11,0,0,13,13,153,71,1,0,18,8,23,9,5,6,0,0,0,0,143,33,2,0,4,0,0,0,0,0,0,0,1,0,10,9,0,0,11,88,7,0,0,86,40,56,20,0,0,33,10,8,2,0,0,1,0,3,0,1,0,2,1,2,64,7,1,0,0,0,3,0,3,1,29,20,7,1,0,0,3,2,0,0,0,0,103,53,19,17,0,0,0,0,1,0,2,1,0,0,0,0,5,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,15,0,4,8,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
21,"Heidekrug","GUM",36,15,0,0,29,9,0,0,8,2,94,18,0,0,1,1,8,1,4,1,0,0,0,0,101,24,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,37,10,8,0,0,0,9,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,6,1,0,0,0,0,0,0,0,0,51,12,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Niederung","GUM",42,9,1,1,48,13,0,0,14,9,112,44,0,0,2,0,14,4,2,0,0,0,0,0,149,31,0,0,1,0,0,0,0,0,2,1,0,0,10,7,0,0,7,25,13,0,0,93,28,29,11,0,0,17,5,8,4,0,0,16,0,0,0,11,0,10,0,1,17,15,0,0,0,0,0,0,1,0,5,4,16,2,0,0,0,0,0,0,0,0,127,30,16,11,0,0,0,0,3,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,93,84,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Tilsit","GUM",28,54,6,10,50,49,3,3,35,82,202,470,3,1,13,34,18,31,12,17,0,0,0,0,109,114,3,1,8,20,1,0,0,0,9,7,2,0,9,8,1,0,5,47,10,0,0,61,91,37,23,0,0,22,31,14,13,0,0,0,0,6,8,1,0,0,0,5,90,0,0,0,0,0,3,0,2,5,19,41,15,18,1,2,9,23,1,1,0,0,90,62,26,53,3,4,1,0,2,2,4,15,3,6,3,2,11,21,4,7,3,5,2,9,5,5,6,6,0,0,0,0,9,6,1,0,5,1,7,8,6,13,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Ragnit","GUM",16,13,0,0,28,23,1,0,14,6,83,52,0,0,1,0,9,5,2,3,0,0,0,0,80,38,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,1,27,0,0,0,42,24,30,8,0,0,10,7,13,5,0,0,0,0,2,0,0,0,0,0,1,29,0,0,0,0,0,0,0,1,1,26,27,7,2,0,0,2,2,0,0,0,0,103,54,10,19,0,0,0,0,0,0,1,4,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Pillkallen","GUM",16,2,0,0,23,20,0,0,34,18,91,51,0,0,4,3,14,9,4,2,0,0,0,0,126,81,1,0,1,1,0,0,0,0,3,0,0,0,16,23,0,0,2,24,1,1,1,52,37,44,26,0,0,12,7,18,9,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,1,0,0,0,2,0,19,22,7,3,0,0,0,0,0,0,0,0,112,68,15,16,0,0,0,0,0,0,3,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Stallupönen","GUM",10,7,1,1,26,17,1,0,24,17,104,68,1,1,5,7,17,16,5,5,0,0,0,0,150,81,0,0,2,1,0,0,0,0,2,2,0,0,12,13,0,0,4,67,0,0,0,54,33,42,13,0,0,14,8,16,18,0,0,0,0,0,1,0,0,1,0,1,65,0,1,2,0,0,0,0,1,1,11,8,7,2,0,0,1,2,0,0,0,0,100,54,13,19,0,0,0,0,0,0,4,1,0,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Gumbinnen","GUM",20,21,4,3,25,31,0,0,15,21,133,131,4,2,6,3,18,14,6,11,0,0,0,0,156,99,1,2,6,12,0,0,0,0,1,0,2,0,5,5,0,0,3,15,0,0,0,64,70,39,15,1,11,11,10,17,7,2,0,0,0,4,1,1,0,0,0,2,24,2,0,2,0,0,0,0,1,3,14,24,11,3,1,1,7,12,0,0,0,0,85,45,10,15,1,0,1,0,0,0,2,3,1,0,1,2,8,8,2,5,1,1,2,2,4,0,2,6,0,0,0,0,5,3,0,0,1,0,1,2,7,9,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Insterburg","GUM",22,30,2,4,32,23,2,4,20,30,140,171,2,1,9,18,19,13,9,17,0,0,0,0,174,102,2,0,11,17,0,0,1,1,4,3,1,0,12,21,0,0,6,165,0,1,0,76,62,46,10,0,0,19,17,19,5,0,0,0,0,1,1,1,0,2,0,4,310,1,3,6,2,0,0,0,2,4,22,37,17,13,0,0,5,4,0,0,0,0,142,46,19,42,2,0,1,0,0,0,2,3,0,0,1,1,5,8,1,2,1,1,1,2,4,2,1,4,0,0,0,0,4,5,0,0,5,0,1,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Darkehmen","GUM",13,7,1,1,13,8,0,0,17,14,74,39,1,0,3,0,12,10,5,3,0,0,0,0,71,32,0,0,3,0,0,0,0,0,1,0,0,0,6,9,0,0,3,31,12,1,0,40,20,30,13,0,0,16,8,8,5,0,0,0,0,1,0,0,0,0,0,1,58,10,0,0,0,0,0,0,1,1,9,12,7,0,0,0,1,2,0,0,0,0,76,48,7,5,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Angerburg","GUM",15,11,1,1,19,12,0,0,7,15,43,58,0,0,4,1,10,5,3,3,0,0,0,0,71,37,0,0,1,0,0,0,1,1,3,0,0,0,6,7,0,0,2,25,0,0,0,29,12,20,11,0,0,12,12,9,3,0,0,0,0,0,0,0,0,1,0,2,41,0,1,0,0,0,0,0,1,1,17,9,6,1,0,0,0,0,0,0,1,0,73,40,6,8,0,0,0,0,0,0,2,2,1,0,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,9,7,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
31,"Goldapp","GUM",17,10,2,0,30,21,1,1,31,22,108,63,1,0,2,1,6,9,3,7,0,0,0,0,131,40,0,0,5,0,0,0,0,0,3,1,1,1,9,11,0,0,1,28,1,1,2,52,17,29,9,0,0,31,14,16,13,0,0,41,0,3,1,1,0,5,0,2,59,1,0,0,0,0,0,0,1,1,27,18,8,4,0,0,2,1,0,0,0,0,83,27,15,24,0,0,0,0,0,0,1,3,1,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,0,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Oletzko","GUM",8,11,1,1,25,26,0,0,9,12,68,42,0,0,6,3,6,4,3,5,0,0,0,0,120,50,0,0,1,0,0,0,0,0,2,0,1,1,5,5,0,0,3,6,2,0,0,45,19,35,4,0,0,16,5,15,9,0,0,36,0,7,2,0,0,0,0,2,16,1,0,0,1,0,0,0,1,1,18,11,4,1,0,0,0,0,0,0,0,0,84,19,7,7,0,0,1,0,0,0,1,3,0,0,0,0,4,2,2,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Lyck","GUM",14,13,1,1,24,27,1,1,12,8,119,55,1,0,13,10,10,3,3,2,0,0,0,0,132,50,0,0,3,2,0,0,0,0,3,2,0,0,7,7,0,0,1,15,0,0,0,54,24,41,8,0,0,12,7,6,3,0,0,3,0,1,0,0,0,2,0,3,23,2,0,0,0,0,0,0,2,3,19,12,8,0,0,0,0,0,0,0,0,0,86,38,6,7,0,0,0,0,0,0,3,3,1,1,0,0,2,1,2,1,0,0,0,0,3,2,1,0,0,0,0,0,2,2,0,0,2,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
34,"Lötzen","GUM",14,9,1,0,18,15,0,0,12,4,103,42,0,0,17,5,15,5,5,4,0,0,0,0,152,56,0,0,9,0,0,0,0,0,1,0,0,0,4,7,0,0,2,42,1,1,0,54,29,43,5,0,0,24,8,8,0,0,0,11,0,0,0,1,0,2,0,2,80,0,0,0,1,9,0,0,1,2,27,11,7,0,0,0,0,0,0,0,0,0,109,25,9,10,0,0,5,1,0,0,3,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Sensburg","GUM",19,10,0,0,28,19,0,0,18,4,103,27,0,0,9,3,7,5,5,0,0,0,0,0,110,49,0,0,9,0,0,0,0,0,3,0,0,0,9,5,0,0,2,36,1,0,0,46,20,36,12,0,0,35,5,14,4,0,0,0,0,0,0,0,0,0,0,1,52,1,0,0,0,0,0,0,1,2,27,9,8,0,1,0,1,0,0,0,0,0,99,23,8,7,0,0,0,0,0,0,2,2,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,15,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Johannisburg","GUM",15,8,1,0,22,12,0,0,19,6,139,63,0,0,11,2,9,2,5,5,0,0,0,0,154,57,0,0,5,0,0,0,0,0,1,0,0,0,10,4,0,0,3,21,4,0,0,43,21,35,12,0,0,23,8,10,5,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,2,1,27,17,7,1,0,0,2,0,0,0,0,0,92,35,16,6,0,0,0,0,0,0,2,2,0,0,0,0,3,3,2,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,"Elbing","DAN",42,83,3,8,40,46,1,2,4,5,358,372,4,5,20,30,26,45,9,25,1,0,0,0,193,152,7,3,11,37,1,2,2,0,5,5,5,7,7,17,5,7,9,264,0,2,0,107,161,39,28,0,0,77,65,24,22,1,0,4,0,3,3,13,13,16,4,4,142,0,2,0,1,1,3,9,3,7,50,29,16,12,1,0,19,23,5,1,1,1,84,71,52,123,5,2,2,1,1,0,5,8,7,5,5,2,14,19,10,9,3,2,3,5,10,6,6,13,1,0,0,0,18,14,4,2,41,0,18,4,12,11,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,43,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
38,"Marienburg","DAN",42,41,6,2,40,14,2,2,7,10,288,243,9,6,13,18,54,29,24,13,0,0,0,0,196,114,2,1,15,3,2,0,0,0,6,0,1,0,9,11,0,0,10,65,14,4,0,93,49,58,28,3,0,54,17,14,8,0,0,0,0,5,0,1,0,6,0,10,109,16,0,0,0,0,1,1,3,1,10,18,19,10,0,0,18,8,0,0,0,0,138,108,27,33,1,1,3,0,0,0,3,2,1,2,0,0,8,3,0,0,1,2,0,0,10,2,3,2,0,0,0,0,9,3,0,0,21,1,20,3,5,5,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
39,"Danzig Stadt","DAN",96,185,14,41,81,117,5,23,18,33,391,660,10,24,37,29,37,75,22,32,8,19,1,1,268,239,8,5,20,124,0,0,10,17,10,15,6,8,14,11,0,0,32,470,4,2,11,204,274,29,25,0,0,89,78,60,67,0,0,2,0,5,0,6,8,16,17,13,182,3,1,5,3,11,4,13,10,38,28,72,31,33,4,0,78,121,0,0,4,4,35,87,101,143,6,9,1,3,0,0,5,13,14,22,2,3,47,45,5,11,1,2,7,35,27,25,17,22,3,0,0,0,48,48,5,6,10,10,14,12,27,43,0,0,0,0,5,15,6,15,1,1,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,114,26,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Danzig Land","DAN",35,23,0,0,23,9,0,0,2,2,168,44,1,0,1,0,31,7,8,6,0,0,0,0,141,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,13,73,23,1,0,65,23,64,12,1,0,25,2,0,3,0,0,2,0,1,0,0,0,1,0,8,21,17,0,0,2,2,1,0,0,0,6,0,12,2,0,1,2,1,0,0,0,2,143,80,14,18,0,0,2,0,0,0,0,0,2,7,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,20,17,10,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41,"Stargard","DAN",31,29,4,3,24,17,1,0,9,8,201,90,2,2,13,14,16,9,7,5,0,0,0,0,87,57,1,0,11,10,0,0,0,0,1,1,2,0,4,3,0,0,8,71,1,3,0,67,48,25,11,0,0,18,12,9,3,0,0,2,0,0,0,0,0,5,0,12,46,8,2,4,1,1,1,4,2,5,16,24,13,5,2,0,7,7,0,0,0,0,98,54,23,30,0,0,2,4,0,0,3,3,0,0,0,0,4,3,1,2,0,0,1,1,3,4,2,0,0,0,0,0,7,5,0,0,13,5,8,10,4,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,2,3,0,0,1,0,0,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
42,"Behrend","DAN",12,8,2,0,11,2,0,0,3,5,79,23,0,0,6,6,8,3,2,1,0,0,0,0,68,28,0,0,6,1,0,0,0,0,2,1,0,0,3,5,1,0,2,9,2,0,0,37,16,23,4,0,0,9,7,4,2,0,0,1,0,0,0,0,0,1,0,2,25,0,0,0,0,0,2,0,2,1,16,7,7,0,4,0,2,0,0,0,0,0,75,14,10,9,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Karthaus","DAN",9,7,0,0,4,0,0,0,0,0,56,6,0,0,0,0,4,0,0,0,0,0,1,0,65,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,15,0,0,27,6,31,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,1,0,4,1,2,0,0,0,1,0,0,0,0,0,72,10,3,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Neustadt","DAN",24,21,3,2,23,11,0,0,6,4,134,69,0,0,3,4,8,9,4,3,0,0,0,0,93,26,0,0,4,0,1,0,0,0,1,0,2,2,3,7,0,0,6,33,3,0,0,52,30,24,8,0,0,17,5,4,1,0,0,0,0,0,0,0,0,0,0,3,33,2,2,1,0,0,1,0,2,1,11,5,7,3,0,0,2,2,0,0,0,0,101,30,8,9,0,0,1,7,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,36,16,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
