id1819,kreiskey1800,county,rb,occ1819_servant_m_farm,occ1819_servant_f_farm
153,65,"Küstrin","FRA",1384,1092
154,12,"Kulm","MAR",1367,725
155,7,"Labiau","KON",1311,1379
156,69,"Landsberg","FRA",974,937
157,27,"Landshut","LIE",1043,1023
158,183,"Langensalza","ERF",389,700
159,145,"Lauban","LIE",1363,1630
160,35,"Lauenburg","KOS",1369,1268
161,70,"Lebus","FRA",1243,1043
162,231,"Lechenich","KOL",882,1087
163,242,"Lennep","DUS",724,1326
164,129,"Leobschütz","OPP",1429,1525
165,162,"Liebenwerda","MER",713,966
166,142,"Liegnitz","LIE",2649,2801
167,9,"Lik","GUM",1055,718
168,256,"Linz","KOB",119,360
169,212,"Lippstadt","ARN",1903,1052
170,13,"Löbau","MAR",1114,948
171,10,"Lötzen","GUM",771,630
172,144,"Löwenberg","LIE",1558,1613
173,124,"Lublinitz","OPP",783,1013
174,76,"Luckau","FRA",1103,1133
175,34,"Lübben","FRA",1118,1088
176,139,"Lüben","LIE",1159,1125
177,191,"Lüdingshausen","MUN",2085,2987
178,155,"Magdeburg","MAG",332,896
179,253,"Maien","KOB",1147,1557
180,281,"Malmedy","AAC",204,342
181,171,"Mansfeld, Gebirgskreis","MER",452,638
182,170,"Mansfeld, Seekreis","MER",1148,1687
183,11,"Marienburg","DAN",2835,2316
184,17,"Marienwerder","MAR",1749,1391
185,38,"Memel","KON",1343,1741
186,175,"Merseburg","MER",974,1847
187,267,"Merzig","TRI",462,404
188,210,"Meschede","ARN",1248,1556
189,25,"Meseritz","POS",1241,764
190,241,"Mettmann","DUS",1706,1601
191,106,"Militsch","BRE",2243,1946
192,199,"Minden","MIN",1460,1920
193,21,"Mogilno","BRO",1820,996
194,3,"Mohrungen","KON",1241,1267
195,279,"Montjoie","AAC",164,393
196,182,"Mühlhausen","ERF",387,657
197,227,"Mühlheim","KOL",1546,1547
198,192,"Münster","MUN",2256,2653
199,116,"Münsterberg","BRE",1187,1391
200,102,"Namslau","BRE",1576,1587
201,86,"Naugard","STE",1281,1113
202,177,"Naumburg","MER",286,399
203,4,"Neidenburg","KON",1443,939
204,132,"Neisse","OPP",2333,3022
205,110,"Neumarkt","BRE",2745,3082
206,244,"Neuss","DUS",1795,1634
207,16,"Neustadt","DAN",1370,1130
208,130,"Neustadt","OPP",1895,1782
209,256,"Neuwied","KOB",629,868
210,8,"Niederung","GUM",1005,1209
211,115,"Nimptsch","BRE",1623,1796
212,179,"Nordhausen","ERF",753,1289
213,42,"Obernik","POS",393,641
214,104,"Oels","BRE",2207,2275
215,112,"Ohlau","BRE",2144,2172
216,9,"Oletzko","GUM",876,702
217,220,"Olpe","ARN",875,1315
218,122,"Oppeln","OPP",2197,2141
219,4,"Ortelsburg","KON",1061,705
220,159,"Oschersleben","MAG",1409,1432
221,148,"Osterburg","MAG",3059,2216
222,3,"Osterode","KON",1296,1343
223,37,"Osterwiek","MAG",881,883
224,270,"Ottweiler","TRI",276,301
225,205,"Paderborn","MIN",1171,1412
226,8,"Pillkallen","GUM",1992,1700
227,84,"Piritz","STE",1192,956
228,33,"Pleschen","POS",634,473
229,31,"Pless","OPP",994,1094
230,24,"Posen","POS",4171,963
231,51,"Prenzlow","POT",2378,1865
232,63,"(Ost-)Priegnitz","POT",1608,1496
233,64,"(West-)Priegnitz","POT",1466,1621
234,260,"Prüm","TRI",937,900
235,174,"Querfurt","MER",807,1275
236,8,"Ragnit","GUM",1594,1315
237,200,"Rahden","MIN",1065,1281
238,82,"Randow","STE",2236,1925
239,5,"Rastenburg","KON",1677,1386
240,127,"Ratibor","OPP",1567,1909
241,198,"Recklinghausen","MUN",1478,2247
242,235,"Rees","DUS",1058,1205
243,89,"Regenwalde","STE",1078,921
244,118,"Reichenbach","BRE",1605,1693
245,232,"Rheinbach","KOL",706,970
246,237,"Rheinberg","DUS",2354,2849
247,31,"Ribnik","OPP",932,1179
248,2,"Rössel","KON",1138,1325
249,17,"Rosenberg","MAR",1040,1074
250,121,"Rosenberg","OPP",875,865
251,147,"Rothenburg","LIE",1383,1606
252,96,"Rummelsburg","KOS",604,454
253,62,"Ruppin","POT",3065,3099
254,168,"Saalkreis","MER",1029,1293
255,269,"Saarbrücken","TRI",496,779
256,266,"Saarburg","TRI",512,640
257,268,"Saarlouis","TRI",787,614
258,85,"Saazig","STE",1572,1630
259,136,"Sagan","LIE",1790,1906
260,149,"Salzwedel","MAG",1768,1760
261,24,"Samter","POS",1432,848
262,172,"Sangerhausen","MER",1935,1371
263,90,"Schiefelbein","KOS",532,632
264,43,"Schildberg","POS",1867,2007
265,95,"Schlawe","KOS",2680,3090
266,187,"Schleusingen","ERF",233,620
267,14,"Schlochau","MAR",1281,930
268,29,"Schönau","LIE",1023,922
269,40,"Schrimm","POS",2235,1533
270,39,"Schrodda","POS",2344,1451
271,20,"Schubin","BRO",1460,1042
272,30,"Schweidnitz","BRE",2639,2924
273,164,"Schweinitz","MER",1204,1175
274,14,"Schwetz","MAR",1268,1392
275,10,"Sensburg","GUM",805,682
276,226,"Siegburg","KOL",1032,1336
277,221,"Siegen","ARN",1083,1852
278,247,"Simmern","KOB",353,754
279,213,"Soest","ARN",2486,2930
280,66,"Soldin","FRA",1108,828
281,243,"Solingen","DUS",836,1861
282,79,"Sorau","FRA",2042,2273
283,36,"Spremberg","FRA",846,1110
284,137,"Sprottau","LIE",1586,1505
285,8,"Stallupöhnen","GUM",2185,1587
286,15,"Stargard","DAN",1502,1315
287,108,"Steinau","BRE",1058,1040
288,194,"Steinfurt","MUN",1782,2368
289,151,"Stendal","MAG",1827,1913
290,72,"Sternberg","FRA",1696,1761
291,82,"Stettin","STE",283,449
292,92,"(Neu-)Stettin","KOS",1735,2217
293,97,"Stolp","KOS",2506,2406
294,13,"Strasburg","MAR",1870,1426
295,114,"Strehlen","BRE",1307,1320
296,123,"(Gross-)Strehlitz","OPP",1067,1185
297,119,"Striegau","BRE",1298,1325
298,11,"Stuhm","MAR",1147,1417
299,188,"Teklenburg","MUN",2051,2671
300,56,"Teltow","POT",2052,1858
301,52,"Templin","POT",1250,991
302,12,"Thorn","MAR",1816,1151
303,8,"Tilsit","GUM",1378,1203
304,163,"Torgau","MER",1207,1356
305,125,"Tost","OPP",2505,2495
306,105,"Trebnitz","BRE",2215,2196
307,263,"Trier, Stadtkreis","TRI",157,630
308,264,"Trier, Landkreis","TRI",500,700
309,23,"Tscharnikow","BRO",1367,1273
310,32,"Uckermünde","STE",746,724
311,226,"Ukerath","KOL",1378,1521
312,81,"Usedom","STE",802,861
313,281,"St. Vith","AAC",247,379
314,225,"Waldbröl","KOL",282,508
315,30,"Waldenburg","BRE",1284,1491
316,156,"Wanzleben","MAG",1698,1414
317,207,"Warburg","MIN",720,773
318,189,"Warendorf","MUN",1936,3086
319,103,"Wartenberg","BRE",1349,1453
320,7,"Wehlau","KON",1403,1156
321,176,"Weissenfels","MER",745,1245
322,184,"Weissensee","ERF",369,611
323,258,"Wetzlar","KOB",156,402
324,204,"Wiedenbrück","MIN",1203,1417
325,223,"Wipperfürth","KOL",511,673
326,22,"Wirlitz","BRO",1645,1109
327,165,"Wittenberg","MER",1523,1497
328,222,"Wittgenstein","ARN",242,354
329,262,"Wittlich","TRI",322,492
330,109,"Wohlau","BRE",2192,2137
331,157,"Wollmirstädt","MAG",1427,1581
332,49,"Wongrowiz","BRO",1582,896
333,180,"Worbis","ERF",313,457
334,26,"Wreschen","POS",1466,1081
335,178,"Zeiz","MER",724,989
336,251,"Zell","KOB",175,473
337,186,"Ziegenrück","ERF",229,290
338,1,"Zinten","KON",1134,1187
339,73,"Züllichau","FRA",1180,1130
340,276,"Aachen","AAC",330,1336
341,228,"Köln","KOL",428,1149
342,193,"Münster","MUN",0,0
343,59,"Potsdam","POT",199,684
344,50,"Berlin","POT",1791,2094
