kreiskey1858,county,rb,misc1858_area
1,"ALLENSTEIN","KON",530556
2,"BRAUNSBERG","KON",370731
3,"PREUSSISCH EYLAU","KON",482399
4,"FISCHHAUSEN","KON",415697
5,"FRIEDLAND","KON",345094
6,"GERDAUEN","KON",338125
7,"HEILIGENBEIL","KON",354801
8,"HEILSBERG","KON",429024
9,"PREUSSISCH HOLLAND","KON",337100
10,"KONIGSBERG STADTKREIS","KON",7793
11,"KONIGSBERG LANDKREIS","KON",413266
12,"LABIAU","KON",416504
13,"MEMEL","KON",329304
14,"MOHRUNGEN","KON",501419
15,"NEIDENBURG","KON",640551
16,"ORTELSBURG","KON",669457
17,"OSTERODE","KON",601495
18,"RASTENBURG","KON",342635
19,"ROSSEL","KON",333436
20,"WEHLAU","KON",409442
21,"ANGERBURG","GUM",360774
22,"DARKEHMEN","GUM",298621
23,"GOLDAP","GUM",384624
24,"GUMBINNEN","GUM",284862
25,"HEYDEKRUG","GUM",313974
26,"INSTERBURG","GUM",469860
27,"JOHANNISBURG","GUM",656504
28,"LOTZEN","GUM",350503
29,"LYCK","GUM",441671
30,"NIEDERUNG","GUM",349997
31,"OLETZKO","GUM",334098
32,"PILLKALLEN","GUM",409221
33,"RAGNIT","GUM",481334
34,"SENSBURG","GUM",482129
35,"STALLUPONEN","GUM",275393
36,"TILSIT LANDKREIS","GUM",320445
37,"BERENT","DAN",482580
38,"DANZIG LANDKREIS","DAN",415315
39,"DANZIG STADTKREIS","DAN",5523
40,"ELBING LANDKREIS","DAN",242753
41,"KARTHAUS","DAN",546466
42,"MARIENBURG IN PREUSSEN","DAN",317216
43,"NEUSTADT IN WESTPREUSSEN","DAN",560975
44,"PREUSSISCH STARGARD","DAN",542191
45,"DEUTSCH KRONE","MAR",838729
46,"FLATOW","MAR",597203
47,"GRAUDENZ LANDKREIS","MAR",324713
48,"KONITZ","MAR",887497
49,"KULM","MAR",347499
50,"LOBAU","MAR",380066
51,"MARIENWERDER","MAR",372662
52,"ROSENBERG IN WESTPREUSSEN","MAR",406940
53,"SCHLOCHAU","MAR",837380
54,"SCHWETZ","MAR",645906
55,"STRASBURG","MAR",526521
56,"STUHM","MAR",250766
57,"THORN LANDKREIS","MAR",443913
58,"BELGARD","KOS",441152
59,"BUTOW","KOS",238540
60,"DRAMBURG","KOS",465002
61,"FURSTENTHUM","KOS",933523
62,"LAUENBURG IN POMMERN","KOS",480873
63,"NEUSTETTIN","KOS",785958
64,"RUMMELSBURG","KOS",427191
65,"SCHIVELBEIN","KOS",196560
66,"SCHLAWE","KOS",657322
67,"STOLP LANDKREIS","KOS",872653
68,"ANKLAM","STE",250556
69,"DEMMIN","STE",378390
70,"GREIFENBERG","STE",299338
71,"GREIFENHAGEN","STE",377299
72,"KAMMIN","STE",444860
73,"NAUGARD","STE",480900
74,"PYRITZ","STE",408194
75,"RANDOW","STE",515912
76,"REGENWALDE","STE",465880
77,"SAATZIG","STE",477031
78,"STETTIN","STE",22858
79,"UCKERMUNDE","STE",325635
80,"USEDOM-WOLLIN","STE",269416
81,"FRANZBURG","STR",438727
82,"GREIFSWALD","STR",380281
83,"GRIMMEN","STR",381416
84,"RUGEN","STR",378782
85,"BROMBERG LANDKREIS","BRO",548552
86,"CHODZIESEN","BRO",425477
87,"CZARNIKAU","BRO",612384
88,"GNESEN","BRO",450674
89,"INOWRAZLAW","BRO",647108
90,"MOGILNO","BRO",365910
91,"SCHUBIN","BRO",455045
92,"WIRSITZ","BRO",454282
93,"WONGROWITZ","BRO",520738
94,"ADELNAU","POS",349985
95,"BIRNBAUM","POS",505981
96,"BOMST","POS",405761
97,"BUK","POS",372712
98,"FRAUSTADT","POS",391780
99,"KOSTEN","POS",454785
100,"KROBEN","POS",406401
101,"KROTOSCHIN","POS",373187
102,"MESERITZ","POS",451265
103,"OBORNIK","POS",428777
104,"PLESCHEN","POS",403171
105,"POSEN LANDKREIS","POS",428220
106,"SAMTER","POS",427031
107,"SCHILDBERG","POS",382736
108,"SCHRIMM","POS",401506
109,"SCHRODA","POS",397475
110,"WRESCHEN","POS",270788
111,"ARNSWALDE","FRA",494830
112,"FRANKFURT","FRA",22716
113,"FRIEDEBERG","FRA",431121
114,"GUBEN LANDKREIS","FRA",432874
115,"KALAU","FRA",389812
116,"KONIGSBERG IN NEUMARK","FRA",600701
117,"KOTTBUS LANDKREIS","FRA",333831
118,"KROSSEN","FRA",512963
119,"LANDSBERG LANDKREIS","FRA",474397
120,"LEBUS","FRA",615902
121,"LUCKAU","FRA",509621
122,"LUBBEN","FRA",406862
123,"SOLDIN","FRA",448652
124,"SORAU","FRA",484532
125,"SPREMBERG","FRA",121492
126,"STERNBERG","FRA",878309
127,"ZULLICHAU-SCHWIEBUS","FRA",358531
128,"ANGERMUNDE","POT",511094
129,"BEESKOW-STORKOW","POT",486355
130,"BERLIN","POT",23185
131,"JUTERBOG-LUCKENWALDE","POT",518953
132,"NIEDERBARNIM","POT",680982
133,"OBERBARNIM","POT",477173
134,"OSTHAVELLAND","POT",483461
135,"OSTPRIGNITZ","POT",736260
