id1819,kreiskey1800,county,rb,occ1819_servant_m_conv,occ1819_servant_f_conv
164,129,"Leobschütz","OPP",15,31
165,162,"Liebenwerda","MER",47,45
166,142,"Liegnitz","LIE",166,601
167,9,"Lik","GUM",12,43
168,256,"Linz","KOB",9,35
169,212,"Lippstadt","ARN",42,59
170,13,"Löbau","MAR",40,58
171,10,"Lötzen","GUM",16,69
172,144,"Löwenberg","LIE",62,279
173,124,"Lublinitz","OPP",38,48
174,76,"Luckau","FRA",68,81
175,34,"Lübben","FRA",64,114
176,139,"Lüben","LIE",72,62
177,191,"Lüdingshausen","MUN",20,42
178,155,"Magdeburg","MAG",170,1188
179,253,"Maien","KOB",4,44
180,281,"Malmedy","AAC",12,142
181,171,"Mansfeld, Gebirgskreis","MER",29,160
182,170,"Mansfeld, Seekreis","MER",148,165
183,11,"Marienburg","DAN",49,417
184,17,"Marienwerder","MAR",130,339
185,38,"Memel","KON",84,229
186,175,"Merseburg","MER",185,307
187,267,"Merzig","TRI",6,11
188,210,"Meschede","ARN",21,27
189,25,"Meseritz","POS",99,193
190,241,"Mettmann","DUS",2,4
191,106,"Militsch","BRE",97,376
192,199,"Minden","MIN",59,146
193,21,"Mogilno","BRO",74,81
194,3,"Mohrungen","KON",48,98
195,279,"Montjoie","AAC",0,52
196,182,"Mühlhausen","ERF",36,185
197,227,"Mühlheim","KOL",22,24
198,192,"Münster","MUN",4,15
199,116,"Münsterberg","BRE",51,320
200,102,"Namslau","BRE",71,102
201,86,"Naugard","STE",26,148
202,177,"Naumburg","MER",75,490
203,4,"Neidenburg","KON",11,46
204,132,"Neisse","OPP",106,593
205,110,"Neumarkt","BRE",117,157
206,244,"Neuss","DUS",14,73
207,16,"Neustadt","DAN",30,48
208,130,"Neustadt","OPP",54,381
209,256,"Neuwied","KOB",63,252
210,8,"Niederung","GUM",12,13
211,115,"Nimptsch","BRE",91,99
212,179,"Nordhausen","ERF",41,57
213,42,"Obernik","POS",198,288
214,104,"Oels","BRE",177,358
215,112,"Ohlau","BRE",83,89
216,9,"Oletzko","GUM",32,67
217,220,"Olpe","ARN",15,21
218,122,"Oppeln","OPP",135,164
219,4,"Ortelsburg","KON",24,52
220,159,"Oschersleben","MAG",63,81
221,148,"Osterburg","MAG",66,143
222,3,"Osterode","KON",22,63
223,37,"Osterwiek","MAG",45,139
224,270,"Ottweiler","TRI",1,0
225,205,"Paderborn","MIN",22,128
226,8,"Pillkallen","GUM",17,55
227,84,"Piritz","STE",30,145
228,33,"Pleschen","POS",180,189
229,31,"Pless","OPP",39,25
230,24,"Posen","POS",571,1886
231,51,"Prenzlow","POT",69,136
232,63,"(Ost-)Priegnitz","POT",91,220
233,64,"(West-)Priegnitz","POT",84,213
234,260,"Prüm","TRI",0,5
235,174,"Querfurt","MER",46,155
236,8,"Ragnit","GUM",47,195
237,200,"Rahden","MIN",29,54
238,82,"Randow","STE",78,95
239,5,"Rastenburg","KON",60,125
240,127,"Ratibor","OPP",42,62
241,198,"Recklinghausen","MUN",24,25
242,235,"Rees","DUS",82,490
243,89,"Regenwalde","STE",81,98
244,118,"Reichenbach","BRE",106,305
245,232,"Rheinbach","KOL",7,5
246,237,"Rheinberg","DUS",21,115
247,31,"Ribnik","OPP",39,142
248,2,"Rössel","KON",12,28
249,17,"Rosenberg","MAR",58,109
250,121,"Rosenberg","OPP",79,58
251,147,"Rothenburg","LIE",83,56
252,96,"Rummelsburg","KOS",22,28
253,62,"Ruppin","POT",88,283
254,168,"Saalkreis","MER",62,136
255,269,"Saarbrücken","TRI",23,40
256,266,"Saarburg","TRI",8,9
257,268,"Saarlouis","TRI",32,147
258,85,"Saazig","STE",61,151
259,136,"Sagan","LIE",55,102
260,149,"Salzwedel","MAG",32,181
261,24,"Samter","POS",182,139
262,172,"Sangerhausen","MER",66,119
263,90,"Schiefelbein","KOS",15,15
264,43,"Schildberg","POS",103,75
265,95,"Schlawe","KOS",66,97
266,187,"Schleusingen","ERF",8,5
267,14,"Schlochau","MAR",7,45
268,29,"Schönau","LIE",39,66
269,40,"Schrimm","POS",169,146
270,39,"Schrodda","POS",116,93
271,20,"Schubin","BRO",55,66
272,30,"Schweidnitz","BRE",168,703
273,164,"Schweinitz","MER",42,68
274,14,"Schwetz","MAR",86,171
275,10,"Sensburg","GUM",24,36
276,226,"Siegburg","KOL",6,5
277,221,"Siegen","ARN",4,18
278,247,"Simmern","KOB",5,65
279,213,"Soest","ARN",58,112
280,66,"Soldin","FRA",51,178
281,243,"Solingen","DUS",24,36
282,79,"Sorau","FRA",83,205
283,36,"Spremberg","FRA",30,72
284,137,"Sprottau","LIE",67,104
285,8,"Stallupöhnen","GUM",62,107
286,15,"Stargard","DAN",73,205
287,108,"Steinau","BRE",84,140
288,194,"Steinfurt","MUN",44,185
289,151,"Stendal","MAG",55,94
290,72,"Sternberg","FRA",59,104
291,82,"Stettin","STE",147,1511
292,92,"(Neu-)Stettin","KOS",31,59
293,97,"Stolp","KOS",106,243
294,13,"Strasburg","MAR",47,31
295,114,"Strehlen","BRE",81,207
296,123,"(Gross-)Strehlitz","OPP",47,73
297,119,"Striegau","BRE",44,40
298,11,"Stuhm","MAR",31,86
299,188,"Teklenburg","MUN",16,18
300,56,"Teltow","POT",96,261
